state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence,source_folder,permid,icpsr,bonica_rid,recipient_cfscore,dwnom1,dwnom2,dime_party_code,dime_match_score,dime_match_confidence,bioname_voteview,voteview_match_score,voteview_match_confidence,sler_id,sler_name,sler_vote,sler_outcome,sler_party,sler_match_score,sler_match_confidence,merge_conflict
AL,Anniston Star,100050,2008,COURT OF APPEALS,1,,AL,"THOMPSON, BILL",,1,,,,"ENDORSED FOR COURT OF CIVIL APPEALS, PLACE 1.",1.0,Anniston Star,4862,AL1118061,cand156329,1.069,,,200,100,1,,,,,,,,,,,
AL,Anniston Star,100050,2008,COURT OF CRIMINAL APPEALS,1,,AL,"JONES, CLYDE",,1,,,,"ENDORSED FOR COURT OF CRIMINAL APPEALS, PLACE 1.",1.0,Anniston Star,4862,,,,,,,,,,,,,,,,,,,
AL,Anniston Star,100050,2008,COURT OF CRIMINAL APPEALS,2,,AL,"SMITH, AIMEE COBB",,1,,,,"ENDORSED FOR COURT OF CRIMINAL APPEALS, PLACE 2.",1.0,Anniston Star,4862,,,,,,,,,,,,,,,,,,,
AL,Anniston Star,100050,2008,H,3,,AL,"SEGALL, JOSH",Democrat,1,,,,"ENDORSED FOR US HOUSE, 3RD DISTRICT.",1.0,Anniston Star,4862,H8AL03047,cand53289,-0.458,,,100,72,0.7,,,,,,,,,,,
AL,Anniston Star,100050,2008,PRESIDENT,,,AL,"OBAMA, BARACK",Democrat,1,,,,ENDORSED IN SUMMARY ENDORSEMENT LIST.,1.0,Anniston Star,4862,99911,cand169967,-1.095,-0.358,-0.197,100,100,1,,,,,,,,,,,
AL,Anniston Star,100050,2008,SENATOR,,,AL,"FIGURES, VIVIAN DAVIS",Democrat,1,,,,ENDORSED FOR US SENATE.,1.0,Anniston Star,4862,S8AL00282,cand106746,-0.156,,,100,100,1,,,,,,,,,,,
AL,Anniston Star,100050,2008,SERVICE COMMISSION,PRESIDENT,,AL,"BAXLEY, LUCY",,1,,,,ENDORSED FOR PUBLIC SERVICE COMMISSION PRESIDENT.,1.0,Anniston Star,4862,,,,,,,,,,,,,,,,,,,
AL,Anniston Star,100050,2008,STATE BOARD OF ED,3,,AL,"BELL, JUDY WEST",,1,,,,"ENDORSED FOR STATE SCHOOL BOARD, 3RD DISTRICT.",1.0,Anniston Star,4862,AL10199,cand4195,-0.554,,,100,100,1,,,,,,,,,,,
AL,Anniston Star,100050,2008,SUPREME COURT,,,AL,"PASEUR, DEBORAH BELL",,1,,,,ENDORSED FOR SUPREME COURT.,1.0,Anniston Star,4862,AL137679,cand4586,-0.364,,,100,100,1,,,,,,,,,,,
AL,Anniston Star,100050,2010,AGRICULTURE COMMISSIONER,,,AL,"ZORN, GLEN",,1,,,,ENDORSED FOR COMMISSIONER OF AGRICULTURE AND INDUSTRIES.,1.0,Anniston Star,4862,,,,,,,,,,,,,,,,,,,
AL,Anniston Star,100050,2010,ATTORNEY GENERAL,,,AL,"ANDERSON, JAMES",,1,,,,ENDORSED FOR ATTORNEY GENERAL.,1.0,Anniston Star,4862,AL10187,cand4187,-0.341,,,100,93,1,,,,,,,,,,,
AL,Anniston Star,100050,2010,AUDITOR,,,AL,"SHAW, SAMANTHA",,1,,,,ENDORSED FOR STATE AUDITOR.,1.0,Anniston Star,4862,,,,,,,,,,,,,,,,,,,
AL,Anniston Star,100050,2010,COURT OF APPEALS,,,AL,"PASEUR, DEBORAH BELL",,1,,,,ENDORSED FOR COURT OF CIVIL APPEALS.,1.0,Anniston Star,4862,AL137679,cand4586,-0.364,,,100,100,1,,,,,,,,,,,
AL,Anniston Star,100050,2010,GOVERNOR,,,AL,"BENTLEY, ROBERT",Republican,1,,,,ENDORSED FOR GOVERNOR.,1.0,Anniston Star,4862,AL6568236,cand158462,1.009,,,200,93,1,,,,,,,,,,,
AL,Anniston Star,100050,2010,H,3,,AL,"ROGERS, MIKE",Republican,1,,1,,ENDORSED FOR US HOUSE OF REPRESENTATIVES. INCUMBENT.,1.0,Anniston Star,4862,20301,cand869,1.039,0.379,0.377,200,81,0.7,,,,,,,,,,,
AL,Anniston Star,100050,2010,LT GOVERNOR,,,AL,"FOLSOM, JIM, JR.",Democrat,1,,,,ENDORSED FOR LT GOVERNOR.,0.9,Anniston Star,4862,S0AL00057,cand103318,-0.059,,,100,86,1,,,,,,,,,,,
AL,Anniston Star,100050,2010,SEC OF STATE,,,AL,"CHAPMAN, BETH",,1,,,,ENDORSED FOR SECRETARY OF STATE.,1.0,Anniston Star,4862,,,,,,,,,,,,,,,,,,,
AL,Anniston Star,100050,2010,SENATOR,,,AL,"SHELBY, RICHARD",Republican,1,,1,,ENDORSED FOR US SENATE. INCUMBENT.,1.0,Anniston Star,4862,94659,cand181514,0.632,0.446,0.57,200,83,0.7,,,,,,,,,,,
AL,Anniston Star,100050,2010,SERVICE COMMISSION,2,,AL,"PARKER, SUSAN",,1,,,,"ENDORSED FOR PUBLIC SERVICE COMMISSION, PLACE 2.",1.0,Anniston Star,4862,,,,,,,,,,,,,,,,,,,
AL,Anniston Star,100050,2010,SUPREME COURT,1,,AL,"CHAMBERS, RHONDA",,1,,,,"ENDORSED FOR STATE SUPREME COURT, PLACE 1.",1.0,Anniston Star,4862,,,,,,,,,,,,,,,,,,,
AL,Anniston Star,100050,2010,SUPREME COURT,2,,AL,"EDWARDS, TOM",,1,,,,"ENDORSED FOR STATE SUPREME COURT, PLACE 2.",1.0,Anniston Star,4862,AL143150,cand4745,-0.564,,,100,100,1,,,,,,,,,,,
AL,Anniston Star,100050,2010,SUPREME COURT,3,,AL,"PARSONS, MAC",,1,,,,"ENDORSED FOR STATE SUPREME COURT, PLACE 3.",1.0,Anniston Star,4862,AL143152,cand4747,-0.465,,,100,100,1,,,,,,,,,,,
AL,Anniston Star,100050,2010,TREASURER,,,AL,"BOOZER, YOUNG",,1,,,,ENDORSED FOR STATE TREASURER.,1.0,Anniston Star,4862,AL6688579,cand158488,0.957,,,200,100,1,,,,,,,,,,,
AL,Anniston Star,100050,2012,H,3,,AL,"ROGERS, MIKE",Republican,1,,1,,"ENDORSED FOR US HOUSE, 3RD DISTRICT. INCUMBENT.",1.0,Anniston Star,4862,,,,,,,,,,,,,,,,,,,
AL,Anniston Star,100050,2012,PRESIDENT,,,AL,"OBAMA, BARACK",Democrat,1,1,,,ENDORSED FOR RE-ELECTION. INCUMBENT PRESIDENT.,1.0,Anniston Star,4862,99911,cand169967,-1.095,-0.358,-0.197,100,100,1,,,,,,,,,,,
AL,Anniston Star,100050,2012,SERVICE COMMISSION,PRESIDENT,,AL,"BAXLEY, LUCY",,1,,,,ENDORSED FOR PUBLIC SERVICE COMMISSION PRESIDENT.,1.0,Anniston Star,4862,,,,,,,,,,,,,,,,,,,
AL,Anniston Star,100050,2012,SUPREME COURT,CHIEF JUSTICE,,AL,"VANCE, ROBERT",,1,,,,"ENDORSED FOR CHIEF JUSTICE, ALABAMA SUPREME COURT.",1.0,Anniston Star,4862,AL44858852,cand157630,-0.694,,,100,92,1,,,,,,,,,,,
AL,Anniston Star,100050,2014,AGRICULTURE COMMISSIONER,,,AL,"MCMILLAN, JOHN",Republican,1,,,,ENDORSED FOR AGRICULTURE COMMISSIONER.,1.0,Anniston Star,4862,,,,,,,,,,,,,,,,,,,
AL,Anniston Star,100050,2014,ATTORNEY GENERAL,,,AL,"STRANGE, LUTHER",Republican,1,,1,,ENDORSED FOR ATTORNEY GENERAL. INCUMBENT.,1.0,Anniston Star,4862,41704,cand139961,1.139,0.56,0.18,200,100,1,,,,,,,,,,,
AL,Anniston Star,100050,2014,AUDITOR,,,AL,"JOSEPH, MIRANDA",,1,,,,ENDORSED FOR STATE AUDITOR.,1.0,Anniston Star,4862,,,,,,,,,,,,,,,,,,,
AL,Anniston Star,100050,2014,H,3,,AL,"ROGERS, MIKE",Republican,1,,1,,"ENDORSED FOR US HOUSE, 3RD DISTRICT. INCUMBENT.",1.0,Anniston Star,4862,,,,,,,,,,,,,,,,,,,
AL,Anniston Star,100050,2014,LT GOVERNOR,,,AL,"IVEY, KAY",Republican,1,,,,ENDORSED FOR LIEUTENANT GOVERNOR.,1.0,Anniston Star,4862,,,,,,,,,,,,,,,,,,,
AL,Anniston Star,100050,2014,SEC OF STATE,,,AL,"MERRILL, JOHN",Republican,1,,,,ENDORSED FOR SECRETARY OF STATE.,1.0,Anniston Star,4862,S0AL00289,cand4539,1.147,,,200,100,1,,,,,,,,,,,
AL,Anniston Star,100050,2016,PRESIDENT,,,AL,"CLINTON, HILLARY",Democrat,1,,,,ENDORSED FOR PRESIDENT.,1.0,Anniston Star,4862,40105nominee,cand1572nominee,-1.058,-0.367,-0.243,100,82,0.7,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1924,STATE REP,7,,CA,"DEUEL, CHARLES",Democrat,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
