state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence,source_folder
AL,Anniston Star,100050,1922,AL,AMENDMENT,,PORT AMENDMENT - TO GIVE ALABAMA ADEQUATE PORT FACILITIES,1,"STRONGLY ENDORSED. EDITORIAL SAYS ADOPTION WILL OPEN MARKETS OF THE WORLD AND BENEFIT INDUSTRY, COMMERCE, AND AGRICULTURE IN ALABAMA.",0.85,Anniston Star
AL,Anniston Star,100050,1924,AL,AMENDMENT,1-7,SEVEN PROPOSED CONSTITUTIONAL AMENDMENTS,1,EDITORIAL SAYS ALL SEVEN SHOULD PASS BECAUSE THEY ARE ALL MERITORIOUS. SPECIAL FOCUS ON AMENDMENT 4 WHICH WOULD ALLOW PIEDMONT AND OTHER MUNICIPALITIES TO LEVY ADDITIONAL TAX.,0.8,Anniston Star
AL,Anniston Star,100050,1932,AL,AMENDMENT,4,ALLOW ALABAMA CITIES TO BORROW FROM RECONSTRUCTION FINANCE CORPORATION,1,ENDORSED. EDITORIAL TITLED 'AN APPALLING SITUATION IS FACED BY ANNISTONIANS' DISCUSSES DEPRESSION HARDSHIPS AND URGES VOTERS TO APPROVE AMENDMENT TO ALLOW CITIES ACCESS TO RFC FUNDS.,0.75,Anniston Star
AL,Anniston Star,100050,1934,AL,AMENDMENT,,"ANTI-FEE AMENDMENT FOR MOBILE COUNTY - ESTIMATED TO SAVE MORE THAN $100,000 ANNUALLY FOR TAXPAYERS",1,"ENDORSED. EDITORIAL TITLED 'HELP MOBILE.' NOTES ROTARY, KIWANIS, LION CLUBS AND JUNIOR CHAMBER OF COMMERCE OF MOBILE HAVE ENDORSED THE AMENDMENT.",0.95,Anniston Star
AL,Anniston Star,100050,1940,AL,AMENDMENT,1,FREE THE TOLL BRIDGE OVER TENNESSEE RIVER BETWEEN FLORENCE AND SHEFFIELD,1,"ENDORSED. ONLY TOLL BRIDGE IN ALABAMA. IMPORTANT FOR NATIONAL DEFENSE, MUSCLE SHOALS PLANTS AND ALUMINUM PLANT.",0.9,Anniston Star
AL,Anniston Star,100050,1940,AL,AMENDMENT,2,AMENDMENT THAT WOULD CRIPPLE SCHOOLS AND LOCAL GOVERNMENT FINANCING,0,"OPPOSED. EDITORIAL SAYS IT SHOULD BE DEFEATED. GOVERNOR DIXON, ALABAMA EDUCATION ASSOCIATION, MUNICIPAL LEAGUE AND COUNTY COMMISSIONERS ASSOCIATION ALL OPPOSE IT.",0.9,Anniston Star
AL,Anniston Star,100050,1940,AL,AMENDMENT,3+,ALL REMAINING STATE CONSTITUTIONAL AMENDMENTS BESIDES 1 AND 2,1,"EDITORIAL SAYS 'ALL OTHERS, WE BELIEVE, SHOULD PASS.' DESCRIBES THEM AS MORE OR LESS LOCAL IN SCOPE.",0.85,Anniston Star
AL,Anniston Star,100050,1946,AL,AMENDMENT,4,"BOSWELL AMENDMENT - VOTER REGISTRATION RESTRICTION REQUIRING ABILITY TO READ, WRITE, AND UNDERSTAND THE CONSTITUTION",0,"OPPOSED. EDITORIAL TITLED 'AN APPEAL TO REASON.' DESPITE EXPRESSING SYMPATHY WITH GOALS, ARGUES AMENDMENT WOULD BE DECLARED UNCONSTITUTIONAL BY US SUPREME COURT AND IS BAD POLICY.",0.8,Anniston Star
AL,Anniston Star,100050,1956,AL,AMENDMENT,1,GIVE EVERY COUNTY A STATE SENATOR AND ENLARGE LEGISLATURE,0,OPPOSED. WOULD LIMIT RATHER THAN STRENGTHEN CALHOUN COUNTY INFLUENCE IN LEGISLATURE AND IMPOSE UNNECESSARY EXPENSE ON STATE.,0.95,Anniston Star
AL,Anniston Star,100050,1956,AL,AMENDMENT,2,"STATE BONDS OF $4,000,000 FOR STATE HOSPITAL FOR INSANE AND PARTLOW SCHOOL",1,ENDORSED. 'IT SHOULD BE RATIFIED.',0.95,Anniston Star
AL,Anniston Star,100050,1956,AL,AMENDMENT,3,"BONDS FOR GENERAL HOSPITALS, TUBERCULOSIS HOSPITALS AND HEALTH CENTERS UP TO $2,000,000",1,ENDORSED. ANNISTON WOULD FIND MUCH NEEDED RELIEF UNDER THIS MEASURE.,0.95,Anniston Star
AL,Anniston Star,100050,1956,AL,AMENDMENT,7,ALLOW TUSCALOOSA COUNTY GOVERNMENT TO ISSUE BONDS FOR NEW COURT HOUSE,1,ENDORSED. 'THAT SEEMS FAIR ENOUGH.',0.95,Anniston Star
AL,Anniston Star,100050,1956,AL,AMENDMENT,8,ALLOW GADSDEN CITY GOVERNMENT TO LEVY ADDITIONAL 1 PER CENT TAX ON PROPERTY TO RETIRE BONDED INDEBTEDNESS,1,ENDORSED. HAD SUPPORT OF ETOWAH COUNTY DELEGATION IN STATE LEGISLATURE.,0.95,Anniston Star
AL,Anniston Star,100050,1958,AL,AMENDMENT,1,LAUDERDALE COUNTY - PREVENT LEGISLATURE FROM TAKING REPRISALS AGAINST OFFICEHOLDERS BY ABOLISHING JOBS,1,ENDORSED. PAPER AGREES WITH ASSOCIATION OF COUNTY COMMISSIONERS THAT IT SHOULD BE ADOPTED. HAS STATEWIDE SIGNIFICANCE.,0.9,Anniston Star
