state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
AL,Anniston Star,100050,1918,STRAIGHT TICKET,,,AL,STRAIGHT TICKET,Democrat,1,,,,EDITORIAL URGES VOTERS TO VOTE STRAIGHT DEMOCRATIC TICKET. MENTIONS GOVERNOR-ELECT THOMAS E. KILBY AND PRESIDENT WILSON'S APPEAL TO SEND DEMOCRATIC CONGRESS BACK TO WASHINGTON.,0.85
AL,Anniston Star,100050,1922,STRAIGHT TICKET,,,AL,STRAIGHT TICKET,Democrat,1,,,,EDITORIAL URGES VOTERS TO SUPPORT DEMOCRATIC NOMINEES WITH LARGE MAJORITY.,0.8
AL,Anniston Star,100050,1926,STRAIGHT TICKET,,,AL,STRAIGHT TICKET,Democrat,1,,,,EDITORIAL TITLED 'EVERY CITIZEN SHOULD VOTE; WHY THE DEMOCRATS SHOULD WIN.' URGES EVERY LOYAL DEMOCRAT TO VOTE. CRITICIZES COOLIDGE REPUBLICAN POLICIES ON TARIFF AND PROSPERITY CLAIMS. ARGUES DEMOCRATIC PARTY GAVE FEDERAL RESERVE SYSTEM AND PAVED WAY FOR PROSPERITY.,0.8
AL,Anniston Star,100050,1928,PRESIDENT,,,AL,"SMITH, AL",Democrat,1,,,,LONG EDITORIAL ENDORSING DEMOCRATIC TICKET AND AL SMITH FOR PRESIDENT. ARGUES FOR DEMOCRATIC POLICIES AND AGAINST REPUBLICAN RECORD.,0.65
AL,Anniston Star,100050,1930,STRAIGHT TICKET,,,AL,STRAIGHT TICKET,Democrat,1,,,,EDITORIAL URGES SUPPORT FOR DEMOCRATIC TICKET AGAINST INDEPENDENT-REPUBLICAN TICKET. OPPOSES HEFLIN BOLT FROM DEMOCRATIC PARTY. ARGUES DEMOCRATIC TICKET IS BEST FOR ALABAMA.,0.7
AL,Anniston Star,100050,1944,PRESIDENT,,,AL,"ROOSEVELT, FRANKLIN D.",Democrat,1,1,,,ENDORSED FOR FOURTH TERM. EDITORIAL CITES HIS MAGNIFICENT PROSECUTION OF THE WAR AND TRUSTED FOREIGN POLICY DESIGNED TO BRING LASTING PEACE.,0.9
AL,Anniston Star,100050,1952,PRESIDENT,,,AL,"STEVENSON, ADLAI",Democrat,1,,,,ENDORSED. EDITORIAL TITLED 'GOVERNOR STEVENSON AND BUSINESS.' PRAISES HIS PENNSYLVANIA CAMPAIGN ADDRESSES. CALLS HIM ONE OF THE BEST EQUIPPED MEN EVER TO SEEK THE PRESIDENCY.,0.9
AL,Anniston Star,100050,1964,PRESIDENT,,,AL,"JOHNSON, LYNDON",Democrat,1,1,,,"ENDORSED. EDITORIAL TITLED 'JOHNSON, THE NATION, ALABAMA.' CRITICIZES GOLDWATER'S FOREIGN POLICY AND ARGUES JOHNSON IS BETTER FOR ALABAMA AND THE NATION.",0.9
AL,Anniston Star,100050,1964,PRESIDENT,,,AL,"GOLDWATER, BARRY",Republican,0,,,,EXPLICITLY OPPOSED. EDITORIAL CRITICIZES HIS FOREIGN POLICY VIEWS AND SAYS HE HAS NO TALENT FOR BUSINESS OF DIPLOMACY.,0.9
AL,Anniston Star,100050,1966,SENATOR,,,AL,"SPARKMAN, JOHN",Democrat,1,1,,,"ENDORSED. EDITORIAL TITLED 'DEFEAT JOHN SPARKMAN?' ARGUES RHETORICALLY AGAINST DEFEATING HIM. CITES SENIORITY, CHAIRMANSHIP OF SENATE BANKING AND CURRENCY COMMITTEE, FOREIGN RELATIONS COMMITTEE, AND ROLE IN COOSA RIVER DEVELOPMENT AND NORTHEAST ALABAMA ECONOMIC GROWTH.",0.9
AL,Anniston Star,100050,1966,GOVERNOR,,,AL,"WALLACE, LURLEEN",Democrat,1,,,,QUALIFIED ENDORSEMENT. EDITORIAL TITLED 'A CHOICE FOR GOVERNOR.' GIVES EDGE TO WALLACE FOR EXECUTIVE BRANCH EXPERIENCE DESPITE SIGNIFICANT RESERVATIONS ABOUT PROXY GOVERNANCE FOR GEORGE WALLACE.,0.7
AL,Anniston Star,100050,1966,GOVERNOR,,,AL,"MARTIN, JIM",Republican,0,,,,NOT ENDORSED. EDITORIAL DISCUSSES HIS RECORD IN CONGRESS AND ECONOMIC DEVELOPMENT POSITIONS BUT ULTIMATELY GIVES EDGE TO WALLACE.,0.7
AL,Anniston Star,100050,1966,H,4,,AL,"NICHOLS, BILL",Democrat,1,,,,"ENDORSED. 'BILL NICHOLS HAS OUR UNQUALIFIED ENDORSEMENT.' CITES EXPERIENCE IN STATE HOUSE AND SENATE, LEGISLATIVE ABILITY, INTEGRITY, AND EFFORTS ON BEHALF OF ANNISTON CITY SCHOOLS AND JACKSONVILLE STATE COLLEGE.",0.9
AL,Anniston Star,100050,1966,H,4,,AL,"ANDREWS, GLENN",Republican,0,,1,,NOT ENDORSED. INCUMBENT CONGRESSMAN. EDITORIAL ACKNOWLEDGES HIS ABILITY TO ARTICULATE ISSUES BUT SAYS HE VOTED AGAINST MUCH LEGISLATION IMPORTANT TO DISTRICT.,0.9
AL,Anniston Star,100050,1968,PRESIDENT,,,AL,"HUMPHREY, HUBERT",Democrat,1,,,,ENDORSED. EDITORIAL TITLED 'A CHOICE FOR THE NATION.' ARGUES HUMPHREY IS BEST CHOICE FOR HANDLING FOREIGN AFFAIRS AND DOMESTIC CHALLENGES. DISCUSSES AND REJECTS BOTH NIXON AND GEORGE WALLACE.,0.75
