state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
AL,Anniston Star,100050,1922,AL,AMENDMENT,,PORT AMENDMENT - TO GIVE ALABAMA ADEQUATE PORT FACILITIES,1,"STRONGLY ENDORSED. EDITORIAL SAYS ADOPTION WILL OPEN MARKETS OF THE WORLD AND BENEFIT INDUSTRY, COMMERCE, AND AGRICULTURE IN ALABAMA. | Phase 11 direction OCR-confirmed",0.85
AL,Anniston Star,100050,1924,AL,AMENDMENT,1-7,SEVEN PROPOSED CONSTITUTIONAL AMENDMENTS,1,EDITORIAL SAYS ALL SEVEN SHOULD PASS BECAUSE THEY ARE ALL MERITORIOUS. SPECIAL FOCUS ON AMENDMENT 4 WHICH WOULD ALLOW PIEDMONT AND OTHER MUNICIPALITIES TO LEVY ADDITIONAL TAX. | Phase 11 direction OCR-confirmed,0.8
AL,Anniston Star,100050,1932,AL,AMENDMENT,4,ALLOW ALABAMA CITIES TO BORROW FROM RECONSTRUCTION FINANCE CORPORATION,1,ENDORSED. EDITORIAL TITLED 'AN APPALLING SITUATION IS FACED BY ANNISTONIANS' DISCUSSES DEPRESSION HARDSHIPS AND URGES VOTERS TO APPROVE AMENDMENT TO ALLOW CITIES ACCESS TO RFC FUNDS. | Phase 11 direction OCR-confirmed,0.75
AL,Anniston Star,100050,1934,AL,AMENDMENT,,"ANTI-FEE AMENDMENT FOR MOBILE COUNTY - ESTIMATED TO SAVE MORE THAN $100,000 ANNUALLY FOR TAXPAYERS",1,"ENDORSED. EDITORIAL TITLED 'HELP MOBILE.' NOTES ROTARY, KIWANIS, LION CLUBS AND JUNIOR CHAMBER OF COMMERCE OF MOBILE HAVE ENDORSED THE AMENDMENT. | Phase 11 direction OCR-confirmed",0.95
AL,Anniston Star,100050,1940,AL,AMENDMENT,1,FREE THE TOLL BRIDGE OVER TENNESSEE RIVER BETWEEN FLORENCE AND SHEFFIELD,1,"ENDORSED. ONLY TOLL BRIDGE IN ALABAMA. IMPORTANT FOR NATIONAL DEFENSE, MUSCLE SHOALS PLANTS AND ALUMINUM PLANT. | Phase 11 direction OCR-confirmed",0.9
AL,Anniston Star,100050,1940,AL,AMENDMENT,2,AMENDMENT THAT WOULD CRIPPLE SCHOOLS AND LOCAL GOVERNMENT FINANCING,0,"OPPOSED. EDITORIAL SAYS IT SHOULD BE DEFEATED. GOVERNOR DIXON, ALABAMA EDUCATION ASSOCIATION, MUNICIPAL LEAGUE AND COUNTY COMMISSIONERS ASSOCIATION ALL OPPOSE IT. | Phase 11 direction OCR-confirmed",0.9
AL,Anniston Star,100050,1940,AL,AMENDMENT,3+,ALL REMAINING STATE CONSTITUTIONAL AMENDMENTS BESIDES 1 AND 2,1,"EDITORIAL SAYS 'ALL OTHERS, WE BELIEVE, SHOULD PASS.' DESCRIBES THEM AS MORE OR LESS LOCAL IN SCOPE. | Phase 11 direction OCR-confirmed",0.85
AL,Anniston Star,100050,1946,AL,AMENDMENT,4,"BOSWELL AMENDMENT - VOTER REGISTRATION RESTRICTION REQUIRING ABILITY TO READ, WRITE, AND UNDERSTAND THE CONSTITUTION",0,"OPPOSED. EDITORIAL TITLED 'AN APPEAL TO REASON.' DESPITE EXPRESSING SYMPATHY WITH GOALS, ARGUES AMENDMENT WOULD BE DECLARED UNCONSTITUTIONAL BY US SUPREME COURT AND IS BAD POLICY. | Phase 11 direction OCR-confirmed",0.8
AL,Anniston Star,100050,1956,AL,AMENDMENT,1,GIVE EVERY COUNTY A STATE SENATOR AND ENLARGE LEGISLATURE,0,OPPOSED. WOULD LIMIT RATHER THAN STRENGTHEN CALHOUN COUNTY INFLUENCE IN LEGISLATURE AND IMPOSE UNNECESSARY EXPENSE ON STATE. | Phase 11 direction OCR-confirmed,0.95
AL,Anniston Star,100050,1956,AL,AMENDMENT,2,"STATE BONDS OF $4,000,000 FOR STATE HOSPITAL FOR INSANE AND PARTLOW SCHOOL",1,ENDORSED. 'IT SHOULD BE RATIFIED.' | Phase 11 direction OCR-confirmed,0.95
AL,Anniston Star,100050,1956,AL,AMENDMENT,3,"BONDS FOR GENERAL HOSPITALS, TUBERCULOSIS HOSPITALS AND HEALTH CENTERS UP TO $2,000,000",1,ENDORSED. ANNISTON WOULD FIND MUCH NEEDED RELIEF UNDER THIS MEASURE. | Phase 11 direction OCR-confirmed,0.95
AL,Anniston Star,100050,1956,AL,AMENDMENT,7,ALLOW TUSCALOOSA COUNTY GOVERNMENT TO ISSUE BONDS FOR NEW COURT HOUSE,1,ENDORSED. 'THAT SEEMS FAIR ENOUGH.' | Phase 11 direction OCR-confirmed,0.95
AL,Anniston Star,100050,1956,AL,AMENDMENT,8,ALLOW GADSDEN CITY GOVERNMENT TO LEVY ADDITIONAL 1 PER CENT TAX ON PROPERTY TO RETIRE BONDED INDEBTEDNESS,1,ENDORSED. HAD SUPPORT OF ETOWAH COUNTY DELEGATION IN STATE LEGISLATURE. | Phase 11 direction OCR-confirmed,0.95
AL,Anniston Star,100050,1958,AL,AMENDMENT,1,LAUDERDALE COUNTY - PREVENT LEGISLATURE FROM TAKING REPRISALS AGAINST OFFICEHOLDERS BY ABOLISHING JOBS,1,ENDORSED. PAPER AGREES WITH ASSOCIATION OF COUNTY COMMISSIONERS THAT IT SHOULD BE ADOPTED. HAS STATEWIDE SIGNIFICANCE. | Phase 11 direction OCR-confirmed,0.9
AL,Anniston Star,100050,1958,AL,AMENDMENT,2,FITE AMENDMENT - MARION COUNTY POWERS FOR SCHOOLS AND OTHER IMPROVEMENTS,0,OPPOSED. EDITORIAL SAYS IT SHOULD BE VOTED DOWN. PROPOSED HAS BEEN DEFEATED IN FOUR DIFFERENT STATEWIDE REFERENDA WITHIN THREE YEARS. REPRESENTATIVE RANKIN FITE WAS TURNED OUT OF OFFICE BY MARION COUNTY VOTERS OVER THIS ISSUE. | Phase 11 direction OCR-confirmed,0.9
AL,Anniston Star,100050,1958,AL,AMENDMENT,3,AUTHORIZE MONTGOMERY COUNTY TO LEVY ADDITIONAL 5.5 MILLS AD VALOREM TAX FOR SCHOOL PURPOSES,1,ENDORSED. PAPER RECOMMENDS A YES VOTE. | Phase 11 direction OCR-confirmed,0.9
AL,Anniston Star,100050,1960,AL,AMENDMENT,1,BRING MORE MORTGAGE MONEY INTO ALABAMA BY ALLOWING OUT-OF-STATE CORPORATIONS TO INVEST,1,ENDORSED. COULD BRING AS MUCH AS $10 MILLION IN NEW MORTGAGE MONEY. WOULD INCREASE COMPETITION IN MORTGAGE FIELD. | Phase 11 direction OCR-confirmed,0.9
AL,Anniston Star,100050,1960,AL,AMENDMENT,2,AUTHORIZE TOWN OF UNIONTOWN TO DEAL IN REAL ESTATE AND CONSTRUCTION TO ATTRACT INDUSTRY,0,OPPOSED. EDITORIAL QUESTIONS THE END THAT WOULD BE SERVED. CONCERNED ABOUT LOCAL GOVERNMENT ENGAGING IN ACTIVITIES THAT SHOULD BE LEFT TO PRIVATE ENTERPRISE. | Phase 11 direction OCR-confirmed,0.85
AL,Anniston Star,100050,1960,AL,AMENDMENT,3,LOCAL GROWTH OPPORTUNITIES,1,ENDORSED. BESPEAKS EXTENDED OPPORTUNITIES FOR LOCAL GROWTH WHERE ENDORSED BY LOCAL AUTHORITY. | Phase 11 direction OCR-confirmed,0.85
AL,Anniston Star,100050,1960,AL,AMENDMENT,4,LOCAL GROWTH OPPORTUNITIES,1,ENDORSED ALONGSIDE AMENDMENT 3. | Phase 11 direction OCR-confirmed,0.85
AL,Anniston Star,100050,1960,AL,AMENDMENT,5,ROANOKE SCHOOL DISTRICT FIVE-MILL PROPERTY TAX INCREASE FOR SCHOOL PURPOSES,1,ENDORSED WITH 'UNQUALIFIED ENDORSEMENT.' ROANOKE NEEDS NEW HIGH SCHOOL BUILDING TO REPLACE CONDEMNED 50-YEAR-OLD STRUCTURE. | Phase 11 direction OCR-confirmed,0.9
AL,Anniston Star,100050,1962,AL,AMENDMENT,1,REDUCE RESIDENCY REQUIREMENT FOR VOTING IN ALABAMA ELECTIONS FROM TWO YEARS TO ONE YEAR IN STATE AND SIX MONTHS IN COUNTY,1,ENDORSED. MODIFIES STATEWIDE STATUTE TO ATTUNE VOTING REQUIREMENTS TO A MOBILE AGE. | Phase 11 direction OCR-confirmed,0.95
AL,Anniston Star,100050,1962,AL,AMENDMENT,2,ALLOW COUNTY GOVERNING BODIES TO TRANSFER SURPLUS ROAD AND BRIDGE FUND REVENUE TO GENERAL FUND,1,ENDORSED. MANY COUNTIES HAVE SERIOUS FINANCIAL PROBLEMS AND CANNOT USE SURPLUS FROM EARMARKED TAX FOR OTHER PURPOSES UNDER PRESENT LAW. | Phase 11 direction OCR-confirmed,0.95
AL,Anniston Star,100050,1962,AL,AMENDMENT,3,MOUNTAIN BROOK - SPECIAL ELECTION TO DETERMINE IF ADDITIONAL PROPERTY TAX SHALL BE IMPOSED,1,ENDORSED AS PART OF 'YES ON ALL FIVE' RECOMMENDATION. | Phase 11 direction OCR-confirmed,0.95
AL,Anniston Star,100050,1962,AL,AMENDMENT,4,DEKALB COUNTY - AUTHORIZE BOARD OF EDUCATION TO SELL INTEREST-BEARING WARRANTS TO PAY SCHOOL DEBTS FROM PRORATION,1,ENDORSED. DOES NOT PROVIDE ANY NEW TAX. | Phase 11 direction OCR-confirmed,0.95
AL,Anniston Star,100050,1962,AL,AMENDMENT,5,FRANKLIN COUNTY AND RUSSELLVILLE - REFERENDUM ON ADDITIONAL PROPERTY TAX FOR PUBLIC SCHOOLS,1,ENDORSED. 'AS WE HOPE IT WILL BE ALONG WITH THE OTHER FOUR.' | Phase 11 direction OCR-confirmed,0.95
AL,Anniston Star,100050,1964,AL,AMENDMENT,,ALL PROPOSED CONSTITUTIONAL AMENDMENTS ON NOV 3 BALLOT,0,"OPPOSED ALL AMENDMENTS. EDITORIAL TITLED 'AMENDMENTS CONCERN US.' OBJECTS ON PRINCIPLE THAT AMENDMENTS AFFECT ONLY SINGLE COUNTIES BUT REQUIRE STATEWIDE RATIFICATION, DENYING LOCAL VOTERS THE RIGHT TO DECIDE. USES AMENDMENT 2 (ESCAMBIA COUNTY FEE SYSTEM TO SALARIES) AS EXAMPLE OF MIXED FEELINGS BUT CONCLUDES AGAINST ALL. | Phase 11 direction OCR-confirmed",0.95
AL,Anniston Star,100050,1966,AL,AMENDMENT,5,COVINGTON COUNTY - STATEWIDE VOTE ON LOCAL ISSUE,0,OPPOSED. OBJECTS THAT STATEWIDE VOTERS MUST DECIDE LOCAL COVINGTON COUNTY ISSUE WITHOUT LOCAL REFERENDUM. | Phase 11 direction OCR-confirmed,0.8
