state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
AL,Anniston Star,100050,2008,PRESIDENT,,,AL,"OBAMA, BARACK",Democrat,1,,,,ENDORSED IN SUMMARY ENDORSEMENT LIST.,1.0
AL,Anniston Star,100050,2008,H,3,,AL,"SEGALL, JOSH",Democrat,1,,,,"ENDORSED FOR US HOUSE, 3RD DISTRICT.",1.0
AL,Anniston Star,100050,2008,SENATOR,,,AL,"FIGURES, VIVIAN DAVIS",Democrat,1,,,,ENDORSED FOR US SENATE.,1.0
AL,Anniston Star,100050,2008,SUPREME COURT,,,AL,"PASEUR, DEBORAH BELL",,1,,,,ENDORSED FOR SUPREME COURT.,1.0
AL,Anniston Star,100050,2008,COURT OF CRIMINAL APPEALS,1,,AL,"JONES, CLYDE",,1,,,,"ENDORSED FOR COURT OF CRIMINAL APPEALS, PLACE 1.",1.0
AL,Anniston Star,100050,2008,COURT OF CRIMINAL APPEALS,2,,AL,"SMITH, AIMEE COBB",,1,,,,"ENDORSED FOR COURT OF CRIMINAL APPEALS, PLACE 2.",1.0
AL,Anniston Star,100050,2008,COURT OF APPEALS,1,,AL,"THOMPSON, BILL",,1,,,,"ENDORSED FOR COURT OF CIVIL APPEALS, PLACE 1.",1.0
AL,Anniston Star,100050,2008,STATE BOARD OF ED,3,,AL,"BELL, JUDY WEST",,1,,,,"ENDORSED FOR STATE SCHOOL BOARD, 3RD DISTRICT.",1.0
AL,Anniston Star,100050,2008,SERVICE COMMISSION,PRESIDENT,,AL,"BAXLEY, LUCY",,1,,,,ENDORSED FOR PUBLIC SERVICE COMMISSION PRESIDENT.,1.0
AL,Anniston Star,100050,2010,SENATOR,,,AL,"SHELBY, RICHARD",Republican,1,,1,,ENDORSED FOR US SENATE. INCUMBENT.,1.0
AL,Anniston Star,100050,2010,H,3,,AL,"ROGERS, MIKE",Republican,1,,1,,ENDORSED FOR US HOUSE OF REPRESENTATIVES. INCUMBENT.,1.0
AL,Anniston Star,100050,2010,GOVERNOR,,,AL,"BENTLEY, ROBERT",Republican,1,,,,ENDORSED FOR GOVERNOR.,1.0
AL,Anniston Star,100050,2010,LT GOVERNOR,,,AL,"FOLSOM, JIM, JR.",Democrat,1,,,,ENDORSED FOR LT GOVERNOR.,0.9
AL,Anniston Star,100050,2010,SUPREME COURT,1,,AL,"CHAMBERS, RHONDA",,1,,,,"ENDORSED FOR STATE SUPREME COURT, PLACE 1.",1.0
AL,Anniston Star,100050,2010,SUPREME COURT,2,,AL,"EDWARDS, TOM",,1,,,,"ENDORSED FOR STATE SUPREME COURT, PLACE 2.",1.0
AL,Anniston Star,100050,2010,SUPREME COURT,3,,AL,"PARSONS, MAC",,1,,,,"ENDORSED FOR STATE SUPREME COURT, PLACE 3.",1.0
AL,Anniston Star,100050,2010,COURT OF APPEALS,,,AL,"PASEUR, DEBORAH BELL",,1,,,,ENDORSED FOR COURT OF CIVIL APPEALS.,1.0
AL,Anniston Star,100050,2010,ATTORNEY GENERAL,,,AL,"ANDERSON, JAMES",,1,,,,ENDORSED FOR ATTORNEY GENERAL.,1.0
AL,Anniston Star,100050,2010,SEC OF STATE,,,AL,"CHAPMAN, BETH",,1,,,,ENDORSED FOR SECRETARY OF STATE.,1.0
AL,Anniston Star,100050,2010,TREASURER,,,AL,"BOOZER, YOUNG",,1,,,,ENDORSED FOR STATE TREASURER.,1.0
AL,Anniston Star,100050,2010,AUDITOR,,,AL,"SHAW, SAMANTHA",,1,,,,ENDORSED FOR STATE AUDITOR.,1.0
AL,Anniston Star,100050,2010,SERVICE COMMISSION,2,,AL,"PARKER, SUSAN",,1,,,,"ENDORSED FOR PUBLIC SERVICE COMMISSION, PLACE 2.",1.0
AL,Anniston Star,100050,2010,AGRICULTURE COMMISSIONER,,,AL,"ZORN, GLEN",,1,,,,ENDORSED FOR COMMISSIONER OF AGRICULTURE AND INDUSTRIES.,1.0
AL,Anniston Star,100050,2012,PRESIDENT,,,AL,"OBAMA, BARACK",Democrat,1,1,,,ENDORSED FOR RE-ELECTION. INCUMBENT PRESIDENT.,1.0
AL,Anniston Star,100050,2012,H,3,,AL,"ROGERS, MIKE",Republican,1,,1,,"ENDORSED FOR US HOUSE, 3RD DISTRICT. INCUMBENT.",1.0
AL,Anniston Star,100050,2012,SUPREME COURT,CHIEF JUSTICE,,AL,"VANCE, ROBERT",,1,,,,"ENDORSED FOR CHIEF JUSTICE, ALABAMA SUPREME COURT.",1.0
AL,Anniston Star,100050,2012,SERVICE COMMISSION,PRESIDENT,,AL,"BAXLEY, LUCY",,1,,,,ENDORSED FOR PUBLIC SERVICE COMMISSION PRESIDENT.,1.0
AL,Anniston Star,100050,2014,H,3,,AL,"ROGERS, MIKE",Republican,1,,1,,"ENDORSED FOR US HOUSE, 3RD DISTRICT. INCUMBENT.",1.0
AL,Anniston Star,100050,2014,LT GOVERNOR,,,AL,"IVEY, KAY",Republican,1,,,,ENDORSED FOR LIEUTENANT GOVERNOR.,1.0
AL,Anniston Star,100050,2014,ATTORNEY GENERAL,,,AL,"STRANGE, LUTHER",Republican,1,,1,,ENDORSED FOR ATTORNEY GENERAL. INCUMBENT.,1.0
AL,Anniston Star,100050,2014,SEC OF STATE,,,AL,"MERRILL, JOHN",Republican,1,,,,ENDORSED FOR SECRETARY OF STATE.,1.0
AL,Anniston Star,100050,2014,AGRICULTURE COMMISSIONER,,,AL,"MCMILLAN, JOHN",Republican,1,,,,ENDORSED FOR AGRICULTURE COMMISSIONER.,1.0
AL,Anniston Star,100050,2014,AUDITOR,,,AL,"JOSEPH, MIRANDA",,1,,,,ENDORSED FOR STATE AUDITOR.,1.0
AL,Anniston Star,100050,2016,PRESIDENT,,,AL,"CLINTON, HILLARY",Democrat,1,,,,ENDORSED FOR PRESIDENT.,1.0
