state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
AL,Birmingham Age Herald,100102,1932,AL,AMENDMENT,2,ENLARGEMENT OF STATE SENATE TO GIVE EACH COUNTY A SENATOR,0,VOTE NO; PROPOSES ENLARGEMENT OF THE SENATE WITHOUT RHYME AND REASON; WOULD CHEAPEN THE UPPER HOUSE AND DEFEAT PURPOSE OF A SMALL SELECT COMPACT LEGISLATIVE BODY,0.9
AL,Birmingham Age Herald,100102,1932,AL,AMENDMENT,5,INCOME TAX AMENDMENT,0,VOTE NO; UNNECESSARY FUTILE AND OBJECTIONABLE ATTEMPT TO FOIST UPON THE ELECTORATE A SCHEME OF TAXATION FOR WHICH THERE IS NO EXTENUATION; ELECTORATE CAN BE RELIED ON TO REGISTER A STENTORIAN NO,0.9
AL,Birmingham Age Herald,100102,1932,AL,AMENDMENT,6,BONDED INDEBTEDNESS AMENDMENT COMPANION TO INCOME TAX,0,"VOTE NO; COMPANION IN CRIME OF THE INCOME TAX AMENDMENT; CONTEMPLATES HEAPING UPON ALREADY HEAVY BONDED INDEBTEDNESS A FRESH LOAD OF $20,000,000",0.9
AL,Birmingham Age Herald,100102,1932,AL,AMENDMENT,8,DIRECT RELIEF FOR COUNTIES AND CITIES,1,VOTE YES; STANDS OUT IN FLAWLESS APPEAL AS THE ONLY METHOD BY WHICH COUNTIES AND CITIES CAN BE PREPARED FOR DEMANDS OF COMING MONTHS; NOT TO VOTE FOR THIS AMENDMENT IS BLANDLY AT ODDS WITH WELL-BEING OF THE COMMONWEALTH,0.95
AL,Birmingham Age Herald,100102,1936,AL,AMENDMENT,1,JEFFERSON COUNTY - CREATE OFFICE OF COUNTY COMPTROLLER MERGING TAX ASSESSOR TAX COLLECTOR TREASURER AND COMMISSIONER OF LICENSES,1,VOTE YES; WILL RESULT IN SAVING OF AT LEAST $50000 A YEAR; WORTHWHILE GOVERNMENTAL REFORM,0.9
AL,Birmingham Age Herald,100102,1936,AL,AMENDMENT,2,AUTHORIZE TOWN OF MONTEVALLO TO LEVY ADDITIONAL PROPERTY TAX SUBJECT TO LOCAL VOTER APPROVAL,1,VOTE YES,0.9
AL,Birmingham Age Herald,100102,1936,AL,AMENDMENT,3,STATEWIDE - EMPOWER COURTS TO SUSPEND EXECUTION OR IMPOSITION OF SENTENCES FOR CRIMES WITH PUNISHMENT NOT EXCEEDING FIVE YEARS AND PLACE PERSONS ON PROBATION,1,VOTE YES; WOULD IMPROVE ALABAMA PAROLE AND PROBATION SYSTEM,0.9
AL,Birmingham Age Herald,100102,1936,AL,AMENDMENT,4,LIMESTONE COUNTY - ABOLISH FEE SYSTEM FOR PROBATE JUDGE TAX ASSESSOR AND TAX COLLECTOR AND PLACE ON SALARY BASIS,1,VOTE YES,0.9
AL,Birmingham Age Herald,100102,1936,AL,AMENDMENT,5,AUTHORIZE COMMUNITIES TO LEVY SPECIAL SCHOOL DISTRICT TAXES SUBJECT TO VOTER APPROVAL IN AFFECTED DISTRICTS,1,VOTE YES,0.9
AL,Birmingham Age Herald,100102,1944,AL,AMENDMENT,6,ENABLE STATE BANKS TO OBTAIN PERMANENT CHARTERS INSTEAD OF RENEWING EVERY 20 YEARS,1,"ENDORSED BY STATE SUPERINTENDENT OF BANKS, STATE BANKING BOARD, AND ALABAMA BANKERS ASSOCIATION; NEWSPAPER STATES 'WE BELIEVE THAT IT SHOULD BE APPROVED'",0.95
AL,Birmingham Age Herald,100102,1946,AL,AMENDMENT,1,LEGISLATIVE APPORTIONMENT AND SALARY ADJUSTMENTS,1,"NEWSPAPER ENDORSES AMENDMENTS 1, 2, 3, 5, 6, 7, 8, AND 9; RECOMMENDS VOTING YES ON ALL BUT NO. 4 (BOSWELL AMENDMENT)",0.85
AL,Birmingham Age Herald,100102,1946,AL,AMENDMENT,2,HOSPITAL AUTHORITY FOR PUBLIC HEALTH,1,ENDORSED AS NECESSARY FOR STATE PROGRESS,0.85
AL,Birmingham Age Herald,100102,1946,AL,AMENDMENT,3,AVIATION AUTHORITY,1,ENDORSED FOR STATE PARTICIPATION IN FEDERAL AVIATION AID PROGRAM,0.85
AL,Birmingham Age Herald,100102,1946,AL,AMENDMENT,4,BOSWELL AMENDMENT,0,NEWSPAPER OPPOSES THIS AMENDMENT; RECOMMENDS VOTING NO,0.95
AL,Birmingham Age Herald,100102,1946,AL,AMENDMENT,5,MUNICIPAL AUTHORITY AMENDMENT,1,ENDORSED BY ALABAMA LEAGUE OF MUNICIPALITIES,0.85
AL,Birmingham Age Herald,100102,1946,AL,AMENDMENT,6,LEGISLATIVE SESSION AND COMPENSATION CHANGES,1,SUPPORTS ADOPTION OF 36-LEGISLATIVE-DAY SESSION WITH EXPENSE ALLOWANCES FOR LEGISLATORS,0.85
AL,Birmingham Age Herald,100102,1946,AL,AMENDMENT,7,AVIATION AUTHORITY EXPANSION,1,ENABLES STATE TO PARTICIPATE IN FEDERAL AVIATION AID PROGRAMS,0.85
AL,Birmingham Age Herald,100102,1946,AL,AMENDMENT,8,HOSPITAL AUTHORITY EXPANSION,1,NECESSARY FOR STATE PROGRESS AND FEDERAL PROGRAM PARTICIPATION,0.85
AL,Birmingham Age Herald,100102,1946,AL,AMENDMENT,9,MUNICIPAL AMENDMENTS,1,ENDORSED FOR LOCAL COMMUNITIES,0.85
AL,Birmingham Age Herald,100102,1948,AL,AMENDMENT,1,TALLADEGA COUNTY - PERMITS LEGISLATURE TO CHANGE COMPENSATION AND METHODS OF PAY OF COUNTY OFFICES,1,ALL THESE AMENDMENTS IN THE OPINION OF THE NEWS-AGE-HERALD DESERVE APPROVAL,0.85
AL,Birmingham Age Herald,100102,1948,AL,AMENDMENT,2,MARION COUNTY - LEVY SPECIAL TAX TO MATCH FEDERAL FUNDS FOR BUILDING AND MAINTAINING HOSPITALS,1,ALL THESE AMENDMENTS IN THE OPINION OF THE NEWS-AGE-HERALD DESERVE APPROVAL,0.85
AL,Birmingham Age Herald,100102,1948,AL,AMENDMENT,3,ESCAMBIA COUNTY - AUTHORIZES ELECTION ON COLLECTING SPECIAL TAX FOR HOSPITAL PURPOSES,1,ALL THESE AMENDMENTS IN THE OPINION OF THE NEWS-AGE-HERALD DESERVE APPROVAL,0.85
AL,Birmingham Age Herald,100102,1948,AL,AMENDMENT,4,TUSCALOOSA COUNTY - AUTHORIZES SPECIAL ELECTION ON ADDITIONAL SCHOOL TAX,1,ALL THESE AMENDMENTS IN THE OPINION OF THE NEWS-AGE-HERALD DESERVE APPROVAL,0.85
AL,Birmingham Age Herald,100102,1948,AL,AMENDMENT,5,JEFFERSON MOBILE AND MONTGOMERY COUNTIES - AUTHORIZES SPECIAL ELECTION ON ADDITIONAL TAXES FOR HOSPITAL PURPOSES,1,ALL THESE AMENDMENTS IN THE OPINION OF THE NEWS-AGE-HERALD DESERVE APPROVAL,0.85
AL,Birmingham Age Herald,100102,1948,AL,AMENDMENT,6,JEFFERSON COUNTY SEWER AMENDMENT - AUTHORIZES BONDS AND COLLECTION OF SEWER RENTALS,1,THE WISE CITIZEN WILL VOTE YES ON AMENDMENT NO 6 ON TUESDAY; ABSOLUTELY NECESSARY IF HEALTH OF THIS COMMUNITY IS TO BE MAINTAINED; A VOTE TO SAVE LIVES,0.95
AL,Birmingham Age Herald,100102,1948,AL,AMENDMENT,7,HOUSTON COUNTY - PROVIDES LEGISLATURE MAY CREATE AN INFERIOR COURT,1,ALL THESE AMENDMENTS IN THE OPINION OF THE NEWS-AGE-HERALD DESERVE APPROVAL,0.85
AL,Birmingham Age Herald,100102,1948,AL,AMENDMENT,8,JEFFERSON COUNTY - ADDITIONAL SCHOOL TAX OF 50 CENTS ON EACH $100 OF TAXABLE PROPERTY,1,ALL THESE AMENDMENTS IN THE OPINION OF THE NEWS-AGE-HERALD DESERVE APPROVAL,0.85
AL,Birmingham Age Herald,100102,1948,AL,AMENDMENT,9,AUTHORIZES LEGISLATURE TO ESTABLISH OR ABOLISH DIVISIONS OF COURTS OF RECORD,1,ALL THESE AMENDMENTS IN THE OPINION OF THE NEWS-AGE-HERALD DESERVE APPROVAL,0.85
AL,Birmingham Age Herald,100102,1948,AL,AMENDMENT,10,NATIONAL GUARD REORGANIZATION - REQUIRE ALL OFFICERS EXCEPT ADJUTANT GENERAL BE APPOINTED BY WAR DEPARTMENT OR MEASURE UP TO STANDARDS SET BY IT,1,ALL THESE AMENDMENTS IN THE OPINION OF THE NEWS-AGE-HERALD DESERVE APPROVAL,0.85
AL,Birmingham Age Herald,100102,1948,AL,AMENDMENT,11,JEFFERSON COUNTY CONSOLIDATION AMENDMENT,1,ALL THESE AMENDMENTS IN THE OPINION OF THE NEWS-AGE-HERALD DESERVE APPROVAL,0.85
AL,Birmingham Age Herald,100102,1932,AL,AMENDMENT,1,STATEWIDE AMENDMENT NO. 1 - FOR THE BENEFIT OF SYLACAUGA,,"PATTERN J ADD 2026-06-01 ROUND 3: OCR EXPLICIT 'CONSIDER CAREFULLY NOS. 1, 3, 4, 7 AND 9' AND 'WE DO NOT WISH TO BE THOUGHT OF AS URGING THEIR ADOPTION.' RECORDED AS NO-POSITION PER CONVENTION.",0.85
AL,Birmingham Age Herald,100102,1932,AL,AMENDMENT,3,STATEWIDE AMENDMENT NO. 3 - MAKE SHERIFFS ELIGIBLE TO SUCCEED THEMSELVES,,"PATTERN J ADD 2026-06-01 ROUND 3: OCR EXPLICIT 'CONSIDER CAREFULLY NOS. 1, 3, 4, 7 AND 9' AND 'WE DO NOT WISH TO BE THOUGHT OF AS URGING THEIR ADOPTION.' RECORDED AS NO-POSITION PER CONVENTION.",0.85
AL,Birmingham Age Herald,100102,1932,AL,AMENDMENT,4,STATEWIDE AMENDMENT NO. 4 - ENABLE SMALLER COMMUNITIES TO INCREASE THEIR INDEBTEDNESS FOR FORWARDING IMPROVEMENTS,,"PATTERN J ADD 2026-06-01 ROUND 3: OCR EXPLICIT 'CONSIDER CAREFULLY NOS. 1, 3, 4, 7 AND 9' AND 'WE DO NOT WISH TO BE THOUGHT OF AS URGING THEIR ADOPTION.' RECORDED AS NO-POSITION PER CONVENTION.",0.85
