state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence,extraction_confidence_note,normalization_confidence,match_confidence,overall_confidence,input_mode,source_file,filename,flag
AL,Birmingham News,100101,1892,PRESIDENT,,,AL,"CLEVELAND, GROVER",Democrat,1,,,,STRAIGHT DEMOCRATIC TICKET; CLEVELAND OF NEW YORK,0.85,SCAN QUALITY POOR ON SOME TEXT BUT KEY NAMES LEGIBLE; DATE FROM NEWSPAPERS.COM HEADER NOV 8 1892,,,,pdf,,100101_18921108,
AL,Birmingham News,100101,1892,VICE PRESIDENT,,,AL,"STEVENSON, ADLAI E.",Democrat,1,,,,STRAIGHT DEMOCRATIC TICKET; STEVENSON OF ILLINOIS,0.85,,,,,pdf,,100101_18921108,
AL,Birmingham News,100101,1892,H,9,,AL,"TURPIN, LOUIS W.",Democrat,1,,,,CONGRESS NINTH CONGRESSIONAL DISTRICT; OF DALE,0.8,SMALL PRINT; NAME READ AS LOUIS W. TURPIN,,,,pdf,,100101_18921108,
AL,Birmingham News,100101,1896,PRESIDENT,,,AL,"BRYAN, WILLIAM J.",Democrat,1,,,,NATIONAL DEMOCRATIC TICKET; BRYAN OF NEBRASKA,0.95,,,,,pdf,,100101_18961103,
AL,Birmingham News,100101,1896,VICE PRESIDENT,,,AL,"SEWALL, ARTHUR",Democrat,1,,,,NATIONAL DEMOCRATIC TICKET; SEWALL OF MAINE,0.95,,,,,pdf,,100101_18961103,
AL,Birmingham News,100101,1896,H,9,,AL,"UNDERWOOD, OSCAR W.",Democrat,1,,,,CONGRESS NINTH ALABAMA DISTRICT,0.95,,,,,pdf,,100101_18961103,
AL,Birmingham News,100101,1902,GOVERNOR,,,AL,"JELKS, WILLIAM D.",Democrat,1,,,,STRAIGHT DEMOCRATIC TICKET ENDORSEMENT,0.95,"CLEAR TEXT, STRAIGHTFORWARD LIST FORMAT",,,,pdf,,100101_19021104,
AL,Birmingham News,100101,1902,LT GOVERNOR,,,AL,"CUNNINGHAM, RUSSELL M.",Democrat,1,,,,STRAIGHT DEMOCRATIC TICKET ENDORSEMENT,0.95,,,,,pdf,,100101_19021104,
AL,Birmingham News,100101,1902,SEC OF STATE,,,AL,"HEFLIN, J. THOMAS",Democrat,1,,,,STRAIGHT DEMOCRATIC TICKET ENDORSEMENT,0.95,,,,,pdf,,100101_19021104,
AL,Birmingham News,100101,1902,ATTORNEY GENERAL,,,AL,"WILSON, MASSEY",Democrat,1,,,,STRAIGHT DEMOCRATIC TICKET ENDORSEMENT,0.95,,,,,pdf,,100101_19021104,
