state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
AL,Birmingham Post Herald,100100,1952,PRESIDENT,,,AL,"EISENHOWER, DWIGHT D.",Republican,1,,,,GENERAL EISENHOWER IS A CLEAN BROOM; HE IS THE ANSWER TO THE URGENTLY NEEDED CHANGE; IKE CAN BRING A CHANGE; WHY WE NEED A CHANGE,0.95
AL,Birmingham Post Herald,100100,1954,GOVERNOR,,,AL,"ABERNETHY, TOM",Republican,1,,,,IF IN THEIR WISDOM THE VOTERS OF ALABAMA SHOULD RISE UP TOMORROW AND ELIMINATE MR FOLSOM AND SEND TOM ABERNETHY TO MONTGOMERY AS GOVERNOR THE GOOD NEWS WOULD CAPTURE THE HEADLINES; VOTE FOR ABERNETHY FOR GOVERNOR AND AT THE SAME TIME SUPPORT ALL OTHER DEMOCRATIC NOMINEES,0.9
AL,Birmingham Post Herald,100100,1956,PRESIDENT,,,AL,"EISENHOWER, DWIGHT D.",Republican,1,,1,,IKE MAN OF THE HOUR; IF WE ARE HEADED FOR TROUBLE IKE MORE THAN EVER IS THE MAN OF THE HOUR; THEY KNOW HE HAS THE EXPERIENCE CALLED FOR IN SUCH A CRISIS,0.95
AL,Birmingham Post Herald,100100,1960,PRESIDENT,,,AL,"NIXON, RICHARD",Republican,1,,,,FOR HIS STUBBORN ADVOCACY OF FISCAL RESPONSIBILITY ALONE WE WOULD BE STRONGLY INCLINED IN FAVOR OF VICE PRESIDENT NIXON; BY ANY TEST DOMESTIC OR INTERNATIONAL RICHARD NIXON IS THE SOUNDER CHOICE FOR AMERICA; HIS EXPERIENCE IN FOREIGN AFFAIRS IS VASTLY SUPERIOR,0.95
AL,Birmingham Post Herald,100100,1962,H,,,AL,"HUDDLESTON, GEORGE",Democrat,1,1,,,"SO FAR AS JEFFERSON COUNTY IS CONCERNED WE FEEL THE PEOPLES INTERESTS WOULD BE BEST SERVED BY THE RETURN OF GEORGE HUDDLESTON TO CONGRESS; HAS A RECORD PROVED BY YEARS OF SERVICE; HAS SUPPORTED THE CONSERVATIVE VIEWPOINT AND CAN BE EXPECTED TO DO SO IN THE FUTURE | V9 2026-06-21 subagent-OCR verify: FLAG: surname absent from the 1962 clipping (""A Chance To Pick And Choose"" discusses the race generically without naming Huddleston). Huddleston IS named/endorsed in 1964. Verify whether a 1962 Post-Herald Huddleston endorsement exists in an uncollected clipping (the Birmingham News did endorse Huddleston in 1962) or this is a year-misattribution.",0.55
AL,Birmingham Post Herald,100100,1964,H,,,AL,"HUDDLESTON, GEORGE",Democrat,1,1,,,SO FAR AS JEFFERSON COUNTY IS CONCERNED WE FEEL THE PEOPLES INTERESTS WOULD BE BEST SERVED BY THE RETURN OF GEORGE HUDDLESTON TO CONGRESS; HAS A RECORD PROVED BY YEARS OF SERVICE; SUPPORTED THE CONSERVATIVE VIEWPOINT,0.95
AL,Birmingham Post Herald,100100,1966,GOVERNOR,,,AL,"MARTIN, JIM",Republican,1,,,,WE THINK JIM MARTIN SHOULD BE ELECTED GOVERNOR; HIS CHARACTER ABILITY BUSINESS EXPERIENCE AND HIS KNOWLEDGE OF GOVERNMENTAL AFFAIRS GAINED DURING TEN YEARS IN CONGRESS RECOMMEND HIM HIGHLY FOR THE STATES HIGHEST OFFICE; HE CAN CREATE A CLIMATE IN ALABAMA FREE OF BOMBAST AND POLITICAL POSTURING,0.95
AL,Birmingham Post Herald,100100,1966,SENATOR,,,AL,"SPARKMAN, JOHN",Democrat,1,1,,,FOR THE US SENATE WE RECOMMEND JOHN SPARKMAN THOUGH WE HAVE QUESTIONED HIS VOTES FOR FEDERAL SPENDING AND HIS DOWN THE LINE SUPPORT OF THE NATIONAL DEMOCRATIC ADMINISTRATION MANY TIMES; ALL THINGS CONSIDERED WE BELIEVE HIM THE BEST OF THE TWO CANDIDATES,0.95
AL,Birmingham Post Herald,100100,1966,ATTORNEY GENERAL,,,AL,"COLLINS, DON",Democrat,1,,,,FOR STATE ATTORNEY GENERAL WE FAVOR DON COLLINS WHO HAS BEEN A MEMBER OF THE HOUSE FROM JEFFERSON COUNTY; THIS IS AN IMPORTANT OFFICE AND WE BELIEVE MR COLLINS WILL SERVE IN THE BEST INTEREST OF THE PEOPLE AND OF IMPARTIAL LAW ENFORCEMENT,0.85
AL,Birmingham Post Herald,100100,1966,H,,,AL,"BUCHANAN, JOHN",Republican,1,,1,,WE FAVOR RE-ELECTION OF CONGRESSMAN JOHN BUCHANAN; HE HAS DONE WELL IN HIS FIRST TERM AND HAS STOOD UP TO BE COUNTED ON SEVERAL CONTROVERSIAL ISSUES; HE DESERVES TO BE SENT BACK TO WASHINGTON,0.95
AL,Birmingham Post Herald,100100,1966,PUBLIC SERVICE COMMISSION,,,AL,"CONNELL, JODIE",Republican,1,,,,"IF SHE WERE RETIRED AND REPLACED BY JOSIE CONNELL THE GOP NOMINEE THE LONG OVERDUE HOUSECLEANING WOULD BE COMPLETED; A CHANGE IS UNDERWAY IN THE DISPUTE-RIDDEN PUBLIC SERVICE COMMISSION ROUND 2 NAME FIX: WAS JOSIE; OCR EXPLICIT ""JODIE CONNELL.""",0.9
AL,Birmingham Post Herald,100100,1966,STATE SENATOR,1,Jefferson County,AL,"LANKFORD, FRANK",Democrat,1,,,,"P-H RECOMMENDATIONS FOR TUESDAY - JEFFERSON COUNTY LEGISLATURE SENATE PLACE NO 1 ROUND 5 PARTY FILL: Set to Democrat per 1966 OCR convention (italic=R, Roman=D; empty extraction = D Roman text).",0.9
AL,Birmingham Post Herald,100100,1966,STATE SENATOR,2,Jefferson County,AL,"ETHEREDGE, FOSTER",Democrat,1,,,,"P-H RECOMMENDATIONS FOR TUESDAY - JEFFERSON COUNTY LEGISLATURE SENATE PLACE NO 2 ROUND 5 PARTY FILL: Set to Democrat per 1966 OCR convention (italic=R, Roman=D; empty extraction = D Roman text).",0.9
AL,Birmingham Post Herald,100100,1966,STATE SENATOR,3,Jefferson County,AL,"BETHEA, MALCOLM",Democrat,1,,,,"P-H RECOMMENDATIONS FOR TUESDAY - JEFFERSON COUNTY LEGISLATURE SENATE PLACE NO 3 ROUND 5 PARTY FILL: Set to Democrat per 1966 OCR convention (italic=R, Roman=D; empty extraction = D Roman text).",0.9
AL,Birmingham Post Herald,100100,1966,STATE SENATOR,4,Jefferson County,AL,"DOMINICK, RICHARD",Democrat,1,,,,"P-H RECOMMENDATIONS FOR TUESDAY - JEFFERSON COUNTY LEGISLATURE SENATE PLACE NO 4 ROUND 5 PARTY FILL: Set to Democrat per 1966 OCR convention (italic=R, Roman=D; empty extraction = D Roman text).",0.9
AL,Birmingham Post Herald,100100,1966,STATE SENATOR,5,Jefferson County,AL,"BAILES, GEORGE LEWIS",Democrat,1,,,,"P-H RECOMMENDATIONS FOR TUESDAY - JEFFERSON COUNTY LEGISLATURE SENATE PLACE NO 5 ROUND 5 PARTY FILL: Set to Democrat per 1966 OCR convention (italic=R, Roman=D; empty extraction = D Roman text).",0.9
AL,Birmingham Post Herald,100100,1966,STATE SENATOR,6,Jefferson County,AL,"MALONE, C. P.",Democrat,1,,,,"P-H RECOMMENDATIONS FOR TUESDAY - JEFFERSON COUNTY LEGISLATURE SENATE PLACE NO 6 ROUND 5 PARTY FILL: Set to Democrat per 1966 OCR convention (italic=R, Roman=D; empty extraction = D Roman text).",0.9
AL,Birmingham Post Herald,100100,1966,STATE SENATOR,7,Jefferson County,AL,"VACCA, PAT",Democrat,1,,,,"P-H RECOMMENDATIONS FOR TUESDAY - JEFFERSON COUNTY LEGISLATURE SENATE PLACE NO 7 ROUND 5 PARTY FILL: Set to Democrat per 1966 OCR convention (italic=R, Roman=D; empty extraction = D Roman text).",0.9
AL,Birmingham Post Herald,100100,1966,STATE REP,1,Jefferson County,AL,"MEEKS, PAUL JR.",Democrat,1,,,,"P-H RECOMMENDATIONS FOR TUESDAY - JEFFERSON COUNTY HOUSE PLACE NO 1 ROUND 5 PARTY FILL: Set to Democrat per 1966 OCR convention (italic=R, Roman=D; empty extraction = D Roman text).",0.9
AL,Birmingham Post Herald,100100,1966,STATE REP,2,Jefferson County,AL,"SHOCKLEY, DOUGLAS",Democrat,1,,,,"P-H RECOMMENDATIONS FOR TUESDAY - JEFFERSON COUNTY HOUSE PLACE NO 2 ROUND 5 PARTY FILL: Set to Democrat per 1966 OCR convention (italic=R, Roman=D; empty extraction = D Roman text).",0.9
AL,Birmingham Post Herald,100100,1966,STATE REP,3,Jefferson County,AL,"ELLIS, ROBERT L. JR.",Democrat,1,,,,P-H RECOMMENDATIONS FOR TUESDAY - JEFFERSON COUNTY HOUSE PLACE NO 3,0.9
AL,Birmingham Post Herald,100100,1966,STATE REP,4,Jefferson County,AL,"BURKETT, NELSON",Democrat,1,,,,"P-H RECOMMENDATIONS FOR TUESDAY - JEFFERSON COUNTY HOUSE PLACE NO 4 ROUND 5 PARTY FILL: Set to Democrat per 1966 OCR convention (italic=R, Roman=D; empty extraction = D Roman text).",0.9
AL,Birmingham Post Herald,100100,1966,STATE REP,5,Jefferson County,AL,"WALLIS, KEN",Democrat,1,,,,"P-H RECOMMENDATIONS FOR TUESDAY - JEFFERSON COUNTY HOUSE PLACE NO 5 ROUND 5 PARTY FILL: Set to Democrat per 1966 OCR convention (italic=R, Roman=D; empty extraction = D Roman text).",0.9
