state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
AZ,Arizona Daily Star,100750,1922,SENATOR,,,AZ,"ASHURST, HENRY F.",Democrat,1,1,,,PRAISES 12-YEAR RECORD; URGES RE-ELECTION; CITES RECLAMATION WORK AND ASHURST-HAYDEN DAM,0.9
AZ,Arizona Daily Star,100750,1924,ASSESSOR,,PIMA COUNTY,AZ,"GRIFFITH, VIC",Democrat,1,,,,DEMOCRATIC TICKET (PIMA COUNTY ASSESSOR),0.9
AZ,Arizona Daily Star,100750,1924,ATTORNEY GENERAL,,,AZ,"MURPHY, JOHN W.",Democrat,1,,,,DEMOCRATIC TICKET,0.9
AZ,Arizona Daily Star,100750,1924,AUDITOR,,,AZ,"HUBBS, WAYNE B.",Democrat,1,,,,DEMOCRATIC TICKET FOR STATE AUDITOR,0.9
AZ,Arizona Daily Star,100750,1924,CITY COUNCIL,1,TUCSON,AZ,"JAASTAD, HENRY",Democrat,1,,,,DEMOCRATIC TICKET FOR FIRST WARD COUNCILMAN,0.85
AZ,Arizona Daily Star,100750,1924,CITY COUNCIL,2,TUCSON,AZ,"PFEIFFER, JOHN",Democrat,1,,,,DEMOCRATIC TICKET FOR SECOND WARD COUNCILMAN,0.85
AZ,Arizona Daily Star,100750,1924,CITY COUNCIL,AL,TUCSON,AZ,"SAMUELS, M. V.",Democrat,1,,,,Councilman at large,0.95
AZ,Arizona Daily Star,100750,1924,CITY MARSHAL,,TUCSON,AZ,"DYER, JACK",Democrat,1,,,,CITY MARSHAL — Jack Dyer on Tucson Democratic ticket. OCR 1924-11-02 (was misextracted as CONSTABLE; note already indicated City Marshal).,0.95
AZ,Arizona Daily Star,100750,1924,CNTY COMM,,PIMA COUNTY,AZ,"COLE, OSCAR",Democrat,1,,,,DEMOCRATIC TICKET FOR COUNTY SUPERVISOR (PIMA),0.85
AZ,Arizona Daily Star,100750,1924,CNTY COMM,,PIMA COUNTY,AZ,"COLLINS, THOMAS",Democrat,1,,,,DEMOCRATIC TICKET FOR COUNTY SUPERVISOR (PIMA),0.85
AZ,Arizona Daily Star,100750,1924,CNTY COMM,,PIMA COUNTY,AZ,"ROEMER, STEVE",Democrat,1,,,,DEMOCRATIC TICKET FOR COUNTY SUPERVISOR (PIMA),0.85
AZ,Arizona Daily Star,100750,1924,CONSTABLE,AJO,PIMA COUNTY,AZ,"LYONS, HAL",Democrat,1,,,,DEMOCRATIC TICKET FOR AJO CONSTABLE,0.85
AZ,Arizona Daily Star,100750,1924,CONSTABLE,TUCSON,PIMA COUNTY,AZ,"THARNE, GEORGE A.",Democrat,1,,,,DEMOCRATIC TICKET FOR TUCSON CONSTABLE,0.85
AZ,Arizona Daily Star,100750,1924,CORPORATION COMMISSION,,,AZ,"CLAYPOOL, W. D.",Democrat,1,,,,DEMOCRATIC TICKET,0.9
AZ,Arizona Daily Star,100750,1924,DA/PROSECUTOR,,PIMA COUNTY,AZ,"PETERSON, K. BERRY",Democrat,1,,,,DEMOCRATIC TICKET FOR COUNTY ATTORNEY (PIMA),0.9
AZ,Arizona Daily Star,100750,1924,GOVERNOR,,,AZ,"HUNT, GEORGE W. P.",Democrat,1,1,,,DEMOCRATIC TICKET,0.95
AZ,Arizona Daily Star,100750,1924,H,AL,,AZ,"HAYDEN, CARL",Democrat,1,1,,,DEMOCRATIC TICKET FOR CONGRESS (AT-LARGE INCUMBENT),0.9
AZ,Arizona Daily Star,100750,1924,JUDGE,SUPREME COURT,,AZ,"LOCKWOOD, A. C.",Democrat,1,,,,DEMOCRATIC TICKET FOR SUPREME COURT,0.9
AZ,Arizona Daily Star,100750,1924,JUSTICE OF PEACE,AJO,PIMA COUNTY,AZ,"WOOD, JOHN S.",Democrat,1,,,,DEMOCRATIC TICKET FOR AJO JUSTICE OF PEACE,0.85
AZ,Arizona Daily Star,100750,1924,JUSTICE OF PEACE,TUCSON,PIMA COUNTY,AZ,"MALLORY, J. P.",Democrat,1,,,,DEMOCRATIC TICKET FOR TUCSON JUSTICE OF PEACE,0.85
AZ,Arizona Daily Star,100750,1924,MAYOR,,TUCSON,AZ,"HINCHCLIFFE, C. W.",Democrat,1,,,,DEMOCRATIC TICKET (TUCSON CITY),0.85
AZ,Arizona Daily Star,100750,1924,MINE INSPECTOR,,,AZ,"FOSTER, TOM C.",Democrat,1,,,,DEMOCRATIC TICKET,0.9
AZ,Arizona Daily Star,100750,1924,PRESIDENT,,,AZ,"DAVIS, JOHN W.",Democrat,1,,,,DEMOCRATIC TICKET MASTHEAD,0.95
AZ,Arizona Daily Star,100750,1924,RECORDER,,PIMA COUNTY,AZ,"HUDSON, CARROLL",Democrat,1,,,,DEMOCRATIC TICKET FOR COUNTY RECORDER (PIMA),0.9
AZ,Arizona Daily Star,100750,1924,SEC OF STATE,,,AZ,"KERBY, JAMES H.",Democrat,1,,,,DEMOCRATIC TICKET,0.9
AZ,Arizona Daily Star,100750,1924,SHERIFF,,PIMA COUNTY,AZ,"BAILEY, WALTER",Democrat,1,,,,DEMOCRATIC TICKET (PIMA COUNTY),0.9
AZ,Arizona Daily Star,100750,1924,STATE BOARD OF ED,,,AZ,"LOCKWOOD, A. C.",Democrat,1,,,,For Supreme Court (AZ Supreme Court justice),0.85
