state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
AZ,Arizona Daily Star,100750,1924,AZ,BOND,103,BLYTHE ROAD BOND ISSUE - PAVED HIGHWAY FROM COLORADO RIVER TO HASSAYAMPA,0,"VOTE NO ON 103; STAR ARGUES BOND CANNOT QUALIFY FOR FEDERAL AID, SERVES FEW CITIZENS, ROUTE PASSES THROUGH UNINHABITED COUNTRY | Phase 11 direction verified (sample OCR-confirmed)",0.9
AZ,Arizona Daily Star,100750,1924,AZ,BOND,103,BLYTHE ROAD BOND ISSUE (PROPOSED PAVED HIGHWAY FROM HASSAYAMPA RIVER TO COLORADO RIVER AT/NEAR EHRENBERG),0,VOTE NO ON NO. 103 — PAPER URGES NO VOTE ON BLYTHE ROAD BOND PROPOSITION | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1928,AZ,AMENDMENT,303,LIMIT AND HINDER SALE OF PUBLIC BONDS,0,VOTE NO ON 303 | Phase 11 direction verified (sample OCR-confirmed),0.9
AZ,Arizona Daily Star,100750,1928,AZ,AMENDMENT,303,AMENDMENT TO LIMIT AND HINDER SALE OF PUBLIC BONDS,0,VOTE 'NO' ON 303 | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1928,AZ,AMENDMENT,309,TAX EXEMPTION FOR WIDOWS OF EX-SERVICE MEN,0,VOTE NO ON 309; TAX EXEMPTION SHOULD BE DISCOURAGED | Phase 11 direction verified (sample OCR-confirmed),0.9
AZ,Arizona Daily Star,100750,1928,AZ,BOND,,"MT LEMMON BOND ISSUE - $500,000 FOR NEW ROAD TO CATALINAS",0,VOTE NO; TIME NOT YET RIPE; INSUFFICIENT SUM | Phase 11 direction verified (sample OCR-confirmed),0.9
AZ,Arizona Daily Star,100750,1928,AZ,BOND,,"MT. LEMMON BOND ISSUE — $500,000 FOR NEW ROAD TO THE CATALINAS",0,VOTE 'NO' ON THE MT. LEMMON BOND ISSUE — TIME NOT YET RIPE | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1928,AZ,INITIATIVE,101,MEDICAL LIBERTY LAW,0,VOTE NO; WOULD OPEN STATE TO FAKE HEALERS AND QUACKS | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1928,AZ,INITIATIVE,101,MEDICAL LIBERTY LAW — WOULD THROW OPEN STATE TO FAKE HEALERS AND QUACKS,0,VOTE 'NO' ON 101 | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1928,AZ,INITIATIVE,305,PHYSICAL EDUCATION IN PUBLIC SCHOOLS UNDER PUBLIC DIRECTOR,0,VOTE NO ON 305 | Phase 11 direction verified (sample OCR-confirmed),0.9
AZ,Arizona Daily Star,100750,1928,AZ,INITIATIVE,305,ACT TO PROVIDE FOR PHYSICAL EDUCATION IN PUBLIC SCHOOLS UNDER A PUBLIC DIRECTOR,0,VOTE 'NO' ON 305 — WOULD ESTABLISH BRANCH OF EDUCATION NOT UNDER DIRECT CONTROL OF SCHOOL AUTHORITIES | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1928,AZ,INITIATIVE,311,COMMISSIONER OF STATE FINANCE AND STATE BOARD OF EQUALIZATION (KERBY MEASURES),0,VOTE NO ON BOTH 309 AND 311; PIECEMEAL OVERHAUL OF GOV BY INITIATIVE | Phase 11 direction verified (sample OCR-confirmed),0.9
AZ,Arizona Daily Star,100750,1928,AZ,INITIATIVE,311,INITIATIVE TO CREATE A STATE BOARD OF EQUALIZATION (SPONSORED BY JIM KERBY),0,VOTE 'NO' ON 311 | Phase 11 direction verified (sample OCR-confirmed),0.90
AZ,Arizona Daily Star,100750,1928,AZ,REFERENDUM,306,REPEAL OF MOTOR VEHICLE LAWS - RETURN AUTOMOBILE TITLES TO HIGHWAY DEPT,1,VOTE YES ON 306; SUSTAIN STATE LEGISLATURE | Phase 11 direction verified (sample OCR-confirmed),0.9
AZ,Arizona Daily Star,100750,1928,AZ,REFERENDUM,306,REPEAL OF MOTOR VEHICLE LAWS — RETURNING GRANTING OF AUTOMOBILE TITLES TO HIGHWAY DEPARTMENT INSTEAD OF SECRETARY OF STATE,1,VOTE 'YES' ON 306 | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1928,AZ,REFERENDUM,314,REPEAL OF STATE GAME LAWS,1,VOTE YES ON 314; PRESENT LAWS ANTIQUATED | Phase 11 direction verified (sample OCR-confirmed),0.9
AZ,Arizona Daily Star,100750,1928,AZ,REFERENDUM,314,REPEAL OF STATE GAME LAWS (SO LEGISLATURE CAN IMPROVE ARIZONA'S PRESENT GAME LAWS),1,VOTE 'YES' FOR 314 | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1930,AZ,AMENDMENT,100-101,EQUAL PAY FOR EQUAL WORK FOR ELECTION OFFICERS,1,VOTE YES; PROVIDES THAT NO ELECTIVE OFFICER CAN HAVE PAY INCREASED OR DECREASED | Phase 11 direction verified (sample OCR-confirmed),0.7
AZ,Arizona Daily Star,100750,1930,AZ,AMENDMENT,102-103,VOTERS UPON SCHOOL BOND ISSUES - LIMIT TO PROPERTY TAXPAYERS,0,"VOTE NO; WOULD DISQUALIFY THOUSANDS OF COMPETENT VOTERS, MOTHERS AND FATHERS OF SCHOOL CHILDREN | Phase 11 direction verified (sample OCR-confirmed)",0.7
AZ,Arizona Daily Star,100750,1930,AZ,AMENDMENT,104-105,LEGISLATURE RE-DISTRICTING - CHANGE BASIS OF REPRESENTATION FOR HOUSE FROM 1500 TO 2000,1,VOTE YES; KEEPS LEGISLATURE FROM BECOMING TOO LARGE | Phase 11 direction verified (sample OCR-confirmed),0.7
AZ,Arizona Daily Star,100750,1930,AZ,AMENDMENT,106-107,CITIZENS OR WARDS OF UNITED STATES TO BE EMPLOYED ON PUBLIC WORKS,1,VOTE YES; WORKERS WHO HAVE NOT FILED CITIZENSHIP PAPERS CANNOT WORK ON PUBLIC WORK CONTRACTS | Phase 11 direction verified (sample OCR-confirmed),0.7
