state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
AZ,Arizona Daily Sun,100580,1994,ATTORNEY GENERAL,,,AZ,"KAROW, JOHN",Libertarian,0,,,,NOT ENDORSED FOR ATTORNEY GENERAL. NO REASON TO PREFER LIBERTARIAN CHALLENGER JOHN KAROW OVER WOODS. | Phase 9 e=0 verified: opponent/non-endorsement (1994),0.95
AZ,Arizona Daily Sun,100580,1994,ATTORNEY GENERAL,,,AZ,"WOODS, GRANT",Republican,1,,1,,ENDORSED FOR ATTORNEY GENERAL. DEMOCRAT WAS GIVEN US NO REASON TO PREFER LIBERTARIAN CHALLENGER JOHN KAROW. WOODS' SUCCESS CRACKING DOWN ON ELDER ABUSE AND FRAUD STATEWIDE. | Phase 2 endorsement-direction verified: VISION (1994),1.0
AZ,Arizona Daily Sun,100580,1994,CNTY CLERK,,COCONINO COUNTY,AZ,"BROOKINS, PATRICIA",Republican,0,,,,"BOTH CARLSON AND BROOKINS QUALIFIED, BUT CARLSON WINS ENDORSEMENT FOR SUPERIOR COURT CLERK. | Phase 9 e=0 verified: opponent/non-endorsement (1994)",0.85
AZ,Arizona Daily Sun,100580,1994,CNTY CLERK,,COCONINO COUNTY,AZ,"CARLSON, JULIE",Democrat,1,,,,"ENDORSED FOR SUPERIOR COURT CLERK. A DEMOCRAT, AND PATRICIA BROOKINS, A REPUBLICAN, ARE BOTH QUALIFIED. CARLSON WINS DAILY SUN'S ENDORSEMENT. | Phase 2 endorsement-direction verified: VISION (1994)",1.0
AZ,Arizona Daily Sun,100580,1994,CONSTABLE,,COCONINO COUNTY,AZ,"SPRINGER, JERRY",Republican,0,,,,NOT ENDORSED FOR FLAGSTAFF CONSTABLE. WEYBRIGHT'S LAW ENFORCEMENT EXPERIENCE GIVES HIM THE EDGE. | Phase 9 e=0 verified: opponent/non-endorsement (1994),0.85
AZ,Arizona Daily Sun,100580,1994,CONSTABLE,,COCONINO COUNTY,AZ,"WEYBRIGHT, JOHN",Democrat,1,,,,ENDORSED FOR FLAGSTAFF CONSTABLE. CAREER IN LAW ENFORCEMENT GIVES HIM THE EDGE OVER REPUBLICAN JERRY SPRINGER. | Phase 2 endorsement-direction verified: VISION (1994),1.0
AZ,Arizona Daily Sun,100580,1994,CORPORATION COMMISSION,,,AZ,"KUNASEK, CARL",Republican,0,,,,NOT ENDORSED FOR CORPORATION COMMISSION. SHE'LL STAND UP FOR THE LITTLE GUY WHILE JUDGING UTILITY RATE REQUESTS EQUITABLY. | Phase 9 e=0 verified: opponent/non-endorsement (1994),0.85
AZ,Arizona Daily Sun,100580,1994,CORPORATION COMMISSION,,,AZ,"MCCUNE-DAVIS, DEBBIE",Democrat,1,,,,ENDORSED FOR CORPORATION COMMISSION. WILL BETTER FULFILL THE ROLE OF CORPORATION COMMISSIONER THAN REPUBLICAN CARL KUNASEK. | Phase 2 endorsement-direction verified: VISION (1994),1.0
AZ,Arizona Daily Sun,100580,1994,GOVERNOR,,,AZ,"BASHA, EDDIE",Democrat,1,,,,ENDORSED. CHUBBY GROCER CAN HELP REVERSE DESPERATE DIRECTION OF FUTURE GENERATIONS. URGES VOTERS TO ELECT BASHA GOVERNOR. | Phase 2 endorsement-direction verified: VISION (1994),1.0
AZ,Arizona Daily Sun,100580,1994,GOVERNOR,,,AZ,"BUTTRICK, JOHN",Libertarian,0,,,,MENTIONED AS LEGITIMATE LIBERTARIAN ALTERNATIVE BUT NOT ENDORSED. DAILY SUN ENDORSES BASHA. | Phase 9 e=0 verified: opponent/non-endorsement (1994),0.7
