state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
AZ,Phoenix Arizona Gazette,100651,1952,ATTORNEY GENERAL,,,AZ,"JONES, ROSS",Republican,1,,,,WON STATE BAR ELECTION FOR ATTORNEY GENERAL.,0.95
AZ,Phoenix Arizona Gazette,100651,1952,ATTORNEY GENERAL,,,AZ,"WILSON, FRED O.",Democrat,0,,,,OPPOSED. STATE BAR LAWYERS REFUSED TO VOTE FOR HIM.,0.95
AZ,Phoenix Arizona Gazette,100651,1952,GOVERNOR,,,AZ,"HALDIMAN, JOE C.",Democrat,0,,,,OPPOSED. CLAIMS UNSUBSTANTIATED.,1.0
AZ,Phoenix Arizona Gazette,100651,1952,GOVERNOR,,,AZ,"PYLE, HOWARD",Republican,1,,1,,BEST FOR ARIZONA. EFFICIENT ADMINISTRATION; WORKS WELL WITH DEMOCRATIC LEGISLATORS.,1.0
AZ,Phoenix Arizona Gazette,100651,1952,H,1,,AZ,"MURDOCK, JOHN R.",Democrat,0,1,,,OPPOSED. CHARGED IN PRIMARY WITH NOT KNOWING WAY AROUND COMMITTEE ROOM.,1.0
AZ,Phoenix Arizona Gazette,100651,1952,H,1,,AZ,"RHODES, JOHN J.",Republican,1,,,,DESERVES SUPPORT.,1.0
AZ,Phoenix Arizona Gazette,100651,1952,JUDGE,MARICOPA SUPERIOR COURT,,AZ,"BERNSTEIN, CHARLES E.",Democrat,1,,,,FAVORED BY MARICOPA COUNTY BAR ASSN.,0.9
AZ,Phoenix Arizona Gazette,100651,1952,JUDGE,MARICOPA SUPERIOR COURT,,AZ,"STEVENS, HENRY",Republican,1,,,,FAVORED BY MARICOPA COUNTY BAR ASSN. STEVENS IS REPUBLICAN.,0.95
AZ,Phoenix Arizona Gazette,100651,1952,JUDGE,AZ SUPREME COURT,,AZ,"UDALL, LEVI S.",Democrat,1,,,,TOP IN STATE BAR PREFERENTIAL BALLOTING FOR JUDGE OF AZ SUPREME COURT.,0.9
AZ,Phoenix Arizona Gazette,100651,1952,JUDGE,AZ SUPREME COURT,,AZ,"WINDES, DUDLEY W.",Democrat,1,,,,TOP IN STATE BAR PREFERENTIAL BALLOTING FOR JUDGE OF AZ SUPREME COURT.,0.9
AZ,Phoenix Arizona Gazette,100651,1952,PRESIDENT,,,AZ,"EISENHOWER, DWIGHT D.",Republican,1,,,,IKE IS THE CANDIDATE OF HISTORY. ONLY ONE WHO CAN RE-UNITE THE NATION; MIGHT DETER STALIN.,1.0
AZ,Phoenix Arizona Gazette,100651,1952,PRESIDENT,,,AZ,"STEVENSON, ADLAI E.",Democrat,0,,,,OPPOSED. NEW DEAL-FAIR DEAL PLATFORM PITS GROUPS AGAINST EACH OTHER; SURROUNDED BY LEFT-WINGERS.,1.0
AZ,Phoenix Arizona Gazette,100651,1952,SENATOR,,,AZ,"GOLDWATER, BARRY",Republican,1,,,,MORE COMMON SENSE THAN TO CALL KOREAN WAR CHEAP.,1.0
AZ,Phoenix Arizona Gazette,100651,1952,SENATOR,,,AZ,"MCFARLAND, ERNEST W.",Democrat,0,1,,,OPPOSED. SENATE MAJORITY LEADER CRITICIZED FOR REMARKS ON KOREAN WAR.,1.0
AZ,Phoenix Arizona Gazette,100651,1958,SENATOR,,,AZ,"GOLDWATER, BARRY",Republican,1,,1,,EDITORIAL 'THEY'VE GOT TO GET GOLDWATER' OCT 17 1958. STRONG ENDORSEMENT - 'WE BELIEVE THAT GOLDWATER WILL GO BACK TO THE SENATE NEXT YEAR.' OPPOSES BIG LABOR/COPE/REUTHER EFFORT TO DEFEAT HIM.,1.0
