state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
AZ,Phoenix Arizona Gazette,100651,1958,AZ,INITIATIVE,200,CHANGE NAME OF ARIZONA STATE COLLEGE AT TEMPE TO ARIZONA STATE UNIVERSITY,1,EDITORIAL 'YES ON 200 - NO ON 201' OCT 30 1958. 'WE RECOMMEND A YES VOTE ON QUESTION 200 IN RECOGNITION OF ARIZONA STATE'S DEVELOPMENT.' WOULD NOT CHANGE FINANCIAL PROCEDURE.,1.0
AZ,Phoenix Arizona Gazette,100651,1958,AZ,INITIATIVE,201,STATE COUNTY AND MUNICIPAL MERIT SYSTEM FOR PUBLIC EMPLOYEES,0,EDITORIAL 'YES ON 200 - NO ON 201' OCT 30 1958. 'WE RECOMMEND A NO VOTE ON QUESTION 201 AS A REJECTION OF A PLAN THAT WOULD LESSEN THE VOTERS' CONTROL OVER GOVERNMENT WHILE ADDING CONSIDERABLY TO THE COST.',1.0
AZ,Phoenix Arizona Gazette,100651,1958,AZ,INITIATIVE,201,MERIT SYSTEM FOR PUBLIC EMPLOYEES (STATE COUNTY MUNICIPAL),0,EDITORIAL 'AND SPEAKING OF THE ELECTION' NOV 3 1958. 'BADLY MISNAMED MERIT SYSTEM' - 'THE BEST ANSWER TO QUESTION 201 IS A RESOUNDING NO.' WOULD FREEZE INCOMPETENT EMPLOYEES IN PLACE.,1.0
AZ,Phoenix Arizona Gazette,100651,1964,AZ,BALLOT MEASURE,100,PROVIDING FOR A LICENSE TAX ON AIRCRAFT IN LIEU OF PROPERTY TAXES,1,YES,0.95
AZ,Phoenix Arizona Gazette,100651,1964,AZ,BALLOT MEASURE,101,ADDING NON-PROFESSIONAL MEMBERS TO THE STATE BOARD OF EDUCATION,1,YES,0.95
AZ,Phoenix Arizona Gazette,100651,1964,AZ,BALLOT MEASURE,102,EXEMPTING RETAIL AND WHOLESALE INVENTORIES FROM TAXATION,,FAVOR PURPOSE BUT NO RECOMMENDATION FOR TECHNICAL REASONS,0.95
AZ,Phoenix Arizona Gazette,100651,1964,AZ,BALLOT MEASURE,103,ALLOWING THE LEGISLATURE TO EQUALIZE THE REVENUE AVAILABLE TO POOR SCHOOL DISTRICTS WITH THAT AVAILABLE TO RICHER DISTRICTS,1,YES,0.95
AZ,Phoenix Arizona Gazette,100651,1964,AZ,BALLOT MEASURE,104,EXTENDING THE TERMS OF COUNTY OFFICERS FROM TWO TO FOUR YEARS,,NO RECOMMENDATION,0.95
AZ,Phoenix Arizona Gazette,100651,1964,AZ,BALLOT MEASURE,200,REPEALS THE ANCIENT FULL CREW LAW AND ALLOWS MODERN BARGAINING TO DETERMINE THE MAKEUP OF TRAIN CREWS,1,YES,0.95
AZ,Phoenix Arizona Gazette,100651,1968,AZ,AMENDMENT,100,PHASES OUT NONDISABLED VETERANS PROPERTY TAX EXEMPTIONS OVER 4 YEARS EXCEPT WWI VETS.,1,YES.,1.0
AZ,Phoenix Arizona Gazette,100651,1968,AZ,AMENDMENT,101,RESTRICTS WIDOWS PROPERTY TAX EXEMPTIONS BY INCOME.,1,YES.,1.0
