state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
AZ,Arizona Republic,100650,2008,CNTY COMM,1,MARICOPA COUNTY,AZ,"BROCK, FULTON",Republican,1,,1,,SOUTHEAST VALLEY DISTRICT 12 YEARS,0.95
AZ,Arizona Republic,100650,2008,CNTY COMM,3,MARICOPA COUNTY,AZ,"KUNASEK, ANDY",Republican,1,,,,OLD-SCHOOL ARIZONAN; FISCAL CONSERVATIVE,0.85
AZ,Arizona Republic,100650,2008,CNTY COMM,2,MARICOPA COUNTY,AZ,"STAPLEY, DON",Republican,1,1,,,14 YEARS ON BOARD; RESPECT OF COLLEAGUES,0.95
AZ,Arizona Republic,100650,2008,CNTY COMM,4,MARICOPA COUNTY,AZ,"STRICKMAN, DEBORAH",Democrat,1,,,,REPUBLIC ENDORSEMENT,0.85
AZ,Arizona Republic,100650,2008,CORPORATION COMMISSION,,,AZ,"MCCLURE, MARIAN",Republican,1,,,,REPUBLIC ENDORSEMENT,0.9
AZ,Arizona Republic,100650,2008,CORPORATION COMMISSION,,,AZ,"STUMP, BOB",Republican,1,,,,REPUBLIC ENDORSEMENT,0.9
AZ,Arizona Republic,100650,2008,CORPORATION COMMISSION,,,AZ,"WONG, BARRY",Republican,1,,,,REPUBLIC ENDORSEMENT,0.9
AZ,Arizona Republic,100650,2008,DA/PROSECUTOR,,MARICOPA COUNTY,AZ,"NELSON, TIM",Democrat,1,,,,OVER ANDREW THOMAS; ONE EMBARRASSING PRATFALL AFTER ANOTHER FROM REPUBLICAN,0.9
AZ,Arizona Republic,100650,2008,H,6,,AZ,"FLAKE, JEFF",Republican,1,,1,,REP FLAKE DESERVES TO RETURN TO WASHINGTON,0.95
AZ,Arizona Republic,100650,2008,H,2,,AZ,"FRANKS, TRENT",Republican,1,,1,,REPUBLIC RECOMMENDS RE-ELECT,0.95
AZ,Arizona Republic,100650,2008,H,8,,AZ,"GIFFORDS, GABRIELLE",Democrat,1,1,,,GIFFORDS A PRINCIPLED DEMOCRAT,0.95
AZ,Arizona Republic,100650,2008,H,7,,AZ,"GRIJALVA, RAUL",Democrat,1,,,,REPUBLIC ENDORSEMENT,0.95
AZ,Arizona Republic,100650,2008,H,1,,AZ,"KIRKPATRICK, ANN",Democrat,1,,,,PRAGMATIC VIEWS AND LACK OF IDEOLOGICAL RIGIDITY,0.95
AZ,Arizona Republic,100650,2008,H,5,,AZ,"MITCHELL, HARRY",Democrat,1,1,,,DEMOCRATIC REP HAS EARNED A SECOND TERM,0.95
AZ,Arizona Republic,100650,2008,H,4,,AZ,"PASTOR, ED",Democrat,1,,,,COMPETENT EXPERIENCED CONGRESSMAN,0.95
AZ,Arizona Republic,100650,2008,H,3,,AZ,"SHADEGG, JOHN",Republican,1,,1,,CONSERVATIVE LAWMAKER WHO ACTS LIKE ONE,0.95
AZ,Arizona Republic,100650,2008,MAYOR,,SCOTTSDALE,AZ,"MANROSS, MARY",,1,1,,,SCOTTSDALE MAYOR HAS DONE A GOOD JOB; LANE LACKS VISION,0.95
AZ,Arizona Republic,100650,2008,PRESIDENT,,,AZ,"MCCAIN, JOHN",Republican,1,,,,REPUBLIC ENDORSEMENT FOR PRESIDENT,1.0
AZ,Arizona Republic,100650,2008,RECORDER,,MARICOPA COUNTY,AZ,"PURCELL, HELEN",Republican,1,1,,,VOTERS HAVE RETURNED PURCELL TO OFFICE,0.9
AZ,Arizona Republic,100650,2008,SHERIFF,,MARICOPA COUNTY,AZ,"SABAN, DAN",Democrat,1,,,,OPPORTUNITY TO ELECT A LAW-ABIDING SHERIFF,0.9
AZ,Arizona Republic,100650,2008,STATE REP,19,,AZ,"ADAMS, KIRK",Republican,1,,,,GOP REP,0.85
AZ,Arizona Republic,100650,2008,STATE REP,18,,AZ,"ASH, CECIL",Republican,1,,,,REPUBLICAN PICK FOR HOUSE,0.9
AZ,Arizona Republic,100650,2008,STATE REP,17,,AZ,"BARTO, NANCY",Republican,1,,,,REPUBLICAN PICK,0.85
AZ,Arizona Republic,100650,2008,STATE REP,16,,AZ,"CAMPBELL JR., CLOVES",Democrat,1,,,,3 DEMOCRATS WITH COURAGE TO SERVE SOUTH PHOENIX,0.8
AZ,Arizona Republic,100650,2008,STATE REP,18,,AZ,"COURT, STEVE",Republican,1,,,,REPUBLICAN PICK FOR HOUSE,0.9
AZ,Arizona Republic,100650,2008,STATE REP,9,,AZ,"CRUMP, SAM",Republican,1,,,,WE RECOMMEND THEM FOR HOUSE SEATS,0.7
AZ,Arizona Republic,100650,2008,STATE REP,13,,AZ,"GALLARDO, STAM",Democrat,1,,,,DEMOCRATIC PICK FOR STATE HOUSE,0.7
AZ,Arizona Republic,100650,2008,STATE REP,13,,AZ,"GARCIA, MARTIN",Democrat,1,,,,DEMOCRATIC PICK FOR STATE HOUSE,0.7
AZ,Arizona Republic,100650,2008,STATE REP,21,,AZ,"HETTMANSPERGER, PHIL",Democrat,1,,,,DEMOCRAT,0.85
AZ,Arizona Republic,100650,2008,STATE REP,20,,AZ,"HUPPENTHAL, JOHN",Republican,1,,,,GOP INCUMBENT; ARCHITECT OF SCHOOL-CHOICE PROGRAM; ANOTHER TERM,0.9
AZ,Arizona Republic,100650,2008,STATE REP,15,,AZ,"LUJAN, DAVID",Democrat,1,,,,PRINCIPAL ROLES IN STATE HOUSE,0.85
AZ,Arizona Republic,100650,2008,STATE REP,17,,AZ,"LUNA, JEANNE",Democrat,1,,,,DEMOCRATIC PICK,0.85
AZ,Arizona Republic,100650,2008,STATE REP,16,,AZ,"MIRANDA, BEN",Democrat,1,,,,3 DEMOCRATS WITH COURAGE TO SERVE SOUTH PHOENIX,0.8
AZ,Arizona Republic,100650,2008,STATE REP,22,,AZ,"RAY, GLENN",Democrat,1,,,,DEMOCRAT,0.85
AZ,Arizona Republic,100650,2008,STATE REP,15,,AZ,"SINEMA, KYRSTEN",Democrat,1,,,,PRINCIPAL ROLES IN STATE HOUSE,0.9
AZ,Arizona Republic,100650,2008,STATE REP,18,,AZ,"THOMPSON, MARK",Republican,1,,,,WE RECOMMEND THEM FOR HOUSE SEATS,0.85
AZ,Arizona Republic,100650,2008,STATE REP,20,,AZ,"WATERS, RAE",Democrat,1,,,,DEMOCRAT FOR HOUSE,0.85
AZ,Arizona Republic,100650,2008,STATE SENATOR,22,,AZ,"BIGGS, ANDY",Republican,1,,,,GOP,0.9
AZ,Arizona Republic,100650,2008,STATE SENATOR,4,,AZ,"BOEHLKE, ROBERT",Democrat,1,,,,OVER REPUBLICAN INCUMBENT JACK HARPER; ELECT A RATIONAL PERSON FOR STATE SENATE,0.85
AZ,Arizona Republic,100650,2008,STATE SENATOR,18,,AZ,"BURNS, BOB",Republican,1,,1,,YEARS OF CRUCIAL LEGISLATIVE KNOWLEDGE; BUDGET EXPERTISE,0.95
AZ,Arizona Republic,100650,2008,STATE SENATOR,10,,AZ,"BURTON-CAHILL, MEG",Democrat,1,,,,REPUBLIC ENDORSEMENT,0.85
AZ,Arizona Republic,100650,2008,STATE SENATOR,19,,AZ,"CRANDALL, RICH",Republican,1,,,,GOP SENATE,0.85
AZ,Arizona Republic,100650,2008,STATE SENATOR,9,,AZ,"DOODY, JACK",Democrat,1,,,,PARTNERED WITH GOP CRUMP IN STATE SENATE; SHARP ANALYSIS,0.7
AZ,Arizona Republic,100650,2008,STATE SENATOR,6,,AZ,"GORMAN, PAMELA",Republican,1,,,,CAPABLE VOTE FOR THE CONSERVATIVE WING OF GOP,0.85
AZ,Arizona Republic,100650,2008,STATE SENATOR,16,,AZ,"LANDRUM TAYLOR, LEAH",Democrat,1,,,,DEMOCRATIC PICK FOR STATE SENATE,0.8
