state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
AZ,Tucson Arizona Citizen,100751,1920,ATTORNEY GENERAL,,,AZ,"GALBRAITH, W. J.",Republican,1,,,,ATTORNEY GENERAL,0.92
AZ,Tucson Arizona Citizen,100751,1920,AUDITOR,,,AZ,"FAIRFIELD, CHAS. W.",Republican,1,,,,STATE AUDITOR,0.92
AZ,Tucson Arizona Citizen,100751,1920,CNTY COMM,,PIMA COUNTY,AZ,"BAKER, W. A.",Republican,1,,,,COUNTY SUPERVISORS,0.9
AZ,Tucson Arizona Citizen,100751,1920,CNTY COMM,,PIMA COUNTY,AZ,"VINTON, J. R.",Republican,1,,,,COUNTY SUPERVISORS,0.9
AZ,Tucson Arizona Citizen,100751,1920,CONSTABLE,,PIMA COUNTY,AZ,"GARDINER, JOHN",Republican,1,,,,CONSTABLE,0.95
AZ,Tucson Arizona Citizen,100751,1920,CONSTABLE,,PIMA COUNTY,AZ,"POLLARD, HARRY",Republican,1,,,,CONSTABLE AJO PRECINCT,0.95
AZ,Tucson Arizona Citizen,100751,1920,CORPORATION COMMISSION,,,AZ,"REED, J. C.",Republican,1,,,,CORPORATION COMMISSIONER,0.92
AZ,Tucson Arizona Citizen,100751,1920,DA/PROSECUTOR,,PIMA COUNTY,AZ,"DARNELL, GEORGE R.",Republican,1,,,,COUNTY ATTORNEY,0.92
AZ,Tucson Arizona Citizen,100751,1920,GOVERNOR,,,AZ,"CAMPBELL, THOMAS E.",Republican,1,,,,GOVERNOR,0.95
AZ,Tucson Arizona Citizen,100751,1920,H,,,AZ,"DUNSEATH, JAMES B.",Republican,1,,,,REPRESENTATIVE IN CONGRESS,0.92
AZ,Tucson Arizona Citizen,100751,1920,JUDGE,,,AZ,"FLANIGAN, EDWARD J.",Republican,1,,,,JUDGE OF THE SUPREME COURT,0.92
AZ,Tucson Arizona Citizen,100751,1920,JUSTICE OF PEACE,,PIMA COUNTY,AZ,"PEASE, OSCAR L.",Republican,1,,,,JUSTICE OF THE PEACE,0.95
AZ,Tucson Arizona Citizen,100751,1920,MINE INSPECTOR,,,AZ,"WHITE, JOHN F.",Republican,1,,,,STATE MINE INSPECTOR,0.92
AZ,Tucson Arizona Citizen,100751,1920,PRESIDENT,,,AZ,"BOYLE, JAMES P.",Republican,1,,,,PRESIDENTIAL ELECTOR,0.95
AZ,Tucson Arizona Citizen,100751,1920,PRESIDENT,,,AZ,"SMITH, JOSEPH W.",Republican,1,,,,PRESIDENTIAL ELECTOR,0.95
AZ,Tucson Arizona Citizen,100751,1920,PRESIDENT,,,AZ,"STEWART, FRANK R.",Republican,1,,,,PRESIDENTIAL ELECTOR,0.95
AZ,Tucson Arizona Citizen,100751,1920,RECORDER,,PIMA COUNTY,AZ,"DUFTON, JOHN E.",Republican,1,,,,RECORDER,0.9
AZ,Tucson Arizona Citizen,100751,1920,SEC OF STATE,,,AZ,"HALL, ERNEST R.",Republican,1,,,,SECRETARY OF STATE,0.92
AZ,Tucson Arizona Citizen,100751,1920,SENATOR,,,AZ,"CAMERON, RALPH H.",Republican,1,,,,UNITED STATES SENATOR,0.95
AZ,Tucson Arizona Citizen,100751,1920,SHERIFF,,PIMA COUNTY,AZ,"DANIELS, B. F.",Republican,1,,,,SHERIFF,0.92
AZ,Tucson Arizona Citizen,100751,1920,STATE REP,1,PIMA COUNTY,AZ,"SNYDER, HERMAN L.",Republican,1,,,,REPRESENTATIVE DISTRICT NO. 1,0.92
AZ,Tucson Arizona Citizen,100751,1920,STATE REP,2,PIMA COUNTY,AZ,"KIMBALL, F. E. A.",Republican,1,,,,REPRESENTATIVE DISTRICT NO. 2,0.92
AZ,Tucson Arizona Citizen,100751,1920,STATE REP,3,PIMA COUNTY,AZ,"HAYNES, JOHN C.",Republican,1,,,,REPRESENTATIVE DISTRICT NO. 3,0.92
AZ,Tucson Arizona Citizen,100751,1920,STATE SENATOR,,PIMA COUNTY,AZ,"GOODELL, FRED O.",Republican,1,,,,STATE SENATOR,0.92
AZ,Tucson Arizona Citizen,100751,1920,STATE SENATOR,,PIMA COUNTY,AZ,"HEDRICK, ELIAS",Republican,1,,,,STATE SENATOR,0.92
AZ,Tucson Arizona Citizen,100751,1920,STRAIGHT TICKET,,,AZ,STRAIGHT TICKET,Republican,1,,,,REPUBLICAN TICKET ENDORSEMENT BOX,0.95
AZ,Tucson Arizona Citizen,100751,1920,SUPERINTENDENT,,PIMA COUNTY,AZ,"REYNOLDS, KATE B.",Republican,1,,,,COUNTY SCHOOL SUPERINTENDENT,0.92
AZ,Tucson Arizona Citizen,100751,1920,SUPERINTENDENT,,,AZ,"TOLES, ELSIE",Republican,1,,,,SUPERINTENDENT OF PUBLIC INSTRUCTION,0.92
AZ,Tucson Arizona Citizen,100751,1920,CORPORATION COMMISSION,,,AZ,"KUCHLER, RUDOLPH",Republican,1,,,,STATE TAX COMMISSIONER,0.9
AZ,Tucson Arizona Citizen,100751,1920,CORPORATION COMMISSION,,,AZ,"PARKER, FRANK H.",Republican,1,,,,STATE TAX COMMISSIONER,0.9
AZ,Tucson Arizona Citizen,100751,1920,TREASURER,,,AZ,"ESTILL, J. W.",Republican,1,,,,STATE TREASURER,0.92
AZ,Tucson Arizona Citizen,100751,1920,TREASURER,,PIMA COUNTY,AZ,"GUILD, ROY",Republican,1,,,,COUNTY TREASURER,0.9
AZ,Tucson Arizona Citizen,100751,1922,ASSESSOR,,Pima County Assessor,AZ,"ROSE, F D",,1,,,,,0.95
AZ,Tucson Arizona Citizen,100751,1922,ASSESSOR,,PIMA COUNTY,AZ,"ROSE, F. D.",Republican,1,,,,COUNTY ASSESSOR,0.92
AZ,Tucson Arizona Citizen,100751,1922,ATTORNEY GENERAL,,,AZ,"GALBRAITH, W. J.",Republican,1,1,,,ATTORNEY GENERAL INCUMBENT,0.92
AZ,Tucson Arizona Citizen,100751,1922,AUDITOR,,Arizona State Auditor,AZ,"SMITH, JAMES A",Republican,1,,,,Republican State Ticket,0.95
AZ,Tucson Arizona Citizen,100751,1922,CNTY CLERK,,Clerk of Superior Court,AZ,"FAILOR, OLIVE G",,1,,,,Mrs. Olive G. Failor,0.90
AZ,Tucson Arizona Citizen,100751,1922,CNTY CLERK,,PIMA COUNTY,AZ,"FAILOR, OLIVE G.",Republican,1,,,,CLERK SUPERIOR COURT,0.92
AZ,Tucson Arizona Citizen,100751,1922,CNTY COMM,2,Pima County Supervisor District 2,AZ,"COMPTON, J G",,1,,,,,0.95
AZ,Tucson Arizona Citizen,100751,1922,CNTY COMM,2,PIMA COUNTY,AZ,"COMPTON, J. G.",Republican,1,,,,SUPERVISOR DISTRICT NO. 2,0.92
AZ,Tucson Arizona Citizen,100751,1922,CNTY COMM,3,Pima County Supervisor District 3,AZ,"FRANK, E L",,1,,,,,0.95
AZ,Tucson Arizona Citizen,100751,1922,CNTY COMM,3,PIMA COUNTY,AZ,"FRANK, E. L.",Republican,1,,,,SUPERVISOR DISTRICT NO. 3,0.92
AZ,Tucson Arizona Citizen,100751,1922,CONSTABLE,,PIMA COUNTY,AZ,"BORTON, ED",Republican,1,,,,CONSTABLE,0.95
AZ,Tucson Arizona Citizen,100751,1922,CORPORATION COMMISSION,,,AZ,"KIRK, R. A.",Republican,1,,,,CORPORATION COMMISSIONER,0.92
AZ,Tucson Arizona Citizen,100751,1922,CORPORATION COMMISSION,,Arizona Corporation Commissioner,AZ,"KIRK, R A",Republican,1,,,,Republican State Ticket,0.95
AZ,Tucson Arizona Citizen,100751,1922,DA/PROSECUTOR,,Pima County Attorney,AZ,"HAYNES, JOHN C",,1,,,,,0.95
AZ,Tucson Arizona Citizen,100751,1922,DA/PROSECUTOR,,PIMA COUNTY,AZ,"HAYNES, JOHN C.",Republican,1,,,,COUNTY ATTORNEY,0.92
AZ,Tucson Arizona Citizen,100751,1922,GOVERNOR,,,AZ,"CAMPBELL, THOMAS E.",Republican,1,1,,,GOVERNOR - REPUBLICAN STATE TICKET INCUMBENT,0.95
AZ,Tucson Arizona Citizen,100751,1922,H,,,AZ,"GUILD, EMMA M.",Republican,1,,,,US CONGRESS - REPUBLICAN STATE TICKET,0.92
AZ,Tucson Arizona Citizen,100751,1922,H,AL,U.S. House Arizona At-Large,AZ,"GUILD, EMMA M",Republican,1,,,,Republican State Ticket,0.90
AZ,Tucson Arizona Citizen,100751,1922,JUDGE,,PIMA COUNTY,AZ,"DARNELL, GEORGE R.",,1,,,,SUPERIOR COURT JUDGE - NON-PARTISAN DESIGNATION,0.95
AZ,Tucson Arizona Citizen,100751,1922,JUDGE,,"Justice of Peace, Tucson Precinct",AZ,"PEASE, OSCAR L",,1,,,,,0.95
AZ,Tucson Arizona Citizen,100751,1922,JUSTICE OF PEACE,,PIMA COUNTY,AZ,"PEASE, OSCAR L.",Republican,1,,,,JUSTICE OF THE PEACE TUCSON PRECINCT,0.95
AZ,Tucson Arizona Citizen,100751,1922,MINE INSPECTOR,,Arizona State Mine Inspector,AZ,"WHITE, JOHN F",Republican,1,,,,Republican State Ticket,0.95
AZ,Tucson Arizona Citizen,100751,1922,RECORDER,,Pima County Recorder,AZ,"ROBERTS, J M",,1,,,,,0.95
