state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
AZ,Tucson Arizona Citizen,100751,1924,AZ,BOND,306,"PROPOSAL TO APPROPRIATE $100,000 OF THE PEOPLE'S MONEY FOR A HIGHLINE CANAL PROPAGANDA FUND",0,"NO. PLACE YOUR CROSS MARK OPPOSITE ITS COMPANION NUMBER, NO. 307, AND DEFEAT IT",0.95
AZ,Tucson Arizona Citizen,100751,1924,AZ,BOND,307,COMPANION TO 306 - HIGHLINE CANAL PROPAGANDA FUND,1,YES (TO DEFEAT 306),0.9
AZ,Tucson Arizona Citizen,100751,1924,AZ,PROPOSAL,306,"Appropriate $100,000 for a Highline Canal propaganda fund",0,"Editorial urged 'Place your cross mark opposite its companion number, No. 307, and defeat it.'",0.95
AZ,Tucson Arizona Citizen,100751,1924,AZ,PROPOSAL,307,Companion measure to Proposal 306 (Highline Canal propaganda fund) - voting yes on 307 defeated 306,1,Editorial urged voters to mark 307 to defeat 306,0.85
AZ,Tucson Arizona Citizen,100751,1928,AZ,AMENDMENT,,MEDICAL LIBERTY AMENDMENT - PROTECT FREE EXERCISE OF THE RIGHT OF ANY PERSON TO CHOOSE ANY METHOD OF HEALING HE DESIRES,,NO POSITION. CITIZEN RECOMMENDS CAREFUL STUDY ON THE PART OF THE VOTERS TO DETERMINE THEIR INDIVIDUAL LIKES AND DISLIKES,0.85
AZ,Tucson Arizona Citizen,100751,1928,AZ,AMENDMENT,,TAX EXEMPTION FOR WIDOWS AND CERTAIN HONORABLY DISCHARGED VETERANS,,NO POSITION. CAREFUL STUDY ON THE PART OF VOTERS. PASSAGE WOULD NOT APPRECIABLY AFFECT GENERAL TAX RATE; SAFEGUARDS PLACED ON THE MEASURE,0.85
AZ,Tucson Arizona Citizen,100751,1928,AZ,INITIATIVE,,PEDDLERS' LICENSE TAX,0,NO. THESE MATTERS HAD BEST BE HANDLED DIRECTLY BY THE LEGISLATURE,0.85
AZ,Tucson Arizona Citizen,100751,1928,AZ,INITIATIVE,,COMMISSION FOR ISSUING SCHOOL BONDS,0,NO,0.85
AZ,Tucson Arizona Citizen,100751,1928,AZ,INITIATIVE,,PHYSICAL EDUCATION IN THE SCHOOLS,0,NO,0.85
AZ,Tucson Arizona Citizen,100751,1928,AZ,INITIATIVE,,STATE BOARD OF EQUALIZATION,0,NO,0.85
AZ,Tucson Arizona Citizen,100751,1928,AZ,INITIATIVE,,COMMISSIONER OF FINANCE,0,NO,0.85
AZ,Tucson Arizona Citizen,100751,1928,AZ,INITIATIVE,,MOTOR VEHICLE DEPARTMENT,0,NO,0.85
AZ,Tucson Arizona Citizen,100751,1928,AZ,INITIATIVE,314,REPEAL OF THE FISH AND GAME LAW,1,YES. WOULD ALLOW THE LEGISLATURE TO LEGISLATE FOR THE CHANGING GAME NEEDS OF THE STATE,0.9
AZ,Tucson Arizona Citizen,100751,1928,AZ,INITIATIVE,315,REPEAL OF THE FISH AND GAME LAW,1,YES,0.85
AZ,Tucson Arizona Citizen,100751,1928,AZ,REFERENDUM,306,REPEAL OF THE 1925 AUTOMOBILE TITLE LAW,1,YES ON 306. NOT INTENDED TO REPEAL A 1925 LAW BUT ONE PASSED BY THE LAST LEGISLATURE WHICH REPEALED THE 1925 LAW,0.92
AZ,Tucson Arizona Citizen,100751,1928,AZ,REFERENDUM,307,REPEAL OF THE 1925 AUTOMOBILE TITLE LAW (COMPANION),1,YES,0.85
AZ,Tucson Arizona Citizen,100751,1950,AZ,AMENDMENT,100,BANK STOCKHOLDERS LIABILITY,1,VOTE 100 YES DOUBLE LIABILITY ON STOCKHOLDERS OF STATE BANKS IS OBSOLETE FDIC COVERS,
AZ,Tucson Arizona Citizen,100751,1950,AZ,INITIATIVE,103,MAINTENANCE OF SCHOOLS INCREASE STATE AID FROM $80 TO $150 PER PUPIL,0,VOTE 103 NO OPPOSED ON FUNDAMENTAL GROUNDS THAT LEGISLATION TAXATION BY CONSTITUTIONAL AMENDMENT IS IMPROPER,
AZ,Tucson Arizona Citizen,100751,1950,AZ,INITIATIVE,103,MAINTENANCE OF SCHOOLS INCREASE STATE AID,0,VOTE 103 NO LEGISLATION TAXATION APPROPRIATION BY CONSTITUTIONAL AMENDMENT IMPROPER,
