state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence,extraction_confidence_note,normalization_confidence,match_confidence,overall_confidence,input_mode,source_file,filename,flag
CA,Auburn Journal,101330,1954,GOVERNOR,,,CA,"KNIGHT, GOODWIN J.",Republican,1,,1,,REP. INCUMBENT,0.9,,,,,pdf,,101330_19541028,
CA,Auburn Journal,101330,1954,LT GOVERNOR,,,CA,"POWERS, HAROLD J.",Republican,1,,1,,REP. INCUMBENT,0.9,,,,,pdf,,101330_19541028,
CA,Auburn Journal,101330,1954,SENATOR,,,CA,"KUCHEL, THOMAS H.",Republican,1,,1,,REP. INCUMBENT,0.9,,,,,pdf,,101330_19541028,
CA,Auburn Journal,101330,1954,AUDITOR,,,CA,"KIRKWOOD, ROBERT C.",Republican,1,,1,,"STATE CONTROLLER, REP. INCUMBENT",0.9,,,,,pdf,,101330_19541028,
CA,Auburn Journal,101330,1954,TREASURER,,,CA,"JOHNSON, CHARLES G. (GUS)",Republican,1,,1,,REP. INCUMBENT,0.9,,,,,pdf,,101330_19541028,
CA,Auburn Journal,101330,1954,SEC OF STATE,,,CA,"JORDAN, FRANK M.",Republican,1,,1,,REP. INCUMBENT,0.9,,,,,pdf,,101330_19541028,
CA,Auburn Journal,101330,1954,BOARD OF EQUALIZATION,3,,CA,"LEAKE, PAUL",Democrat,1,1,,,3RD DIST.; DEM. INCUMBENT,0.9,,,,,pdf,,101330_19541028,
CA,Auburn Journal,101330,1954,ATTORNEY GENERAL,,,CA,"BROWN, EDMUND G. (PAT)",Democrat,1,1,,,DEM. INCUMBENT,0.9,,,,,pdf,,101330_19541028,
CA,Auburn Journal,101330,1954,H,2,,CA,"ENGLE, CLAIR",Democrat,1,1,,,"REPRESENTATIVE IN CONGRESS, 2ND DIST., DEM. INCUMBENT",0.9,,,,,pdf,,101330_19541028,
CA,Auburn Journal,101330,1954,SHERIFF,,PLACER,CA,"SCOTT, WILLIAM A.",,1,,,,PLACER COUNTY SHERIFF,0.9,,,,,pdf,,101330_19541028,
CA,Auburn Journal,101330,1956,PRESIDENT,,,CA,"EISENHOWER, DWIGHT D.",Republican,1,,1,,PRESIDENT,0.9,,,,,pdf,,101330_19561101,
CA,Auburn Journal,101330,1956,VICE PRESIDENT,,,CA,"NIXON, RICHARD M.",Republican,1,,1,,VICE PRESIDENT,0.9,,,,,pdf,,101330_19561101,
CA,Auburn Journal,101330,1956,SENATOR,,,CA,"KUCHEL, THOMAS H.",Republican,1,,1,,U.S. SENATOR,0.9,,,,,pdf,,101330_19561101,
CA,Auburn Journal,101330,1956,JUDGE,,PLACER,CA,"PROPP, LELAND J.",,1,,,,SUPERIOR COURT JUDGE,0.9,,,,,pdf,,101330_19561101,
CA,Auburn Journal,101330,1960,PRESIDENT,,,CA,"NIXON, RICHARD M.",Republican,1,,,,PRESIDENTIAL CANDIDATE,0.9,,,,,pdf,,101330_19601103,
CA,Auburn Journal,101330,1960,VICE PRESIDENT,,,CA,"LODGE, HENRY C.",Republican,1,,,,RUNNING MATE,0.9,,,,,pdf,,101330_19601103,
CA,Auburn Journal,101330,1960,STATE SENATOR,,,CA,"CAMERON, RONALD",,1,,,,STATE SENATOR,0.8,PARTY NOT STATED IN CLIPPING,,,,pdf,,101330_19601103,
CA,Auburn Journal,101330,1960,STATE REP,,,CA,"LUNARDI, PAUL J.",,1,,,,ASSEMBLY [QA 2026-06-01 spot check 18 name normalization for cross-year consistency],0.8,PARTY NOT STATED IN CLIPPING,,,,pdf,,101330_19601103,
CA,Auburn Journal,101330,1960,H,2,PLACER,CA,"JOHNSON, HAROLD T. (BIZZ)",Democrat,1,,,,"OFFICE PARTIAL IN OCR; LIKELY LOCAL OFFICIAL [QA 2026-06-01 spot check 9 CRITICAL FIX: was misextracted as JOHNSON HIRAM T ASSESSOR, actually HAROLD T (BIZZ) JOHNSON US Cong-2 D incumbent per 1960-11-03 OCR Congressman] [QA 2026-06-01 spot check 18 name normalization for cross-year consistency]",0.90,OCR DEGRADED; OFFICE NOT FULLY LEGIBLE,,,,pdf,,101330_19601103,Low confidence (0.60)
CA,Auburn Journal,101330,1964,SENATOR,,,CA,"MURPHY, GEORGE",Republican,1,,,,U.S. SENATOR ENDORSEMENT,0.9,,,,,pdf,,101330_19641029,
CA,Auburn Journal,101330,1964,H,2,,CA,"JOHNSON, HAROLD T. (BIZZ)",Democrat,1,1,,,CONGRESSIONAL REPRESENTATIVE,0.9,,,,,pdf,,101330_19641029,
CA,Auburn Journal,101330,1964,STATE SENATOR,,,CA,"LUNARDI, PAUL J.",Democrat,1,,,,STATE SENATOR,0.9,,,,,pdf,,101330_19641029,
CA,Auburn Journal,101330,1964,STATE REP,,,CA,"CHAPPLE, EUGENE A.",Republican,1,,,,STATE ASSEMBLYMAN,0.9,,,,,pdf,,101330_19641029,
CA,Auburn Journal,101330,1964,SUPREME COURT,,,CA,"PEEK, PAUL",,1,,,,"ASSOCIATE JUSTICE, SUPREME COURT",0.9,,,,,pdf,,101330_19641029,
CA,Auburn Journal,101330,1964,JUDGE,,,CA,"PIERCE, FRED R.",,1,,,,"PRESIDING JUSTICE, THIRD APPELLATE DIST.",0.9,,,,,pdf,,101330_19641029,
CA,Auburn Journal,101330,1964,JUDGE,,,CA,"FRIEDMAN, LEONARD M.",,1,,,,"JUSTICE, THIRD APPELLATE DIST.",0.9,,,,,pdf,,101330_19641029,
CA,Auburn Journal,101330,1976,PRESIDENT,,,CA,"FORD, GERALD R.",Republican,1,,1,,PRESIDENT,0.9,,,,,pdf,,101330_19761029,
CA,Auburn Journal,101330,1976,SENATOR,,,CA,"HAYAKAWA, S. I.",Republican,1,,,,U.S. SENATOR,0.9,,,,,pdf,,101330_19761029,
CA,Auburn Journal,101330,1976,H,2,,CA,"JOHNSON, HAROLD T. (BIZZ)",Democrat,1,1,,,HOUSE OF REPRESENTATIVES,0.9,,,,,pdf,,101330_19761029,
CA,Auburn Journal,101330,1976,STATE SENATOR,,,CA,"JOHNSON, RAY",Republican,1,,,,STATE SENATOR,0.9,,,,,pdf,,101330_19761029,
CA,Auburn Journal,101330,1976,STATE REP,,,CA,"CHAPPIE, EUGENE",Republican,1,,,,STATE ASSEMBLY,0.9,,,,,pdf,,101330_19761029,
CA,Auburn Journal,101330,1982,SENATOR,,,CA,"WILSON, PETE",Republican,1,,,,U.S. SENATOR,0.9,,,,,pdf,,101330_19821031,
CA,Auburn Journal,101330,1982,H,,,CA,"SHUMWAY, NORMAN",Republican,1,,1,,U.S. REPRESENTATIVE,0.9,,,,,pdf,,101330_19821031,
CA,Auburn Journal,101330,1982,STATE REP,7,,CA,"BAILEY, STEVEN",Republican,1,,,,CALIFORNIA ASSEMBLY 7TH DISTRICT,0.9,,,,,pdf,,101330_19821031,
CA,Auburn Journal,101330,1982,STATE REP,5,,CA,"MOORHEAD, JEAN",,1,,,,CALIFORNIA ASSEMBLY 5TH DISTRICT,0.8,PARTY NOT STATED IN CLIPPING,,,,pdf,,101330_19821031,
CA,Auburn Journal,101330,1982,JUDGE,,PLACER,CA,"COSGROVE, JOHN",,1,,,,MUNICIPAL COURT JUDGE (INFERRED FROM EDITORIAL CONTEXT),0.7,OFFICE INFERRED FROM SURROUNDING EDITORIAL ABOUT MUNICIPAL COURT JUDGES,,,,pdf,,101330_19821031,Low confidence (0.70)
CA,Auburn Journal,101330,1982,DA/PROSECUTOR,,PLACER,CA,"SHELLEY, JOHN ""JACK""",,1,,,,PLACER COUNTY DISTRICT ATTORNEY,0.9,,,,,pdf,,101330_19821031,
CA,Auburn Journal,101330,1982,SUPERINTENDENT,,PLACER,CA,"NEWBERRY, WALLY",,1,,,,COUNTY SUPERINTENDENT OF SCHOOLS,0.9,,,,,pdf,,101330_19821031,
CA,Auburn Journal,101330,1984,PRESIDENT,,,CA,"REAGAN, RONALD",Republican,1,,1,,REVERSED DECLINING ECONOMIC CONDITIONS; STRENGTHENED MILITARY; OUR NATION IS STRONGER,0.9,,,,,pdf,,101330_19841102,
CA,Auburn Journal,101330,1984,H,14,,CA,"SHUMWAY, NORMAN",Republican,1,,1,,CAN PROVIDE INDIVIDUAL LEADERSHIP TO REPRESENT 14TH DISTRICT; STRONG REPUBLICAN VOICE [QA 2026-06-01 spot check 18 name normalization for cross-year consistency],0.9,,,,,pdf,,101330_19841102,
CA,Auburn Journal,101330,1984,STATE SENATOR,1,,CA,"JOHNSON, RAY",Independent,1,,,,RUNNING AS INDEPENDENT BUT CONTINUES TO SHARE REPUBLICAN IDEALS,0.9,,,,,pdf,,101330_19841102,
CA,Auburn Journal,101330,1984,STATE REP,5,,CA,"LESLIE, TIM",Republican,1,,,,OFFERS OPPORTUNITY TO REMOVE DEMOCRATIC POWER BASE FROM ASSEMBLY; REPUBLICAN AFFILIATION GIVES SUPPORT TO GOVERNOR,0.9,,,,,pdf,,101330_19841102,
CA,Auburn Journal,101330,1984,STATE REP,7,,CA,"WATERS, NORM",Democrat,1,,,,CLEAR UNDERSTANDING OF RURAL COUNTY ISSUES; EARNED RESPECT ON BOTH SIDES OF AISLE,0.9,,,,,pdf,,101330_19841102,
CA,Auburn Journal,101330,1984,CNTY COMM,3,,CA,"GONZALES, HANK",,1,,,,BEST OPPORTUNITY TO MAINTAIN CLOSE RELATIONSHIP WITH 3RD SUPERVISORIAL DISTRICT,0.9,,,,,pdf,,101330_19841102,
CA,Auburn Journal,101330,1962,SEC OF STATE,,,CA,"JORDAN, FRANK M.",Republican,1,,,,[QA 2026-06-01 Pattern J add: missing 1962 cand records per 1962-11-01 OCR] [QA 2026-06-01 spot check 18 name normalization for cross-year consistency],0.90,,,,,,,,
CA,Auburn Journal,101330,1962,BOARD OF EQUALIZATION,3,,CA,"LEAKE, PAUL",Democrat,1,,,,3RD DISTRICT [QA 2026-06-01 Pattern J add: missing 1962 cand records per 1962-11-01 OCR] [QA 2026-06-01 spot check 27 cross-year fix: party R→D per historical record (Leake was D Board of Equalization member); my V2 add incorrectly assumed R],0.90,,,,,,,,
CA,Auburn Journal,101330,1962,SENATOR,,,CA,"KUCHEL, THOMAS H.",Republican,1,,,,US SENATOR [QA 2026-06-01 Pattern J add: missing 1962 cand records per 1962-11-01 OCR] [QA 2026-06-01 spot check 18 name normalization for cross-year consistency],0.90,,,,,,,,
CA,Auburn Journal,101330,1962,H,2,,CA,"JOHNSON, HAROLD T. (BIZZ)",Democrat,1,,,,CONGRESSIONAL REPRESENTATIVE [QA 2026-06-01 Pattern J add: missing 1962 cand records per 1962-11-01 OCR] [QA 2026-06-01 spot check 18 name normalization for cross-year consistency] | V9 Stage-7 DIST FILL: d2 (consistent w/ Auburn 1960 & 1964 records and his actual CA 2nd CD 1959-75; Chico cross-ref had d1 — Chico is the outlier),0.90,,,,,,,,
CA,Auburn Journal,101330,1962,STATE REP,6,,CA,"LUNARDI, PAUL J.",Democrat,1,,,,"SIXTH DISTRICT [QA 2026-06-01 Pattern J add: missing 1962 cand records per 1962-11-01 OCR] [QA 2026-06-01 spot check 18 name normalization for cross-year consistency] | V9 OFFICE FIX: STATE SENATOR->STATE REP (vision ""Member Sixth Assembly District ... Paul J. Lunardi"")",0.90,,,,,,,,
