state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
CA,Banning Record-Gazette,BANNINGRG,1968,PRESIDENT,,,CA,"NIXON, RICHARD M.",Republican,1,,,,"RECORD-GAZETTE RECOMMENDATIONS CHART, CHECKED FOR NIXON/AGNEW TICKET",0.95
CA,Banning Record-Gazette,BANNINGRG,1968,VICE PRESIDENT,,,CA,"AGNEW, SPIRO T.",Republican,1,,,,"RECORD-GAZETTE RECOMMENDATIONS CHART, CHECKED FOR NIXON/AGNEW TICKET",0.95
CA,Banning Record-Gazette,BANNINGRG,1968,SENATOR,,,CA,"RAFFERTY, MAX",Republican,1,,,,US SENATE; STATE SUPERINTENDENT OF PUBLIC INSTRUCTION AT TIME OF RUN; CHECKED IN RECOMMENDATIONS CHART,0.95
CA,Banning Record-Gazette,BANNINGRG,1968,H,38,,CA,"TUNNEY, JOHN V.",Democrat,1,1,,,US CONGRESSMAN 38TH DISTRICT; CHECKED IN RECOMMENDATIONS CHART,0.95
CA,Banning Record-Gazette,BANNINGRG,1968,STATE REP,75,,CA,"VEYSEY, VICTOR V.",Republican,1,,1,,"MEMBER OF ASSEMBLY, 75TH ASSEMBLY DISTRICT; CHECKED IN RECOMMENDATIONS CHART",0.95
CA,Banning Record-Gazette,BANNINGRG,1970,SUPERINTENDENT,,,CA,"RILES, WILSON C.",,1,,,,CALIFORNIA SUPERINTENDENT OF PUBLIC INSTRUCTION. 'WILSON RILES DESERVES VOTE' EDITORIAL. RILES HAS BEEN DEPUTY STATE SUPERINTENDENT FOR 12 YEARS. 'RILES HAS OUR ENTHUSIASTIC ENDORSEMENT.' OPPOSES INCUMBENT MAX RAFFERTY.,0.98
CA,Banning Record-Gazette,BANNINGRG,1970,SUPERINTENDENT,,,CA,"RAFFERTY, MAX",Republican,0,,1,,"INCUMBENT SUPERINTENDENT OF PUBLIC INSTRUCTION (NONPARTISAN OFFICE). EDITORIAL CRITICIZES RAFFERTY FOR MISREPRESENTING READING SCORES, MISUSING FEDERAL MONEY, ETC. 'VOTERS TOMORROW CAN DO THEMSELVES A FAVOR BY RIDDING THEMSELVES OF THE PRESENT SCHOOL CHIEF.' | INCUMBENCY FIX 2026-06-01: WAS O_INC=1; CORRECTED TO R_INC=1 (RAFFERTY R INCUMBENT STATE SUPERINTENDENT).",0.95
CA,Banning Record-Gazette,BANNINGRG,1970,HOSPITAL DISTRICT,,San Gorgonio Pass Memorial Hospital Board,CA,"SCHULTE, E. RONALD",,1,,,,HOSPITAL DISTRICT BOARD; 'HOSPITAL RACE: TIME FOR CHANGE' EDITORIAL. 'NO OTHER CANDIDATE CAN EQUAL SCHULTE'S RECORD OF COMMUNITY SERVICE.' PAST PRESIDENT OF BEAUMONT COMMUNITY CHAMBER OF COMMERCE. | OFFICE FIX 2026-06-01 ROUND 1: WAS JUDGE; ACTUAL OFFICE IS SAN GORGONIO PASS MEMORIAL HOSPITAL BOARD OF DIRECTORS (5-MEMBER NONPARTISAN LOCAL DISTRICT).,0.9
CA,Banning Record-Gazette,BANNINGRG,1970,HOSPITAL DISTRICT,,San Gorgonio Pass Memorial Hospital Board,CA,"JESCHKE, HERBERT J.",,1,,,,"HOSPITAL DISTRICT BOARD; BANNING RESIDENT, SERVED 16 YEARS ON LAPD; ENDORSED IN 'HOSPITAL RACE: TIME FOR CHANGE' EDITORIAL. | OFFICE FIX 2026-06-01 ROUND 1: WAS JUDGE; ACTUAL OFFICE IS SAN GORGONIO PASS MEMORIAL HOSPITAL BOARD OF DIRECTORS (5-MEMBER NONPARTISAN LOCAL DISTRICT).",0.9
CA,Banning Record-Gazette,BANNINGRG,1970,HOSPITAL DISTRICT,,San Gorgonio Pass Memorial Hospital Board,CA,"BROWN, ALFRED",,1,,,,HOSPITAL DISTRICT BOARD; CPA; 'HAS DONE THE MOST RESEARCH ON THE HOSPITAL'; ENDORSED IN 'HOSPITAL RACE: TIME FOR CHANGE' EDITORIAL. | OFFICE FIX 2026-06-01 ROUND 1: WAS JUDGE; ACTUAL OFFICE IS SAN GORGONIO PASS MEMORIAL HOSPITAL BOARD OF DIRECTORS (5-MEMBER NONPARTISAN LOCAL DISTRICT).,0.9
CA,Banning Record-Gazette,BANNINGRG,1970,HOSPITAL DISTRICT,,San Gorgonio Pass Memorial Hospital Board,CA,"BANTA, CECILIA",,0,,,1,INCUMBENT HOSPITAL BOARD MEMBER; EDITORIAL OPPOSES THE THREE INCUMBENTS (BOARD MAJORITY) FOR 'FALLING ASLEEP AT THE SWITCH' DURING HOSPITAL MISMANAGEMENT SCANDAL. | OFFICE FIX 2026-06-01 ROUND 1: WAS JUDGE; ACTUAL OFFICE IS SAN GORGONIO PASS MEMORIAL HOSPITAL BOARD OF DIRECTORS (5-MEMBER NONPARTISAN LOCAL DISTRICT).,0.9
CA,Banning Record-Gazette,BANNINGRG,1970,HOSPITAL DISTRICT,,San Gorgonio Pass Memorial Hospital Board,CA,"HILL, CHARLES",,0,,,1,INCUMBENT HOSPITAL BOARD MEMBER; EDITORIAL OPPOSES THE THREE INCUMBENTS FOR HOSPITAL MISMANAGEMENT. | OFFICE FIX 2026-06-01 ROUND 1: WAS JUDGE; ACTUAL OFFICE IS SAN GORGONIO PASS MEMORIAL HOSPITAL BOARD OF DIRECTORS (5-MEMBER NONPARTISAN LOCAL DISTRICT).,0.9
CA,Banning Record-Gazette,BANNINGRG,1970,HOSPITAL DISTRICT,,San Gorgonio Pass Memorial Hospital Board,CA,"LEWIS, FRED",,0,,,1,INCUMBENT HOSPITAL BOARD MEMBER; EDITORIAL OPPOSES THE THREE INCUMBENTS FOR HOSPITAL MISMANAGEMENT. | OFFICE FIX 2026-06-01 ROUND 1: WAS JUDGE; ACTUAL OFFICE IS SAN GORGONIO PASS MEMORIAL HOSPITAL BOARD OF DIRECTORS (5-MEMBER NONPARTISAN LOCAL DISTRICT).,0.9
CA,Banning Record-Gazette,BANNINGRG,2006,H,41,,CA,"LEWIS, JERRY",Republican,1,,1,,41ST CONGRESSIONAL DISTRICT. 'WE STRONGLY SUPPORT THE RE-ELECTION OF REP. JERRY LEWIS.',0.95
CA,Banning Record-Gazette,BANNINGRG,2006,STATE REP,65,,CA,"COOK, PAUL",Republican,1,,,,"65TH ASSEMBLY DISTRICT (BANNING, BEAUMONT, CHERRY VALLEY). 'WE STRONGLY URGE THE ELECTION OF REPUBLICAN PAUL COOK.'",0.95
CA,Banning Record-Gazette,BANNINGRG,2006,STATE REP,80,,CA,"GARCIA, BONNIE",Republican,1,,1,,80TH ASSEMBLY DISTRICT (INCLUDES CABAZON). 'WE STRONGLY SUPPORT THE RE-ELECTION OF REPUBLICAN BONNIE GARCIA.',0.95
CA,Banning Record-Gazette,BANNINGRG,2006,CITY COUNCIL,,Beaumont,CA,"DRESSEL, LARRY",,1,,,1,BEAUMONT CITY COUNCIL INCUMBENT; 'WE STRONGLY ENDORSE THE THREE INCUMBENTS SEEKING RE-ELECTION IN BEAUMONT.',0.95
CA,Banning Record-Gazette,BANNINGRG,2006,CITY COUNCIL,,Beaumont,CA,"DEFORGE, BRIAN",,1,,,1,BEAUMONT CITY COUNCIL INCUMBENT; 'WE STRONGLY ENDORSE THE THREE INCUMBENTS SEEKING RE-ELECTION.',0.95
CA,Banning Record-Gazette,BANNINGRG,2006,CITY COUNCIL,,Beaumont,CA,"BERG, ROGER",,1,,,1,BEAUMONT CITY COUNCIL INCUMBENT; 'WE STRONGLY ENDORSE THE THREE INCUMBENTS SEEKING RE-ELECTION.',0.95
CA,Banning Record-Gazette,BANNINGRG,2006,CITY COUNCIL,,Banning,CA,"WELCH, ART",,1,,,1,BANNING CITY COUNCIL; WELCH IS THE INCUMBENT. 'WE HAVE ENDORSED THE ELECTION OF WELCH AND FRANKLIN.',0.95
CA,Banning Record-Gazette,BANNINGRG,2006,CITY COUNCIL,,Banning,CA,"FRANKLIN, DEBBIE",,1,,,,BANNING CITY COUNCIL. 'WE HAVE ENDORSED THE ELECTION OF WELCH AND FRANKLIN.',0.95
CA,Banning Record-Gazette,BANNINGRG,2006,PARK DISTRICT,,Beaumont-Cherry Valley Recreation and Park District,CA,"FRANCO, DONNA",,1,,,1,BEAUMONT-CHERRY VALLEY RECREATION AND PARK DISTRICT INCUMBENT. 'WE ALSO SUPPORT INCUMBENTS DONNA FRANCO AND JAMES TICKEMYER.' | OFFICE FIX 2026-06-01: CNTY COMM → PARK DISTRICT (LOCAL SPECIAL DISTRICT BOARD).,0.9
CA,Banning Record-Gazette,BANNINGRG,2006,PARK DISTRICT,,Beaumont-Cherry Valley Recreation and Park District,CA,"TICKEMYER, JAMES",,1,,,1,BEAUMONT-CHERRY VALLEY RECREATION AND PARK DISTRICT INCUMBENT. | OFFICE FIX 2026-06-01: CNTY COMM → PARK DISTRICT (LOCAL SPECIAL DISTRICT BOARD).,0.9
CA,Banning Record-Gazette,BANNINGRG,2006,WATER DISTRICT,,San Gorgonio Pass Water Agency,CA,"ANDERSON, JIM",,1,,,1,"SAN GORGONIO PASS WATER AGENCY APPOINTED INCUMBENT. | OFFICE FIX 2026-06-01: CNTY COMM → WATER DISTRICT (LOCAL SPECIAL DISTRICT, NOT COUNTY COMMISSION).",0.9
CA,Banning Record-Gazette,BANNINGRG,2006,WATER DISTRICT,,San Gorgonio Pass Water Agency,CA,"MORRIS, RAY",,1,,,1,"SAN GORGONIO PASS WATER AGENCY INCUMBENT. | OFFICE FIX 2026-06-01: CNTY COMM → WATER DISTRICT (LOCAL SPECIAL DISTRICT, NOT COUNTY COMMISSION).",0.9
CA,Banning Record-Gazette,BANNINGRG,2006,WATER DISTRICT,,San Gorgonio Pass Water Agency,CA,"VOIGT, BARBARA",,1,,,1,"SAN GORGONIO PASS WATER AGENCY INCUMBENT. | OFFICE FIX 2026-06-01: CNTY COMM → WATER DISTRICT (LOCAL SPECIAL DISTRICT, NOT COUNTY COMMISSION).",0.9
CA,Banning Record-Gazette,BANNINGRG,2006,CITY COUNCIL,,Banning,CA,"BOTTS, BOB",,0,,,1,"BANNING CITY COUNCIL INCUMBENT. EDITORIAL STATES 'THREE VERY QUALIFIED CANDIDATES - DEBBIE FRANKLIN, BOB BOTTS AND INCUMBENT ART WELCH - ARE BATTLING FOR TWO SEATS'; 'AFTER MUCH SOUL SEARCHING, WE HAVE ENDORSED THE ELECTION OF WELCH AND FRANKLIN' [BOTTS NOT ENDORSED]. HOPES BOTTS IS APPOINTED TO PLANNING COMMISSION.",0.9
CA,Banning Record-Gazette,BANNINGRG,2008,CITY COUNCIL,,Banning,CA,"MACHISIC, JOHN",,1,,,1,BANNING CITY COUNCIL INCUMBENT. 'FOR BANNING CITY COUNCIL WE RECOMMENDED INCUMBENTS JOHN MACHISIC AND BARBARA HANNA FOR RE-ELECTION.',0.95
CA,Banning Record-Gazette,BANNINGRG,2008,CITY COUNCIL,,Banning,CA,"HANNA, BARBARA",,1,,,1,BANNING CITY COUNCIL INCUMBENT. 'FOR BANNING CITY COUNCIL WE RECOMMENDED INCUMBENTS JOHN MACHISIC AND BARBARA HANNA FOR RE-ELECTION.',0.95
