state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
CA,Banning Record-Gazette,BANNINGRG,1960,CA,PROPOSITION,1,Water development bonds (Governor Brown's water plan),1,YES - 'We believe Governor Edmund G. Brown's plan for water development might stand many improvements before the state assumes a [large] debt. The issue is urgent and time is of the essence.',0.95
CA,Banning Record-Gazette,BANNINGRG,1960,CA,PROPOSITION,2,Four-year terms for state assemblymen,0,"NO - Not in accord with original concept of constitution; merely a convenience for assemblymen, not benefit of people.",0.95
CA,Banning Record-Gazette,BANNINGRG,1960,CA,PROPOSITION,3,Totally disabled veterans tax exemptions (allow exemption from one or another if entitled to no exemption at all),1,YES,0.95
CA,Banning Record-Gazette,BANNINGRG,1960,CA,PROPOSITION,4,Four-year terms for state college board members,0,NO - Four-year terms long enough for any commission; would remove from administrative control.,0.95
CA,Banning Record-Gazette,BANNINGRG,1960,CA,PROPOSITION,5,Legislator salary increase,0,NO - Legislators doing very well on $500/month plus living expenses; a 50% salary increase is an imposition on taxpayer.,0.95
CA,Banning Record-Gazette,BANNINGRG,1960,CA,PROPOSITION,6,Class legislation writing special privileges/tax matters for golf clubs into constitution,0,NO - Class legislation writing special privileges into constitution.,0.9
CA,Banning Record-Gazette,BANNINGRG,1960,CA,PROPOSITION,7,Chiropractic board (allow more than one member from same chiropractic college),1,YES,0.9
CA,Banning Record-Gazette,BANNINGRG,1960,CA,PROPOSITION,8,Allow ex-convicts to vote when their debt to society is paid,1,YES - The public should bend every effort to help ex-convicts reclaim a place in society.,0.95
CA,Banning Record-Gazette,BANNINGRG,1960,CA,PROPOSITION,9,Streamline procedures for making claims against chartered cities and counties,1,YES - Streamlines procedures.,0.9
CA,Banning Record-Gazette,BANNINGRG,1960,CA,PROPOSITION,10,Secret and confidential information provision,0,NO - Against writing provision for secret and confidential information into constitution; infringes on right of people to know.,0.9
CA,Banning Record-Gazette,BANNINGRG,1960,CA,PROPOSITION,11,Tax exemptions on homes for totally disabled veterans (no future exemptions),1,"YES - Similar to No. 5 in relation to totally disabled veterans, but a law prohibiting future tax exemptions on homes for veterans.",0.85
CA,Banning Record-Gazette,BANNINGRG,1960,CA,PROPOSITION,12,Clean-up amendment eliminating obsolete and superseded provisions in state constitution,1,YES - Making no substantive changes.,0.95
CA,Banning Record-Gazette,BANNINGRG,1960,CA,PROPOSITION,13,Eliminate superior court step from justice to appellate,0,NO - Would only clog up the appellate calendars.,0.9
CA,Banning Record-Gazette,BANNINGRG,1960,CA,PROPOSITION,14,Allow cities and counties to appropriate gas tax money for grade crossings construction,1,YES - Grade crossings are part of highway systems.,0.95
CA,Banning Record-Gazette,BANNINGRG,1960,CA,PROPOSITION,15,Reapportion state senate on basis of population,0,"NO - Not in accord with original concept of government; one house should represent population, other should represent area.",0.95
CA,Banning Record-Gazette,BANNINGRG,1968,CA,PROPOSITION,1A,Homeowners' Property Tax Exemption,1,YES checked in recommendations chart,0.95
CA,Banning Record-Gazette,BANNINGRG,1968,CA,PROPOSITION,1,"Constitutional Revision - repeals, amends, revises provisions relating to schools, cities and counties, public utilities, and other matters",1,YES checked in recommendations chart,0.9
CA,Banning Record-Gazette,BANNINGRG,1968,CA,PROPOSITION,2,Taxation of Publicly Owned Property located outside boundaries,1,YES checked in recommendations chart,0.9
CA,Banning Record-Gazette,BANNINGRG,1968,CA,BOND,3,"State College, University, and Urban School Facilities Bonds ($250 million)",1,FOR BONDS checked in recommendations chart,0.95
CA,Banning Record-Gazette,BANNINGRG,1968,CA,PROPOSITION,4,Personal Income Taxes - reporting/collecting CA personal income taxes by reference to US laws,1,YES checked in recommendations chart,0.9
CA,Banning Record-Gazette,BANNINGRG,1968,CA,PROPOSITION,5,Hospital Loans - authorizes Legislature to insure/guarantee loans for hospital construction,1,YES checked in recommendations chart,0.95
CA,Banning Record-Gazette,BANNINGRG,1968,CA,PROPOSITION,6,Insurance Companies Gross Premium Tax - exclude premiums paid on specified contracts,1,YES checked in recommendations chart,0.9
CA,Banning Record-Gazette,BANNINGRG,1968,CA,PROPOSITION,7,State Funds - Legislature may provide that money allocated from State General Fund to county/city may be used for local purposes,1,YES checked in recommendations chart,0.9
CA,Banning Record-Gazette,BANNINGRG,1968,CA,PROPOSITION,8,Apportionment of Local Sales and Use Tax - Legislature may authorize contracts between local entities,1,YES checked in recommendations chart,0.9
CA,Banning Record-Gazette,BANNINGRG,1968,CA,PROPOSITION,9,Taxation Limitations on Property Tax Rate - formula limiting total ad valorem tax burden,0,NO checked in recommendations chart,0.95
CA,Banning Record-Gazette,BANNINGRG,1968,CA,COUNTY MEASURE,A,"Riverside County Hospital Bonds ($1,100,000 - diagnostic and treatment clinic, emergency suite, surgical suite at General Hospital)",1,Bonds YES checked in recommendations chart,0.95
CA,Banning Record-Gazette,BANNINGRG,2006,CA,BALLOT MEASURE,R,Banning Unified School District bond measure - $63 million for school upgrades and sports complex/football stadium,1,'Vote yes on Measure R'. Editorial supports the bond despite reservations about football stadium priority.,0.98
CA,Banning Record-Gazette,BANNINGRG,2008,CA,BALLOT MEASURE,Z,Beaumont school bonds,1,"'In schools, we recommended a yes vote on the Beaumont school bonds, Measure Z.'",0.95
CA,Banning Record-Gazette,BANNINGRG,2010,CA,BALLOT MEASURE,U,Mount San Jacinto College permanent campus in Banning,1,"'We have already made recommendations, including a yes on Measure U - to build a permanent campus of Mount San Jacinto College in Banning.'",0.98
CA,Banning Record-Gazette,BANNINGRG,2014,CA,BALLOT MEASURE,J,Banning city measure,1,"'As for Measure J, we think that it is in the best interest of the residents of Banning for this measure to pass.'",0.95
