state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence,extraction_confidence_note,source_file
CA,Carpinteria Herald,,1950,CA,Amendment,1,Initiative constitutional amendment prohibiting state and political subdivisions from imposing taxes upon personal property,0,'should receive a no vote',0.92,,carpinteria_19501107.pdf
CA,Carpinteria Herald,,1950,CA,Amendment,10,Requires an election to vote on public housing in a community,1,OCR text 'We can see no reason' partially garbled; conservative-paper context suggests support for requiring elections,0.6,Direction inferred from political context; OCR ambiguous,carpinteria_19501107.pdf
CA,Carpinteria Herald,,1950,CA,Amendment,11,Amends the Torrens Act (means of land registration),1,'should receive a YES vote',0.92,,carpinteria_19501107.pdf
CA,Carpinteria Herald,,1950,CA,Amendment,2,"Prohibits placing individuals' names on amendments to constitution (e.g., as in Proposition 6)",1,'should receive a Yes vote for protection from individuals securing jobs through amendments',0.92,,carpinteria_19501107.pdf
CA,Carpinteria Herald,,1950,CA,Amendment,3,Inferior court reorganization,1,'should be given a Yes vote',0.92,,carpinteria_19501107.pdf
CA,Carpinteria Herald,,1950,CA,Amendment,4,Broadens the voting privilege of the residents of the state,1,'should be given' (positive direction),0.85,OCR truncated direction text but framing positive,carpinteria_19501107.pdf
CA,Carpinteria Herald,,1950,CA,Amendment,5,Allows members of the legislature to hold office and serve as members of boards or commissions,,OCR truncated; direction not extractable,0.55,Direction unreadable in OCR; description partial,carpinteria_19501107.pdf
CA,Carpinteria Herald,,1950,CA,Amendment,6,Legalize gambling in California,0,'Every thinking person will vote NO on this measure',0.95,,carpinteria_19501107.pdf
CA,Carpinteria Herald,,1950,CA,Amendment,7,Allows blind persons to obtain a Chiropractor's license,0,'should be defeated',0.92,,carpinteria_19501107.pdf
CA,Carpinteria Herald,,1950,CA,Amendment,8,"Allows officers of the county, township or municipality to increase their salaries during their term of office",1,'should receive a YES vote' — sufficient safeguards in measure,0.92,,carpinteria_19501107.pdf
CA,Carpinteria Herald,,1950,CA,Amendment,9,Exempts from civil service status part-time employees,1,'No arguments have been presented against this measure' — implicit YES,0.78,Direction inferred from supportive framing; explicit YES not in OCR,carpinteria_19501107.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,1,(description not extractable from OCR fragment),1,YES,0.85,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,10,(description not extractable from OCR),0,NO,0.85,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,11,(description not extractable from OCR),0,NO,0.85,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,12,(description not extractable from OCR),1,YES,0.85,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,13,(description not extractable from OCR),1,YES,0.85,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,14,(description not extractable from OCR),1,YES,0.85,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,15,(description not extractable from OCR),1,YES,0.85,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,16,(description not extractable from OCR),1,YES,0.85,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,17,(description not extractable from OCR),0,NO,0.85,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,18,(description not extractable from OCR),1,YES,0.85,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,19,(description not extractable from OCR),1,YES,0.85,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,2,(description not extractable from OCR fragment),,Up to individuals (no recommendation),0.85,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,20,(description not extractable from OCR),1,YES,0.85,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,21,(description not extractable from OCR),1,YES,0.85,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,22,(description not extractable from OCR),1,YES,0.85,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,23,(description not extractable from OCR),1,YES,0.85,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,24,(description not extractable from OCR; list continued on page 10),1,YES,0.85,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,3,"Tax exemption for non-profit schools (Catholic, Protestant, schools for blind/crippled/palsied/mentally retarded). 'Help yourself vote YES on three'",1,YES,0.95,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,4,(description not extractable from OCR),1,YES,0.85,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,5,(description not extractable from OCR),1,YES,0.85,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,6,(description not extractable from OCR),0,NO,0.85,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,7,(description not extractable from OCR),1,YES,0.85,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,8,(description not extractable from OCR),1,YES,0.85,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,9,(description not extractable from OCR),1,YES,0.85,,carpinteria_19521104.pdf
CA,Carpinteria Herald,,1952,CA,Proposition,A,County Redistricting,0,NO,0.92,"OCR shows County Redistricting as Prop A, NO",carpinteria_19521104.pdf
CA,Carpinteria Herald,,1954,CA,Proposition,1,Veterans Bond,1,Inferred YES from supportive editorial framing,0.7,OCR very fragmented in v3,carpinteria_19541102_v3.pdf
CA,Carpinteria Herald,,1954,CA,Proposition,13,Vernon City Charter,1,Editorial supportive: 'will give the people of that city the chance to set up a better form of city government',0.85,,carpinteria_19541102_v3.pdf
