state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
CA,Chico Enterprise Record,101500,1924,STATE REP,,Butte County (Assembly),CA,"DEUEL, CHARLES H.",Republican,1,,,,Editorial: 'DEUEL FOR THE ASSEMBLY' - acknowledges Deuel is one of editors/proprietors of The Chico Record; endorses him as 'the man Chico and the entire county need as representative at the state capitol.',0.95
CA,Chico Enterprise Record,101500,1932,JUDGE,,Superior Court of Butte County,CA,"DEIRUP, HARRY",Nonpartisan,1,,,,"Editorial 'Harry Deirup Should Be Elected' - endorses Deirup of Chico, member of Bond & Deirup firm, for Superior Court Judge of Butte County (six-year term beginning January 1933). Cites long legal practice, education, integrity, physical/mental prime.",0.95
CA,Chico Enterprise Record,101500,1948,PRESIDENT,,,CA,"DEWEY, THOMAS E.",Republican,1,,,,,0.9
CA,Chico Enterprise Record,101500,1948,VICE PRESIDENT,,,CA,"WARREN, EARL",Republican,1,,,,,0.9
CA,Chico Enterprise Record,101500,1948,H,1,,CA,"SCUDDER, HUBERT B.",Republican,1,,1,,,0.9
CA,Chico Enterprise Record,101500,1948,H,1,,CA,"NORGARD, STERLING",Democrat,0,,,,,0.9
CA,Chico Enterprise Record,101500,1948,STATE REP,4,,CA,"LOOMIS, BERT W.",Republican,1,,,,,0.9
CA,Chico Enterprise Record,101500,1950,GOVERNOR,,,CA,"WARREN, EARL",Republican,1,,1,,,0.9
CA,Chico Enterprise Record,101500,1950,LT GOVERNOR,,,CA,"KNIGHT, GOODWIN J.",Republican,1,,1,,,0.9
CA,Chico Enterprise Record,101500,1950,SEC OF STATE,,,CA,"JORDAN, FRANK M.",Republican,1,,1,,,0.9
CA,Chico Enterprise Record,101500,1950,COMPTROLLER,,,CA,"KUCHEL, THOMAS J.",Republican,1,,1,,,0.9
CA,Chico Enterprise Record,101500,1950,TREASURER,,,CA,"JOHNSON, CHARLES G.",Republican,1,,1,,,0.9
CA,Chico Enterprise Record,101500,1950,SENATOR,,,CA,"NIXON, RICHARD M.",Republican,1,,,,,0.9
CA,Chico Enterprise Record,101500,1950,H,1,,CA,"SCUDDER, HUBERT B.",Republican,1,,1,,,0.9
CA,Chico Enterprise Record,101500,1950,STATE SENATOR,4,,CA,"BYRNE, PAUL L.",Republican,1,,,,,0.9
CA,Chico Enterprise Record,101500,1954,GOVERNOR,,,CA,"KNIGHT, GOODWIN J.",Republican,1,,1,,,0.9
CA,Chico Enterprise Record,101500,1954,LT GOVERNOR,,,CA,"POWERS, HAROLD J. ""BUTCH""",Republican,1,,1,,,0.9
CA,Chico Enterprise Record,101500,1954,SEC OF STATE,,,CA,"JORDAN, FRANK M.",Republican,1,,1,,,0.9
CA,Chico Enterprise Record,101500,1954,COMPTROLLER,,,CA,"KIRKWOOD, ROBERT C.",Republican,1,,1,,,0.9
CA,Chico Enterprise Record,101500,1954,TREASURER,,,CA,"JOHNSON, CHARLES G. ""GUS""",Republican,1,,1,,,0.9
CA,Chico Enterprise Record,101500,1954,ATTORNEY GENERAL,,,CA,"BROWN, EDMUND G. ""PAT""",Democrat,1,1,,,,0.9
CA,Chico Enterprise Record,101500,1954,BOARD OF EQUALIZATION,,,CA,"LEAKE, PAUL",Nonpartisan,1,,1,,,0.9
CA,Chico Enterprise Record,101500,1954,SENATOR,,,CA,"KUCHEL, THOMAS H.",Republican,1,,1,,,0.9
CA,Chico Enterprise Record,101500,1954,H,2,,CA,"ENGLE, CLAIR",Democrat,1,1,,,,0.9
CA,Chico Enterprise Record,101500,1954,STATE SENATOR,6,,CA,"BYRNE, PAUL L.",Republican,1,,1,,,0.9
CA,Chico Enterprise Record,101500,1954,STATE REP,4,,CA,"HOBBIE, DON",Republican,1,,1,,,0.9
CA,Chico Enterprise Record,101500,1954,DA/PROSECUTOR,,,CA,"LYDE, KEITH",Nonpartisan,1,,,,,0.9
CA,Chico Enterprise Record,101500,1954,CNTY COMM,2,Butte County,CA,"YOUNG, PAUL H.",Nonpartisan,1,,,,,0.9
