state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
CA,CHICO ENTERPRISE RECORD,101500,1924,CA,Proposition,11,Klamath River,YES,,
CA,CHICO ENTERPRISE RECORD,101500,1924,CA,Proposition,5,Veterans welfare funding,NO,,
CA,CHICO ENTERPRISE RECORD,101500,1926,CA,Proposition,20,Reapportionment,NO,,
CA,CHICO ENTERPRISE RECORD,101500,1926,CA,Proposition,28,Reapportionment -- Giving rural calfiornia equal leg representation to urban,YES,,
CA,CHICO ENTERPRISE RECORD,101500,1928,CA,Proposition,1,,YES,,
CA,CHICO ENTERPRISE RECORD,101500,1928,CA,Proposition,2,,NO,,
CA,CHICO ENTERPRISE RECORD,101500,1928,CA,Proposition,3,,YES,,
CA,CHICO ENTERPRISE RECORD,101500,1928,CA,Proposition,4,,YES,,
CA,CHICO ENTERPRISE RECORD,101500,1928,CA,Proposition,5,,NO,,
CA,CHICO ENTERPRISE RECORD,101500,1928,CA,Proposition,6,,YES,,
CA,CHICO ENTERPRISE RECORD,101500,1928,CA,Proposition,7,,YES,,
CA,CHICO ENTERPRISE RECORD,101500,1928,CA,Proposition,8,,YES,,
CA,CHICO ENTERPRISE RECORD,101500,1928,CA,Proposition,9,,YES,,
CA,CHICO ENTERPRISE RECORD,101500,1928,CA,Proposition,10,,YES,,
CA,CHICO ENTERPRISE RECORD,101500,1928,CA,Proposition,11,,YES,,
CA,CHICO ENTERPRISE RECORD,101500,1928,CA,Proposition,12,,YES,,
CA,CHICO ENTERPRISE RECORD,101500,1928,CA,Proposition,13,,NO,,
CA,CHICO ENTERPRISE RECORD,101500,1928,CA,Proposition,14,,YES,,
CA,CHICO ENTERPRISE RECORD,101500,1928,CA,Proposition,15,,YES,,
CA,CHICO ENTERPRISE RECORD,101500,1928,CA,Proposition,16,,NO,,
CA,CHICO ENTERPRISE RECORD,101500,1928,CA,Proposition,17,,NO,,
CA,CHICO ENTERPRISE RECORD,101500,1928,CA,Proposition,18,,YES,,
CA,CHICO ENTERPRISE RECORD,101500,1928,CA,Proposition,20,,YES,,
CA,CHICO ENTERPRISE RECORD,101500,1928,CA,Proposition,21,,NO,,
CA,CHICO ENTERPRISE RECORD,101500,1930,CA,Proposition,1,,YES,,
CA,CHICO ENTERPRISE RECORD,101500,1930,CA,Proposition,2,,NO,,
CA,CHICO ENTERPRISE RECORD,101500,1930,CA,Proposition,3,,YES,,
CA,CHICO ENTERPRISE RECORD,101500,1930,CA,Proposition,4,,YES,,
CA,CHICO ENTERPRISE RECORD,101500,1930,CA,Proposition,5,,YES,,
CA,CHICO ENTERPRISE RECORD,101500,1930,CA,Proposition,6,,YES,,
