state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
CA,Contra Costa Times,172450,1952,PRESIDENT,,,CA,"EISENHOWER, DWIGHT D.",Republican,1,,,,Listed under 'The Times Recommends' on election eve front page,0.98
CA,Contra Costa Times,172450,1952,SENATOR,,,CA,"KNOWLAND, WILLIAM F.",Republican,1,,1,,U.S. Senator endorsement; Knowland was incumbent,0.97
CA,Contra Costa Times,172450,1952,H,,,CA,"BALDWIN, JOHN F.",Republican,1,,,,Endorsed for Congressman by The Times,0.95
CA,Contra Costa Times,172450,1952,STATE REP,,,CA,"DOYLE, DONALD D.",Republican,1,,,,Endorsed for Assemblyman by The Times,0.95
CA,Contra Costa Times,172450,1958,H,6,,CA,"BALDWIN, JOHN F.",Republican,1,,1,,Times Recommends - Congress 6th District,0.95
CA,Contra Costa Times,172450,1958,SUPERINTENDENT,,,CA,"MARCHUS, FLOYD",,1,,,,County Superintendent of Schools; editorial endorses Dr. Floyd Marchus of Walnut Creek,0.96
CA,Contra Costa Times,172450,1958,SHERIFF,,,CA,"YOUNG, WALT",,1,,,,Times Recommends Walt Young for Sheriff; opposes incumbent Sheriff Harry Brown,0.97
CA,Contra Costa Times,172450,1958,CNTY COMM,3,,CA,"COLL, TOM",,1,,,,Supervisor 3rd District,0.95
CA,Contra Costa Times,172450,1958,JUDGE,,,CA,"MITCHELL, RICHARD J.",,1,,,,Walnut Creek Judicial District Judge - Ward 1,0.94
CA,Contra Costa Times,172450,1958,JUDGE,,,CA,"HIGGINS, NEAL S.",,1,,,,Walnut Creek Judicial District Judge - Ward 2,0.94
CA,Contra Costa Times,172450,1960,PRESIDENT,,,CA,"NIXON, RICHARD M.",Republican,1,,,,Listed under 'The Times Recommends',0.97
CA,Contra Costa Times,172450,1960,VICE PRESIDENT,,,CA,"LODGE, HENRY CABOT JR.",Republican,1,,,,Times Recommends,0.95
CA,Contra Costa Times,172450,1960,H,,,CA,"BALDWIN, JOHN F.",Republican,1,,1,,Congressman; Times Recommends,0.95
CA,Contra Costa Times,172450,1960,STATE REP,,,CA,"WALDIE, JEROME R.",Democrat,1,1,,,Assemblyman; Times Recommends,0.93
CA,Contra Costa Times,172450,1962,GOVERNOR,,,CA,"NIXON, RICHARD M.",Republican,1,,,,Times Recommends,0.97
CA,Contra Costa Times,172450,1962,LT GOVERNOR,,,CA,"CHRISTOPHER, GEORGE",Republican,1,,,,Times Recommends - Republican primary,0.95
CA,Contra Costa Times,172450,1962,SENATOR,,,CA,"KUCHEL, THOMAS",Republican,1,,1,,Times Recommends - Republican primary; Kuchel incumbent,0.95
CA,Contra Costa Times,172450,1962,ATTORNEY GENERAL,,,CA,"COAKLEY, TOM",Republican,1,,,,Times Recommends - Republican primary,0.94
CA,Contra Costa Times,172450,1962,COMPTROLLER,,,CA,"HARDESTY, CECIL",Republican,1,,,,Times Recommends Controller - Republican primary,0.93
CA,Contra Costa Times,172450,1962,CNTY COMM,,,CA,"COLL, TOM",,1,,,,Supervisor; nonpartisan county office,0.93
CA,Contra Costa Times,172450,1962,SHERIFF,,,CA,"YOUNG, WALTER",,1,1,,,Times Recommends Walter Young for Sheriff; nonpartisan,0.94
CA,Contra Costa Times,172450,1962,TREASURER,,,CA,"HITCHCOCK, EMMETT",,1,,,,Tax Collector-Treasurer; county office,0.93
CA,Contra Costa Times,172450,1962,SEC OF STATE,,,CA,"JORDAN, FRANK M.",Republican,1,,1,,Times Recommends; incumbent Secretary of State,0.95
CA,Contra Costa Times,172450,1962,COMPTROLLER,,,CA,"CRANSTON, ALAN",Democrat,1,1,,,Times Recommends; Cranston was incumbent Controller,0.94
CA,Contra Costa Times,172450,1962,TREASURER,,,CA,"BUSTERUD, JOHN A.",Republican,1,,,,Times Recommends for Treasurer,0.9
CA,Contra Costa Times,172450,1962,STATE BOARD OF ED,2,,CA,"RICHARDSON, RALPH",,1,,,,Board of Equalization 2nd District; Times Recommends,0.9
CA,Contra Costa Times,172450,1962,H,14,,CA,"BALDWIN, JOHN F.",Republican,1,,1,,Congress 14th District; Times Recommends,0.96
CA,Contra Costa Times,172450,1962,STATE REP,10,,CA,"WALDIE, JEROME R.",Democrat,1,1,,,Assembly 10th District; Times Recommends,0.95
CA,Contra Costa Times,172450,1962,DIRECTOR,,,CA,"BLUMBERG, FRED C.",,1,,,,Pleasant Hill Parks-Recreation District board [Pleasant Hill Parks-Recreation District],0.9
CA,Contra Costa Times,172450,1962,DIRECTOR,,,CA,"FRASER, W. WHITNEY",,1,,,,Pleasant Hill Parks-Recreation District board [Pleasant Hill Parks-Recreation District],0.9
CA,Contra Costa Times,172450,1962,DIRECTOR,,,CA,"SMITH, DORIS F.",,1,,,,Pleasant Hill Parks-Recreation District board [Pleasant Hill Parks-Recreation District],0.9
CA,Contra Costa Times,172450,1962,DIRECTOR,,,CA,"MEEHAN, THOMAS P.",,1,,,,Concord Hospital District board [Concord Hospital District],0.9
CA,Contra Costa Times,172450,1962,DIRECTOR,,,CA,"WHALEN, ELMER",,1,,,,Concord Hospital District board [Concord Hospital District],0.9
CA,Contra Costa Times,172450,1964,PRESIDENT,,,CA,"JOHNSON, LYNDON B.",Democrat,1,1,,,Times Recommends - President,0.98
CA,Contra Costa Times,172450,1964,VICE PRESIDENT,,,CA,"HUMPHREY, HUBERT H.",Democrat,1,,,,Times Recommends - Vice President,0.98
CA,Contra Costa Times,172450,1964,SENATOR,,,CA,"MURPHY, GEORGE",Republican,1,,,,Times Recommends - U.S. Senator,0.97
CA,Contra Costa Times,172450,1964,H,14,,CA,"BALDWIN, JOHN F.",Republican,1,,1,,"Times Recommends - Congressman, 14th District (incumbent)",0.97
CA,Contra Costa Times,172450,1964,STATE SENATOR,17,,CA,"MILLER, GEORGE JR.",Democrat,1,1,,,"Times Recommends - State Senator, 17th District (incumbent)",0.97
CA,Contra Costa Times,172450,1964,STATE REP,10,,CA,"WALDIE, JEROME",Democrat,1,1,,,"Times Recommends - Assemblyman, 10th District (incumbent)",0.97
CA,Contra Costa Times,172450,1964,STATE REP,11,,CA,"KNOX, JOHN",Democrat,1,1,,,"Times Recommends - Assemblyman, 11th District (incumbent)",0.97
CA,Contra Costa Times,172450,1964,CNTY COMM,3,,CA,"NIELSEN, MEL",,1,,,,"Times Recommends - Supervisor, Third District",0.93
CA,Contra Costa Times,172450,1964,DIRECTOR,,,CA,"SPROUL, ROBERT G.",,1,,,,Times Recommends - Regional Park District,0.9
CA,Contra Costa Times,172450,1964,DIRECTOR,,,CA,"WOOLRIDGE, CLYDE R.",,1,,,,Times Recommends - Regional Park District,0.9
CA,Contra Costa Times,172450,1964,DIRECTOR,,,CA,"MACDONALD, JOHN A.",,1,,,,Times Recommends - Regional Park District,0.9
CA,Contra Costa Times,172450,1964,DIRECTOR,,,CA,"BUTTON, ALVIN",,1,,,,Times Recommends - Regional Park District,0.9
CA,Contra Costa Times,172450,1964,DIRECTOR,,,CA,"RUIZ, PRIMO",,1,,,,Times Recommends - Regional Park District,0.9
CA,Contra Costa Times,172450,1964,DIRECTOR,,,CA,"KIMBALL, BILL",,1,,,,Times Recommends - Pleasant Hill Park Commission,0.9
CA,Contra Costa Times,172450,1964,DIRECTOR,,,CA,"WINSLOW, TED",,1,,,,Times Recommends - Pleasant Hill Park Commission,0.9
CA,Contra Costa Times,172450,1964,DIRECTOR,,,CA,"SHAUL, B. C.",,1,,,,Times Recommends - Concord Hospital District,0.9
CA,Contra Costa Times,172450,1964,DIRECTOR,,,CA,"CHRISTIANSEN, ROBERT",,1,,,,Times Recommends - Concord Hospital District (Rev.),0.9
CA,Contra Costa Times,172450,1964,DIRECTOR,,,CA,"BALES, N. E.",,1,,,,Times Recommends - Concord Hospital District,0.9
CA,Contra Costa Times,172450,1966,CNTY COMM,4,,CA,"COLL, TOM",,1,,,,"Times Recommends - County Supervisor, 4th District",0.93
