state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
CA,Contra Costa Times,172450,1958,CA,BOND,B,Transit Bond Issue,0,"Times recommends NO; grave doubt that the $16,900,000 bond will get the district into business",0.96
CA,Contra Costa Times,172450,1958,CA,BOND,C,County Bond Issue,1,Times Recommends YES,0.95
CA,Contra Costa Times,172450,1958,CA,BOND,D,County Bond Issue,1,Times Recommends YES,0.95
CA,Contra Costa Times,172450,1962,CA,PROPOSITION,1,School bonds,1,Times Recommends Yes,0.94
CA,Contra Costa Times,172450,1962,CA,PROPOSITION,2,Veterans bonds,1,Times Recommends Yes,0.94
CA,Contra Costa Times,172450,1962,CA,PROPOSITION,3,Building bonds,1,Times Recommends Yes,0.94
CA,Contra Costa Times,172450,1962,CA,PROPOSITION,4,Housing bonds,1,Times Recommends Yes,0.94
CA,Contra Costa Times,172450,1962,CA,PROPOSITION,5,Park bonds,0,Times Recommends No,0.93
CA,Contra Costa Times,172450,1962,CA,PROPOSITION,6,Daylight Saving,1,Times Recommends Yes,0.94
CA,Contra Costa Times,172450,1962,CA,COUNTY MEASURE,,County park bonds,1,Times Recommends Yes on county park bond issue,0.92
CA,Contra Costa Times,172450,1964,CA,PROPOSITION,1,"Beach, park bond",1,Times Recommends YES on State Proposition 1,0.95
CA,Contra Costa Times,172450,1964,CA,PROPOSITION,2,"College, jr. college bonds",1,Times Recommends YES,0.95
CA,Contra Costa Times,172450,1964,CA,PROPOSITION,3,School building bonds,1,Times Recommends YES,0.95
CA,Contra Costa Times,172450,1964,CA,PROPOSITION,4,Veterans tax exemption,1,Times Recommends YES,0.9
CA,Contra Costa Times,172450,1964,CA,PROPOSITION,5,Veterans widows tax exemption,1,Times Recommends YES,0.9
CA,Contra Costa Times,172450,1964,CA,PROPOSITION,6,Out-of-state insurance tax,1,Times Recommends YES,0.9
CA,Contra Costa Times,172450,1964,CA,PROPOSITION,7,Retirement funds investment,1,Times Recommends YES,0.9
CA,Contra Costa Times,172450,1964,CA,PROPOSITION,8,Superior Court judges,1,Times Recommends YES,0.9
CA,Contra Costa Times,172450,1964,CA,PROPOSITION,9,Supervisorial boundaries,1,Times Recommends YES,0.9
CA,Contra Costa Times,172450,1964,CA,PROPOSITION,10,State school fund,1,Times Recommends YES,0.9
CA,Contra Costa Times,172450,1964,CA,PROPOSITION,11,County officers functions,1,Times Recommends YES,0.9
CA,Contra Costa Times,172450,1964,CA,PROPOSITION,12,Disaster relief,1,Times Recommends YES,0.9
CA,Contra Costa Times,172450,1964,CA,PROPOSITION,13,Naming corporations,1,Times Recommends YES,0.9
CA,Contra Costa Times,172450,1964,CA,PROPOSITION,14,Sale and rental of property (Fair housing repeal),0,Times Recommends NO on Prop 14 - the famous Rumford Fair Housing Act repeal initiative,0.97
CA,Contra Costa Times,172450,1964,CA,PROPOSITION,15,Pay TV,0,Times Recommends NO,0.95
CA,Contra Costa Times,172450,1964,CA,PROPOSITION,16,Lottery,0,Times Recommends NO,0.95
CA,Contra Costa Times,172450,1964,CA,PROPOSITION,17,Railroad train crews,0,Times Recommends NO,0.95
CA,Contra Costa Times,172450,1964,CA,BALLOT MEASURE,,Acalanes school unification,1,Times Recommends YES on local school unification,0.9
CA,Contra Costa Times,172450,1964,CA,BALLOT MEASURE,,San Ramon Valley school unification,0,Times Recommends NO on local school unification,0.9
CA,Contra Costa Times,172450,1966,CA,BOND,,Martinez Water Bonds,1,Times Recommends YES,0.9
CA,Contra Costa Times,172450,1966,CA,BOND,,San Ramon Valley school bonds,1,Times Recommends YES,0.9
CA,Contra Costa Times,172450,1966,CA,BOND,,State school bonds,1,Times Recommends YES,0.9
CA,Contra Costa Times,172450,1966,CA,PROPOSITION,1A,Constitutional revision,1,Times Recommends YES,0.92
CA,Contra Costa Times,172450,1966,CA,PROPOSITION,1,Retirement funds,1,Times Recommends YES,0.85
CA,Contra Costa Times,172450,1966,CA,PROPOSITION,2,Higher education bonds,1,Times Recommends YES,0.9
CA,Contra Costa Times,172450,1966,CA,PROPOSITION,3,Open space,1,Times Recommends YES,0.88
CA,Contra Costa Times,172450,1966,CA,PROPOSITION,4,Bond vote requirement,0,Times Recommends NO,0.85
CA,Contra Costa Times,172450,1966,CA,PROPOSITION,5,Disaster fee,1,Times Recommends YES,0.82
CA,Contra Costa Times,172450,1966,CA,PROPOSITION,6,Legislative vote,1,Times Recommends YES,0.85
CA,Contra Costa Times,172450,1966,CA,PROPOSITION,7,Supervisors pay,1,Times Recommends YES,0.85
CA,Contra Costa Times,172450,1966,CA,PROPOSITION,8,Local agency law,1,Times Recommends YES,0.82
CA,Contra Costa Times,172450,1966,CA,PROPOSITION,9,Insurance taxes,1,Times Recommends YES,0.82
CA,Contra Costa Times,172450,1966,CA,PROPOSITION,10,Disaster loans,1,Times Recommends YES,0.82
