state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
CA,Escondido Times-Advocate,101700,1950,GOVERNOR,,,CA,"WARREN, EARL",Republican,1,,1,,post-election recap restates T-A endorsement,0.85
CA,Escondido Times-Advocate,101700,1950,H,23,,CA,"MCKINNON, CLINTON D.",Democrat,1,1,,,post-election recap; 23rd District,0.8
CA,Escondido Times-Advocate,101700,1950,SENATOR,,,CA,"NIXON, RICHARD M.",Republican,1,,,,post-election recap,0.9
CA,Escondido Times-Advocate,101700,1950,ATTORNEY GENERAL,,,CA,"BROWN, EDMUND G.",Democrat,1,,,,post-election recap; T-A backed Brown over Shattuck,0.8
CA,Escondido Times-Advocate,101700,1950,STATE REP,,,CA,"CLOYED,",Independent,1,,,,"post-election recap; Independent challenger, lost to incumbent; first name not in source",0.7
CA,Escondido Times-Advocate,101700,1960,PRESIDENT,,,CA,"NIXON, RICHARD M.",Republican,1,,,,Checklist of T-A Recommendations,0.95
CA,Escondido Times-Advocate,101700,1960,H,30,,CA,"UTT, JAMES B.",Republican,1,,1,,Congressman 30th District,0.9
CA,Escondido Times-Advocate,101700,1960,STATE REP,80,,CA,"MANNING, JACK",Republican,1,,,,Assemblyman 80th District,0.9
CA,Escondido Times-Advocate,101700,1970,H,35,,CA,"LENHART, THOMAS",Democrat,1,,,,"Congress race; T-A editorial critical of Schmitz incumbent (John Birch Society) and makes case for Lenhart (D, retired Marine officer)",0.9
CA,Escondido Times-Advocate,101700,1972,PRESIDENT,,,CA,"NIXON, RICHARD M.",Republican,1,,1,,T-A ballot,0.95
CA,Escondido Times-Advocate,101700,1972,H,42,,CA,"BURGENER, CLAIR W.",Republican,1,,,,T-A ballot; Congress 42nd District,0.95
CA,Escondido Times-Advocate,101700,1972,H,43,,CA,"VEYSEY, VICTOR V.",Republican,1,,1,,T-A ballot; Congress 43rd District,0.95
CA,Escondido Times-Advocate,101700,1972,STATE REP,80,,CA,"STULL, JOHN",Republican,1,,,,T-A ballot; Assembly 80th District,0.95
