state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
CA,LOS ANGELES TIMES,103000,1882,STRAIGHT TICKET,,,CA,STRAIGHT TICKET,Republican,1,,,,straight ticket endorsement (R),
CA,LOS ANGELES TIMES,103000,1884,STRAIGHT TICKET,,,CA,STRAIGHT TICKET,Republican,1,,,,straight ticket endorsement (R),
CA,LOS ANGELES TIMES,103000,1886,STRAIGHT TICKET,,,CA,STRAIGHT TICKET,Republican,1,,,,straight ticket endorsement (R),
CA,LOS ANGELES TIMES,103000,1888,STRAIGHT TICKET,,,CA,STRAIGHT TICKET,Republican,1,,,,straight ticket endorsement (R),
CA,LOS ANGELES TIMES,103000,1890,STRAIGHT TICKET,,,CA,STRAIGHT TICKET,Republican,1,,,,straight ticket endorsement (R),
CA,LOS ANGELES TIMES,103000,1892,STRAIGHT TICKET,,,CA,STRAIGHT TICKET,Republican,1,,,,straight ticket endorsement (R),
CA,LOS ANGELES TIMES,103000,1894,STRAIGHT TICKET,,,CA,STRAIGHT TICKET,Republican,1,,,,straight ticket endorsement (R),
CA,LOS ANGELES TIMES,103000,1896,STRAIGHT TICKET,,,CA,STRAIGHT TICKET,Republican,1,,,,straight ticket endorsement (R),
CA,LOS ANGELES TIMES,103000,1898,STRAIGHT TICKET,,,CA,STRAIGHT TICKET,Republican,1,,,,straight ticket endorsement (R),
CA,LOS ANGELES TIMES,103000,1900,STRAIGHT TICKET,,,CA,STRAIGHT TICKET,Republican,1,,,,straight ticket endorsement (R),
CA,LOS ANGELES TIMES,103000,1902,STRAIGHT TICKET,,,CA,STRAIGHT TICKET,Republican,1,,,,straight ticket endorsement (R),
CA,LOS ANGELES TIMES,103000,1904,STRAIGHT TICKET,,,CA,STRAIGHT TICKET,Republican,1,,,,straight ticket endorsement (R),
CA,LOS ANGELES TIMES,103000,1906,STRAIGHT TICKET,,,CA,STRAIGHT TICKET,Republican,1,,,,straight ticket endorsement (R),
CA,LOS ANGELES TIMES,103000,1908,STRAIGHT TICKET,,,CA,STRAIGHT TICKET,Republican,1,,,,straight ticket endorsement (R),
CA,LOS ANGELES TIMES,103000,1910,STRAIGHT TICKET,,,CA,STRAIGHT TICKET,Republican,1,,,,straight ticket endorsement (R),
CA,LOS ANGELES TIMES,103000,1912,STRAIGHT TICKET,,,CA,STRAIGHT TICKET,Republican,1,,,,"straight ticket endorsement (R), though kind of implied (Taft support)",
CA,LOS ANGELES TIMES,103000,1914,STRAIGHT TICKET,,,CA,STRAIGHT TICKET,Republican,1,,,,"straight ticket endorsement (R), but also endorses individual candidates, some Ds when an R is not running against them (e.g. LT GOV), and some progressives - non Republican endorsements recorded for this year",
CA,LOS ANGELES TIMES,103000,1914,LT GOVERNOR,,,CA,"SNYDER, JO V.",Democrat,1,,,,no republican candidate,
CA,LOS ANGELES TIMES,103000,1914,CNTY SUPERVISOR,1,LOS ANGELES,CA,"MANNING, C. D.",Nonpartisan,1,,,,,
CA,LOS ANGELES TIMES,103000,1914,STATE REP,61,,CA,"MCDONALD, FRANK A.",Republican,0,,,,explicit non-endorsement,
CA,LOS ANGELES TIMES,103000,1914,STATE REP,71,,CA,"SHEPARD, F. M.",Progressive,0,,,,explicit non-endorsement,
CA,LOS ANGELES TIMES,103000,1916,STRAIGHT TICKET,,,CA,STRAIGHT TICKET,Republican,1,,,,straight ticket endorsement (R),
CA,LOS ANGELES TIMES,103000,1918,GOVERNOR,,,CA,"STEPHENS, WILLIAM D.",Republican,1,,,,,
CA,LOS ANGELES TIMES,103000,1918,H,9,9,CA,"FLOWERS, MONTAVILLE",Republican,1,,1,,,
CA,LOS ANGELES TIMES,103000,1918,H,10,10,CA,"OSBORNE, HENRY Z.",Bipartisan,1,,,1,,
CA,LOS ANGELES TIMES,103000,1918,JUDGE,,,CA,"LENNON, THOMAS J.",,1,,,,,
CA,LOS ANGELES TIMES,103000,1918,JUDGE,,,CA,"WILBUR, CURTIS D.",,1,,,,,
CA,LOS ANGELES TIMES,103000,1918,LT GOVERNOR,,,CA,"SNYDER, JO V.",Democrat,1,,,,,
CA,LOS ANGELES TIMES,103000,1920,STRAIGHT TICKET,,,CA,STRAIGHT TICKET,Republican,1,,,,straight ticket endorsement (R),
CA,LOS ANGELES TIMES,103000,1922,ATTORNEY GENERAL,,,CA,"WEBB, U.S.",,1,,,1,,
CA,LOS ANGELES TIMES,103000,1922,COMPTROLLER,,,CA,"RILEY, RAY L.",,1,,,,,
CA,LOS ANGELES TIMES,103000,1922,STATE BOARD OF ED,,,CA,"WOOD, WILL C.",,1,,1,,,
