state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
CA,LOS ANGELES TIMES,103000,1884,CA,BOND,,COURT HOUSE BOND,1,,
CA,LOS ANGELES TIMES,103000,1892,CA,BOND,,WATER BONDS,1,,
CA,LOS ANGELES TIMES,103000,1902,CA,AMENDMENT,18,FISH AND GAME DISTRICTS,1,,
CA,LOS ANGELES TIMES,103000,1902,CA,AMENDMENT,20,STATE HIGHQWAYS,1,,
CA,LOS ANGELES TIMES,103000,1902,CA,AMENDMENT,28,,0,,
CA,LOS ANGELES TIMES,103000,1908,CA,BALLOT MEASURE,,MOVE CAPITOL FROM SACRAMENTO TO BERKELEY,0,,
CA,LOS ANGELES TIMES,103000,1908,CA,BALLOT MEASURE,,SEAWALL ACT,0,,
CA,LOS ANGELES TIMES,103000,1908,CA,BALLOT MEASURE,,INDIAN BASIN ACT,0,,
CA,LOS ANGELES TIMES,103000,1908,CA,AMENDMENT,3,DIRECT PRIMARIES,0,,
CA,LOS ANGELES TIMES,103000,1908,CA,AMENDMENT,7,TECHNICAL CHANGE: APPOINTING TOWNSHIP OFFICERS,1,,
CA,LOS ANGELES TIMES,103000,1908,CA,AMENDMENT,8,CUTTING NON-ELEMENTARY SCHOOLS OUT OF TAX BENEFIT,0,,
CA,LOS ANGELES TIMES,103000,1908,CA,AMENDMENT,24,CHANGING STATE BOARD OF EDUC ORGANIZATION,0,,
CA,LOS ANGELES TIMES,103000,1908,CA,AMENDMENT,28,EXTEND TIME GOV CAN VETO OR SIGN BILLS,1,,
CA,LOS ANGELES TIMES,103000,1908,CA,AMENDMENT,1,TAX: SEPARATION OF STATE & LOCAL,0,,
CA,LOS ANGELES TIMES,103000,1908,CA,AMENDMENT,14,INCREASE SALARIES OF STATE OFFICERS,0,,
CA,LOS ANGELES TIMES,103000,1908,CA,AMENDMENT,16,"LEG: SESSION LENGTH, COMPENS",1,,
CA,LOS ANGELES TIMES,103000,1908,CA,AMENDMENT,24,LOTTERIES AND BUCKET SHOPS,0,,
CA,LOS ANGELES TIMES,103000,1908,CA,AMENDMENT,26,TAX ON MORTGAGES,0,,
CA,LOS ANGELES TIMES,103000,1908,CA,AMENDMENT,29,CREDIT FOR PUBLIC IMPROVEMENTS,1,,
CA,LOS ANGELES TIMES,103000,1908,CA,AMENDMENT,31,EXTEND TERMS OF EXISTENCE OF CORPS,1,,
CA,LOS ANGELES TIMES,103000,1908,CA,AMENDMENT,32,LIMITING EXPENSE ACCOUNT OF LEG,1,,
CA,LOS ANGELES TIMES,103000,1908,CA,AMENDMENT,33,FIX CREDIT OF EXPOSITION COMPANIES,1,,
CA,LOS ANGELES TIMES,103000,1908,CA,AMENDMENT,34,LOTTERIES AND FICTITIOUS STOCKS,0,,
CA,LOS ANGELES TIMES,103000,1914,CA,Proposition,3,PROHIBITION OF ALCOHOL,0,,
CA,LOS ANGELES TIMES,103000,1914,CA,Proposition,4,"EIGHT-HOUR LAW, 48-HOUR WORK WEEK",0,,
CA,LOS ANGELES TIMES,103000,1914,CA,Proposition,7,LOCAL TAXATION EXEMPTION,0,,
CA,LOS ANGELES TIMES,103000,1914,CA,Proposition,45,ONE DAY OF REST IN SEVEN,0,,
CA,LOS ANGELES TIMES,103000,1914,CA,Proposition,,HURTFUL PROPOSITIONS,0,"Says to vote against ""all hurtful propositions"", and if you don't know what the proposition is, to vote against it",
CA,LOS ANGELES TIMES,103000,1916,CA,Proposition,3,STATE HIGHWAY BOND $15M,1,,
CA,LOS ANGELES TIMES,103000,1916,CA,Proposition,5,TAX: LAND VALUES (SINGLE-TAX),0,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,1,ALCOHOL: REGULATION,1,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,2,DEPOSIT OF PUBLIC MONEYS,1,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,3,USURY LAW,1,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,4,ABSENT VOTERS,0,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,5,ORGANIZATION OF COUNTY WITHIN CONSOLIDATED CITY AND COUNTY GOVT,1,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,6,LEG POWER OVER COURTS,0,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,7,LOS ANGELES COUNTY FUNDS,1,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,8,"UNIVERSITY OF CALIFORNIA, ESTABLISH REGENTS, COMPETITIVE BIDDING, GROUNDS FOR DENIAL OF ADMISSION",1,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,9,ADD NEW APPELLATE COURT DIVISIONS,1,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,10,BOROUGH GOVT PERMANENCY,1,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,11,EXEMPTING CEMETERIES FROM TAXATION,0,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,12,REIMBURSING CITIES FOR REVENUE LOSSES FROM TAXATION EXEMPTIONS FOR MILITARY SERVICE,0,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,13,CONDEMNATION OF RIGHT OF WAY FOR PUBLIC USE,1,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,14,TAX EXEMPT: YMCA & YWCA,1,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,15,"CREATE BUDGET BOARD, OMINBUS BILLS",0,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,16,CITY OF VENICE INDEBTEDNESS,1,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,17,TAX: COUNTY & SCHOOL LIMITS,1,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,18,TAX: COUNTY & SCHOOL LIMITS,1,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,19,TAX: LAND VALUES (SINGLE-TAX),0,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,20,"HEALTH INSURANCE, LOWER-INCOME WORKERS",0,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,21,REGUL: DENTISTRY (RELAX),1,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,22,ALCOHOL: PROHIBITION,0,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,23,ESTABLISH WORKMEN'S COMPENSATION,0,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,24,STOCKHOLDER'S LIMITED LIABILITY,1,,
CA,LOS ANGELES TIMES,103000,1918,CA,Proposition,25,EMINENT DOMAIN,1,,
CA,LOS ANGELES TIMES,103000,1920,CA,Proposition,12,TAX: STATE UNIVERSITY TAX,0,,
CA,LOS ANGELES TIMES,103000,1922,CA,Proposition,1,VETS HOME LOANS VALIDATING ACT,1,,
CA,LOS ANGELES TIMES,103000,1922,CA,Proposition,2,ALCOHOL: PROHIBIT ENFORCEMENT ACT,1,,
CA,LOS ANGELES TIMES,103000,1922,CA,Proposition,3,VETS BOND $10M,1,,
CA,LOS ANGELES TIMES,103000,1922,CA,Proposition,4,LAND SETTLEMENT BOND $3M,0,,
CA,LOS ANGELES TIMES,103000,1922,CA,Proposition,5,REGUL: TENEMENT HOUSES & HOTELS,0,,
CA,LOS ANGELES TIMES,103000,1922,CA,Proposition,6,REGUL: TITLE INSURANCE (CLASS BY POP),1,,
CA,LOS ANGELES TIMES,103000,1922,CA,Proposition,7,TAX EXEMPT: VETS,1,,
CA,LOS ANGELES TIMES,103000,1922,CA,Proposition,8,"MUNICIPALITIES, ANNEXATION",1,,
CA,LOS ANGELES TIMES,103000,1922,CA,Proposition,9,"MUNICIPAL CHARTERS, CREATING BOROUGHS",1,,
CA,LOS ANGELES TIMES,103000,1922,CA,Proposition,10,TAX: PUBLY OWNED UTILITIES,1,,
