state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
CA,Merced Sun Star,103100,1966,ATTORNEY GENERAL,,,CA,"LYNCH, THOMAS C.",Democrat,1,,,1,Appointed 1964; fine record from SF County DA; age 62 no political ambitions,0.94
CA,Merced Sun Star,103100,1966,CONTROLLER,,,CA,"CRANSTON, ALAN",Democrat,0,1,,,Spoils system inheritance tax appraisers,0.92
CA,Merced Sun Star,103100,1966,CONTROLLER,,,CA,"FLOURNOY, HOUSTON",Republican,1,,,,Calls for abolishing inheritance tax appraiser spoils system,0.94
CA,Merced Sun Star,103100,1966,GOVERNOR,,,CA,"BROWN, PAT",Democrat,0,1,,,Brown machine has grown to formidable proportions; need a new look,0.95
CA,Merced Sun Star,103100,1966,GOVERNOR,,,CA,"REAGAN, RONALD",Republican,1,,,,Election will give state fresh effective leadership; moderate not far-right,0.97
CA,Merced Sun Star,103100,1966,H,16,,CA,"SISK, B. F. (BERNIE)",Democrat,1,1,,,Seeking sixth term; forthright and capable lawmaker; agriculture knowledge,0.97
CA,Merced Sun Star,103100,1966,H,16,,CA,"WHITE, CECIL",Republican,0,,,,Former Democrat congressman; confused foreign affairs ideas,0.92
CA,Merced Sun Star,103100,1966,LT GOVERNOR,,,CA,"FINCH, ROBERT H.",Republican,1,,,,Moderate; long record of community service; supports two-party system,0.95
CA,Merced Sun Star,103100,1966,SEC OF STATE,,,CA,"JORDAN, FRANK",Republican,1,,1,,Served CA well for a number of years; deserves reelection,0.94
CA,Merced Sun Star,103100,1966,STATE REP,31,,CA,"MURPHY, FRANK",Republican,0,,,,Santa Cruz challenger,0.90
CA,Merced Sun Star,103100,1966,STATE REP,31,,CA,"WINTON, GORDON H. JR.",Democrat,1,1,,,Veteran of 10 years in CA Assembly; effective independent Democrat,0.97
CA,Merced Sun Star,103100,1966,STATE SENATOR,,,CA,"COBEY, JAMES A.",Democrat,0,,,,Conflict of interest as legal counsel for Missouri corporation seeking payments from CA,0.93
CA,Merced Sun Star,103100,1966,STATE SENATOR,,,CA,"WAY, HOWARD",Republican,1,,1,,Tulare County state senator; intelligent hard-working full-time legislator; reelect,0.96
CA,Merced Sun Star,103100,1966,TREASURER,,,CA,"BETTS, BERT",Democrat,1,1,,,CPA; demonstrated qualifications for fiscal work,0.94
CA,Merced Sun Star,103100,1966,TREASURER,,,CA,"PRIEST, IVY BAKER",Republican,0,,,,Former US Treasurer not necessarily qualified for CA fiscal work,0.92
CA,Merced Sun Star,103100,1968,H,16,,CA,"SISK, B. F.",Democrat,1,1,,,Sun-Star recommendation,0.96
CA,Merced Sun Star,103100,1968,PRESIDENT,,,CA,"NIXON, RICHARD M.",Republican,1,,,,Sun-Star recommendation,0.96
CA,Merced Sun Star,103100,1968,SENATOR,,,CA,"CRANSTON, ALAN",Democrat,1,,,,Sun-Star recommendation,0.95
CA,Merced Sun Star,103100,1968,STATE REP,31,,CA,"MURPHY, FRANK",Republican,1,,,,Sun-Star recommendation - reverse of 1966 endorsement,0.93
CA,Merced Sun Star,103100,1968,STATE SENATOR,15,,CA,"WAY, HOWARD",Republican,1,,1,,Sun-Star recommendation,0.95
CA,Merced Sun Star,103100,1970,ATTORNEY GENERAL,,,CA,"YOUNGER, EVELLE",Republican,1,,,,Sun-Star recommendation,0.95
CA,Merced Sun Star,103100,1970,CONTROLLER,,,CA,"FLOURNOY, HOUSTON",Republican,1,,1,,Sun-Star recommendation,0.95
CA,Merced Sun Star,103100,1970,GOVERNOR,,,CA,"REAGAN, RONALD",Republican,1,,1,,Sun-Star recommendation,0.96
CA,Merced Sun Star,103100,1970,H,16,,CA,"SISK, B. F.",Democrat,1,1,,,Sun-Star recommendation,0.96
CA,Merced Sun Star,103100,1970,LT GOVERNOR,,,CA,"REINECKE, ED",Republican,1,,1,,Sun-Star recommendation,0.94
CA,Merced Sun Star,103100,1970,SEC OF STATE,,,CA,"FLOURNOY, JAMES",Republican,1,,,,Sun-Star recommendation,0.88
CA,Merced Sun Star,103100,1970,SENATOR,,,CA,"MURPHY, GEORGE",Republican,1,,1,,Sun-Star recommendation,0.95
CA,Merced Sun Star,103100,1970,STATE REP,31,,CA,"MURPHY, FRANK",Republican,1,,1,,Sun-Star recommendation,0.94
CA,Merced Sun Star,103100,1970,SUPERINTENDENT,,,CA,"RAFFERTY, MAX",Republican,1,,,1,Sun-Star recommendation,0.94
CA,Merced Sun Star,103100,1970,TREASURER,,,CA,"PRIEST, IVY BAKER",Republican,1,,1,,Sun-Star recommendation - reverse of 1966,0.93
CA,Merced Sun Star,103100,1972,CNTY COMM,4,Merced County,CA,"GOMAN, AL",,1,,,,Former Gustine councilman/mayor; opposes Williamson Act,0.93
CA,Merced Sun Star,103100,1972,CNTY COMM,4,Merced County,CA,"SOUZA, ARNOLD",,0,,,,Favors Williamson Act implementation; would sell county hospital,0.88
CA,Merced Sun Star,103100,1972,H,16,,CA,"SISK, B. F.",Democrat,1,1,,,Sun-Star recap,0.96
CA,Merced Sun Star,103100,1972,H,16,,CA,"SISK, B. F. (BERNIE)",Democrat,1,1,,,Eighth term; seniority on agriculture and rules committees,0.97
CA,Merced Sun Star,103100,1972,H,18,,CA,"MATHIAS, ROBERT",Republican,1,,1,,Sun-Star recap,0.94
