state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
CA,Merced Sun Star,103100,1966,CA,AMENDMENT,1,Authorize investment of public retirement funds in stocks/shares,1,More balanced portfolio; restrictions added since 1964 defeat,0.95
CA,Merced Sun Star,103100,1966,CA,AMENDMENT,1-A,Revisions to California Constitution including judicial article and legislative compensation,0,Hodgepodge - oppose; legislators setting own salaries,0.95
CA,Merced Sun Star,103100,1966,CA,AMENDMENT,10,Interest-free loans of public funds for restoration of private property in disaster areas,0,Smacks of socialism; no guidelines; state would insure private property,0.95
CA,Merced Sun Star,103100,1966,CA,AMENDMENT,11,Remove legislature power to amend boxing/wrestling initiative act of 1924,0,Piecemeal Constitution revision; tied to 1-A; confusing,0.93
CA,Merced Sun Star,103100,1966,CA,AMENDMENT,12,County assessment appeals boards on local option basis,1,Right of counties to establish appeals boards,0.95
CA,Merced Sun Star,103100,1966,CA,AMENDMENT,13,Remove constitutional requirement for annual property tax statements,1,Removes law assessors do not enforce,0.95
CA,Merced Sun Star,103100,1966,CA,AMENDMENT,14,Make state income tax laws conform with federal income tax laws,1,Reduces complete computation burden,0.95
CA,Merced Sun Star,103100,1966,CA,AMENDMENT,15,Change educational qualifications for voting - exempt elderly long-term residents from English literacy test,0,Reading 100 words of US Constitution is reasonable voting requirement,0.94
CA,Merced Sun Star,103100,1966,CA,AMENDMENT,3,Assess open-space lands at existing use value rather than market value,1,Encourage preservation of open space; recreation and agricultural lands,0.94
CA,Merced Sun Star,103100,1966,CA,AMENDMENT,4,Reduce school/library bond approval threshold from 2/3 to 60% if on primary/general ballot,1,Many districts have failed; resubmission costs money,0.95
CA,Merced Sun Star,103100,1966,CA,AMENDMENT,5,Property tax relief in event of disaster - destroyed by major misfortune or calamity,0,Special tax treatment; unfair advantage,0.93
CA,Merced Sun Star,103100,1966,CA,AMENDMENT,6,Eliminate governor pocket veto - require veto override mechanism for all bills,1,Pocket veto is poor government; bill timing should not affect override rights,0.96
CA,Merced Sun Star,103100,1966,CA,AMENDMENT,7,Allow county supervisors to set their own salaries,0,Eliminates check and balance from grand jury and state legislature,0.95
CA,Merced Sun Star,103100,1966,CA,AMENDMENT,8,Insurance company office tax deduction formula,0,Reversed later - see 11/02; revenue loss possible,0.85
CA,Merced Sun Star,103100,1966,CA,AMENDMENT,8,Insurance company office tax deduction formula - limit deduction to occupied portion,1,Reversed earlier opposition; adds $1M to state treasury; eliminates double taxation,0.93
CA,Merced Sun Star,103100,1966,CA,AMENDMENT,9,Property tax exemption for blind veterans equal to paraplegic veterans,1,Corrects 1960 oversight - raises from $1000 to $5000,0.96
CA,Merced Sun Star,103100,1966,CA,BOND,2,State Higher Education Construction Program Bond Act 1966 - $230 million for UC and state colleges,1,80% rise in college age population through 1970,0.97
CA,Merced Sun Star,103100,1966,CA,INITIATIVE,16,Obscenity law - tighten standards for prosecuting obscene material,0,Goes too far; Bible could be banned; due process concerns,0.97
CA,Merced Sun Star,103100,1968,CA,AMENDMENT,1,Constitution Revision,1,1968 recap,0.92
CA,Merced Sun Star,103100,1968,CA,AMENDMENT,1A,Property Tax Exemption,0,1968 recap,0.92
CA,Merced Sun Star,103100,1968,CA,AMENDMENT,2,Formula for assessing publicly-owned lands and water rights,1,New formula necessary,0.88
CA,Merced Sun Star,103100,1968,CA,AMENDMENT,3,School Bonds,1,1968 recap,0.92
CA,Merced Sun Star,103100,1968,CA,AMENDMENT,4,Simplify CA personal income tax reporting and collection,1,Five tax measures should be approved,0.92
CA,Merced Sun Star,103100,1968,CA,AMENDMENT,5,Hospital Loans,1,1968 recap,0.92
CA,Merced Sun Star,103100,1968,CA,AMENDMENT,6,Exempt private non-profit college retirement programs from state insurance premium tax,1,Five tax measures should be approved,0.93
CA,Merced Sun Star,103100,1968,CA,AMENDMENT,7,Allocate general fund monies to cities/counties for own purposes,1,Definition of state vs local purposes is ambiguous,0.93
CA,Merced Sun Star,103100,1968,CA,AMENDMENT,8,Allow cities/counties to share sales tax revenue with voter agreement,1,No organized opposition,0.93
CA,Merced Sun Star,103100,1968,CA,AMENDMENT,9,Property Tax Rate Limit,0,1968 recap,0.92
CA,Merced Sun Star,103100,1970,CA,AMENDMENT,10,Loan Limit,0,1970 recap,0.91
CA,Merced Sun Star,103100,1970,CA,AMENDMENT,11,Chiropractic Act,1,1970 recap,0.91
CA,Merced Sun Star,103100,1970,CA,AMENDMENT,12,Supervisors Salaries,1,1970 recap,0.91
CA,Merced Sun Star,103100,1970,CA,AMENDMENT,13,Vets Tax Relief,1,1970 recap,0.91
CA,Merced Sun Star,103100,1970,CA,AMENDMENT,14,Civil Service Exemptions,1,1970 recap,0.91
CA,Merced Sun Star,103100,1970,CA,AMENDMENT,15,Constitutional Revision,1,1970 recap,0.91
CA,Merced Sun Star,103100,1970,CA,AMENDMENT,16,Constitutional Revision,1,1970 recap,0.91
CA,Merced Sun Star,103100,1970,CA,AMENDMENT,17,Constitutional Revision,1,1970 recap,0.91
CA,Merced Sun Star,103100,1970,CA,AMENDMENT,18,Gas Tax,0,1970 recap,0.91
CA,Merced Sun Star,103100,1970,CA,AMENDMENT,19,Loan Sharking,1,1970 recap,0.91
CA,Merced Sun Star,103100,1970,CA,AMENDMENT,2,Officer Replacement,1,1970 recap,0.91
CA,Merced Sun Star,103100,1970,CA,AMENDMENT,3,Budget Speed-Up,0,1970 recap,0.91
CA,Merced Sun Star,103100,1970,CA,AMENDMENT,6,Teacher Funds,1,1970 recap,0.91
CA,Merced Sun Star,103100,1970,CA,AMENDMENT,7,Speaker College Trustee,0,1970 recap,0.91
CA,Merced Sun Star,103100,1970,CA,AMENDMENT,8,Civil Service Exemption,0,1970 recap,0.91
CA,Merced Sun Star,103100,1970,CA,AMENDMENT,9,Appoint Superintendents,1,1970 recap,0.91
