state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
CA,Napa Valley Register,691,1928,PRESIDENT,,Napa,CA,"HOOVER, HERBERT C.",Republican,1,,,,THE REPUBLICAN TICKET; VOTE FOR HOOVER AND CURTIS AND CONTINUED PROSPERITY,0.95
CA,Napa Valley Register,691,1928,VICE PRESIDENT,,Napa,CA,"CURTIS, CHARLES",Republican,1,,,,THE REPUBLICAN TICKET,0.95
CA,Napa Valley Register,691,1928,SENATOR,,Napa,CA,"JOHNSON, HIRAM",Republican,1,,1,,THE REPUBLICAN TICKET; U.S. SENATOR; INCUMBENT,0.95
CA,Napa Valley Register,691,1928,H,2,Napa,CA,"CURRY, CHARLES F.",Republican,1,,1,,THE REPUBLICAN TICKET; CONGRESSMAN; INCUMBENT,0.95
CA,Napa Valley Register,691,1928,STATE SENATOR,,Napa,CA,"MCCORMACK, THOMAS",Republican,1,,,,THE REPUBLICAN TICKET; STATE SENATOR; A FARMER SUCCESSFUL IN BUSINESS AFFAIRS AN OFFICIAL OF SOLANO COUNTY; ENDORSED IN SEPARATE EDITORIAL,0.95
CA,Napa Valley Register,691,1928,STATE REP,,Napa,CA,"COOMBS, FRANK L.",Republican,1,,1,,THE REPUBLICAN TICKET; ASSEMBLYMAN; INCUMBENT; DONT FORGET HON FRANK L COOMBS IS A CANDIDATE FOR RE-ELECTION TO THE ASSEMBLY; CAPABLE SERVICES IN BEHALF OF THIS ASSEMBLY DISTRICT AT SACRAMENTO,0.95
CA,Napa Valley Register,691,1930,GOVERNOR,,Napa,CA,"ROLPH, JAMES JR.",Republican,1,,,,REGISTERS TICKET; MAYOR,0.95
CA,Napa Valley Register,691,1930,LT GOVERNOR,,Napa,CA,"MERRIAM, FRANK F.",Republican,1,,,,REGISTERS TICKET,0.95
CA,Napa Valley Register,691,1930,SEC OF STATE,,Napa,CA,"JORDAN, FRANK C.",Republican,1,,1,,REGISTERS TICKET; INCUMBENT,0.95
CA,Napa Valley Register,691,1930,CONTROLLER,,Napa,CA,"RILEY, RAY L.",Republican,1,,1,,REGISTERS TICKET; STATE CONTROLLER; INCUMBENT,0.95
CA,Napa Valley Register,691,1930,TREASURER,,Napa,CA,"JOHNSON, CHARLES G.",Republican,1,,1,,REGISTERS TICKET; STATE TREASURER; INCUMBENT,0.95
CA,Napa Valley Register,691,1930,ATTORNEY GENERAL,,Napa,CA,"WEBB, U.S.",Republican,1,,1,,REGISTERS TICKET; INCUMBENT,0.95
CA,Napa Valley Register,691,1930,BD OF EQUAL,,Napa,CA,"COLLINS, RICHARD",Republican,1,,,,REGISTERS TICKET; EQUALIZATION BOARD,0.95
CA,Napa Valley Register,691,1930,H,2,Napa,CA,"CURRY, CHARLES F. JR.",Republican,1,,,,REGISTERS TICKET; CONGRESS; WILL CARRY OUT THE POLICIES OF HIS FATHER; GRADUATE ATTORNEY; KNOWS WASHINGTON AND HE KNOWS THE DISTRICT,0.95
CA,Napa Valley Register,691,1930,STATE REP,,Napa,CA,"GORDON, FRANK L.",Republican,1,,,,REGISTERS TICKET; ASSEMBLY,0.95
CA,Napa Valley Register,691,1932,PRESIDENT,,Napa,CA,"HOOVER, HERBERT C.",Republican,1,,1,,REPUBLICAN TICKET; INCUMBENT; A STRIKING CONTRAST INDEED EDITORIAL COMPARES HOOVER SELF-MADE MAN TO ROOSEVELTS INHERITED WEALTH; KEEP THE PILOT AT THE HELM,0.95
CA,Napa Valley Register,691,1932,VICE PRESIDENT,,Napa,CA,"CURTIS, CHARLES",Republican,1,,1,,REPUBLICAN TICKET; INCUMBENT,0.95
CA,Napa Valley Register,691,1932,SENATOR,,Napa,CA,"TUBBS, TALLANT",Republican,1,,,,REPUBLICAN TICKET; U.S. SENATOR; SENATOR SHORTRIDGE CAME OUT IN VIGOROUS ENDORSEMENT OF TUBBS,0.95
CA,Napa Valley Register,691,1932,H,3,Napa,CA,"CURRY, CHARLES F.",Republican,1,,1,,REPUBLICAN TICKET; CONGRESSMAN; REPRESENTATIVE OF SACRAMENTO SAN JOAQUIN YOLO NAPA AND SOLANO COUNTIES; THIRD CONGRESSIONAL DISTRICT; SEEKING RE-ELECTION; INCUMBENT,0.95
CA,Napa Valley Register,691,1932,STATE SENATOR,,Napa,CA,"GORDON, FRANK L.",Republican,1,,,,REPUBLICAN TICKET; STATE SENATOR,0.95
CA,Napa Valley Register,691,1932,STATE REP,,Napa,CA,"CROWLEY, ERNEST E.",Republican,1,,,,REPUBLICAN TICKET; ASSEMBLYMAN,0.95
CA,Napa Valley Register,691,1934,GOVERNOR,,Napa,CA,"MERRIAM, FRANK F.",Republican,1,,1,,INCUMBENT; INDICATIONS POINT TO VICTORY EDITORIAL; MERRIAM VS SINCLAIR AMERICANISM VS SOCIALISM; EXPECTED TO CARRY AT LEAST 55 COUNTIES; THE ISSUE IS THE MOST IMPORTANT ONE THAT WAS EVER FACED IN CALIFORNIA,0.95
CA,Napa Valley Register,691,1934,LT GOVERNOR,,Napa,CA,"HATFIELD, GEORGE J.",Republican,1,,,,ENDORSED IN TICKET BOX,0.95
CA,Napa Valley Register,691,1934,H,3,Napa,CA,"INMAN, J.M.",Republican,1,,,,CONGRESS; THIRD CONGRESSIONAL DISTRICT; SENATOR INMAN IS A FRIEND OF LABOR A FRIEND OF EDUCATION A FRIEND OF INDUSTRY; FURTHERMORE HE IS ABLE ENERGETIC PROGRESSIVE; AS A MEMBER OF CONGRESS HE WOULD REFLECT HONOR UPON THE THIRD CONGRESSIONAL DISTRICT,0.95
CA,Napa Valley Register,691,1934,GOVERNOR,,Napa,CA,"SINCLAIR, UPTON",Democrat,0,,,,EXPLICITLY OPPOSED; SYNDICALISM AND SOCIALISM AND COMMUNISM MUST BE BURIED; ANY BALLOTS CAST FOR HAIGHT WHO HASNT A CHANCE OF ELECTION WILL COUNT AS HALF A VOTE FOR SINCLAIR,0.95
CA,Napa Valley Register,691,1936,PRESIDENT,,Napa,CA,"LANDON, ALF",Republican,1,,,,ISSUE CLEAR IN TOMORROWS ELECTION EDITORIAL; THE REGISTER HAS SUPPORTED GOVERNOR LANDON IN THE CAMPAIGN NOT JUST BECAUSE WE ARE AN OLD-LINE REPUBLICAN NEWSPAPER BUT BECAUSE THE TIME HAS COME TO PLACE A CURB ON THE NEW DEAL; GOVERNOR LANDON PROMISES TO PUT AN END TO THE NEW DEAL; WE SHALL VOTE TO MOVE THEM OUT,0.95
