state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
CA,OAKLAND TRIBUNE,103350,1940,H,6,6,CA,"CARTER, ALBERT EDWARD","R,D,S,PG,TN",1,1,1,1,NA,
CA,OAKLAND TRIBUNE,103350,1940,H,7,7,CA,"ELTSE, RALPH R.",Republican,1,1,,,NA,
CA,OAKLAND TRIBUNE,103350,1940,SENATOR,,0,CA,"JOHNSON, HIRAM WARREN",Republican,1,,1,,NA,
CA,OAKLAND TRIBUNE,103350,1942,ATTORNEY GENERAL,,0,CA,"WARE, WALLACE L.",Republican,1,,,,NA,
CA,OAKLAND TRIBUNE,103350,1942,GOVERNOR,,0,CA,"WARREN, EARL",Republican,1,1,,,NA,
CA,OAKLAND TRIBUNE,103350,1942,LT GOVERNOR,,0,CA,"HOUSER, FREDERICK F.",Republican,1,1,,,NA,
CA,OAKLAND TRIBUNE,103350,1942,SEC OF STATE,,0,CA,"JORDAN, FRANK M.",Republican,1,,,,NA,
CA,OAKLAND TRIBUNE,103350,1942,TREASURER,,0,CA,"JOHNSON, CHARLES G.","R,D",1,1,1,,NA,
CA,OAKLAND TRIBUNE,103350,1944,H,6,6,CA,"CARTER, ALBERT EDWARD",Republican,1,,1,,NA,
CA,OAKLAND TRIBUNE,103350,1944,H,7,7,CA,"WALTER, CHESLEY M.",Republican,1,1,,,NA,
CA,OAKLAND TRIBUNE,103350,1944,SENATOR,,,CA,"HOUSER, FREDERICK F.",Republican,1,1,,,NA,
CA,OAKLAND TRIBUNE,103350,1946,ATTORNEY GENERAL,,,CA,"HOWSER, FRED N.",Republican,1,,,,NA,
CA,OAKLAND TRIBUNE,103350,1946,COMPTROLLER,,,CA,"KUCHEL, THOMAS HENRY","R,D",1,,,,NA,
CA,OAKLAND TRIBUNE,103350,1946,GOVERNOR,,,CA,"WARREN, EARL","R,D",1,1,1,,NA,
CA,OAKLAND TRIBUNE,103350,1946,H,7,7,CA,"ALLEN, JOHN JOSEPH, JR.",Republican,1,,,,NA,
CA,OAKLAND TRIBUNE,103350,1946,LT GOVERNOR,,,CA,"KNIGHT, GOODWIN J.",Republican,1,,,,NA,
CA,OAKLAND TRIBUNE,103350,1946,SENATOR,,,CA,"KNOWLAND, WILLIAM FIFE",Republican,1,,,,NA,
CA,OAKLAND TRIBUNE,103350,1946,SEC OF STATE,,,CA,"JORDAN, FRANK M.","R,D",1,1,1,,NA,
CA,OAKLAND TRIBUNE,103350,1946,TREASURER,,,CA,"JOHNSON, CHARLES G.","R,D",1,1,1,,NA,
CA,OAKLAND TRIBUNE,103350,1948,H,7,7,CA,"ALLEN, JOHN JOSEPH, JR.",Republican,1,,1,,NA,
CA,OAKLAND TRIBUNE,103350,1950,ATTORNEY GENERAL,,,CA,"SHATTUCK, EDWARD S.",Republican,1,,,,NA,
CA,OAKLAND TRIBUNE,103350,1950,COMPTROLLER,,,CA,"KUCHEL, THOMAS HENRY","R,D",1,1,1,,NA,
CA,OAKLAND TRIBUNE,103350,1950,GOVERNOR,,,CA,"WARREN, EARL",Republican,1,,1,,NA,
CA,OAKLAND TRIBUNE,103350,1950,H,7,7,CA,"ALLEN, JOHN JOSEPH, JR.",Republican,1,,1,,NA,
CA,OAKLAND TRIBUNE,103350,1950,SENATOR,,,CA,"NIXON, RICHARD M.",Republican,1,,,,NA,
CA,OAKLAND TRIBUNE,103350,1952,H,6,6,CA,"BALDWIN, JOHN FINLEY, JR.",Republican,1,,,,NA,
CA,OAKLAND TRIBUNE,103350,1952,H,7,7,CA,"ALLEN, JOHN JOSEPH, JR.","R,D",1,1,1,,NA,
CA,OAKLAND TRIBUNE,103350,1952,PRESIDENT,,,CA,"EISENHOWER, DWIGHT D.",Republican,1,,,,NA,
CA,OAKLAND TRIBUNE,103350,1954,ATTORNEY GENERAL,,,CA,"BROWN, EDMUND G. (PAT)","D,R",1,1,1,,NA,
CA,OAKLAND TRIBUNE,103350,1954,COMPTROLLER,,,CA,"KIRKWOOD, ROBERT C.",Republican,1,,,,NA,
CA,OAKLAND TRIBUNE,103350,1954,GOVERNOR,,,CA,"KNIGHT, GOODWIN J.",Republican,1,,,,NA,
CA,OAKLAND TRIBUNE,103350,1954,H,6,6,CA,"BALDWIN, JOHN FINLEY, JR.",Republican,1,1,,,NA,
CA,OAKLAND TRIBUNE,103350,1954,H,7,7,CA,"ALLEN, JOHN JOSEPH, JR.",Republican,1,,1,,NA,
CA,OAKLAND TRIBUNE,103350,1954,H,8,8,CA,"RITCHIE, JESS M.",Republican,1,1,,,NA,
