state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,1,VETS BOND $20M,1,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,10,USURY LAW,0,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,11,REGUL: FISH & GAME,0,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,12,EXPENSES FOR LEG HELP,1,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,13,AUTH. PAYMENTS FOR DESTROYED LIVESTOCK,1,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,14,PERMANENT VOTER REGISTRATION,0,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,15,"TAX EXEMPT: HUNTINGTON LIBRARY, GALLERY",0,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,16,LEG POWER TO SET RULES FOR CORPS,1,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,17,TAX: OCEAN MARINE INSURERS,1,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,18,TAX: MOTOR VEHICLES,0,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,19,JUDICIARY DISQUALIFICATIONS,1,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,2,APPORTION TAXES TO FIREMEN'S FUNDS,0,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,20,GOVERNOR'S COUNCIL,0,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,21,TAX: REIMBURSING COUNTIES,0,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,22,MUNICIPAL CHARTER AMENDS,1,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,23,CONST CONVENTION,1,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,24,LEG MAY CHANGE NO. OF SUPERIOR JUDGES,0,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,25,SUFFRAGE: 40 DAY RESIDENCY,1,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,26,SUNDAY CLOSING LAW,0,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,3,LEG MAY FIX COMP. OF STATE EXEC OFFIC.,1,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,4,TAX: STREET RAILWAYS,1,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,5,STATE EMPLOYEES RETIRMENT SALARIES,1,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,6,TAX: STATE TOLL BRIDGES,0,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,7,DAYLIGHT SAVING ACT,0,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,8,TAX EXEMPT: HOSPITALS & SANITORIUMS,0,,
CA,OAKLAND TRIBUNE,103350,1930,CA,PROPOSITION,9,S.F. HARBOR BOND $10M,1,,
CA,OAKLAND TRIBUNE,103350,1932,CA,PROPOSITION,10,ALLOW ESCONDIDO TO HOLD WATER CO STOCK,1,,
CA,OAKLAND TRIBUNE,103350,1932,CA,PROPOSITION,11,TIDELAND GRANT TO HUNTINGTON BEACH,0,,
CA,OAKLAND TRIBUNE,103350,1932,CA,PROPOSITION,12,ALLOW GLENDALE TO PAY IMPROVEMENT ASSES,1,,
CA,OAKLAND TRIBUNE,103350,1932,CA,PROPOSITION,13,"BOXING & WRESTLING, LEG POWER OVER LAW",0,,
CA,OAKLAND TRIBUNE,103350,1932,CA,PROPOSITION,14,TAX EXEMPT: VESSELS,1,,
CA,OAKLAND TRIBUNE,103350,1932,CA,PROPOSITION,15,DEPOSIT OF PUB FUNDS,1,,
CA,OAKLAND TRIBUNE,103350,1932,CA,PROPOSITION,16,"TAX LIENS, 30 YEAR LIMITATION",1,,
