state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
CA,Salinas Californian,104200,1952,PRESIDENT,,,CA,"EISENHOWER, DWIGHT D.",Republican,1,,,,Voters Guide endorsement,0.95
CA,Salinas Californian,104200,1952,SENATOR,,,CA,"KNOWLAND, WILLIAM F.",Republican,1,,,,Voters Guide endorsement,0.93
CA,Salinas Californian,104200,1952,VICE PRESIDENT,,,CA,"NIXON, RICHARD M.",Republican,1,,,,Voters Guide endorsement,0.93
CA,Salinas Californian,104200,1956,H,13,,CA,"TEAGUE, CHARLES M.",Republican,1,,1,,Salinas Californian recommendation,0.94
CA,Salinas Californian,104200,1956,PRESIDENT,,,CA,"EISENHOWER, DWIGHT D.",Republican,1,,1,,Salinas Californian recommendation,0.95
CA,Salinas Californian,104200,1956,SENATOR,,,CA,"KUCHEL, THOMAS H.",Republican,1,,1,,Salinas Californian recommendation,0.94
CA,Salinas Californian,104200,1956,STATE REP,,,CA,"PATTEE, ALAN G.",,1,,,,Unopposed; vote of confidence,0.90
CA,Salinas Californian,104200,1956,STATE SENATOR,,,CA,"FARR, FRED S.",,1,,,,Unopposed; vote of confidence,0.90
CA,Salinas Californian,104200,1956,VICE PRESIDENT,,,CA,"NIXON, RICHARD M.",Republican,1,,1,,Salinas Californian recommendation,0.94
CA,Salinas Californian,104200,1960,H,13,,CA,"TEAGUE, CHARLES M.",Republican,1,,1,,Salinas Californian recommendation,0.94
CA,Salinas Californian,104200,1960,PRESIDENT,,,CA,"NIXON, RICHARD M.",Republican,1,,,,Salinas Californian recommendation,0.95
CA,Salinas Californian,104200,1960,STATE REP,,,CA,"PATTEE, ALAN G.",Republican,1,,,,Salinas Californian recommendation,0.93
CA,Salinas Californian,104200,1960,STATE SENATOR,,,CA,"BRYAN, WILLIAM F.",Republican,1,,,,Salinas Californian recommendation,0.93
CA,Salinas Californian,104200,1960,VICE PRESIDENT,,,CA,"LODGE, HENRY CABOT",Republican,1,,,,Salinas Californian recommendation,0.93
CA,Salinas Californian,104200,1962,ATTORNEY GENERAL,,,CA,"COAKLEY, TOM",Republican,1,,,,Salinas Californian recommendation,0.93
CA,Salinas Californian,104200,1962,BOARD OF EQUALIZATION,,,CA,"REILLY, GEORGE R.",Democrat,1,,,,Salinas Californian recommendation,0.92
CA,Salinas Californian,104200,1962,CONTROLLER,,,CA,"REAGAN, BRUCE V.",Republican,1,,,,Salinas Californian recommendation,0.93
CA,Salinas Californian,104200,1962,GOVERNOR,,,CA,"NIXON, RICHARD M.",Republican,1,,,,Salinas Californian recommendation,0.95
