state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
CA,Salinas Californian,104200,1946,CA,AMENDMENT,1,Veteran Bond Act of 1946,1,1946 ballot recap,0.94
CA,Salinas Californian,104200,1946,CA,AMENDMENT,10,Salary of the Governor,1,1946 ballot recap,0.94
CA,Salinas Californian,104200,1946,CA,AMENDMENT,11,Fair Employment Practices Act initiative,0,1946 ballot recap,0.94
CA,Salinas Californian,104200,1946,CA,AMENDMENT,12,Amendment of Laws Adopted by Initiative,1,1946 ballot recap,0.94
CA,Salinas Californian,104200,1946,CA,AMENDMENT,13,Allocation of Public School Funds,0,1946 ballot recap,0.94
CA,Salinas Californian,104200,1946,CA,AMENDMENT,14,Disability of the Governor to Act,1,1946 ballot recap,0.94
CA,Salinas Californian,104200,1946,CA,AMENDMENT,15,Validation of Legislative Amendments to Alien Land Law,1,1946 ballot recap,0.94
CA,Salinas Californian,104200,1946,CA,AMENDMENT,16,Repeal of Educational Poll Tax,1,1946 ballot recap,0.94
CA,Salinas Californian,104200,1946,CA,AMENDMENT,17,Public Utilities Commission,1,1946 ballot recap,0.94
CA,Salinas Californian,104200,1946,CA,AMENDMENT,2,Greyhound Racing initiative,0,1946 ballot recap,0.94
CA,Salinas Californian,104200,1946,CA,AMENDMENT,3,Public School initiative,1,1946 ballot recap,0.94
CA,Salinas Californian,104200,1946,CA,AMENDMENT,4,Business Loans for Veterans,0,1946 ballot recap,0.94
CA,Salinas Californian,104200,1946,CA,AMENDMENT,5,Creation of Court for Tax Appeals,0,1946 ballot recap,0.94
CA,Salinas Californian,104200,1946,CA,AMENDMENT,6,Annual Sessions of Legislature,1,1946 ballot recap,0.94
CA,Salinas Californian,104200,1946,CA,AMENDMENT,7,County Boards of Education,1,1946 ballot recap,0.94
CA,Salinas Californian,104200,1946,CA,AMENDMENT,8,County Superintendents of Schools,1,1946 ballot recap,0.94
CA,Salinas Californian,104200,1946,CA,AMENDMENT,9,State Superintendents of Public Instruction,1,1946 ballot recap,0.94
CA,Salinas Californian,104200,1948,CA,AMENDMENT,1,1948 ballot proposition,0,1946 ballot recap,0.94
CA,Salinas Californian,104200,1948,CA,AMENDMENT,10,1948 ballot proposition,1,1946 ballot recap,0.94
CA,Salinas Californian,104200,1948,CA,AMENDMENT,11,1948 ballot proposition,0,1946 ballot recap,0.94
CA,Salinas Californian,104200,1948,CA,AMENDMENT,12,1948 ballot proposition,0,1946 ballot recap,0.94
CA,Salinas Californian,104200,1948,CA,AMENDMENT,13,1948 ballot proposition,0,1946 ballot recap,0.94
CA,Salinas Californian,104200,1948,CA,AMENDMENT,14,1948 ballot proposition,0,1946 ballot recap,0.94
CA,Salinas Californian,104200,1948,CA,AMENDMENT,15,1948 ballot proposition,1,1946 ballot recap,0.94
CA,Salinas Californian,104200,1948,CA,AMENDMENT,16,1948 ballot proposition,1,1946 ballot recap,0.94
CA,Salinas Californian,104200,1948,CA,AMENDMENT,17,1948 ballot proposition,0,1946 ballot recap,0.94
CA,Salinas Californian,104200,1948,CA,AMENDMENT,18,1948 ballot proposition,0,1946 ballot recap,0.94
CA,Salinas Californian,104200,1948,CA,AMENDMENT,19,1948 ballot proposition,1,1946 ballot recap,0.94
CA,Salinas Californian,104200,1948,CA,AMENDMENT,2,1948 ballot proposition,0,1946 ballot recap,0.94
CA,Salinas Californian,104200,1948,CA,AMENDMENT,3,1948 ballot proposition,1,1946 ballot recap,0.94
CA,Salinas Californian,104200,1948,CA,AMENDMENT,4,1948 ballot proposition,0,1946 ballot recap,0.94
CA,Salinas Californian,104200,1948,CA,AMENDMENT,5,1948 ballot proposition,1,1946 ballot recap,0.94
CA,Salinas Californian,104200,1948,CA,AMENDMENT,6,1948 ballot proposition,1,1946 ballot recap,0.94
CA,Salinas Californian,104200,1948,CA,AMENDMENT,7,1948 ballot proposition,1,1946 ballot recap,0.94
CA,Salinas Californian,104200,1948,CA,AMENDMENT,8,1948 ballot proposition,1,1946 ballot recap,0.94
CA,Salinas Californian,104200,1948,CA,AMENDMENT,9,1948 ballot proposition,1,1946 ballot recap,0.94
CA,Salinas Californian,104200,1950,CA,AMENDMENT,1,Personal Property Taxation,0,,0.92
CA,Salinas Californian,104200,1950,CA,AMENDMENT,10,Public Housing Projects,1,,0.92
CA,Salinas Californian,104200,1950,CA,AMENDMENT,11,Land Titles,1,,0.92
CA,Salinas Californian,104200,1950,CA,AMENDMENT,2,Naming Persons to Office,1,,0.92
CA,Salinas Californian,104200,1950,CA,AMENDMENT,3,Inferior Court Reorganization,1,,0.92
CA,Salinas Californian,104200,1950,CA,AMENDMENT,4,Eligibility to Vote,1,,0.92
CA,Salinas Californian,104200,1950,CA,AMENDMENT,5,Legislator Office Holding,0,,0.92
CA,Salinas Californian,104200,1950,CA,AMENDMENT,6,Legalizing and Licensing Gambling,0,,0.92
CA,Salinas Californian,104200,1950,CA,AMENDMENT,7,Chiropractors,0,,0.92
CA,Salinas Californian,104200,1950,CA,AMENDMENT,8,Compensation of Local Officials,1,,0.92
CA,Salinas Californian,104200,1950,CA,AMENDMENT,9,State Civil Service,1,,0.92
CA,Salinas Californian,104200,1954,CA,AMENDMENT,10,Terms of State Officers,0,,0.92
CA,Salinas Californian,104200,1954,CA,AMENDMENT,11,Taxation: Exemption for Disabled Veterans,1,,0.92
CA,Salinas Californian,104200,1954,CA,AMENDMENT,12,Voting Eligibility,0,,0.92
CA,Salinas Californian,104200,1954,CA,AMENDMENT,13,Vernon City Charter,1,,0.92
CA,Salinas Californian,104200,1954,CA,AMENDMENT,14,College Exemption: Property Under Construction,1,,0.92
CA,Salinas Californian,104200,1954,CA,AMENDMENT,15,Welfare Exemption: Property Under Construction,1,,0.92
CA,Salinas Californian,104200,1954,CA,AMENDMENT,16,Water Rights of Government Agencies,1,,0.92
CA,Salinas Californian,104200,1954,CA,AMENDMENT,17,Street and Highway Funds Vehicle Parking,0,,0.92
CA,Salinas Californian,104200,1954,CA,AMENDMENT,18,Resident Non-Citizen Property Ownership,1,,0.92
CA,Salinas Californian,104200,1954,CA,AMENDMENT,19,Inferior Court Reorganization,1,,0.92
CA,Salinas Californian,104200,1954,CA,AMENDMENT,20,Framing County Charters,1,,0.92
CA,Salinas Californian,104200,1954,CA,AMENDMENT,3,Alcoholic Beverage Control,1,,0.92
CA,Salinas Californian,104200,1954,CA,AMENDMENT,4,Aid to Needy Aged,0,,0.92
CA,Salinas Californian,104200,1954,CA,AMENDMENT,5,Taxation: Exemption of Vessels,1,,0.92
CA,Salinas Californian,104200,1954,CA,AMENDMENT,6,Pay of Legislators,1,,0.92
CA,Salinas Californian,104200,1954,CA,AMENDMENT,7,Land Titles Torrens Act,1,,0.92
CA,Salinas Californian,104200,1954,CA,AMENDMENT,8,Tax Exemption of Commercial and Fishing Vessels,0,,0.92
CA,Salinas Californian,104200,1954,CA,AMENDMENT,9,Church Exemption: Property Under Construction,1,,0.92
CA,Salinas Californian,104200,1954,CA,BOND,1,Veterans Bond Act of 1954,1,,0.92
CA,Salinas Californian,104200,1954,CA,BOND,2,School Bonds,1,,0.92
CA,Salinas Californian,104200,1954,CA,LOCAL,A,Library Board,1,,0.92
CA,Salinas Californian,104200,1954,CA,LOCAL,B,Public Work,1,,0.92
CA,Salinas Californian,104200,1956,CA,AMENDMENT,10,Contract Employment of Architects Engineers,1,,0.92
CA,Salinas Californian,104200,1956,CA,AMENDMENT,11,Allow One Year to Frame County Charters,1,,0.92
CA,Salinas Californian,104200,1956,CA,AMENDMENT,12,Reduce Maximum Term of State Debt,1,,0.92
CA,Salinas Californian,104200,1956,CA,AMENDMENT,13,Repeal Inoperative Alien Land Law,1,,0.92
CA,Salinas Californian,104200,1956,CA,AMENDMENT,14,Repeal Limits on Legislative Expense,0,,0.92
CA,Salinas Californian,104200,1956,CA,AMENDMENT,15,Permit Any Government to Own Mutual Water Stock,1,,0.92
CA,Salinas Californian,104200,1956,CA,AMENDMENT,16,Fixing of Time for Civil and Criminal Appeals,1,,0.92
CA,Salinas Californian,104200,1956,CA,AMENDMENT,17,Repeal Obsolete Sections on Judges Salaries,1,,0.92
CA,Salinas Californian,104200,1956,CA,AMENDMENT,18,Permit Non-Lawyer Judges in Superseding Lower Courts,0,,0.92
CA,Salinas Californian,104200,1956,CA,AMENDMENT,19,Permit Legislature to Redefine State Boundary,1,,0.92
CA,Salinas Californian,104200,1956,CA,AMENDMENT,6,Exempt Church Parking Areas from Local Property Tax,1,,0.92
CA,Salinas Californian,104200,1956,CA,AMENDMENT,7,Change Name of Assembly to House of Representatives,0,,0.92
CA,Salinas Californian,104200,1956,CA,AMENDMENT,8,Recess Periods in Legislative Budget Sessions,1,,0.92
CA,Salinas Californian,104200,1956,CA,AMENDMENT,9,Permit Boroughs to Frame Charter Counties,1,,0.92
CA,Salinas Californian,104200,1956,CA,BOND,1,$500 Million State Bonds for Veterans Loans,1,,0.92
CA,Salinas Californian,104200,1956,CA,BOND,2,$100 Million Funds for School Construction,1,,0.92
CA,Salinas Californian,104200,1956,CA,BOND,3,$200 Million Bonds for State Construction,1,,0.92
CA,Salinas Californian,104200,1956,CA,INITIATIVE,4,Oil and Gas Conservation Initiative,1,,0.92
CA,Salinas Californian,104200,1956,CA,INITIATIVE,5,Repeal Food Requirement in Liquor Establishments,1,,0.92
CA,Salinas Californian,104200,1956,CA,LOCAL,A,Monterey County Supervisorial Redistricting,0,,0.92
CA,Salinas Californian,104200,1958,CA,AMENDMENT,10,Eminent Domain,0,,0.92
CA,Salinas Californian,104200,1958,CA,AMENDMENT,12,Legislator as Notary,1,,0.92
CA,Salinas Californian,104200,1958,CA,AMENDMENT,13,State Superintendent,1,,0.92
CA,Salinas Californian,104200,1958,CA,AMENDMENT,14,Local Officers Salary,1,,0.92
CA,Salinas Californian,104200,1958,CA,AMENDMENT,16,School Property Tax,0,,0.92
CA,Salinas Californian,104200,1958,CA,AMENDMENT,17,State Tax Rates,0,,0.92
CA,Salinas Californian,104200,1958,CA,AMENDMENT,5,Legislators Salaries,0,,0.92
CA,Salinas Californian,104200,1958,CA,AMENDMENT,6,State Indebtedness,0,,0.92
CA,Salinas Californian,104200,1958,CA,AMENDMENT,7,Wartime Disaster,1,,0.92
CA,Salinas Californian,104200,1958,CA,AMENDMENT,8,Presidential Voting,0,,0.92
CA,Salinas Californian,104200,1958,CA,AMENDMENT,9,Legislative Sessions,0,,0.92
CA,Salinas Californian,104200,1958,CA,BOND,1,Veterans Bonds,0,,0.92
CA,Salinas Californian,104200,1958,CA,BOND,11,Street and Road Bonds,0,,0.92
CA,Salinas Californian,104200,1958,CA,BOND,2,School Bonds,1,,0.92
CA,Salinas Californian,104200,1958,CA,BOND,3,State Construction,1,,0.92
CA,Salinas Californian,104200,1958,CA,BOND,4,Harbor Development,1,,0.92
CA,Salinas Californian,104200,1958,CA,INITIATIVE,15,Boxing Matches,1,,0.92
CA,Salinas Californian,104200,1958,CA,INITIATIVE,18,Employer-Employee (right to work),0,,0.92
CA,Salinas Californian,104200,1960,CA,AMENDMENT,10,Judicial Council,1,,0.92
CA,Salinas Californian,104200,1960,CA,AMENDMENT,11,Vet Tax Exemption,1,,0.92
CA,Salinas Californian,104200,1960,CA,AMENDMENT,12,Constitution Changes,1,,0.92
CA,Salinas Californian,104200,1960,CA,AMENDMENT,13,Appeal Courts,1,,0.92
CA,Salinas Californian,104200,1960,CA,AMENDMENT,14,Grade Crossings,0,,0.92
