state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
CA,San Francisco Chronicle,104251,1914,GOVERNOR,,San Francisco,CA,"HOLSMAN, CHARLES A.",Republican,1,,,,ONE OF FOUR ACCEPTABLE REPUBLICAN CANDIDATES,0.85
CA,San Francisco Chronicle,104251,1914,GOVERNOR,,San Francisco,CA,"FREDERICKS, JOHN D.",Republican,1,,,,ONE OF FOUR ACCEPTABLE REPUBLICAN CANDIDATES,0.85
CA,San Francisco Chronicle,104251,1914,GOVERNOR,,San Francisco,CA,"HEISING, FRANCIS J.",Republican,1,,,,ONE OF FOUR ACCEPTABLE REPUBLICAN CANDIDATES,0.75
CA,San Francisco Chronicle,104251,1914,GOVERNOR,,San Francisco,CA,"RALSTON, W. C.",Republican,1,,,,ONE OF FOUR ACCEPTABLE REPUBLICAN CANDIDATES,0.85
CA,San Francisco Chronicle,104251,1914,LT GOVERNOR,,San Francisco,CA,"BAUER, HAMILTON A.",Republican,1,,,,,0.85
CA,San Francisco Chronicle,104251,1914,LT GOVERNOR,,San Francisco,CA,"AIKEN, ALBERT J.",Republican,1,,,,,0.8
CA,San Francisco Chronicle,104251,1914,LT GOVERNOR,,San Francisco,CA,"WARD, MARTIN L.",Republican,1,,,,,0.85
CA,San Francisco Chronicle,104251,1914,LT GOVERNOR,,San Francisco,CA,"CONNING, MERLIN K.",Republican,1,,,,,0.7
CA,San Francisco Chronicle,104251,1914,SEC OF STATE,,San Francisco,CA,"JORDAN, FRANK C.",Republican,1,,,,REGULAR REPUBLICAN NOMINEE,0.9
CA,San Francisco Chronicle,104251,1914,SEC OF STATE,,San Francisco,CA,"STOCKWELL, JAMES EDWARD",Republican,1,,,,,0.85
CA,San Francisco Chronicle,104251,1914,CONTROLLER,,San Francisco,CA,"NYE, A. B.",Republican,1,,,,,0.7
CA,San Francisco Chronicle,104251,1914,TREASURER,,San Francisco,CA,"PHILLIPS, W. W.",Republican,1,,,,,0.85
CA,San Francisco Chronicle,104251,1914,TREASURER,,San Francisco,CA,"SWAN, CHARLES D.",Republican,1,,,,,0.85
CA,San Francisco Chronicle,104251,1914,TREASURER,,San Francisco,CA,"RILEY, SAMUEL FRANKLIN",Republican,1,,,,,0.75
CA,San Francisco Chronicle,104251,1914,TREASURER,,San Francisco,CA,"HEAD, EDWIN L.",Republican,1,,,,,0.85
CA,San Francisco Chronicle,104251,1914,ATTORNEY GENERAL,,San Francisco,CA,"CATLIN, JOHN",Republican,1,,,,,0.8
CA,San Francisco Chronicle,104251,1914,ATTORNEY GENERAL,,San Francisco,CA,"HART, WILLIAM H. H.",Republican,1,,,,,0.85
CA,San Francisco Chronicle,104251,1914,SURVEYOR GENERAL,,San Francisco,CA,"KINGSBURY, W. S.",Republican,1,,,,,0.8
CA,San Francisco Chronicle,104251,1914,BOARD OF EQUALIZATION,1,San Francisco,CA,"AICHTINGER, ED M.",Republican,1,,,,,0.7
CA,San Francisco Chronicle,104251,1914,BOARD OF EQUALIZATION,1,San Francisco,CA,"RIGGS, OSCAR G. B.",Republican,1,,,,,0.75
CA,San Francisco Chronicle,104251,1914,BOARD OF EQUALIZATION,1,San Francisco,CA,"MATTHIS, FRANK",Republican,1,,,,,0.75
CA,San Francisco Chronicle,104251,1914,BOARD OF EQUALIZATION,2,San Francisco,CA,"ATWOOD, T. C.",Republican,1,,,,,0.85
CA,San Francisco Chronicle,104251,1914,BOARD OF EQUALIZATION,4,San Francisco,CA,"MCELVAINE, JEFF",Republican,1,,,,,0.85
CA,San Francisco Chronicle,104251,1914,SENATOR,,San Francisco,CA,"KNOWLAND, JOSEPH R.",Republican,1,,,,ONE OF TWO ACCEPTABLE REPUBLICAN CANDIDATES FOR US SENATE,0.9
CA,San Francisco Chronicle,104251,1914,SENATOR,,San Francisco,CA,"SHORTRIDGE, SAMUEL M.",Republican,1,,,,ONE OF TWO ACCEPTABLE REPUBLICAN CANDIDATES FOR US SENATE,0.9
CA,San Francisco Chronicle,104251,1914,H,4,San Francisco,CA,"KAHN, JULIUS",Republican,1,,1,,REGULAR REPUBLICAN NOMINEE; NAMED SPECIFICALLY AMONG CONGRESSIONAL CANDIDATES,0.9
CA,San Francisco Chronicle,104251,1914,H,5,San Francisco,CA,"JONES, JOHN R.",Republican,1,,,,,0.8
CA,San Francisco Chronicle,104251,1914,STATE SENATOR,18,San Francisco,CA,"HARTMAN, GUS",Republican,1,,,,,0.85
CA,San Francisco Chronicle,104251,1914,STATE SENATOR,20,San Francisco,CA,"RUSSELL, ALEXANDER",Republican,1,,,,,0.85
CA,San Francisco Chronicle,104251,1914,STATE SENATOR,22,San Francisco,CA,"REGAN, DANIEL P.",Republican,1,,,,VOTE FOR EACH,0.85
CA,San Francisco Chronicle,104251,1914,STATE SENATOR,22,San Francisco,CA,"SHEEHAN, TIMOTHY F.",Republican,1,,,,VOTE FOR EACH,0.75
CA,San Francisco Chronicle,104251,1914,STATE SENATOR,22,San Francisco,CA,"NOLAN, EDWARD J. D.",Republican,1,,,,VOTE FOR EACH,0.85
CA,San Francisco Chronicle,104251,1914,STATE REP,25,San Francisco,CA,"CONDON, MICHAEL",Republican,1,,,,,0.85
CA,San Francisco Chronicle,104251,1914,STATE REP,23,San Francisco,CA,"FLYNN, W. A.",Republican,1,,,,VOTE FOR EACH,0.8
CA,San Francisco Chronicle,104251,1914,STATE REP,23,San Francisco,CA,"FYNE, DANIEL T.",Republican,1,,,,VOTE FOR EACH,0.75
CA,San Francisco Chronicle,104251,1914,STATE REP,24,San Francisco,CA,"FARLEY, BERNARD JR.",Republican,1,,,,,0.85
CA,San Francisco Chronicle,104251,1914,STATE REP,26,San Francisco,CA,"GOOTH, CHARLES W.",Republican,1,,,,VOTE FOR EACH,0.75
CA,San Francisco Chronicle,104251,1914,STATE REP,26,San Francisco,CA,"HIGGINS, HIRAM J.",Republican,1,,,,VOTE FOR EACH,0.8
CA,San Francisco Chronicle,104251,1914,STATE REP,27,San Francisco,CA,"HAYES, WILLIAM A.",Republican,1,,,,VOTE FOR EACH,0.8
CA,San Francisco Chronicle,104251,1914,STATE REP,27,San Francisco,CA,"MCCLANAHAN, S. J.",Republican,1,,,,VOTE FOR EACH,0.75
CA,San Francisco Chronicle,104251,1914,STATE REP,28,San Francisco,CA,"GLEASON, R. E.",Republican,1,,,,,0.8
