state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
CA,San Francisco Chronicle,104251,1898,CA,STATE,1,CONSTITUTIONAL AMENDMENT NO. 1,0,NO,0.8
CA,San Francisco Chronicle,104251,1898,CA,STATE,2,CONSTITUTIONAL AMENDMENT NO. 2,0,NO,0.8
CA,San Francisco Chronicle,104251,1898,CA,STATE,3,CONSTITUTIONAL AMENDMENT NO. 3,0,NO,0.8
CA,San Francisco Chronicle,104251,1898,CA,STATE,4,CONSTITUTIONAL AMENDMENT NO. 4,1,YES,0.75
CA,San Francisco Chronicle,104251,1898,CA,STATE,5,CONSTITUTIONAL AMENDMENT NO. 5,0,NO,0.8
CA,San Francisco Chronicle,104251,1898,CA,STATE,6,CONSTITUTIONAL AMENDMENT NO. 6,0,NO,0.8
CA,San Francisco Chronicle,104251,1898,CA,STATE,7,CONSTITUTIONAL AMENDMENT NO. 7,0,NO,0.8
CA,San Francisco Chronicle,104251,1898,CA,STATE,REVISION,PROPOSITION TO REVISE THE CONSTITUTION,0,NO,0.8
CA,San Francisco Chronicle,104251,1906,CA,STATE,1,EXEMPTING COGSWELL POLYTECHNIC COLLEGE FROM TAXATION,1,YES,0.9
CA,San Francisco Chronicle,104251,1906,CA,STATE,2,FIXING A UNIFORM SALARY FOR SUPREME AND APPELLATE JUSTICES,1,YES,0.9
CA,San Francisco Chronicle,104251,1906,CA,STATE,3,RAISING SALARY OF GOVERNOR AND OTHER OFFICERS,0,NO,0.9
CA,San Francisco Chronicle,104251,1906,CA,STATE,4,PERMITTING OUR BONDS TO BE MADE PAYABLE ANYWHERE IN THE UNITED STATES,1,YES,0.9
CA,San Francisco Chronicle,104251,1906,CA,STATE,5,PERMITTING CITIES NOW HAVING CHARTERS TO ADOPT NEW ONES,1,YES,0.9
CA,San Francisco Chronicle,104251,1906,CA,STATE,6,RECOGNIZING RIGHT OF CITIES TO FIX TIME OF OFFICE AND REGULATE DISMISSALS,1,YES,0.9
CA,San Francisco Chronicle,104251,1906,CA,STATE,7,INCREASING SALARY AND CHANGING DUTIES OF LIEUTENANT-GOVERNOR,0,NO,0.9
CA,San Francisco Chronicle,104251,1906,CA,STATE,8,EXTENDING LIFE OF FRANCHISES AND CORPORATIONS BEYOND TERM OF FIFTY YEARS,0,NO,0.9
CA,San Francisco Chronicle,104251,1906,CA,STATE,9,PERMITTING DEPOSIT OF PUBLIC MONEY IN BANKS GIVING PROPER SECURITY,1,YES,0.9
