state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
CA,San Francisco Examiner,104252,1944,PRESIDENT,,San Francisco,CA,"DEWEY, THOMAS E.",Republican,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR PRESIDENT,0.95
CA,San Francisco Examiner,104252,1944,VICE PRESIDENT,,San Francisco,CA,"BRICKER, JOHN W.",Republican,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR VICE PRESIDENT,0.95
CA,San Francisco Examiner,104252,1944,SENATOR,,San Francisco,CA,"HOUSER, FREDERICK F.",Republican,1,,,,STRONG ENDORSEMENT; THE EXAMINER RECOMMENDS LIST AND AN INEVITABLE CHOICE EDITORIAL; LT GOVERNOR OF CALIFORNIA; UNDOUBTED ABILITY VIGOR AND INTEGRITY; BROADER EXPERIENCE BETTER TESTED COURAGE KEENER FORESIGHT; CONSTRUCTIVE MIND; SERVED WITH DISTINCTION ON EVERY PHASE OF STATE GOVERNMENT; PRESIDING OFFICER OF STATE SENATE; ELECTION SHOULD BE EMPHATIC AND DECISIVE,0.95
CA,San Francisco Examiner,104252,1944,SENATOR,,San Francisco,CA,"DOWNEY, SHERIDAN",Democrat,0,1,,,OPPOSED; AN INEVITABLE CHOICE EDITORIAL; INCUMBENT; WEAK INEFFECTIVE AND OFTEN COMPLETELY ABSENT; HOUSER ENDORSED OVER DOWNEY; SUPERIORITY OF HOUSER NOT SERIOUSLY QUESTIONED,0.95
CA,San Francisco Examiner,104252,1944,H,4,San Francisco,CA,"ROLPH, THOMAS",Republican,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR CONGRESS FOURTH DISTRICT,0.95
CA,San Francisco Examiner,104252,1944,H,5,San Francisco,CA,"WELCH, RICHARD",Republican,1,,1,,ENDORSED; THE EXAMINER RECOMMENDS LIST PAGE 2; FOR CONGRESS FIFTH DISTRICT; NOTED AS UNOPPOSED; INCUMBENT,0.95
CA,San Francisco Examiner,104252,1944,H,6,San Francisco,CA,"CARTER, ALBERT E.",Republican,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR CONGRESS SIXTH DISTRICT,0.95
CA,San Francisco Examiner,104252,1944,H,8,San Francisco,CA,"ANDERSON, JOHN Z.",Republican,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR CONGRESS EIGHTH DISTRICT,0.95
CA,San Francisco Examiner,104252,1944,JUDGE,6,SAN FRANCISCO SUPERIOR COURT,CA,"FRITZ, ALFRED J.",,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR SUPERIOR JUDGE NO 6,0.95
CA,San Francisco Examiner,104252,1944,JUDGE,,SAN FRANCISCO SUPERIOR COURT,CA,"JACKS, LILE T.",,0,,,,OPPOSED; THE EASY JUDGE EDITORIAL; ORIGINALLY ELECTED TO BENCH TO SUCCEED LENIENT JUDGES BUT NOW HIMSELF DESTROYING MACHINERY OF LAW ENFORCEMENT; ALLOWING PROBATION FOR BOOKMAKERS; FLOUTING CLEAR INTENT OF LEGISLATURE AND PUBLIC OPINION; ENCOURAGING UNDERWORLD; IT IS TIME SOMEBODY JOGGED HIS MEMORY,0.85
CA,San Francisco Examiner,104252,1948,PRESIDENT,,San Francisco,CA,"DEWEY, THOMAS E.",Republican,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR PRESIDENT AND VICE PRESIDENT,0.95
CA,San Francisco Examiner,104252,1948,VICE PRESIDENT,,San Francisco,CA,"WARREN, EARL",Republican,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR PRESIDENT AND VICE PRESIDENT; GOVERNOR OF CALIFORNIA,0.95
CA,San Francisco Examiner,104252,1948,H,1,San Francisco,CA,"SCUDDER, HUBERT B.",Republican,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR MEMBERS OF CONGRESS FIRST DISTRICT,0.95
CA,San Francisco Examiner,104252,1948,H,4,San Francisco,CA,"MAILLIARD, WILLIAM S.",Republican,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR MEMBERS OF CONGRESS FOURTH DISTRICT,0.95
CA,San Francisco Examiner,104252,1948,H,7,San Francisco,CA,"ALLEN, JOHN J. JR.",Republican,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR MEMBERS OF CONGRESS SEVENTH DISTRICT,0.95
CA,San Francisco Examiner,104252,1948,H,9,San Francisco,CA,"GEARHART, B. W.",Republican,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR MEMBERS OF CONGRESS NINTH DISTRICT,0.95
CA,San Francisco Examiner,104252,1950,GOVERNOR,,San Francisco,CA,"WARREN, EARL",Republican,1,,1,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR GOVERNOR; INCUMBENT,0.95
CA,San Francisco Examiner,104252,1950,SENATOR,,San Francisco,CA,"NIXON, RICHARD",Republican,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR UNITED STATES SENATOR,0.95
CA,San Francisco Examiner,104252,1950,LT GOVERNOR,,San Francisco,CA,"KNIGHT, GOODWIN J.",Republican,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR LIEUTENANT GOVERNOR,0.95
CA,San Francisco Examiner,104252,1950,SEC OF STATE,,San Francisco,CA,"JORDAN, FRANK M.",Republican,1,,1,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR SECRETARY OF STATE; INCUMBENT,0.95
CA,San Francisco Examiner,104252,1950,CONTROLLER,,San Francisco,CA,"KUCHEL, THOMAS H.",Republican,1,,1,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR CONTROLLER; INCUMBENT,0.95
CA,San Francisco Examiner,104252,1950,TREASURER,,San Francisco,CA,"JOHNSON, CHARLES G.",Republican,1,,1,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR TREASURER; INCUMBENT,0.95
CA,San Francisco Examiner,104252,1950,BOARD OF EQUALIZATION,1,San Francisco,CA,"REILLY, GEORGE R.",,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR BOARD OF EQUALIZATION FIRST DISTRICT,0.95
CA,San Francisco Examiner,104252,1950,H,1,San Francisco,CA,"SCUDDER, HUBERT B.",Republican,1,,1,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR MEMBERS OF CONGRESS FIRST DISTRICT; ALSO ENDORSED IN 1948,0.95
CA,San Francisco Examiner,104252,1950,H,4,San Francisco,CA,"SMITH, RAYMOND D.",,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR MEMBERS OF CONGRESS FOURTH DISTRICT,0.95
CA,San Francisco Examiner,104252,1950,H,5,San Francisco,CA,"SHELLEY, JOHN F.",Democrat,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR MEMBERS OF CONGRESS FIFTH DISTRICT; NOTED AS UNOPPOSED,0.95
CA,San Francisco Examiner,104252,1950,H,7,San Francisco,CA,"ALLEN, JOHN J. JR.",Republican,1,,1,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR MEMBERS OF CONGRESS SEVENTH DISTRICT; ALSO ENDORSED IN 1948,0.95
CA,San Francisco Examiner,104252,1950,STATE SENATOR,,San Francisco,CA,"O'GARA, GERALD J.",,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR STATE SENATOR,0.95
CA,San Francisco Examiner,104252,1950,STATE REP,19,San Francisco,CA,"BRADY, BERNARD R.",,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR STATE ASSEMBLY NINETEENTH DISTRICT,0.95
CA,San Francisco Examiner,104252,1950,STATE REP,20,San Francisco,CA,"MALONEY, THOMAS A.",,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR STATE ASSEMBLY TWENTIETH DISTRICT,0.95
CA,San Francisco Examiner,104252,1950,SUPREME COURT,,CHIEF JUSTICE,CA,"GIBSON, PHIL S.",,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; STATE SUPREME COURT VOTE FOR CHIEF JUSTICE; NONPARTISAN JUDICIAL RACE,0.95
CA,San Francisco Examiner,104252,1950,SUPREME COURT,,ASSOCIATE JUSTICE,CA,"SPENCE, HOMER R.",,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; STATE SUPREME COURT VOTE FOR ASSOCIATE JUSTICE; NONPARTISAN JUDICIAL RACE,0.95
CA,San Francisco Examiner,104252,1950,SUPREME COURT,,ASSOCIATE JUSTICE,CA,"TRAYNOR, ROGER J.",,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; STATE SUPREME COURT VOTE FOR ASSOCIATE JUSTICE; NONPARTISAN JUDICIAL RACE,0.95
CA,San Francisco Examiner,104252,1950,COURT OF APPEALS,,DISTRICT COURT OF APPEAL,CA,"WOOD, FRED B.",,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; DISTRICT COURT OF APPEAL VOTE FOR ASSOCIATE JUSTICE; NONPARTISAN JUDICIAL RACE,0.95
CA,San Francisco Examiner,104252,1950,ASSESSOR,,SAN FRANCISCO,CA,"WOLDEN, RUSSELL L.",,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR ASSESSOR,0.95
CA,San Francisco Examiner,104252,1950,PUBLIC DEFENDER,,SAN FRANCISCO,CA,"KENNY, GERALD J.",,1,,,,ENDORSED; THE EXAMINER RECOMMENDS LIST; FOR PUBLIC DEFENDER,0.95
