state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
CA,San Francisco Examiner,104252,1944,CA,BOND,26,$12300000 SEWER BOND ISSUE; SEWER REPLACEMENTS NEW SEWERS SEWAGE TREATMENT; PROTECT WATERS ABOUT SAN FRANCISCO FROM POLLUTION,1,VOTE YES; NINE YES VOTES EDITORIAL; THIS INVESTMENT IS NEEDED,0.95
CA,San Francisco Examiner,104252,1944,CA,BOND,27,$1200000 JUVENILE DETENTION HOME BONDS; CONSTRUCTION OF NEW DETENTION HOME; URGENT AND ESSENTIAL NEED,1,VOTE YES; NINE YES VOTES EDITORIAL; THREE OUT OF EVERY FOUR CHILDREN TAKEN TO HOME ARE UNFORTUNATE NOT DELINQUENT; INTOLERABLE CONDITIONS AT PRESENT DETENTION HOME,0.95
CA,San Francisco Examiner,104252,1944,CA,AMENDMENT,28,TEMPORARY CHANGE TO PENSION SYSTEM; MUNICIPAL EMPLOYEE PENSION DEDUCTION NOT REDUCED FOR ACCEPTING PRIVATE EMPLOYMENT; APPLIES ONLY TO WAR PERIOD AND SIX MONTHS THEREAFTER,1,VOTE YES; NINE YES VOTES EDITORIAL; ENCOURAGE PENSIONERS TO ACCEPT WARTIME EMPLOYMENT,0.95
CA,San Francisco Examiner,104252,1944,CA,AMENDMENT,29,CONFIDENTIAL SECRETARY OF SUPERINTENDENT OF SCHOOLS SHALL NOT BE CIVIL SERVICE EMPLOYEE BUT MAY BE CHOSEN AT WILL BY SUPERINTENDENT,1,VOTE YES; NINE YES VOTES EDITORIAL; IN KEEPING WITH STATUS OF CONFIDENTIAL SECRETARIES IN OTHER CITY DEPARTMENTS,0.95
CA,San Francisco Examiner,104252,1944,CA,AMENDMENT,30,EXTEND CIVIL SERVICE TO NON-SCIENTIFIC EMPLOYEES AT STEINHART AQUARIUM IN GOLDEN GATE PARK,1,VOTE YES; NINE YES VOTES EDITORIAL; IN KEEPING WITH CIVIL SERVICE PRACTICE AMONG OTHER CITY EMPLOYEES,0.95
CA,San Francisco Examiner,104252,1944,CA,AMENDMENT,31,DEFINITE FOUR YEAR TERM FOR MEMBERS OF RECREATION COMMISSION; CORRECTING OMISSION IN PRESENT LAW REGARDING TENURE,1,VOTE YES; NINE YES VOTES EDITORIAL; CORRECTING AN OMISSION IN PRESENT LAW,0.95
CA,San Francisco Examiner,104252,1944,CA,AMENDMENT,32,EXTEND CIVIL SERVICE TO EMPLOYEES OF CITY ATTORNEYS AND PUBLIC DEFENDERS OFFICES EXCEPTING ATTORNEYS,1,VOTE YES; NINE YES VOTES EDITORIAL; LOGICAL EXTENSION OF CIVIL SERVICE,0.95
CA,San Francisco Examiner,104252,1944,CA,AMENDMENT,33,REINSTATEMENT AND LEAVES OF ABSENCE FOR CITY EMPLOYEES INCLUDING SCHOOL DEPARTMENT WHO JOIN AMERICAN RED CROSS AS SOCIAL WORKERS OR FIELD DIRECTORS IN WAR WORK,1,VOTE YES; NINE YES VOTES EDITORIAL; FAIR AND PATRIOTIC GESTURE THE CITY CAN MAKE; ONE WELFARE WORKER DIED WHILE ON DUTY IN ITALY,0.95
CA,San Francisco Examiner,104252,1944,CA,AMENDMENT,34,POLICE PENSIONS; LOWER RETIREMENT AGE OF POLICEMEN TO MAKE POSSIBLE YOUNGER AND MORE ACTIVE POLICE FORCE,1,VOTE YES; NINE YES VOTES EDITORIAL; CAREFULLY PREPARED ON ACTUARIAL BASIS; APPROVED BY ALL GROUPS INCLUDING POLICE COMMISSION LABOR TAXPAYERS AND BUSINESSMENS ASSOCIATIONS,0.95
CA,San Francisco Examiner,104252,1946,CA,BOND,1,VETERANS BOND ACT; $100000000 IN BONDS TO CONTINUE VETERANS FARM AND HOME PURCHASE ACT; SELF SUPPORTING PROGRAM AT NO COST TO TAXPAYER,1,VOTE YES; SUPPORT VETERANS BONDS EDITORIAL; MOST SUCCESSFUL VETERAN LEGISLATION IN STATE HISTORY; CREATED 1921; GOVERNOR EARL WARREN SPEARHEADED CAMPAIGN; SELF LIQUIDATING; OVERWHELMING INDORSEMENT EXPECTED,0.95
CA,San Francisco Examiner,104252,1946,CA,AMENDMENT,3,STATE CONSTITUTIONAL AMENDMENT PROVIDING MINIMUM SALARY OF $2400 A YEAR FOR PUBLIC SCHOOL TEACHERS,1,VOTE YES; FAIR PLAY FOR TEACHERS EDITORIAL; IMPERATIVE OBLIGATION; SCHOOLS HOPELESSLY CROWDED; FIVE THOUSAND NEW TEACHERS NEEDED; OBJECTIONS LEGALISTIC AND EVASIVE; SURE WAY OF PROVIDING GOOD SCHOOLING IN CALIFORNIA,0.95
CA,San Francisco Examiner,104252,1946,CA,AMENDMENT,11,FAIR EMPLOYMENT PRACTICES ACT; STATE PROPOSITION ESTABLISHING FAIR EMPLOYMENT PRACTICES COMMISSION,0,VOTE NO; STATE PROPOSITION NO 11 DANGEROUS VOTE NO EDITORIAL; LOADED WITH JOKERS; HALF TRUTHS AND MISREPRESENTATION; WOULD SET UP ADMINISTRATIVE BUREAUCRACY OF MOST MALIGNANT TYPE; WOULD BYPASS COURTS AND DEFY RIGHT OF TRIAL BY JURY; COMMUNISTIC PLAN WOULD BE FURTHERED; CALIFORNIANS SHOULD SWAMP WITH LANDSLIDE OF NO VOTES,0.95
CA,San Francisco Examiner,104252,1946,CA,AMENDMENT,2,CHARTER AMENDMENT NO 2; INCREASE BOARD OF SUPERVISORS SALARY FROM $2400 TO $4200 A YEAR,1,VOTE YES; RAISE SUPERVISORS SALARY EDITORIAL; SALARY UNCHANGED SINCE 1911; COST OF LIVING SOARED; BOARD MEMBERS ARE BUSY MEN; EVERY MAJOR INDORSING GROUP RECOGNIZES THIS; FAR BELOW LEVEL TO ATTRACT RIGHT TYPE TO FULL TIME JOB BUT RECOGNITION OF REALITIES,0.95
CA,San Francisco Examiner,104252,1946,CA,AMENDMENT,9,CHARTER AMENDMENT NO 9; STATE LEGISLATURE SHALL FIX SALARIES OF BOARD OF SUPERVISORS FOLLOWING PROCEDURE ADOPTED IN FIFTY EIGHT COUNTIES,0,VOTE NO; RAISE SUPERVISORS SALARY EDITORIAL; NEGATION OF HOME RULE; TOSSES PURELY LOCAL ISSUE INTO STATE POLITICAL HOPPER; SHOULD BE DEFEATED,0.95
CA,San Francisco Examiner,104252,1948,CA,AMENDMENT,1,VETERANS TAX EXEMPTION,1,VOTE YES; THE EXAMINER RECOMMENDS LIST; STATE MEASURES,0.95
CA,San Francisco Examiner,104252,1948,CA,AMENDMENT,2,LOCAL LIQUOR CONTROL,1,VOTE YES; THE EXAMINER RECOMMENDS LIST; STATE MEASURES,0.95
CA,San Francisco Examiner,104252,1948,CA,AMENDMENT,3,REPEALS RAIL CREW ACT,1,VOTE YES; THE EXAMINER RECOMMENDS LIST; STATE MEASURES,0.95
CA,San Francisco Examiner,104252,1948,CA,AMENDMENT,4,OLD AGE PENSIONS,0,VOTE NO; THE EXAMINER RECOMMENDS LIST; STATE MEASURES,0.95
CA,San Francisco Examiner,104252,1948,CA,AMENDMENT,5,LEGISLATORS SALARIES,1,VOTE YES; THE EXAMINER RECOMMENDS LIST; STATE MEASURES,0.95
CA,San Francisco Examiner,104252,1948,CA,AMENDMENT,7,VOTERS RESIDENCE,1,VOTE YES; THE EXAMINER RECOMMENDS LIST; STATE MEASURES,0.95
CA,San Francisco Examiner,104252,1948,CA,AMENDMENT,8,SUPERIOR COURT VACANCIES,1,VOTE YES; THE EXAMINER RECOMMENDS LIST; STATE MEASURES,0.95
CA,San Francisco Examiner,104252,1948,CA,AMENDMENT,9,GOVERNORSHIP SUCCESSION,1,VOTE YES; THE EXAMINER RECOMMENDS LIST; STATE MEASURES,0.95
CA,San Francisco Examiner,104252,1948,CA,AMENDMENT,10,INITIATIVES,1,VOTE YES; THE EXAMINER RECOMMENDS LIST; STATE MEASURES,0.95
CA,San Francisco Examiner,104252,1948,CA,AMENDMENT,11,CITY CHARTERS,0,VOTE NO; THE EXAMINER RECOMMENDS LIST; STATE MEASURES,0.95
CA,San Francisco Examiner,104252,1948,CA,AMENDMENT,12,LIQUOR CONTROL,0,VOTE NO; THE EXAMINER RECOMMENDS LIST; STATE MEASURES,0.95
CA,San Francisco Examiner,104252,1948,CA,AMENDMENT,13,SENATE REAPPORTIONMENT,0,VOTE NO; THE EXAMINER RECOMMENDS LIST; STATE MEASURES,0.95
CA,San Francisco Examiner,104252,1948,CA,AMENDMENT,14,STATE HOUSING,0,VOTE NO; THE EXAMINER RECOMMENDS LIST; STATE MEASURES,0.95
CA,San Francisco Examiner,104252,1948,CA,AMENDMENT,16,CHIROPRACTORS,0,VOTE NO; THE EXAMINER RECOMMENDS LIST; STATE MEASURES,0.95
