state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
CA,Santa Maria Times,104700,1966,ATTORNEY GENERAL,,,CA,"WILLIAMS, SPENCER",Republican,1,1,,,,0.85
CA,Santa Maria Times,104700,1966,COMPTROLLER,,,CA,"FLOURNOY, HOUSTON I.",Republican,1,1,,,,0.85
CA,Santa Maria Times,104700,1966,GOVERNOR,,,CA,"REAGAN, RONALD",Republican,1,1,,,,0.85
CA,Santa Maria Times,104700,1966,LT GOVERNOR,,,CA,"FINCH, ROBERT H.",Republican,1,1,,,,0.85
CA,Santa Maria Times,104700,2000,STATE REP,33,33,CA,"MALDONADO, ABEL",Republican,1,,,,,0.85
CA,Santa Maria Times,104700,2000,H,23,23,CA,"STOKER, MIKE",Republican,1,,,,,0.85
CA,Santa Maria Times,104700,2004,JUDGE,,,CA,"BULLARD, ED",Democrat,1,1,,,,0.85
CA,Santa Maria Times,104700,2004,STATE SENATOR,15,15,CA,"MALDONADO, ABEL",Republican,1,,1,,,0.85
CA,Santa Maria Times,104700,1996,STATE REP,33,33,CA,"BORDONARO, TOM",Republican,1,,1,,,0.85
CA,Santa Maria Times,104700,1996,STATE REP,35,35,CA,"FIRESTONE, BROOKS",Republican,1,,1,,,0.85
CA,Santa Maria Times,104700,1994,GOVERNOR,,,CA,"WILSON, PETE",Republican,1,,1,,INCUMBENT,0.85
CA,Santa Maria Times,104700,1994,ATTORNEY GENERAL,,,CA,"LUNGREN, DAN",Republican,1,,1,,INCUMBENT,0.85
CA,Santa Maria Times,104700,1994,TREASURER,,,CA,"FONG, MATT",Republican,1,,1,,,0.85
CA,Santa Maria Times,104700,1994,SEC OF STATE,,,CA,"JONES, BILL",Republican,1,,1,,,0.85
CA,Santa Maria Times,104700,1994,SENATOR,,,CA,"HUFFINGTON, MICHAEL",Republican,1,,1,,,0.85
CA,Santa Maria Times,104700,1994,STATE REP,33,33,CA,"BORDONARO, TOM",Republican,1,,1,,,0.85
CA,Santa Maria Times,104700,1994,STATE REP,35,35,CA,"FIRESTONE, BROOKS",Republican,1,,1,,,0.85
CA,Santa Maria Times,104700,1994,STATE REP,22,22,CA,"SEASTRAND, ANDREA",Republican,1,,1,,,0.85
CA,Santa Maria Times,104700,1994,STATE SENATOR,18,18,CA,"O'CONNELL, JACK",Democrat,1,,,,,0.85
CA,Santa Maria Times,104700,1992,PRESIDENT,,,CA,"BUSH, GEORGE",Republican,1,,1,,INCUMBENT,0.85
CA,Santa Maria Times,104700,1992,SENATOR,,,CA,"HERSCHENSOHN, BRUCE",Republican,1,,1,,,0.85
CA,Santa Maria Times,104700,1992,SENATOR,,,CA,"SEYMOUR, JOHN",Republican,1,,1,,INCUMBENT,0.85
CA,Santa Maria Times,104700,1992,STATE REP,33,33,CA,"SEASTRAND, ANDREA",Republican,1,,1,,INCUMBENT,0.85
CA,Santa Maria Times,104700,1992,H,22,22,CA,"HUFFINGTON, MICHAEL",Republican,1,,,,,0.85
CA,Santa Maria Times,104700,1990,LT GOVERNOR,,,CA,"BERGESON, MARIAN",Republican,0,1,,,,0.85
CA,Santa Maria Times,104700,1990,LT GOVERNOR,,,CA,"MCCARTHY, LEO",Democrat,1,1,,,INCUMBENT,0.85
CA,Santa Maria Times,104700,1990,LT GOVERNOR,,,CA,"KUHN, CLYDE",Progressive,0,1,,,,0.85
CA,Santa Maria Times,104700,1990,LT GOVERNOR,,,CA,"SHORT, MERTON",Independent,0,1,,,,0.85
CA,Santa Maria Times,104700,1990,LT GOVERNOR,,,CA,"BAJADA, ANTHONY",Libertarian,0,1,,,,0.85
CA,Santa Maria Times,104700,1990,GOVERNOR,,,CA,"MCCREADY, JEROME",Independent,0,,1,,,0.85
CA,Santa Maria Times,104700,1990,GOVERNOR,,,CA,"WILSON, PETE",Republican,1,,1,,INCUMBENT,0.85
CA,Santa Maria Times,104700,1990,GOVERNOR,,,CA,"MUNOZ, MARIA ELIZABTH",Progressive,0,,1,,,0.85
CA,Santa Maria Times,104700,1990,GOVERNOR,,,CA,"FEINSTEIN, DIANNE",Democrat,0,,1,,,0.85
CA,Santa Maria Times,104700,1990,GOVERNOR,,,CA,"THOMPSON, DENNIS",Libertarian,0,,1,,,0.85
CA,Santa Maria Times,104700,1990,SEC OF STATE,,,CA,"ALARCON, EVELINA",Progressive,0,1,,,,0.85
CA,Santa Maria Times,104700,1990,SEC OF STATE,,,CA,"EU, MARCH FONG",Democrat,1,1,,,INCUMBENT,0.85
CA,Santa Maria Times,104700,1990,SEC OF STATE,,,CA,"WATSON, KENNITA",Libertarian,0,1,,,,0.85
CA,Santa Maria Times,104700,1990,SEC OF STATE,,,CA,"FLORES, JOAN MILKE",Republican,0,1,,,,0.85
CA,Santa Maria Times,104700,1990,SEC OF STATE,,,CA,"NICHOLOFF, THEODORE",Independent,0,1,,,,0.85
