state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
CA,Santa Maria Times,104700,2006,CA,PROPOSITION,1A,CLOSES A LOOPHOLE IN PROP. 42 TO FUND TRANSPORTATION PROJECTS,YES,,0.85
CA,Santa Maria Times,104700,2006,CA,PROPOSITION,1B,RAISES $20 BILLION FOR ROAD BUILDING AND REPAIRS,YES,RAISES TAXPAYER DEBT BUT SEEN AS NECESSARY,0.85
CA,Santa Maria Times,104700,2006,CA,PROPOSITION,1C,FUNDS HOUSING PROGRAMS FOR WORKING FAMILIES,YES,,0.85
CA,Santa Maria Times,104700,2006,CA,PROPOSITION,1D,REPAIRS OLD SCHOOLS AND ADDS CLASSROOMS,YES,,0.85
CA,Santa Maria Times,104700,2006,CA,PROPOSITION,1E,FUNDS DISASTER PREPAREDNESS AND FLOOD PREVENTION,YES,,0.85
CA,Santa Maria Times,104700,2006,CA,PROPOSITION,83,STIFFENS PENALTIES FOR SEX OFFENDERS,NO,CONCERNS ABOUT HIGH IMPLEMENTATION COSTS AND EXISTING LAWS,0.85
CA,Santa Maria Times,104700,2006,CA,PROPOSITION,84,BOND FOR SAFE WATER SUPPLY AND NATURAL RESOURCE PROTECTION,YES,,0.85
CA,Santa Maria Times,104700,2006,CA,PROPOSITION,85,PARENTAL NOTIFICATION BEFORE MINOR'S ABORTION,NO,"DEEMED A BAD IDEA FOR EMOTIONAL, LIFE-CHANGING MEDICAL PROCEDURES",0.85
CA,Santa Maria Times,104700,2006,CA,PROPOSITION,86,$2.60 TAX INCREASE ON CIGARETTES TO FUND HEALTH PROGRAMS,YES,,0.85
CA,Santa Maria Times,104700,2006,CA,PROPOSITION,87,OIL TAX TO FUND ALTERNATIVE ENERGY RESEARCH,NO,TAXING OIL PRODUCTION MAY BACKFIRE AND INCREASE COSTS,0.85
CA,Santa Maria Times,104700,2006,CA,PROPOSITION,88,$50 PARCEL TAX FOR EDUCATION FUNDING,NO,COULD LEAD TO UNFAIR TAX ON THOSE WITHOUT CHILDREN IN PUBLIC SCHOOLS,0.85
CA,Santa Maria Times,104700,2006,CA,PROPOSITION,89,PUBLIC CAMPAIGN FINANCING VIA CORPORATE TAX,NO,APPLIES ONLY TO BUSINESSES AND NOT ALL EQUALLY,0.85
CA,Santa Maria Times,104700,2006,CA,PROPOSITION,90,LIMITS GOVERNMENT POWER OF EMINENT DOMAIN,NO,POORLY-WORDED AND COULD CAUSE MORE HARM THAN GOOD,0.85
CA,Santa Maria Times,104700,2008,CA,PROPOSITION,11,TAKES DRAWING DISTRICT BOUNDARIES FROM LEGISTATURE TO NONPARTISAN COMMITTEE,YES,,0.85
