state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
CO,Denver Post,105650,1968,CU REGENT,,,CO,"BERNICK, RICHARD J.",Nonpartisan,1,,,,POST ENDORSES [V6: Party not specified in OCR - marked Nonpartisan],0.95
CO,Denver Post,105650,1968,DA/PROSECUTOR,1,,CO,"HERRMANN, AL",Republican,1,,,,1ST DISTRICT DA,1.0
CO,Denver Post,105650,1968,DA/PROSECUTOR,18,,CO,"KAYLOR, RICHARD",Democrat,1,,,,18TH DISTRICT DA,1.0
CO,Denver Post,105650,1968,DA/PROSECUTOR,2,DENVER COUNTY,CO,"MCKEVITT, MIKE",Republican,1,,,,DENVER DA,1.0
CO,Denver Post,105650,1968,DA/PROSECUTOR,20,,CO,"SCOTT, REX",Democrat,1,,,,20TH DISTRICT DA,1.0
CO,Denver Post,105650,1968,H,4,CO-4,CO,"ASPINALL, WAYNE N.",Democrat,1,1,,,POST ENDORSES,1.0
CO,Denver Post,105650,1968,H,2,CO-2,CO,"BROTZMAN, DONALD G.",Republican,1,,1,,POST ENDORSES,1.0
CO,Denver Post,105650,1968,H,3,CO-3,CO,"EVANS, FRANK E.",Democrat,1,1,,,POST ENDORSES,1.0
CO,Denver Post,105650,1968,H,1,CO-1,CO,"ROGERS, BYRON G.",Democrat,1,1,,,POST ENDORSES,1.0
CO,Denver Post,105650,1968,PRESIDENT,,,CO,"HUMPHREY, HUBERT H.",Democrat,1,,,,POST ENDORSES,1.0
CO,Denver Post,105650,1968,STATE BOARD OF ED,,,CO,"CARLSON, LEE S.",Nonpartisan,1,,,,POST ENDORSES STATE BOARD OF EDUCATION [V6: Party not specified in OCR - marked Nonpartisan],0.9
CO,Denver Post,105650,1968,SENATOR,,,CO,"DOMINICK, PETER H.",Republican,1,,1,,POST ENDORSES,1.0
CO,Denver Post,105650,1968,STATE REP,11,DENVER COUNTY,CO,"BAIN, JEAN",Republican,1,,,,DENVER 11TH,1.0
CO,Denver Post,105650,1968,STATE REP,16,DENVER COUNTY,CO,"BASTIEN, THOMAS",Democrat,1,,,,DENVER 16TH,1.0
CO,Denver Post,105650,1968,STATE REP,17,DENVER COUNTY,CO,"BURCH, PALMER",Republican,1,,,,DENVER 17TH,1.0
CO,Denver Post,105650,1968,STATE REP,27,,CO,"BYERLY, JOHN",Republican,1,,,,JEFFERSON 27TH,1.0
CO,Denver Post,105650,1968,STATE REP,1,DENVER COUNTY,CO,"CALABRESE, JOSEPH",Democrat,1,,,,DENVER 1ST,1.0
CO,Denver Post,105650,1968,STATE REP,32,,CO,"CAMPBELL, JOHN G.",Democrat,1,,,,ADAMS 32ND,1.0
CO,Denver Post,105650,1968,STATE REP,13,DENVER COUNTY,CO,"COFFEE, MEL",Democrat,1,,,,DENVER 13TH,1.0
CO,Denver Post,105650,1968,STATE REP,39,,CO,"COLE, RALPH",Republican,1,,,,ARAPAHOE 39TH,1.0
CO,Denver Post,105650,1968,STATE REP,30,,CO,"COOPER, ELDON",Democrat,1,,,,ADAMS 30TH,1.0
CO,Denver Post,105650,1968,STATE REP,4,DENVER COUNTY,CO,"DE MOULIN, CHARLES",Democrat,1,,,,DENVER 4TH,1.0
CO,Denver Post,105650,1968,STATE REP,14,DENVER COUNTY,CO,"FRIEDMAN, DON",Republican,1,,,,DENVER 14TH,1.0
CO,Denver Post,105650,1968,STATE REP,40,,CO,"FUHR, JOHN",Republican,1,,,,ARAPAHOE 40TH,1.0
CO,Denver Post,105650,1968,STATE REP,41,,CO,"GEBHARDT, RICHARD",Democrat,1,,,,BOULDER 41ST,1.0
CO,Denver Post,105650,1968,STATE REP,43,,CO,"GRANT, CHARLES",Democrat,1,,,,BOULDER 43RD,1.0
CO,Denver Post,105650,1968,STATE REP,28,,CO,"GRIMSHAW, THOMAS",Republican,1,,,,JEFFERSON 28TH,1.0
CO,Denver Post,105650,1968,STATE REP,12,DENVER COUNTY,CO,"GUSTAFSON, CARL",Republican,1,,,,DENVER 12TH,1.0
CO,Denver Post,105650,1968,STATE REP,6,DENVER COUNTY,CO,"HAACK, ROBERT",Republican,1,,,,DENVER 6TH,1.0
CO,Denver Post,105650,1968,STATE REP,9,DENVER COUNTY,CO,"HAMILTON, PAUL",Democrat,1,,,,DENVER 9TH,1.0
CO,Denver Post,105650,1968,STATE REP,25,,CO,"HANSON, DALE",Democrat,1,,,,JEFFERSON 25TH,1.0
CO,Denver Post,105650,1968,STATE REP,38,,CO,"HORES, DOROTHY",Democrat,1,,,,ARAPAHOE 38TH,1.0
CO,Denver Post,105650,1968,STATE REP,10,DENVER COUNTY,CO,"HORST, DON",Democrat,1,,,,DENVER 10TH,1.0
CO,Denver Post,105650,1968,STATE REP,2,DENVER COUNTY,CO,"KLEIN, BEN",Democrat,1,,,,DENVER 2ND,1.0
CO,Denver Post,105650,1968,STATE REP,3,DENVER COUNTY,CO,"KNOX, WAYNE",Democrat,1,,,,DENVER 3RD,1.0
CO,Denver Post,105650,1968,STATE REP,8,DENVER COUNTY,CO,"LAMM, RICHARD",Democrat,1,,,,DENVER 8TH,1.0
CO,Denver Post,105650,1968,STATE REP,29,,CO,"LEMKUIL, LINDA LEE",Republican,1,,,,ADAMS 29TH,1.0
CO,Denver Post,105650,1968,STATE REP,16,DENVER COUNTY,CO,"LEWIS, BILLY",Independent,1,,,,DENVER 16TH,1.0
CO,Denver Post,105650,1968,STATE REP,18,DENVER COUNTY,CO,"LOWERY, PHILLIP",Democrat,1,,,,DENVER 18TH,1.0
CO,Denver Post,105650,1968,STATE REP,7,DENVER COUNTY,CO,"MAESTAS, JAMES",Republican,1,,,,DENVER 7TH,1.0
CO,Denver Post,105650,1968,STATE REP,31,,CO,"MULLEN, ANTHONY",Democrat,1,,,,ADAMS 31ST,1.0
CO,Denver Post,105650,1968,STATE REP,42,,CO,"ROBERTS, JANET",Democrat,1,,,,BOULDER 42ND,1.0
