state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
CO,Denver Post,105650,1968,CO,AMENDMENT,1,CONSTITUTIONAL AMENDMENT 1,1,YES,0.85
CO,Denver Post,105650,1968,CO,AMENDMENT,2,CONSTITUTIONAL AMENDMENT 2,0,NO,0.85
CO,Denver Post,105650,1968,CO,AMENDMENT,3,CONSTITUTIONAL AMENDMENT 3,1,YES,0.85
CO,Denver Post,105650,1968,CO,AMENDMENT,DENVER 1,DENVER AMENDMENT 1,1,YES,0.85
CO,Denver Post,105650,2008,CO,AMENDMENT,46,BANNING RACIAL AND GENDER PREFERENCES,0,NO,1.0
CO,Denver Post,105650,2008,CO,AMENDMENT,47,RIGHT TO WORK,0,NO,1.0
CO,Denver Post,105650,2008,CO,AMENDMENT,48,PERSONHOOD,0,NO,1.0
CO,Denver Post,105650,2008,CO,AMENDMENT,49,ETHICAL STANDARDS FOR PUBLIC PAYROLLS,1,YES,1.0
CO,Denver Post,105650,2008,CO,AMENDMENT,50,HIGHER GAMBLING STAKES,0,NO,1.0
CO,Denver Post,105650,2008,CO,AMENDMENT,51,SALES TAX HIKE FOR DEVELOPMENTAL DISABILITIES,0,NO,1.0
CO,Denver Post,105650,2008,CO,AMENDMENT,52,SEVERANCE TAX HIKE FOR HIGHWAYS,0,NO,1.0
CO,Denver Post,105650,2008,CO,AMENDMENT,54,CAMPAIGN CONTRIBUTIONS/GOVERNMENT CONTRACTS,0,NO,1.0
CO,Denver Post,105650,2008,CO,AMENDMENT,58,SEVERANCE TAX HIKE FOR HIGHER EDUCATION,0,NO,1.0
CO,Denver Post,105650,2008,CO,AMENDMENT,59,SAVINGS ACCOUNT FOR EDUCATION,1,YES,1.0
CO,Denver Post,105650,2008,CO,REFERENDUM,L,LOWER AGE LIMIT FOR LEGISLATURE TO 21,1,YES,1.0
CO,Denver Post,105650,2008,CO,REFERENDUM,M,CONSTITUTIONAL CLEAN-UP,1,YES,1.0
CO,Denver Post,105650,2008,CO,REFERENDUM,N,CONSTITUTIONAL CLEAN-UP,1,YES,1.0
CO,Denver Post,105650,2008,CO,REFERENDUM,O,REFORM BALLOT INITIATIVE PROCEDURES,1,YES,1.0
CO,Denver Post,105650,2016,CO,PROPOSITION,107,RESTORE PRESIDENTIAL PRIMARY IN COLORADO AND OPEN IT TO UNAFFILIATED VOTERS,1,"WOULD USHER IN MORE ENGAGEMENT, BROADER DEBATE, AND BETTER CANDIDATES; WORTH THE COST",1.0
CO,Denver Post,105650,2016,CO,PROPOSITION,108,OPEN STATE-LEVEL PRIMARIES TO UNAFFILIATED VOTERS; ALLOW PARTIES TO OPT OUT,1,WOULD ENCOURAGE MORE CENTRIST CANDIDATES; STATUTORY SO LAWMAKERS CAN TWEAK,1.0
CO,Denver Post,105650,2016,CO,PROPOSITION,106,AID-IN-DYING/MEDICAL AID IN DYING; ALLOW DOCTORS TO PRESCRIBE LIFE-ENDING DRUGS TO TERMINALLY ILL,0,LACKS PROPER SAFEGUARDS AND REPORTING REQUIREMENTS; CANNOT SUPPORT A LAW THAT WOULD SO EASILY OPEN AN IRREVERSIBLE DOOR,1.0
CO,Denver Post,105650,2016,CO,AMENDMENT,72,RAISE CIGARETTE TAX FROM 84 CENTS TO $2.59 PER PACK; FUND HEALTH PROGRAMS,1,"TAX HELPS REDUCE SMOKING; FUNDS MEDICAID, RESEARCH, VETERANS, RURAL HEALTH PROGRAMS",1.0
CO,Denver Post,105650,2016,CO,PROPOSITION,4B,EXTEND 0.1% SCFD SALES AND USE TAX FOR SCIENTIFIC AND CULTURAL FACILITIES DISTRICT IN SEVEN DENVER-AREA COUNTIES,1,"WELL-ADMINISTERED, MODEST IN AMOUNT, RESPONSIVE TO CHANGE; CLEAR BENEFIT TO ALL SEVEN COUNTIES; FUNDS NEARLY 300 ARTS/SCIENCE ORGS",1.0
