state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
CO,Windsor Beacon,WINDSORBC,1950,CNTY COMM,,,CO,"WINTER, ADOLPH",,1,,,,Beacon editorial 'Candidates That Stand Out'; described as neighbor who deserves and will probably receive near-unanimous vote for county commissioner,0.95
CO,Windsor Beacon,WINDSORBC,1950,SCHOOL BOARD,,,CO,"WARING, HOUSTON",DEM,1,,,,Democratic candidate for State Board of Education from Littleton; described as best-known weekly newspaper editor in the country; Beacon urges both Republicans and Democrats to support,0.95
CO,Windsor Beacon,WINDSORBC,1950,SCHOOL BOARD,,,CO,"PETTYS, ALONZO (MRS.)",,1,,,,Candidate at large for State Board of Education; from Brush; friend of Beacon family,0.95
CO,Windsor Beacon,WINDSORBC,1950,ASSESSOR,,,CO,"FRANKLIN, OTHO",DEM,1,,,,From Greeley; retired publisher of Johnstown Breeze; running for county assessor on the Democratic ticket; described as honest and fair-minded,0.95
CO,Windsor Beacon,WINDSORBC,1954,SUPREME COURT,,,CO,"STONE, MORTIMER",,1,,,1,"Editorial '...AND STONE, THE WATER'; CO Chief Justice; endorse re-election because of his decision in Denver's Blue River water diversion case preserving water rights for Big Thompson Project users (52,000 acre feet in Green Mountain reservoir); Beacon urges residents regardless of party to mark ballot for Judge Stone",0.95
CO,Windsor Beacon,WINDSORBC,1956,PRESIDENT,,,CO,"EISENHOWER, DWIGHT D.",REP,0,,1,,"Editorial 'EVERY WHICH WAY': Beacon has NOT taken a stand on the presidential candidates; mentions one Beacon voter is for Eisenhower, one for Stevenson, two are 'on the fence'; explicitly declines to endorse",0.95
CO,Windsor Beacon,WINDSORBC,1956,PRESIDENT,,,CO,"STEVENSON, ADLAI",DEM,0,,,,Editorial 'EVERY WHICH WAY': Beacon explicitly declines to endorse for president; staff split among candidates,0.95
CO,Windsor Beacon,WINDSORBC,1960,PRESIDENT,,,CO,"NIXON, RICHARD",REP,1,,,,Editorial 'I'LL PROBABLY VOTE THIS WAY'; writer plans to vote for Nixon but says 'no joy or enthusiasm behind the crossmark'; may change mind based on Cuba debate,0.95
CO,Windsor Beacon,WINDSORBC,1960,SENATOR,,,CO,"ALLOTT, GORDON",REP,1,,1,,"Plans to vote for Allott; one of five crucial Senate posts which may decide balance of power; need to balance Republicans and southern Democrats on one side, liberal Democrats on the other; Allott described as 'handing out federal aid as fast as Democrats'",0.95
CO,Windsor Beacon,WINDSORBC,1960,GOVERNOR,,,CO,"JOHNSON, BYRON",DEM,0,,,,"'Only candidate I'm enthusiastic about, but I don't think he'll be re-elected. He's a maverick who sees no real lasting value in balance-of-power programs or an obsession about anti-communist actions'; Beacon writer notes he votes for Johnson on principle but expects Republican trend nationally",0.95
CO,Windsor Beacon,WINDSORBC,1960,H,,,CO,"DOMINICK, PETER",REP,1,,,,'I think Dominick will win'; vote for Johnson [for governor] but vote for Dominick; note: Peter Dominick won CO-2 House seat in 1960,0.95
CO,Windsor Beacon,WINDSORBC,1960,STATE REP,,,CO,"MAGNUSON, CARL",REP,1,,1,,Editorial 'In the Statehouse'; only Republican Weld county sent to statehouse two years ago vs four Democrats; held the bag and filled with promises; Beacon supports his re-election,0.95
CO,Windsor Beacon,WINDSORBC,1960,SENATOR,,,CO,"CARROLL, JOHN",DEM,0,,,,Implied non-endorsement - Beacon endorses Allott (Republican) against Carroll for the US Senate seat; not explicitly named in clipping but Allott's 1960 opponent was John Carroll. Setting as low confidence inference,0.6
CO,Windsor Beacon,WINDSORBC,1960,STATE SENATOR,,,CO,"OLIVER, FLOYD",,1,,1,,Incumbent state senator; Beacon will vote against incumbent senator Floyd Oliver; correction - text says 'I'll vote against incumbent senator Floyd Oliver',0.95
CO,Windsor Beacon,WINDSORBC,1960,STATE SENATOR,,,CO,"THOMAS, WILBER",,1,,,,Will vote for Wilber Thomas for state senate (against incumbent Oliver),0.95
CO,Windsor Beacon,WINDSORBC,1960,STATE REP,,,CO,"ADCOCK, HAROLD",,0,1,,,Incumbent representative; Beacon will vote against him in favor of Republicans Abbett and Littler,0.95
CO,Windsor Beacon,WINDSORBC,1960,STATE REP,,,CO,"LOVE, NOBLE",,0,1,,,Incumbent representative; Beacon will vote against him in favor of Republicans Abbett and Littler,0.95
CO,Windsor Beacon,WINDSORBC,1960,STATE REP,,,CO,"ABBETT, LEONARD",REP,1,,,,Will vote for Republican Leonard Abbett for statehouse (against incumbents Adcock and Love),0.95
CO,Windsor Beacon,WINDSORBC,1960,STATE REP,,,CO,"LITTLER, KATHLEEN",REP,1,,,,Will vote for Republican Kathleen Littler for statehouse (against incumbents Adcock and Love),0.95
CO,Windsor Beacon,WINDSORBC,1960,CNTY COMM,,,CO,"REED, TOM",REP,1,,,,Editorial 'In the County'; Republican; Beacon supports for commissioner; main concern letting local government slip away to statehouse,0.95
CO,Windsor Beacon,WINDSORBC,1960,CNTY COMM,,,CO,"EWING, MILLARD",REP,1,,,,Republican; Beacon supports for county commissioner,0.95
CO,Windsor Beacon,WINDSORBC,1960,CNTY CLERK,,,CO,ANDERSON,,0,,,,"Driver-licensing issue; Anderson wanted to bring it back to county; Shultz didn't; Beacon supports keeping Republican Shultz, so against Anderson",0.8
CO,Windsor Beacon,WINDSORBC,1960,CNTY CLERK,,,CO,SHULTZ,REP,1,,1,,Has two more years to serve; Beacon will vote for Republicans (including Shultz); didn't want to bring driver-licensing back to county,0.95
CO,Windsor Beacon,WINDSORBC,1960,CNTY,,,CO,WARREN,REP,1,,1,,Beacon will vote for Republican Warren who is trying again as independent (running again as 'an independent'); listed alongside Shultz,0.8
CO,Windsor Beacon,WINDSORBC,1960,SHERIFF,,,CO,WELSH,,1,,1,,Welsh has been a pretty good sheriff - at least Beacon has read no complaints on editorial pages of other county papers; will vote for Welsh (notes Tegtman is trying again on 'Taxpayer's' ticket),0.95
CO,Windsor Beacon,WINDSORBC,1962,GOVERNOR,,,CO,"MCNICHOLS, STEVE",DEM,1,1,,,Editorial 'AND THE FOUR LEADING CANDIDATES'; 'It becomes more and more obvious that Steve McNichols will again be governor. Even the Rocky Mountain News is backing him'; implied endorsement noting Denver Post poll showing Love ahead is odd-ball,0.8
CO,Windsor Beacon,WINDSORBC,1962,H,,,CO,"DOMINICK, PETER",REP,1,,1,,"Dominick-Carroll race 'almost identical to Nixon-Kennedy one two years ago'; 'Republicans could have won easily over their socialistic rivals, but they were so eager they wooed John Birch-type votes. This hurt Nixon, and it's hurting Dominick. It'll be a close race'; mild support for Dominick; Beacon laments lack of Allott (GOP Senator) support; note: this likely refers to US Senate race - Dominick ran for Senate against Carroll in 1962",0.8
CO,Windsor Beacon,WINDSORBC,1962,SENATOR,,,CO,"CARROLL, JOHN",DEM,0,1,,,Incumbent US Senator; Dominick described as opposing 'socialistic rival' - implied non-endorsement,0.8
CO,Windsor Beacon,WINDSORBC,1964,STATE SENATOR,,,CO,"OLIVER, FLOYD",DEM,0,1,,,"Editorial 'Vote For a Free Press'; Democratic state senator of Greeley; chaired senate committee that, faced with a touchy bill, let the lobbyists write the bill and voted for its passage; 'I don't think that's a very good way to write laws into our books'; explicitly will not vote for Oliver",0.95
