state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
CO,Windsor Beacon,WINDSORBC,1952,CO,AMENDMENT,1,Compensation of Judges - allow higher salaries for judges during term,1,Editorial 'Those Six Amendments'; 'It will cure a grave injustice'; Vote YES,0.95
CO,Windsor Beacon,WINDSORBC,1952,CO,AMENDMENT,2,Regulation of Utilities,1,Vote YES; references prior editorial,0.95
CO,Windsor Beacon,WINDSORBC,1952,CO,AMENDMENT,3,Shale Oil Industry - six-year tax exemption for shale oil/coal property,1,Ostensible purpose is to encourage development of an 'infant industry'; two unrelated propositions added as 'bait': $400 personal property exemption for heads of families and irrigation ditches exempt from taxation; Vote YES,0.95
CO,Windsor Beacon,WINDSORBC,1952,CO,AMENDMENT,4,Oil Severance Tax,0,Beacon argues proposal is suspicious - too tricky; plenty of time to revise in 1956; Vote NO,0.95
CO,Windsor Beacon,WINDSORBC,1952,CO,AMENDMENT,5,Hours of Firemen - applies only to cities maintaining paid fire departments,1,NO RECOMMENDATION,0.95
CO,Windsor Beacon,WINDSORBC,1952,CO,AMENDMENT,6,Slot Machines - local option to legalize operation of slot machines,0,Would make Colorado next to Nevada as a gambling haven; American Legion opposed; Vote NO,0.95
CO,Windsor Beacon,WINDSORBC,1954,CO,AMENDMENT,1,Centralize rate-making authority in state public utilities commission,1,Editorial 'VOTE YES ON NO. 1'; same proposal as 1952; CO Municipal League now supports; would save money by eliminating duplicating agencies,0.95
CO,Windsor Beacon,WINDSORBC,1954,CO,AMENDMENT,,Four-year terms for county and state officers,1,Editorial 'FOUR YEARS PREFERRED'; Beacon sticking to its recommendation despite preponderant editorial opinion in Colorado favoring two-year system; amendment number not specified in clipping,0.8
CO,Windsor Beacon,WINDSORBC,1956,CO,AMENDMENT,1,State constitutional amendment (1956 ballot),0,Editorial 'REPEATING OUR RECOMMENDATIONS': Vote NO on Amendment 1,0.95
CO,Windsor Beacon,WINDSORBC,1956,CO,AMENDMENT,2,State constitutional amendment (1956 ballot),1,Neutral on Amendment 2,0.95
CO,Windsor Beacon,WINDSORBC,1956,CO,AMENDMENT,3,State constitutional amendment (1956 ballot),0,Vote NO on Amendment 3,0.95
CO,Windsor Beacon,WINDSORBC,1956,CO,AMENDMENT,4,State constitutional amendment (1956 ballot),0,Vote NO on Amendment 4,0.95
CO,Windsor Beacon,WINDSORBC,1956,CO,AMENDMENT,5,Old Age Pension - protection from loss of federal funds; tied to governor's commission recommendations on preserving pensions,1,"Editorial 'VOTE YES ON 5'; supported by Governor Johnson, Judge O. Otto Moore, the National Annuity League; would protect against threatened loss of $39 monthly federal funds and bring Colorado pension down to national average; old age pensioners definitely threatened with loss of federal funds unless this passes",0.95
