state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
CT,Hartford Courant,106450,1960,CT,BOND,1,"Bond ordinance $1,850,000 for redevelopment in Main-Wells-Gold Street area (Bushnell Plaza)",1,Hartford,0.95
CT,Hartford Courant,106450,1960,CT,BOND,2,"Bond ordinance $225,000 for addition to Mark Twain School",1,Hartford,0.95
CT,Hartford Courant,106450,1960,CT,BOND,3,"Appropriation $760,000 for extension of Connecticut River intercepting sewer",1,MDC,0.95
CT,Hartford Courant,106450,1960,CT,BOND,4,"Appropriation $1,250,000 for preliminary work on new water filter plant",1,MDC,0.95
CT,Hartford Courant,106450,1962,CT,AMENDMENT,1,Extends voting by absentee ballot to constitutional amendments,1,Statewide,0.95
CT,Hartford Courant,106450,1962,CT,AMENDMENT,2,State Constitution amendment (election provisions),1,Statewide,0.95
CT,Hartford Courant,106450,1962,CT,AMENDMENT,3,Requires Governor and Lt Governor to be of same party,1,Statewide,0.95
CT,Hartford Courant,106450,1962,CT,AMENDMENT,4,State Constitution amendment (election provisions),1,Statewide,0.95
CT,Hartford Courant,106450,1962,CT,AMENDMENT,5,State Constitution amendment (election provisions),1,Statewide,0.95
CT,Hartford Courant,106450,1962,CT,BOND,6,$1.7 million bond for Sheldon Street-Charter Oak Avenue redevelopment,1,Hartford,0.95
CT,Hartford Courant,106450,1962,CT,BOND,7,$2.5 million bond for new elementary school in northwest Hartford,1,Hartford,0.95
CT,Hartford Courant,106450,1962,CT,BOND,8,$1.8 million bond for new public works facilities and buildings,1,Hartford,0.95
CT,Hartford Courant,106450,1962,CT,REFERENDUM,9,Authorize transit district to ensure mass transit service,1,Hartford,0.95
CT,Hartford Courant,106450,1962,CT,REFERENDUM,10,Authorize proposed Colebrook River dam (MDC flood control),1,MDC,0.95
CT,Hartford Courant,106450,1964,CT,BOND,1,$3.5 million bond for new elementary school in northeast Hartford,1,Hartford,0.95
CT,Hartford Courant,106450,1964,CT,BOND,2,$0.5 million bond for modernizing Washington Street Trade School,1,Hartford,0.95
CT,Hartford Courant,106450,1964,CT,BOND,3,"$225,000 bond to replace fire-alarm cables and modernize control center",1,Hartford,0.95
CT,Hartford Courant,106450,1964,CT,BOND,MDC1,$12 million MDC bond for water system improvements,1,MDC,0.95
CT,Hartford Courant,106450,1964,CT,BOND,MDC2,$10 million MDC bond for sewer system improvements,1,MDC,0.95
CT,Hartford Courant,106450,1964,CT,AMENDMENT,1,Clarifies process of amending the state Constitution,1,Statewide,0.95
CT,Hartford Courant,106450,1964,CT,AMENDMENT,2,Changes residence requirement for voting to 6 months in town,1,Statewide,0.95
CT,Hartford Courant,106450,1964,CT,AMENDMENT,3,Allows absentee ballots for voters whose religion forbids voting on Election Day,1,Statewide,0.95
