state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
DC,Washington Post,107050,1974,H,8,,VA,"HARRIS, HERBERT E.",Democrat,1,,,,Endorsement somewhat implicit; Post argues this year is the time to give Harris a chance over Parris,0.7
DC,Washington Post,107050,1974,H,10,,VA,"FISHER, JOSEPH L.",Democrat,1,,,,Post endorses Fisher over Broyhill,0.9
DC,Washington Post,107050,1974,SENATOR,,,MD,"MATHIAS, CHARLES MCC.",Republican,1,,,,Incumbent Republican; Post endorses re-election,0.95
DC,Washington Post,107050,1978,SENATOR,,,VA,"MILLER, ANDREW P.",Democrat,1,,,,Open seat; Post endorses Miller over Warner,0.95
DC,Washington Post,107050,1978,H,10,,VA,"FISHER, JOSEPH L.",Democrat,1,,,,Incumbent; Post endorses re-election,0.95
DC,Washington Post,107050,1978,H,8,,VA,"HARRIS, HERBERT E.",Democrat,1,,,,Incumbent; Post endorses Harris over Herrity,0.9
DC,Washington Post,107050,1978,MAYOR,,,MD,"HOGAN, LAWRENCE J.",Republican,1,,,,"County Executive, Prince George's County, MD; Post endorses Hogan as energetic new force",0.85
DC,Washington Post,107050,1978,MAYOR,,,MD,"GILCHRIST, CHARLES W.",Democrat,1,,,,"County Executive, Montgomery County, MD; Post gives edge to Gilchrist",0.9
DC,Washington Post,107050,1980,SCHOOL BOARD,,,MD,"EWING, BLAIR G.",Independent,1,,,,Montgomery County school board (nonpartisan); Post endorses Ewing/Praisner/King-Shaw slate,0.9
DC,Washington Post,107050,1980,SCHOOL BOARD,,,MD,"PRAISNER, MARILYN J.",Independent,1,,,,Montgomery County school board (nonpartisan),0.9
DC,Washington Post,107050,1980,SCHOOL BOARD,,,MD,"KING-SHAW, SANDRA M.",Independent,1,,,,Montgomery County school board (nonpartisan),0.9
DC,Washington Post,107050,1980,SCHOOL BOARD,1,,MD,"EUGENE, DORIS A.",Independent,1,,,,"Prince George's County school board, District 1 (nonpartisan); 'earned another term'",0.85
