state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
DC,Washington Post,107050,1983,VA,BOND,,"Arlington County bond issues (transportation, conservation, water distribution)",1,Four bond issues; responsible leaders recommending Yes votes,0.8
DC,Washington Post,107050,1984,VA,BOND,,"Arlington County bond issues (transportation, conservation, park/recreation, street/highway)",1,Four bond issues; responsible leaders recommending Yes votes,0.85
DC,Washington Post,107050,1992,DC,REFERENDUM,41,Initiative Measure No. 41 - lowers campaign contribution limits,0,WaPo recommends voting 'Against',0.95
DC,Washington Post,107050,1992,DC,REFERENDUM,,Death Penalty Proposal,0,WaPo recommends voting 'Against' - opposes congressional intrusion,0.95
DC,Washington Post,107050,1996,VA,BOND,,Arlington streets and highways bond,1,WaPo recommends yes,0.95
DC,Washington Post,107050,1996,VA,BOND,,Arlington schools bond,1,WaPo recommends yes,0.95
DC,Washington Post,107050,1996,VA,BOND,,Arlington parks bond,1,WaPo recommends yes,0.95
DC,Washington Post,107050,1996,VA,BOND,,Arlington Metrorail financing bond,1,WaPo recommends yes,0.95
DC,Washington Post,107050,1998,DC,REFERENDUM,59,DC Initiative 59 - Legalization of marijuana for medical treatment,0,Post recommended NO,0.96
DC,Washington Post,107050,1998,MD,REFERENDUM,1,Maryland statewide Question 1,1,YES,0.92
DC,Washington Post,107050,1998,MD,REFERENDUM,2,Maryland statewide Question 2,1,YES,0.92
DC,Washington Post,107050,1998,MD,REFERENDUM,A,Montgomery County Question A,1,YES,0.9
DC,Washington Post,107050,1998,MD,REFERENDUM,B,Montgomery County Question B,1,YES,0.9
DC,Washington Post,107050,1998,MD,REFERENDUM,C,Montgomery County Question C,1,YES,0.9
DC,Washington Post,107050,1998,MD,REFERENDUM,D,Montgomery County Question D,0,NO,0.9
DC,Washington Post,107050,1998,MD,REFERENDUM,E,Montgomery County Question E,0,NO,0.9
DC,Washington Post,107050,1998,MD,REFERENDUM,F,Montgomery County Question F,1,YES,0.9
DC,Washington Post,107050,1998,MD,REFERENDUM,H,Montgomery County Question H,0,NO,0.9
DC,Washington Post,107050,1998,MD,REFERENDUM,A,Prince George's County Question A,1,YES,0.9
DC,Washington Post,107050,1998,MD,REFERENDUM,B,Prince George's County Question B,1,YES,0.9
DC,Washington Post,107050,1998,MD,REFERENDUM,C,Prince George's County Question C,1,YES,0.9
DC,Washington Post,107050,1998,MD,REFERENDUM,D,Prince George's County Question D,1,YES,0.9
DC,Washington Post,107050,1998,MD,REFERENDUM,E,Prince George's County Question E,1,YES,0.9
DC,Washington Post,107050,1998,VA,REFERENDUM,1,Virginia statewide Question 1,1,YES,0.9
DC,Washington Post,107050,1998,VA,REFERENDUM,2,Virginia statewide Question 2,1,YES,0.9
DC,Washington Post,107050,1998,VA,REFERENDUM,3,Virginia statewide Question 3,1,YES,0.9
DC,Washington Post,107050,1998,VA,REFERENDUM,4,Virginia statewide Question 4,1,YES,0.9
DC,Washington Post,107050,1998,VA,REFERENDUM,5,Virginia statewide Question 5,1,YES,0.9
DC,Washington Post,107050,1998,VA,REFERENDUM,1,Arlington County Question 1,1,YES,0.9
DC,Washington Post,107050,1998,VA,REFERENDUM,2,Arlington County Question 2,1,YES,0.9
DC,Washington Post,107050,1998,VA,REFERENDUM,3,Arlington County Question 3,1,YES,0.9
DC,Washington Post,107050,1998,VA,REFERENDUM,4,Arlington County Question 4,1,YES,0.9
DC,Washington Post,107050,1998,VA,REFERENDUM,1,Fairfax County Question 1,1,YES,0.9
DC,Washington Post,107050,1998,VA,REFERENDUM,2,Fairfax County Question 2,1,YES,0.9
DC,Washington Post,107050,1998,VA,REFERENDUM,1,Prince William County Question 1,1,YES,0.9
DC,Washington Post,107050,1998,VA,REFERENDUM,2,Prince William County Question 2,1,YES,0.9
DC,Washington Post,107050,1998,VA,REFERENDUM,3,Prince William County Question 3,1,YES,0.9
DC,Washington Post,107050,1998,VA,REFERENDUM,1,Loudoun County Question 1,1,YES,0.9
DC,Washington Post,107050,1998,VA,REFERENDUM,2,Loudoun County Question 2,1,YES,0.9
DC,Washington Post,107050,1998,VA,REFERENDUM,3,Loudoun County Question 3,1,YES,0.9
DC,Washington Post,107050,1998,VA,REFERENDUM,4,Loudoun County Question 4,1,YES,0.9
DC,Washington Post,107050,1998,VA,REFERENDUM,5,Loudoun County Question 5,1,YES,0.9
DC,Washington Post,107050,2000,MD,REFERENDUM,A,MD - Cecil County Elections,1,FOR,0.9
DC,Washington Post,107050,2000,MD,REFERENDUM,B,MD - Prince George's Land Acquisition,1,FOR,0.9
DC,Washington Post,107050,2000,MD,REFERENDUM,A,Montgomery County - Special Spending,1,FOR,0.9
DC,Washington Post,107050,2000,MD,REFERENDUM,B,Montgomery County - Temporary County Employees,1,FOR,0.9
DC,Washington Post,107050,2000,MD,REFERENDUM,C,Montgomery County - Ficker Term Limits Proposal,0,AGAINST,0.9
DC,Washington Post,107050,2000,MD,REFERENDUM,A,"Prince George's - Term Limit Repeal, County Executive",1,FOR,0.9
DC,Washington Post,107050,2000,MD,REFERENDUM,B,"Prince George's - Term Limit Repeal, Council",1,FOR,0.9
DC,Washington Post,107050,2000,MD,BOND,C,"Prince George's - Bonds, Police, Fire Stations",1,FOR,0.9
DC,Washington Post,107050,2000,MD,BOND,D,"Prince George's - Bonds, Community College",1,FOR,0.9
DC,Washington Post,107050,2000,MD,BOND,E,"Prince George's - Bonds, Libraries",1,FOR,0.9
DC,Washington Post,107050,2000,MD,BOND,F,"Prince George's - Bonds, Public Works, Transportation",1,FOR,0.9
DC,Washington Post,107050,2000,MD,BOND,G,"Prince George's - Bonds, Other County Buildings",1,FOR,0.9
DC,Washington Post,107050,2000,MD,REFERENDUM,H,"Prince George's - Cut Residential Trash Pickup Fees, Impose Commercial Fee",1,FOR,0.9
DC,Washington Post,107050,2000,VA,AMENDMENT,1,Virginia Constitutional Question 1 - Lottery Proceeds for Education,0,NO,0.9
DC,Washington Post,107050,2000,VA,AMENDMENT,2,Virginia Constitutional Question 2 - Right to Hunt and Fish,0,NO,0.9
DC,Washington Post,107050,2001,VA,BOND,,Fairfax County school bond issue,1,Approval merit,0.9
DC,Washington Post,107050,2001,VA,BOND,,"Loudoun County bond referendum (schools, parks, library)",1,Approval merit,0.9
DC,Washington Post,107050,2002,DC,REFERENDUM,62,DC Initiative Measure No. 62,0,Against,0.92
DC,Washington Post,107050,2002,DC,REFERENDUM,A,DC Advisory Referendum A,1,For,0.92
DC,Washington Post,107050,2002,MD,AMENDMENT,1,Maryland state constitutional amendment Question 1,1,For,0.9
DC,Washington Post,107050,2002,MD,AMENDMENT,2,Maryland state constitutional amendment Question 2,1,For,0.9
DC,Washington Post,107050,2002,MD,AMENDMENT,3,Maryland state constitutional amendment Question 3,1,For,0.9
DC,Washington Post,107050,2002,MD,REFERENDUM,A,Montgomery County Ballot Question A,1,For,0.9
DC,Washington Post,107050,2002,MD,REFERENDUM,B,Montgomery County Ballot Question B,0,Against,0.9
DC,Washington Post,107050,2002,MD,REFERENDUM,C,Montgomery County Ballot Question C,1,For,0.9
DC,Washington Post,107050,2002,MD,REFERENDUM,A,Prince George's Ballot Question A,1,For,0.9
DC,Washington Post,107050,2002,MD,REFERENDUM,B,Prince George's Ballot Question B,1,For,0.9
DC,Washington Post,107050,2002,MD,REFERENDUM,C,Prince George's Ballot Question C,1,For,0.9
DC,Washington Post,107050,2002,MD,REFERENDUM,D,Prince George's Ballot Question D,1,For,0.9
DC,Washington Post,107050,2002,MD,REFERENDUM,E,Prince George's Ballot Question E,1,For,0.9
DC,Washington Post,107050,2002,MD,REFERENDUM,F,Prince George's Ballot Question F,1,For,0.9
DC,Washington Post,107050,2002,MD,REFERENDUM,G,Prince George's Ballot Question G,1,For,0.9
DC,Washington Post,107050,2002,MD,REFERENDUM,H,Prince George's Ballot Question H,1,For,0.9
DC,Washington Post,107050,2002,MD,REFERENDUM,I,Prince George's Ballot Question I,1,For,0.9
DC,Washington Post,107050,2002,VA,AMENDMENT,1,Virginia Amendment Proposal 1,1,Yes,0.9
DC,Washington Post,107050,2002,VA,AMENDMENT,2,Virginia Amendment Proposal 2,1,Yes,0.9
DC,Washington Post,107050,2002,VA,BOND,1,Virginia Bond Proposal 1,1,Yes,0.9
DC,Washington Post,107050,2002,VA,BOND,2,Virginia Bond Proposal 2,1,Yes,0.9
DC,Washington Post,107050,2002,VA,REFERENDUM,,Northern Virginia Sales and Use Tax (transportation referendum),1,Yes,0.9
DC,Washington Post,107050,2002,VA,BOND,1,Arlington County bond issue Question 1,1,For,0.9
DC,Washington Post,107050,2002,VA,BOND,2,Arlington County bond issue Question 2,1,For,0.9
DC,Washington Post,107050,2002,VA,BOND,3,Arlington County bond issue Question 3,1,For,0.9
DC,Washington Post,107050,2004,MD,REFERENDUM,A,Montgomery County Question A - Property tax freeze,0,No,0.92
DC,Washington Post,107050,2004,MD,REFERENDUM,B,"Montgomery County Question B - Term limits, county council",0,No,0.92
DC,Washington Post,107050,2004,MD,REFERENDUM,C,Montgomery County Question C - Eliminating four at-large council members,0,No,0.92
DC,Washington Post,107050,2004,MD,BOND,A,Prince George's Question A - Bonds,1,Yes,0.9
DC,Washington Post,107050,2004,MD,BOND,B,Prince George's Question B - Bonds,1,Yes,0.9
DC,Washington Post,107050,2004,MD,BOND,C,Prince George's Question C - Bonds,1,Yes,0.9
DC,Washington Post,107050,2004,MD,BOND,D,Prince George's Question D - Bonds,1,Yes,0.9
