state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
DE,Wilmington Evening Journal,106951,1960,PRESIDENT,,United States,DE,"NIXON, RICHARD M.",Republican,1,,,,Vice President Nixon is the man who will make the right choices,0.98
DE,Wilmington Evening Journal,106951,1960,PRESIDENT,,United States,DE,"KENNEDY, JOHN F.",Democrat,0,,,,"Senator Kennedy fails to make convincing case; recklessness on Cuba, inflation risks",0.95
DE,Wilmington Evening Journal,106951,1960,SENATOR,,Delaware,DE,"FREAR, JOSEPH ALLEN JR.",Democrat,1,1,,,"dual endorsement; seniority, sound voting record, common touch with Delawareans",0.9
DE,Wilmington Evening Journal,106951,1960,SENATOR,,Delaware,DE,"BOGGS, J. CALEB",Republican,1,,,,"dual endorsement; would be more effective on Capitol Hill, views on foreign aid and civil rights closer to ours",0.9
DE,Wilmington Evening Journal,106951,1960,H,AL,Delaware At-Large,DE,"MCKINSTRY, JAMES T.",Republican,1,,,,"strong endorsement; youth, ability, idealism outweigh opponent's experience",0.98
DE,Wilmington Evening Journal,106951,1960,H,AL,Delaware At-Large,DE,"MCDOWELL, HARRIS B. JR.",Democrat,0,1,,,"incumbent has originated virtually no important legislation; rates high with ADA, COPE, NFU",0.95
DE,Wilmington Evening Journal,106951,1960,STATE SENATOR,,Wilmington (Reilly seat),DE,"BOYER, DAVID C.",Republican,1,,,,our nod goes to Mr. Boyer; up-and-coming young Republican,0.93
DE,Wilmington Evening Journal,106951,1960,STATE SENATOR,,Wilmington (Reilly seat),DE,"REILLY, JOHN E.",Democrat,0,1,,,majority leader; must share responsibility for Assembly's dismal record,0.93
DE,Wilmington Evening Journal,106951,1960,STATE SENATOR,4,"Fourth District, New Castle County",DE,"MANNING, MARGARET R.",Republican,1,,,,time for Mrs. Manning to move up to the Senate,0.95
DE,Wilmington Evening Journal,106951,1960,STATE SENATOR,4,"Fourth District, New Castle County",DE,"MCGINNES, F. EARL JR.",Democrat,0,,,,opposed by Manning whom paper endorses,0.85
DE,Wilmington Evening Journal,106951,1960,STATE SENATOR,6,Sixth District,DE,"CORRELL, JACOB A.",Republican,1,1,,,no reason for replacing the competent Mr. Correll,0.95
DE,Wilmington Evening Journal,106951,1960,STATE SENATOR,6,Sixth District,DE,"JOHNSON, B. WALTER",Democrat,0,,,,former Rep; opposed Correll incumbent,0.85
DE,Wilmington Evening Journal,106951,1960,STATE SENATOR,4,"Fourth District, Kent County",DE,"NEEDLES, FRANCIS L.",Republican,1,,,,Donovan election would compound misfortune of Nechay retirement,0.9
DE,Wilmington Evening Journal,106951,1960,STATE SENATOR,4,"Fourth District, Kent County",DE,"DONOVAN, LEON E.",Democrat,0,,,,feels the way to get rid of government problems is to get rid of government itself,0.92
DE,Wilmington Evening Journal,106951,1960,STATE REP,,Brandywine Hundred,DE,"BARTLESON, T. LEES",Republican,1,,1,,worthy of support for reelection,0.95
DE,Wilmington Evening Journal,106951,1960,STATE REP,,Pencader Hundred,DE,"PAWSON, ROBERT E.",Republican,1,,1,,worthy of support for reelection,0.95
DE,Wilmington Evening Journal,106951,1960,STATE REP,,Red Lion Hundred,DE,"DAVIDSON, ROBERT C.",Democrat,1,1,,,worthy of support for reelection,0.95
DE,Wilmington Evening Journal,106951,1960,STATE REP,,St. Georges Hundred,DE,"TRIBBITT, SHERMAN W.",Democrat,1,1,,,running unopposed; worthy of support,0.92
DE,Wilmington Evening Journal,106951,1960,STATE REP,,Dover,DE,"RICHARDS, CHARLES F.",Republican,1,,1,,worthy of support for reelection,0.95
DE,Wilmington Evening Journal,106951,1960,STATE REP,,Dover,DE,"FIFER, HARVEY P.",Republican,1,,1,,worthy of support for reelection,0.95
DE,Wilmington Evening Journal,106951,1960,STATE REP,,Nassau,DE,"BEST, WILLIAM T.",Republican,1,,1,,worthy of support for reelection,0.95
DE,Wilmington Evening Journal,106951,1960,STATE REP,,Kent County 2nd District,DE,"EHINGER, GEORGE",Republican,1,,,,outstanding former member of the House,0.9
DE,Wilmington Evening Journal,106951,1960,STATE REP,,Wilmington (Livingston seat),DE,"LIVINGSTON, PAUL F.",Democrat,0,1,,,"should like to urge defeat; advocates legalized dog racing, numbers, card-playing",0.95
DE,Wilmington Evening Journal,106951,1960,STATE REP,,Wilmington (Shockley seat),DE,"SHOCKLEY, PAUL",Democrat,0,1,,,should like to urge defeat; blocked badly-needed law enforcement legislation,0.95
DE,Wilmington Evening Journal,106951,1960,STATE REP,,Hares Corner (Quigley seat),DE,"QUIGLEY, JAMES R.",Democrat,0,1,,,should like to urge defeat; stands for most things we oppose,0.95
DE,Wilmington Evening Journal,106951,1960,GOVERNOR,,Delaware,DE,"ROLLINS, JOHN W.",Republican,1,,,,Rollins is an able administrator; can provide the leadership,0.97
DE,Wilmington Evening Journal,106951,1960,GOVERNOR,,Delaware,DE,"CARVEL, ELBERT N.",Democrat,0,,,,man of integrity but cannot be counted on to convert Democrats; failed to get reorganization action when previously governor,0.93
DE,Wilmington Evening Journal,106951,1960,LT GOVERNOR,,Delaware,DE,"ROTH, WILLIAM V. JR.",Republican,1,,,,Roth as lieutenant governor with Rollins,0.92
DE,Wilmington Evening Journal,106951,1960,MAYOR,,Wilmington,DE,"KAVANAUGH, GERARD P.",Republican,1,,,,breath of fresh air; best choice for mayor,0.97
DE,Wilmington Evening Journal,106951,1960,MAYOR,,Wilmington,DE,"BABIARZ, JOHN E.",Democrat,0,,,,president of City Council; must accept blame for failures,0.93
DE,Wilmington Evening Journal,106951,1960,CITY COUNCIL,6,"Sixth Ward, Wilmington",DE,"CARRINGTON, G. OSCAR",Republican,1,,,,outstanding candidate,0.95
DE,Wilmington Evening Journal,106951,1960,CITY COUNCIL,8,"Eighth Ward, Wilmington",DE,"BUTLER, ELLA G.",Republican,1,,,,definitely preferable to opponent,0.95
DE,Wilmington Evening Journal,106951,1960,CITY COUNCIL,8,"Eighth Ward, Wilmington",DE,"WALLACE, JOSEPH L.",Democrat,0,1,,,incumbent Butler preferable to,0.85
