state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
DE,Wilmington News Journal,106952,1990,ATTORNEY GENERAL,,Delaware,DE,"OBERLY, CHARLES M. III",Democrat,1,1,,,recap endorsement for Delaware Attorney General,0.98
DE,Wilmington News Journal,106952,1990,ATTORNEY GENERAL,,Delaware,DE,"STONE, F.L. PETER",Republican,0,,,,"vigorous and worthy challenge; experienced in public and private practice of law; long and distinguished public service record; but salute, not endorsement",0.95
DE,Wilmington News Journal,106952,1990,ATTORNEY GENERAL,,Delaware,DE,"SHEARIN, K. KAY",Libertarian,0,,,,active candidate focused on issues; advocates legalization of drugs; difficult to take seriously as candidate for attorney general,0.92
DE,Wilmington News Journal,106952,1990,H,1,Maryland 1st Congressional District,DE,"DYSON, ROY P.",Democrat,1,1,,,"recap endorsement for US Representative, Maryland",0.98
DE,Wilmington News Journal,106952,1990,H,1,Maryland 1st Congressional District,DE,"GILCHREST, WAYNE T.",Republican,0,,,,conducted campaign comprised mostly of marginal criticism; voters have no good reason to reject Dyson's bid,0.93
DE,Wilmington News Journal,106952,1990,SENATOR,,Delaware,DE,"BIDEN, JOSEPH R. JR.",Democrat,1,1,,,recap endorsement for US Senator,0.98
DE,Wilmington News Journal,106952,1990,SENATOR,,Delaware,DE,"BRADY, M. JANE",Republican,0,,,,"bright, articulate candidate; hope she runs again; this year caught in clutches of out-of-state Republican hired guns; negative campaigning did disservice to soundly developed opinions",0.95
DE,Wilmington News Journal,106952,1990,H,AL,Delaware At-Large,DE,"CARPER, THOMAS R.",Democrat,1,1,,,"recap endorsement for US Representative, Delaware",0.98
DE,Wilmington News Journal,106952,1990,H,AL,Delaware At-Large,DE,"WILLIAMS, RALPH O.",Republican,0,,,,former savings and loan officer; sought to capitalize on national throw-the-rascals-out mood; campaign generated little enthusiasm,0.94
DE,Wilmington News Journal,106952,1990,H,AL,Delaware At-Large,DE,"COHEN, RICHARD A.",Libertarian,0,,,,Libertarian candidate; campaign engendered even less enthusiasm,0.9
DE,Wilmington News Journal,106952,1990,TREASURER,,Delaware,DE,"RZEWNICKI, JANET C.",Republican,1,,,,recap endorsement for Delaware State Treasurer,0.95
DE,Wilmington News Journal,106952,1990,AUDITOR,,Delaware,DE,"WAGNER, R. THOMAS JR.",Republican,1,,1,,recap endorsement for Delaware State Auditor (incumbent appointed by Castle in 1989),0.93
DE,Wilmington News Journal,106952,2008,PRESIDENT,,United States,DE,"OBAMA, BARACK",Democrat,1,,,,"has the intelligence, diligence and political skills to meet unprecedented challenges; open to dissenting voices and to experiments; guided by fully articulated idea of what government can and cannot do",0.98
DE,Wilmington News Journal,106952,2008,PRESIDENT,,United States,DE,"BIDEN, JOSEPH R. JR.",Democrat,1,,,,running mate; open to dissenting voices and experiments,0.95
DE,Wilmington News Journal,106952,2008,SENATOR,,Delaware,DE,"BIDEN, JOSEPH R.",Democrat,1,1,,,"senior senator traditionally seeks centrist resolve, leadership style needed in Congress likely to end up with Democrat majorities in extended global economic crisis; brought millions of federal dollars to Delaware for more cops, services to prevent violence against women and tougher sex offender laws",0.97
DE,Wilmington News Journal,106952,2008,H,AL,Delaware At-Large,DE,"CASTLE, MICHAEL N.",Republican,1,,1,,"rare Republican moderate; influential as centrist negotiator on amending No Child Left Behind, energy, environment, and now structuring government bailout of failing financial institutions",0.97
DE,Wilmington News Journal,106952,2008,GOVERNOR,,Delaware,DE,"MARKELL, JACK",Democrat,1,,,,"shown both in his business career and as state treasurer that he knows how to get things done; proposed well thought-out ideas about education, jobs and environment; promises aggressive, purposeful approach to governing",0.97
DE,Wilmington News Journal,106952,2008,INSURANCE COMMISSIONER,,Delaware,DE,"STEWART, KAREN WELDIN",Democrat,1,,,,brings wealth of knowledge and experience to a job that is generally considered a political stepchild among statewide elective offices,0.95
DE,Wilmington News Journal,106952,2010,SENATOR,,Delaware,DE,"COONS, CHRIS",Democrat,1,,,,"has executive experience; balanced budgets; made unpopular but necessary decisions; knows what it is like to face hostile crowds and tell supporters that government spending has limits; history of finding solutions to real problems, making bureaucracies more innovative",0.97
DE,Wilmington News Journal,106952,2010,SENATOR,,Delaware,DE,"O'DONNELL, CHRISTINE",Republican,0,,,,tea party candidate; offers no blueprint and acknowledges no hazards to her plan; says nothing about paying for Social Security or Medicare or Medicaid; wants voters to think we can have it all; thinks government leader can avoid choosing,0.96
DE,Wilmington News Journal,106952,2010,H,AL,Delaware At-Large,DE,"CARNEY, JOHN",Democrat,1,,,,"wants Congress to extend Bush tax cuts but set date when they would expire; trigger mechanism such as lower unemployment rate; supports higher income exclusion for estate taxes; spent last two years bringing green energy jobs to Delaware; opposes opening Delaware beach resorts to offshore drilling; tough, flexible approach",0.97
DE,Wilmington News Journal,106952,2010,H,AL,Delaware At-Large,DE,"URQUHART, GLEN",Republican,0,,,,wants to keep Bush tax cuts permanently; good ideas on innovative clean energy and nuclear power; appeal for less regulation rings hollow; considers climate change a scheme; advocates getting rid of Energy Department; tax cuts as cure-all limits his flexibility,0.96
DE,Wilmington News Journal,106952,2010,AUDITOR,,Delaware,DE,"WAGNER, R. THOMAS JR.",Republican,0,,1,,"incumbent since appointed by Castle in 1989, elected six times; by-the-book approach put office in remote control mode; response based on what he hears from anonymous hotline; not endorsed",0.95
