state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
FL,Miami Herald,108051,1946,SENATOR,,,FL,"HOLLAND, SPESSARD L.",Democrat,1,,,,US SENATOR ENDORSED,0.95
FL,Miami Herald,108051,1946,H,,,FL,"SMATHERS, GEORGE A.",Democrat,1,,,,US REPRESENTATIVE ENDORSED,0.92
FL,Miami Herald,108051,1946,CNTY CLERK,,Dade,FL,"CARTER, PERRY W.",Democrat,1,,,,RAILROAD COMMISSIONER,0.88
FL,Miami Herald,108051,1946,CNTY COMM,,Dade,FL,"MACVICAR, D. B.",Democrat,1,,,,COUNTY COMMISSIONER,0.9
FL,Miami Herald,108051,1946,SCHOOL BOARD,1,Dade,FL,"COLLING, HARLEY",,1,,,,SCHOOL BOARD DISTRICT 1,0.85
FL,Miami Herald,108051,1946,SCHOOL BOARD,2,Dade,FL,"LASSETER, HARLEY",,1,,,,SCHOOL BOARD DISTRICT 2,0.9
FL,Miami Herald,108051,1946,SCHOOL BOARD,3,Dade,FL,"HENDERSON, JAMES A.",,1,,,,SCHOOL BOARD DISTRICT 3,0.92
FL,Miami Herald,108051,1948,PRESIDENT,,,FL,"DEWEY, THOMAS E.",Republican,1,,,,PAGE 2 ENDORSEMENT; ENDORSED WITH VP EARL WARREN,0.8
FL,Miami Herald,108051,1948,H,4,,FL,"SMATHERS, GEORGE A.",Democrat,1,1,,,MIAMI DISTRICT; DETAILED ENDORSEMENT EDITORIAL ON PAGE 1,0.95
FL,Miami Herald,108051,1948,H,6,,FL,"ROGERS, DWIGHT L.",Democrat,1,1,,,FORT LAUDERDALE AREA; DETAILED ENDORSEMENT ON PAGE 1,0.95
FL,Miami Herald,108051,1948,H,1,,FL,"SIKES, ROBERT L.",Democrat,1,1,,,CRESTVIEW; UNOPPOSED INCUMBENT MENTIONED FAVORABLY,0.85
FL,Miami Herald,108051,1948,H,2,,FL,"PETERSON, J. HARDIN",Democrat,1,1,,,LAKELAND; UNOPPOSED; DESCRIBED AS DISTINGUISHED VETERAN,0.85
FL,Miami Herald,108051,1948,H,3,,FL,"BENNETT, CHARLES E.",Democrat,1,,,,JACKSONVILLE; BEAT EMORY S. PRICE IN PRIMARY; HAS REPUBLICAN OPPOSITION,0.8
FL,Miami Herald,108051,1948,H,5,,FL,"HERLONG, A. S.",Democrat,1,,,,TAVARES; WON PRIMARY TO REPLACE JOE HENDRICKS,0.8
FL,Miami Herald,108051,1950,RAILROAD COMMISSION,5,,FL,"KING, WILBUR",Democrat,1,,,,GROUP 5 RAILROAD AND PUBLIC UTILITIES COMMISSIONER,0.7
FL,Miami Herald,108051,1950,COMPTROLLER,,,FL,"GREEN, THOMAS T.",Democrat,1,,,,,0.7
FL,Miami Herald,108051,1950,SUPERINTENDENT,,,FL,"ROBERTS, R. A.",Democrat,1,,,,SUPERINTENDENT OF PUBLIC INSTRUCTION,0.7
FL,Miami Herald,108051,1950,H,,,FL,"SMATHERS, GEORGE",Democrat,1,1,,,FLORIDA HOUSE OF REPRESENTATIVES; ALSO MENTIONED IN DADE COUNTY CONTEXT,0.7
FL,Miami Herald,108051,1950,STATE REP,,,FL,"PETERSEN, GEORGE",Democrat,1,,,,FLORIDA HOUSE OF REPRESENTATIVES,0.65
FL,Miami Herald,108051,1952,PRESIDENT,,,FL,"EISENHOWER, DWIGHT D.",Republican,1,,,,PAGE 2; HERALD RECOMMENDS EISENHOWER FOR PRESIDENT,0.9
FL,Miami Herald,108051,1952,H,,,FL,"LANTAFF, BILL",Democrat,1,1,,,REPRESENTATIVE IN CONGRESS,0.85
FL,Miami Herald,108051,1952,GOVERNOR,,,FL,"MCCARTY, DAN",Democrat,1,,,,,0.85
FL,Miami Herald,108051,1952,STATE SENATOR,,,FL,"GAUTIER, R. B.",Democrat,1,,,,STATE SENATOR; KNOWN AS BUNN GAUTIER,0.8
FL,Miami Herald,108051,1952,STATE REP,,,FL,"SMATHERS, GEORGE A. JR.",Democrat,1,,,,MEMBER FLORIDA HOUSE OF REPRESENTATIVES,0.8
FL,Miami Herald,108051,1952,STATE REP,,,FL,"FINCH, EDITH",Democrat,1,,,,MEMBER FLORIDA HOUSE; ALL LISTED AS INCUMBENT DEMOCRATS,0.75
FL,Miami Herald,108051,1952,ASSESSOR,,,FL,"JANSEEN, OTIS A.",,1,,,,COUNTY TAX ASSESSOR,0.7
FL,Miami Herald,108051,1952,INSPECTOR OF REGISTRATION,,,FL,"BELLWIN, CARL",,1,,,,,0.65
FL,Miami Herald,108051,1952,CNTY COMM,,,FL,"VORSBURGH, JESSE",,1,,,,COUNTY COMMISSIONER,0.65
FL,Miami Herald,108051,1952,CNTY COMM,,,FL,"PETERS, HUGH",,1,,,,COUNTY COMMISSIONER,0.65
FL,Miami Herald,108051,1952,CNTY COMM,,,FL,"MACKLE, E. D.",,1,,,,COUNTY COMMISSIONER,0.65
FL,Miami Herald,108051,1954,H,4,,FL,"FASCELL, DANTE",Democrat,1,,,,DADE COUNTY CONGRESSIONAL RACE; MENTIONED IN GOOD CITIZENS VOTE TODAY EDITORIAL,0.8
FL,Miami Herald,108051,1954,H,,,FL,"ROGERS, DWIGHT",Democrat,1,1,,,MENTIONED IN EDITORIAL AS INCUMBENT CONGRESSMAN,0.75
FL,Miami Herald,108051,1954,STATE SENATOR,25,,FL,"SMATHERS, GEORGE A.",Democrat,1,,,,STATE SENATOR DADE COUNTY DISTRICT 25,0.7
FL,Miami Herald,108051,1956,PRESIDENT,,,FL,"EISENHOWER, DWIGHT D.",Republican,1,,1,,PULL DOWN LEVER 1-B; ENDORSED WITH VP NIXON,0.95
FL,Miami Herald,108051,1956,JUDGE,,,FL,"PROBY, JOHN W.",,0,,,,CIRCUIT JUDGE; HERALD SAYS SHOULD BE DEFEATED; WRITE IN L.C. PROBY INSTEAD,0.9
FL,Miami Herald,108051,1956,JUDGE,,,FL,"PROBY, L. C.",,1,,,,WRITE-IN CANDIDATE FOR CIRCUIT JUDGE; ENDORSED OVER JOHN W. PROBY,0.9
FL,Miami Herald,108051,1960,PRESIDENT,,,FL,"NIXON, RICHARD M.",Republican,1,,,,ENDORSED FOR PRESIDENCY,0.95
FL,Miami Herald,108051,1960,PRESIDENT,,,FL,"LODGE, HENRY CABOT",Republican,1,,,,ENDORSED FOR VICE PRESIDENT,0.95
FL,Miami Herald,108051,1960,GOVERNOR,,,FL,"BRYANT, FARRIS",Democrat,1,,,,ENDORSED FOR GOVERNOR,0.95
FL,Miami Herald,108051,1960,H,3,,FL,"FASCELL, DANTE B.",Democrat,1,,,,ENDORSED FOR US CONGRESS,0.95
FL,Miami Herald,108051,1960,H,6,,FL,"ROGERS, PAUL G.",Democrat,1,1,,,ENDORSED FOR US CONGRESS; INCUMBENT,0.95
FL,Miami Herald,108051,1960,SEC OF STATE,,,FL,"ADAMS, TOM",,1,,,,ENDORSED FOR SECRETARY OF STATE,0.92
FL,Miami Herald,108051,1960,TREASURER,,,FL,"LARSON, J. EDWIN",,1,,,,ENDORSED FOR STATE TREASURER,0.92
FL,Miami Herald,108051,1960,ATTORNEY GENERAL,,,FL,"ERVIN, RICHARD (DICK)",,1,,,,ENDORSED FOR ATTORNEY GENERAL,0.92
FL,Miami Herald,108051,1960,SUPERINTENDENT,,,FL,"BAILEY, TOM D.",,1,,,,ENDORSED FOR SUPT. OF PUBLIC INSTRUCTION,0.92
FL,Miami Herald,108051,1960,STATE SENATOR,,,FL,"HERRELL, CLIFF",,1,,,,ENDORSED FOR STATE SENATOR,0.92
FL,Miami Herald,108051,1960,STATE REP,1,,FL,"HOLLAHAN, GEORGE L. JR.",,1,,,,ENDORSED FOR STATE HOUSE GROUP 1,0.92
FL,Miami Herald,108051,1960,STATE REP,2,,FL,"ELDREDGE, DAVID C.",,1,,,,ENDORSED FOR STATE HOUSE GROUP 2,0.92
