state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
FL,Miami Herald,108051,1946,FL,AMENDMENT,1,AMENDMENT 1,YES,HERALD RECOMMENDS YES,0.8
FL,Miami Herald,108051,1946,FL,AMENDMENT,3,AMENDMENT 3,YES,HERALD RECOMMENDS YES,0.8
FL,Miami Herald,108051,1946,FL,AMENDMENT,6,AMENDMENT 6,YES,HERALD RECOMMENDS YES,0.8
FL,Miami Herald,108051,1950,FL,AMENDMENT,1,REDUCING PAY AND SHRINKING FLORIDA SENATE FROM 38 TO FEWER MEMBERS,YES,YES; FOR REDUCING LEGISLATURE SIZE,0.7
FL,Miami Herald,108051,1950,FL,AMENDMENT,2,HOMESTEAD EXEMPTION PROVISIONS,NO,NO,0.7
FL,Miami Herald,108051,1950,FL,AMENDMENT,3,COUNTY POPULATION REAPPORTIONMENT,YES,YES,0.65
FL,Miami Herald,108051,1950,FL,BOND,B-1,DADE COUNTY BONDS FOR COUNTY BUILDINGS,YES,"FOR $2,500,000 FOR COUNTY BUILDINGS",0.7
FL,Miami Herald,108051,1950,FL,BOND,B-2,DADE COUNTY BONDS FOR STORM SEWERS,YES,"FOR $1,500,000 FOR STORM SEWERS",0.7
FL,Miami Herald,108051,1950,FL,BOND,B-3,DADE COUNTY BONDS FOR AIRPORT AND MIAMI COUNTY CLUB,YES,FOR AIRPORT IMPROVEMENTS,0.65
FL,Miami Herald,108051,1950,FL,BOND,B-4,DADE COUNTY BONDS FOR POLICE HEADQUARTERS,YES,"FOR $800,000 FOR POLICE HEADQUARTERS",0.7
FL,Miami Herald,108051,1952,FL,AMENDMENT,1,CONSTITUTIONAL AMENDMENT,YES,YES,0.95
FL,Miami Herald,108051,1952,FL,AMENDMENT,2,CONSTITUTIONAL AMENDMENT,NO,NO,0.95
FL,Miami Herald,108051,1952,FL,AMENDMENT,3,CONSTITUTIONAL AMENDMENT,YES,YES,0.95
FL,Miami Herald,108051,1952,FL,AMENDMENT,4,CONSTITUTIONAL AMENDMENT,YES,YES,0.95
FL,Miami Herald,108051,1952,FL,AMENDMENT,5,CONSTITUTIONAL AMENDMENT,NO,NO,0.95
FL,Miami Herald,108051,1952,FL,AMENDMENT,6,CONSTITUTIONAL AMENDMENT,NO,NO,0.95
FL,Miami Herald,108051,1952,FL,AMENDMENT,7,CONSTITUTIONAL AMENDMENT,YES,YES,0.95
FL,Miami Herald,108051,1952,FL,AMENDMENT,8,CONSTITUTIONAL AMENDMENT,YES,YES,0.95
FL,Miami Herald,108051,1952,FL,AMENDMENT,9,CONSTITUTIONAL AMENDMENT,YES,YES,0.95
FL,Miami Herald,108051,1952,FL,AMENDMENT,10,CONSTITUTIONAL AMENDMENT,YES,YES,0.95
FL,Miami Herald,108051,1952,FL,AMENDMENT,11,CONSTITUTIONAL AMENDMENT,YES,YES,0.95
FL,Miami Herald,108051,1954,FL,AMENDMENT,1,ABOLISH STATE LEGISLATURE PAY AND LIMIT LEGISLATIVE SESSION,NO,AGAINST,0.85
FL,Miami Herald,108051,1954,FL,AMENDMENT,2,PUBLIC USE OF STATE FUNDS FOR PRIVATE SCHOOLS,NO,AGAINST; DISCRIMINATORY,0.85
FL,Miami Herald,108051,1954,FL,AMENDMENT,3,PROVIDE ADDITIONAL COUNTY JUDGES FOR EXPANDING COUNTIES,YES,FOR; MADE NECESSARY BY GROWTH,0.85
FL,Miami Herald,108051,1954,FL,AMENDMENT,4,EXTEND PERIOD OF DAYS AFTER LEGISLATURE ADJOURNS TO APPROVE BILLS,YES,FOR; SOUND AND NEEDED,0.85
FL,Miami Herald,108051,1954,FL,AMENDMENT,5,SIMPLIFY CONSOLIDATING TAX STATUTES AND COLLECTING OFFICIALS,YES,FOR; EFFICIENT AND ECONOMICAL,0.85
FL,Miami Herald,108051,1954,FL,AMENDMENT,6,PERMIT TAX ASSESSORS AND SELF-TAXING JURISDICTIONS TO BORROW,YES,FOR; EFFICIENT AND ECONOMICAL,0.85
FL,Miami Herald,108051,1954,FL,AMENDMENT,7,PROVIDE ADDITIONAL COURT OF RECORD JUDGE IN ESCAMBIA COUNTY,YES,FOR,0.8
FL,Miami Herald,108051,1956,FL,AMENDMENT,5,CONSTITUTIONAL AMENDMENT NO. 5,NO,AGAINST; ONLY AMENDMENT HERALD OPPOSES,0.95
