state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
FL,Miami News,108052,1946,CNTY COMM,,Dade,FL,"MACVICAR, J. D.",Democrat,1,,,,ENDORSED AS 'THE LOGICAL MAN' FOR DADE COUNTY COMMISSIONER,0.85
FL,Miami News,108052,1946,COMPTROLLER,,,FL,"LUMMUS, J. NEWTON JR.",Democrat,1,,,,DADE COUNTY TAX ASSESSOR; ENDORSED FOR DEMOCRATIC NOMINATION TO SUCCEED LATE JAMES M. LEE,0.85
FL,Miami News,108052,1946,H,4,,FL,"SMATHERS, GEORGE",Democrat,1,,,,ENDORSED OVER NORMAN CURTIS (R); FORMER ASSISTANT US ATTORNEY,0.9
FL,Miami News,108052,1946,SENATOR,,,FL,"HOLLAND, SPESSARD",Democrat,1,,,,ENDORSED OVER J. HARRY SCHAD (R); FORMER GOVERNOR OF FLORIDA,0.9
FL,Miami News,108052,1948,COMPTROLLER,,,FL,"GAY, C. M.",Democrat,1,1,,,NEWS SUPPORTS ALL DEMOCRATIC NOMINEES; GAY WAS DEMOCRATIC INCUMBENT COMPTROLLER,0.75
FL,Miami News,108052,1948,GOVERNOR,,,FL,"WARREN, FULLER",Democrat,1,,,,NEWS SUPPORTS ALL DEMOCRATIC NOMINEES; WARREN WAS DEMOCRATIC NOMINEE FOR GOVERNOR,0.8
FL,Miami News,108052,1948,H,4,,FL,"SMATHERS, GEORGE",Democrat,1,1,,,CLEAR ENDORSEMENT,0.95
FL,Miami News,108052,1948,PRESIDENT,,,FL,"TRUMAN, HARRY S.",Democrat,1,1,,,ENDORSED WITH VP ALBEN BARKLEY; PAPER SUPPORTS DEMOCRATIC TICKET AMID DIXIECRAT SPLIT; TRUMAN IS DEMOCRATIC INCUMBENT,0.9
FL,Miami News,108052,1950,SENATOR,,,FL,"SMATHERS, GEORGE A.",Democrat,1,,,,BLANKET ENDORSEMENT OF ALL DEMOCRATIC CANDIDATES; SMATHERS WAS 1950 DEMOCRATIC SENATE NOMINEE,0.8
FL,Miami News,108052,1952,H,4,,FL,"LANTAFF, WILLIAM",Democrat,1,1,,,FOURTH CONGRESSIONAL DISTRICT CONGRESSMAN,0.95
FL,Miami News,108052,1952,PRESIDENT,,,FL,"EISENHOWER, DWIGHT D.",Republican,1,1,,,NEWS BELIEVES REPUBLICAN PARTY IS THE MOST IMPORTANT FORCE IN THIS ELECTION,0.9
FL,Miami News,108052,1952,SENATOR,,,FL,"SMATHERS, GEORGE A.",Democrat,1,1,,,ENDORSED THOUGH UNOPPOSED,0.95
FL,Miami News,108052,1954,ASSESSOR,,Dade,FL,"SCHULER, HAROLD A.",Democrat,1,,,,COUNTY SURVEYOR; CODED AS ASSESSOR FOR COUNTY OFFICE,0.9
FL,Miami News,108052,1954,CNTY COMM,,FL INLAND NAVIGATION,FL,"GARDNER, C. R.",Democrat,1,,,,FLORIDA INLAND NAVIGATION DISTRICT,0.9
FL,Miami News,108052,1954,SCHOOL BOARD,1,,FL,"BUTLER, ROBERT S.",Democrat,1,,,,BOARD OF PUBLIC INSTRUCTION DISTRICT ONE,0.95
FL,Miami News,108052,1954,SCHOOL BOARD,2,,FL,"VOSLOH, HELENE J.",Democrat,1,,,,BOARD OF PUBLIC INSTRUCTION DISTRICT TWO,0.95
FL,Miami News,108052,1954,SCHOOL BOARD,3,,FL,"VAN DUSEN, C. RAYMOND",Democrat,1,,,,BOARD OF PUBLIC INSTRUCTION DISTRICT THREE,0.95
FL,Miami News,108052,1954,STATE REP,1,,FL,"OKELL, GEORGE S.",Democrat,1,,,,LEGISLATURE DISTRICT ONE,0.95
FL,Miami News,108052,1954,STATE REP,2,,FL,"ORR, JOHN B. JR.",Democrat,1,,,,LEGISLATURE DISTRICT TWO,0.95
FL,Miami News,108052,1954,STATE REP,3,,FL,"HERRELL, W. C.",Democrat,1,,,,LEGISLATURE DISTRICT THREE; KNOWN AS CLIFF HERRELL,0.95
FL,Miami News,108052,1956,CNTY COMM,,Dade,FL,"ENGEL, CLARENCE",Democrat,1,,,,COUNTY COMMISSIONER (CITY POSITION),0.85
