state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
FL,Miami News,108052,1946,FL,AMENDMENT,1,CONSOLIDATION OF COUNTY OFFICES IN ORANGE AND BAY COUNTIES,YES,LOCAL AMENDMENT; SHOULD BE APPROVED IN INTEREST OF EFFICIENT GOVERNMENT,0.8
FL,Miami News,108052,1946,FL,AMENDMENT,2,TAX ASSESSMENT AND COLLECTION CONSOLIDATION IN HILLSBOROUGH COUNTY,YES,LOCAL AMENDMENT; SHOULD BE APPROVED,0.8
FL,Miami News,108052,1946,FL,AMENDMENT,3,CONSOLIDATION OF COUNTY OFFICES IN ORANGE AND BAY COUNTIES,YES,LOCAL AMENDMENT; SHOULD BE APPROVED,0.8
FL,Miami News,108052,1946,FL,AMENDMENT,4,PUTTING BUDGET DIRECTOR UNDER CONTROL OF STATE LEGISLATURE,NO,STATEWIDE APPLICATION; EXPLICITLY OPPOSED,0.85
FL,Miami News,108052,1946,FL,AMENDMENT,5,BANNING CONTINUING APPROPRIATIONS,YES,STATEWIDE APPLICATION,0.85
FL,Miami News,108052,1946,FL,AMENDMENT,6,MAKE JUDGE OF COURT OF RECORDS AND COUNTY SOLICITOR OF ESCAMBIA COUNTY ELECTED,YES,SHOULD BE APPROVED TO RESTORE FUNDAMENTAL RIGHT OF ESCAMBIANS,0.8
FL,Miami News,108052,1948,FL,AMENDMENT,1,REQUIRE GASOLINE TAXES TO BE USED FOR HIGHWAYS OR AIRPORTS,YES,,0.85
FL,Miami News,108052,1948,FL,AMENDMENT,15,LOCAL GOVERNANCE AMENDMENT,YES,LOCAL AMENDMENT,0.75
FL,Miami News,108052,1948,FL,AMENDMENT,2,INCREASE BONDS FOR CONSTRUCTION OF SCHOOLS,NO,WOULD PLACE SEVERE LIMITATIONS ON SCHOOL SYSTEM; SHOULD BE VOTED DOWN,0.85
FL,Miami News,108052,1948,FL,AMENDMENT,20,ELECTION OF JUDGE IN ESCAMBIA COUNTY,YES,LOCAL AMENDMENT,0.75
FL,Miami News,108052,1948,FL,AMENDMENT,3,ESTABLISH TWO NEW SENATORIAL DISTRICTS,NO,SHOULD BE DEFEATED; WOULD NOT ADD TO PROPORTIONATE REPRESENTATION,0.85
FL,Miami News,108052,1948,FL,AMENDMENT,4,INCREASE PAY OF STATE LEGISLATORS,YES,SHOULD APPROVE IN JUSTICE TO REPRESENTATIVES,0.75
FL,Miami News,108052,1948,FL,AMENDMENT,5,CONSTITUTIONAL REVISION METHOD,YES,NEWS RECOMMENDS APPROVAL,0.85
FL,Miami News,108052,1948,FL,AMENDMENT,6,ALLOW JUSTICES AND JUDGES TO RETIRE ON SALARY,YES,NEWS SUPPORTS APPROVAL,0.85
FL,Miami News,108052,1948,FL,AMENDMENT,7,LOCAL GOVERNANCE AMENDMENT,YES,LOCAL AMENDMENT; SHOULD BE APPROVED,0.75
FL,Miami News,108052,1948,FL,AMENDMENT,8,LOCAL GOVERNANCE AMENDMENT,YES,LOCAL AMENDMENT,0.75
FL,Miami News,108052,1948,FL,AMENDMENT,9,LOCAL GOVERNANCE AMENDMENT,YES,LOCAL AMENDMENT,0.75
FL,Miami News,108052,1948,FL,BOND,B-1,"DADE COUNTY BOND: $2,500,000 FOR JACKSON MEMORIAL HOSPITAL ENLARGEMENT",YES,MOST IMPORTANT OF THE BOND PROPOSALS,0.85
FL,Miami News,108052,1948,FL,BOND,B-2,"DADE COUNTY BOND: $2,000,000 FOR NEW COUNTY JAIL AND COURTHOUSE",YES,,0.85
FL,Miami News,108052,1948,FL,BOND,B-3,"DADE COUNTY BOND: $750,000 FOR AUDITORIUM",YES,,0.85
FL,Miami News,108052,1948,FL,BOND,B-4,"DADE COUNTY BOND: $1,250,000 FOR BRIDGES AND ROAD IMPROVEMENTS",YES,,0.85
FL,Miami News,108052,1948,FL,BOND,B-5,"DADE COUNTY BOND: $1,000,000 FOR PARK IMPROVEMENTS (CRANDON, HOMESTEAD BAYFRONT, HAULOVER BEACH)",YES,NEWS RECOMMENDS ALL BONDS BE APPROVED BY ALL FREEHOLDERS,0.85
FL,Miami News,108052,1950,FL,AMENDMENT,1,STATE CONSTITUTIONAL AMENDMENT 1,YES,,0.9
FL,Miami News,108052,1950,FL,AMENDMENT,2,STATE CONSTITUTIONAL AMENDMENT 2,NO,DISAPPROVED,0.9
FL,Miami News,108052,1950,FL,AMENDMENT,3,STATE CONSTITUTIONAL AMENDMENT 3,YES,,0.9
FL,Miami News,108052,1950,FL,AMENDMENT,4,STATE CONSTITUTIONAL AMENDMENT 4,NO,DISAPPROVED,0.9
FL,Miami News,108052,1950,FL,AMENDMENT,5,STATE CONSTITUTIONAL AMENDMENT 5,YES,,0.9
FL,Miami News,108052,1950,FL,BOND,,"DADE COUNTY BOND: $6,000,000 FOR JACKSON MEMORIAL HOSPITAL EXPANSION",YES,BADLY NEEDED EXPANSION,0.9
FL,Miami News,108052,1952,FL,AMENDMENT,1,REMOVE LEGISLATIVE CONTROL OF STATE REVENUE FOR 60 YEARS,NO,OPPOSED,0.85
FL,Miami News,108052,1952,FL,AMENDMENT,13,REPLACE FEE SYSTEM OF ESCAMBIA COUNTY OFFICERS WITH SALARY SYSTEM,YES,GOOD IDEA FOR DADE COUNTY TOO,0.85
FL,Miami News,108052,1952,FL,AMENDMENT,14,PROVIDE A CIRCUIT COURT FOR ESCAMBIA COUNTY,YES,,0.85
FL,Miami News,108052,1952,FL,AMENDMENT,2,JUDICIARY REFORM - STREAMLINE THE JUDICIARY,NO,OPPOSED; REFORM NEEDED BUT THIS AMENDMENT IS A SORRY SUBSTITUTE,0.85
FL,Miami News,108052,1952,FL,AMENDMENT,3,HOME RULE CHARTER FOR DADE COUNTY,YES,SHOULD ATTRACT ENTHUSIASTIC SUPPORT OF EVERY CITIZEN AND TAXPAYER,0.9
FL,Miami News,108052,1952,FL,AMENDMENT,4,ADDITIONAL CIRCUIT JUDGE FOR LEON COUNTY,YES,,0.85
FL,Miami News,108052,1952,FL,AMENDMENT,5,ADDITIONAL SENATORIAL DISTRICT FOR BAY AND WASHINGTON COUNTIES,NO,PURELY POLITICAL LOGROLLING,0.85
FL,Miami News,108052,1952,FL,AMENDMENT,6,CORRECT INEQUITABLE REAPPORTIONMENT; ADDITIONAL SENATORIAL DISTRICT FOR DADE COUNTY,YES,DADE COUNTY SHOULD STAND FORTHRIGHTLY FOR THE REPRESENTATION IT DESERVES,0.9
FL,Miami News,108052,1952,FL,AMENDMENT,7,CONSOLIDATION OF TAX ASSESSMENTS IN MONROE COUNTY,YES,PROGRESSIVE STEP BADLY NEEDED,0.85
FL,Miami News,108052,1952,FL,AMENDMENT,8,CONSOLIDATION OF STATE ATTORNEY AND COUNTY SOLICITOR OF DADE COUNTY,YES,LONG-OVERDUE CONSOLIDATION,0.9
FL,Miami News,108052,1952,FL,AMENDMENT,9,PROVISIONS FOR PRISONERS IN LEE COUNTY,YES,,0.8
FL,Miami News,108052,1954,FL,AMENDMENT,,ALL PROPOSED CONSTITUTIONAL AMENDMENTS EXCEPT AMENDMENT 2,YES,NECESSARY AND PROPER UNTIL WHOLE FLORIDA CONSTITUTION CAN BE MODERNIZED,0.9
FL,Miami News,108052,1954,FL,AMENDMENT,2,PROHIBIT USE OF STATE FUNDS FOR TOLL ROAD PROJECT AFFECTING MORE THAN THREE COUNTIES,NO,OPPOSED; DIRECTED AT PREVENTING CONSTRUCTION OF FULL-LENGTH TOLL HIGHWAY; MIGHT BLOCK FLORIDA TURNPIKE AUTHORIZATION,0.9
FL,Miami News,108052,1956,FL,AMENDMENT,1,STATE CONSTITUTIONAL AMENDMENT 1,YES,,0.9
FL,Miami News,108052,1956,FL,AMENDMENT,10,AUTHORIZING LEGISLATURE TO PROVIDE CIVIL SERVICE AND SALARY SYSTEM,YES,REQUIRES SEPARATE SENATE VOTE,0.85
FL,Miami News,108052,1956,FL,AMENDMENT,11,STATE CONSTITUTIONAL AMENDMENT 11,YES,,0.9
FL,Miami News,108052,1956,FL,AMENDMENT,2,STATE CONSTITUTIONAL AMENDMENT 2,YES,,0.9
FL,Miami News,108052,1956,FL,AMENDMENT,3,STATE CONSTITUTIONAL AMENDMENT 3,NO,DEFEAT RECOMMENDED,0.9
FL,Miami News,108052,1956,FL,AMENDMENT,4,PRESENT APPORTIONMENT OF SENATORS,YES,,0.85
FL,Miami News,108052,1956,FL,AMENDMENT,5,ABOLISHING OFFICE OF STATE SUPERINTENDENT,YES,,0.85
FL,Miami News,108052,1956,FL,AMENDMENT,6,STATE CONSTITUTIONAL AMENDMENT 6,NO,DEFEAT RECOMMENDED,0.9
FL,Miami News,108052,1956,FL,AMENDMENT,7,STATE CONSTITUTIONAL AMENDMENT 7,YES,,0.9
FL,Miami News,108052,1956,FL,AMENDMENT,8,STATE CONSTITUTIONAL AMENDMENT 8,YES,,0.9
FL,Miami News,108052,1956,FL,AMENDMENT,9,STATE CONSTITUTIONAL AMENDMENT 9,YES,,0.9
FL,Miami News,108052,1956,FL,BOND,,"$2,600,000 BOND FOR HOSPITAL CONSTRUCTION",YES,HOSPITAL IS NEEDED,0.9
FL,Miami News,108052,1962,FL,AMENDMENT,1,REAPPORTIONMENT OF STATE LEGISLATURE (136 REPRESENTATIVES AND 58 SENATORS),NO,STRONGLY URGES NO VOTE; MOST IMPORTANT ISSUE ON BALLOT,0.95
FL,Miami News,108052,1962,FL,AMENDMENT,3,GIVE SPEAKER OF HOUSE POWER TO APPOINT COMMISSION TO INVESTIGATE IMPEACHMENT GROUNDS,NO,COULD BE USED AS A CLUB OVER OFFICIALS,0.85
FL,Miami News,108052,1962,FL,AMENDMENT,6,ALLOW LEGISLATURE TO DETERMINE NUMBER OF JUDGES AFTER 1970 CENSUS,YES,WOULD ADDRESS WHETHER DADE COUNTY NEEDS MORE JUDGES,0.85
FL,Miami News,108052,1962,FL,CHARTER AMENDMENT,,TWO DADE COUNTY CHARTER AMENDMENTS FOR URBAN RENEWAL AUTHORITY,YES,WOULD GIVE CITY PROPER AUTHORITY FOR URBAN RENEWAL PROGRAMS,0.8
FL,Miami News,108052,1964,FL,AMENDMENT,1,STATE AMENDMENT 1,NO,,0.95
FL,Miami News,108052,1964,FL,AMENDMENT,10,STATE AMENDMENT 10,NO,,0.95
FL,Miami News,108052,1964,FL,AMENDMENT,11,STATE AMENDMENT 11,NO,,0.95
