state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
FL,Sun Sentinel,107451,1982,GOVERNOR,,,FL,"GRAHAM, BOB",Democrat,1,1,,,Endorsed for re-election as Governor (running with Wayne Mixson for Lt Gov),0.98
FL,Sun Sentinel,107451,1982,LT GOVERNOR,,,FL,"MIXSON, WAYNE",Democrat,1,1,,,Endorsed for Lt Gov (running mate of Bob Graham),0.98
FL,Sun Sentinel,107451,1982,SEC OF STATE,,,FL,"FIRESTONE, GEORGE",Democrat,1,1,,,Endorsed for Secretary of State,0.98
FL,Sun Sentinel,107451,1982,AGRICULTURE COMMISSIONER,,,FL,"CONNER, DOYLE",Democrat,1,1,,,Endorsed for Commissioner of Agriculture,0.98
FL,Sun Sentinel,107451,1982,SENATOR,,,FL,"CHILES, LAWTON",Democrat,1,1,,,Endorsed for re-election to US Senate,0.98
FL,Sun Sentinel,107451,1982,H,14,,FL,"MICA, DAN",Democrat,1,1,,,Endorsed for US House District 14,0.97
FL,Sun Sentinel,107451,1982,H,15,,FL,"SHAW, E. CLAY",Republican,1,,1,,Endorsed for US House District 15,0.97
FL,Sun Sentinel,107451,1982,H,16,,FL,"SMITH, LARRY",Democrat,1,,,,Endorsed for US House District 16,0.97
FL,Sun Sentinel,107451,1982,STATE SENATOR,26,,FL,"JOHNSTON, HARRY",Democrat,1,1,,,Endorsed for FL Senate District 26,0.96
FL,Sun Sentinel,107451,1982,STATE SENATOR,29,,FL,"WEINSTEIN, PETER",Democrat,1,1,,,Endorsed for FL Senate District 29,0.96
FL,Sun Sentinel,107451,1982,STATE SENATOR,30,,FL,"MCPHERSON, TOM",Democrat,1,1,,,Endorsed for FL Senate District 30,0.96
FL,Sun Sentinel,107451,1982,STATE SENATOR,31,,FL,"SCOTT, JIM",Republican,1,1,1,,Endorsed for FL Senate District 31,0.96
FL,Sun Sentinel,107451,1982,STATE SENATOR,32,,FL,"JENNE, KEN",Democrat,1,1,,,Endorsed for FL Senate District 32,0.96
FL,Sun Sentinel,107451,1982,STATE REP,87,,FL,"HANSON, CAROL G.",Republican,1,,,,Endorsed for FL House District 87,0.96
FL,Sun Sentinel,107451,1982,STATE REP,88,,FL,"TOBIN, JACK",Democrat,1,,,,Endorsed for FL House District 88,0.96
FL,Sun Sentinel,107451,1982,STATE REP,89,,FL,"CROSS, TIMOTHY",Republican,1,,,,Endorsed for FL House District 89,0.96
FL,Sun Sentinel,107451,1982,STATE REP,91,,FL,"CLARK, BILL",Democrat,1,,,,Endorsed for FL House District 91,0.96
FL,Sun Sentinel,107451,1982,STATE REP,92,,FL,"COLEMAN, CARLA",Democrat,1,,,,Endorsed for FL House District 92,0.96
FL,Sun Sentinel,107451,1982,STATE REP,93,,FL,"SANDERSON, DEBBY",Republican,1,,,,Endorsed for FL House District 93,0.96
FL,Sun Sentinel,107451,1982,STATE REP,94,,FL,"GUSTAFSON, TOM",Democrat,1,,,,Endorsed for FL House District 94,0.96
FL,Sun Sentinel,107451,1982,STATE REP,95,,FL,"MACKENZIE, ANNE",Democrat,1,,,,Endorsed for FL House District 95,0.96
FL,Sun Sentinel,107451,1982,STATE REP,96,,FL,"CATHER, DON",Republican,1,,,,Endorsed for FL House District 96,0.96
FL,Sun Sentinel,107451,1982,STATE REP,97,,FL,"LIPPMAN, FRED",Democrat,1,,,,Endorsed for FL House District 97,0.96
FL,Sun Sentinel,107451,1982,STATE REP,99,,FL,"YOUNG, WALTER",Democrat,1,,,,Endorsed for FL House District 99,0.96
FL,Sun Sentinel,107451,1982,CNTY COMM,2,,FL,"BEACH, MARCIA",Democrat,1,,,,Endorsed for Broward County Commission District 2,0.95
FL,Sun Sentinel,107451,1982,CNTY COMM,4,,FL,"COWAN, SCOTT",Democrat,1,,,,Endorsed for Broward County Commission District 4,0.95
FL,Sun Sentinel,107451,1982,SCHOOL BOARD,4,,FL,"SISKIN, TONI",Democrat,1,,,,Endorsed for Broward School Board District 4,0.95
FL,Sun Sentinel,107451,1982,SCHOOL BOARD,6,,FL,"CUMMINGS, JAN",Democrat,1,,,,Endorsed for Broward School Board District 6,0.95
FL,Sun Sentinel,107451,1982,CNTY COMM,1,,FL,"ERWIN, ED",Republican,1,,,,Endorsed for Port Everglades Commission District 1,0.94
FL,Sun Sentinel,107451,1982,COURT OF APPEALS,4,,FL,"ANSTEAD, HARRY LEE",,1,,,,Vote FOR retention - 4th District Court of Appeal,0.93
FL,Sun Sentinel,107451,1982,COURT OF APPEALS,4,,FL,"DELL, JOHN W.",,1,,,,Vote FOR retention - 4th District Court of Appeal,0.93
FL,Sun Sentinel,107451,1982,COURT OF APPEALS,4,,FL,"LETTS, GAVIN K.",,1,,,,Vote FOR retention - 4th District Court of Appeal,0.93
FL,Sun Sentinel,107451,1982,JUDGE,,,FL,"JOHNSON, JUNE LARAN",,1,,,,Endorsed for County Court Group 11,0.92
FL,Sun Sentinel,107451,1982,JUDGE,,,FL,"SULLIVAN, EDWARD",,1,,,,Endorsed for County Court Group 12,0.92
FL,Sun Sentinel,107451,1982,CITY COUNCIL,,Miramar,FL,"SOBOL, MARTY",,1,,,,Endorsed for Miramar City Commission,0.9
FL,Sun Sentinel,107451,1984,PRESIDENT,,,FL,"REAGAN, RONALD",Republican,1,,1,,Endorsed for President,0.98
FL,Sun Sentinel,107451,1984,VICE PRESIDENT,,,FL,"BUSH, GEORGE",Republican,1,,1,,Endorsed for VP (Reagan/Bush ticket),0.98
FL,Sun Sentinel,107451,1984,H,14,,FL,"MICA, DAN",Democrat,1,1,,,Endorsed for US House District 14,0.97
FL,Sun Sentinel,107451,1984,H,15,,FL,"SHAW, E. CLAY",Republican,1,,1,,Endorsed for US House District 15,0.97
FL,Sun Sentinel,107451,1984,H,16,,FL,"SMITH, LARRY",Democrat,1,1,,,Endorsed for US House District 16,0.97
FL,Sun Sentinel,107451,1984,STATE SENATOR,31,,FL,"SCOTT, JIM",Republican,1,,1,,Endorsed for FL Senate District 31,0.96
