state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
GA,Atlanta Constitution,109051,1960,GA,AMENDMENT,1,"ELIMINATE PRESENT ALLOCATION OF MOTOR VEHICLE LICENSE TAX FEES TO THE HIGHWAY DEPARTMENT, WHILE CONTINUING ALLOCATION OF MOTOR FUEL TAX REVENUE. WOULD CORRECT PRACTICE OF OPERATING STATE WITHOUT AN APPROPRIATION BILL.",1,CONSTITUTION REAFFIRMS ITS ENDORSEMENT | VOTE 'YES',0.90
GA,Atlanta Constitution,109051,1960,GA,AMENDMENT,10,ADD THE COMMISSIONER OF AGRICULTURE AS EX-OFFICIO MEMBER OF THE BOARD OF REGENTS OF THE UNIVERSITY SYSTEM—THE ONLY ELECTED OFFICIAL ON THE BOARD. SPECIAL INTEREST AMENDMENT THAT WOULD RISK POLITICAL INTERFERENCE WITHIN THE UNIVERSITY SYSTEM.,0,"RECOMMENDS 'NO' VOTE - UNWISE AND DANGEROUS | LET GEORGIANS REJECT AMENDMENT NO. 10 BECAUSE OF THREAT TO UNIVERSITY SYSTEM. ENDORSED BY ROBERT ARNOLD (REGENTS CHAIRMAN), CHARLES GOWEN, PHIL CAMPBELL (COMMISSIONER OF AGRICULTURE) | CONSTITUTION AGREES WITH ARNOLD AND GOWEN - VOTE 'NO' TO PROTECT HIGHER EDUCATION FROM ENCROACHMENT OF POLITICIANS | VOTE 'NO' - WE FEAR WOULD PACK THE STATE BOARD OF EDUCATION",0.95
GA,Atlanta Constitution,109051,1960,GA,AMENDMENT,11,PROVIDE THAT NO COUNTY WOULD AWARD CONTRACTS TO USE COUNTY TAX MONEY FOR SCHOOL LUNCH PURPOSES.,1,VOTE 'YES',0.70
GA,Atlanta Constitution,109051,1960,GA,AMENDMENT,12,ELIMINATE LEVY OF ONE DOLLAR MAXIMUM ON THE PRICE OF EVERY MARRIAGE LICENSE IN THE STATE FOR ESTABLISHMENT OF A CONFEDERATE RETIREMENT BUREAU; PRESERVE THESE OFFICERS AS REQUIRED.,1,VOTE 'YES' | RECOMMENDS 'YES' VOTE,0.75
GA,Atlanta Constitution,109051,1960,GA,AMENDMENT,13,"PROVIDES FOR LOANS TO MEDICAL STUDENTS TO BE REPAID BY SERVICE IN COMMUNITIES OF UNDER 5,000.",1,VOTE 'YES',0.85
GA,Atlanta Constitution,109051,1960,GA,AMENDMENT,14,PROVIDE FOR GRANTING OF SCHOLARSHIPS TO PHYSICIANS AND OTHER PERSONNEL FOR SPECIALIZED TRAINING IN THE FIELD OF MENTAL HEALTH.,1,RECOMMENDS 'YES' VOTE,0.90
GA,Atlanta Constitution,109051,1960,GA,AMENDMENT,15,"AUTHORIZE ESTABLISHMENT OF AREA SCHOOLS, INCLUDING VOCATIONAL TRADE SCHOOLS.",1,RECOMMENDS 'YES' VOTE | VOTE 'YES',0.90
GA,Atlanta Constitution,109051,1960,GA,AMENDMENT,16,PROPOSAL WOULD PERMIT CREATION TO PURCHASE LIABILITY INSURANCE TO COVER DAMAGES SUFFERED BY COUNTY-OWNED VEHICLES.,1,VOTE 'YES',0.75
GA,Atlanta Constitution,109051,1960,GA,AMENDMENT,17,AUTHORIZING CREATION OF A BRUNSWICK PORTS AUTHORITY; THIS AMENDMENT WOULD FACILITATE ADDITIONAL PORT FINANCING THERE.,1,VOTE 'YES',0.80
GA,Atlanta Constitution,109051,1960,GA,AMENDMENT,18,"AUTHORIZE STATE MILITIA/NATIONAL GUARD AMENDMENT REGARDING CONTROL OF NATIONAL GUARD, WOULD ENABLE THE STATE TO ASSUME DISCIPLINARY RESPONSIBILITIES.",1,VOTE 'YES',0.70
GA,Atlanta Constitution,109051,1960,GA,AMENDMENT,19,"WOULD CREATE AN ATHENS-CLARKE COUNTY PUBLIC FACILITIES AUTHORITY TO ENABLE ATHENS AND CLARKE COUNTY TO FINANCE REVENUE PRODUCING PROJECTS OF A WIDE VARIETY, INCLUDING STADIUMS, BALLFIELDS, RECREATION OF PUBLIC BODIES FOR ATHLETIC AND CIVIC FORUM. AMENDMENT IS PRIMARILY LOCAL IN APPLICATION.",1,VOTE 'YES',0.80
GA,Atlanta Constitution,109051,1960,GA,AMENDMENT,2,"PERMIT STATE TO UNDERWRITE AUTHORITY DEBTS, ASSUMING LEGAL OBLIGATION WHICH WOULD SAVE INTEREST COSTS.",1,CONSTITUTION REAFFIRMS ITS ENDORSEMENT | VOTE 'YES',0.90
GA,Atlanta Constitution,109051,1960,GA,AMENDMENT,3,"ADD FIVE STATE-AT-LARGE MEMBERS TO THE STATE BOARD OF EDUCATION, TO BE APPOINTED BY THE GOVERNOR AND EXCLUDING ANYONE PROFESSIONALLY CONNECTED WITH EDUCATION.",0,RECOMMENDS 'NO' VOTE - UNWISE AND DANGEROUS | VOTE 'NO' | VOTE 'NO' - WE FEAR WOULD PACK THE STATE BOARD OF EDUCATION,0.95
GA,Atlanta Constitution,109051,1960,GA,AMENDMENT,4,AUTHORIZE GENERAL ASSEMBLY TO PROVIDE BY LAW FOR GRANTING OF STATE FUNDS TO MUNICIPALITIES.,1,RECOMMENDS 'YES' VOTE | VOTE 'YES',0.90
GA,Atlanta Constitution,109051,1960,GA,AMENDMENT,45,LOCAL FULTON COUNTY AMENDMENT - DEKALB AMENDMENT REGARDING INDUSTRIAL DEVELOPMENT.,1,"AMONG LOCAL AMENDMENTS, WE ENDORSE NUMBER 45 IN FULTON COUNTY",0.70
