state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
GA,Atlanta Journal-Constitution,109050,2002,ATTORNEY GENERAL,,,GA,"BAKER, THURBERT",Democrat,1,1,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,CNTY COMM,1,Cobb,GA,"GOREMAN, HELEN",Republican,1,,,,,0.90
GA,Atlanta Journal-Constitution,109050,2002,CNTY COMM,1,Clayton,GA,"RHODENIZER, CARL",Democrat,1,,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,CNTY COMM,3,DeKalb,GA,"JOHNSON, LARRY",Democrat,1,,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,CNTY COMM,7,DeKalb,GA,"WALKER, LOU",Democrat,1,1,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,CNTY COMM,AT-LARGE,Fulton,GA,"PITTS, ROBB",Democrat,1,,,,At-large Post 2,0.95
GA,Atlanta Journal-Constitution,109050,2002,CNTY COMM,CHAIRMAN,Fulton,GA,"KENN, MIKE",Republican,1,,,,Commission Chairman,0.95
GA,Atlanta Journal-Constitution,109050,2002,COMMISSIONER OF LABOR,,,GA,"THURMOND, MICHAEL",Democrat,1,,,,[QA 2026-06-01 Pattern M fix: office AGRICULTURE→LABOR per 2002-11-05 OCR],0.95
GA,Atlanta Journal-Constitution,109050,2002,AGRICULTURE COMMISSIONER,,,GA,"IRVIN, TOMMY",Democrat,1,1,,,[QA 2026-06-01 Pattern M fix: office LABOR→AGRICULTURE per 2002-11-05 OCR],0.95
GA,Atlanta Journal-Constitution,109050,2002,GOVERNOR,,,GA,"BARNES, ROY",Democrat,1,1,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,H,1,,GA,"SMART, DON",Democrat,1,,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,H,10,,GA,"DEAL, NATHAN",Republican,1,,1,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,H,11,,GA,"KAHN, ROGER",Democrat,1,,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,H,12,,GA,"BURNS, MAX",Republican,1,,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,H,13,,GA,"SCOTT, DAVID",Democrat,1,,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,H,2,,GA,"BISHOP, SANFORD",Democrat,1,1,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,H,3,,GA,"MARSHALL, JIM",Democrat,1,,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,H,4,,GA,"MAJETTE, DENISE",Democrat,1,,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,H,5,,GA,"LEWIS, JOHN",Democrat,1,1,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,H,6,,GA,"ISAKSON, JOHNNY",Republican,1,,1,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,H,7,,GA,"BERLON, MICHAEL",Democrat,1,,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,H,8,,GA,"COLLINS, MAC",Republican,1,,1,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,H,9,,GA,"NORWOOD, CHARLIE",Republican,1,,1,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,INSURANCE COMMISSIONER,,,GA,"COHEN, LOIS",Democrat,1,,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,LT GOVERNOR,,,GA,"STANCIL, STEVE",Republican,1,,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,PUBLIC SERVICE COMMISSION,1,,GA,"EVERETT, DOUG",Republican,1,,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,PUBLIC SERVICE COMMISSION,4,,GA,"MCDONALD, LAUREN BUBBA",Democrat,1,1,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,SEC OF STATE,,,GA,"COX, CATHY",Democrat,1,1,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,SENATOR,,,GA,"CLELAND, MAX",Democrat,1,,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE BOARD OF ED,,,GA,"CHRISTMAS, BARBARA",Democrat,1,,,,State School Superintendent,0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE REP,15,Cherokee,GA,"MOORE, JERRY",Republican,1,,,,,0.90
GA,Atlanta Journal-Constitution,109050,2002,STATE REP,28,Cobb,GA,"PARSONS, DON",Republican,1,,1,,[QA 2026-06-01 dist 29→28 per OCR],0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE REP,33,Cobb,GA,"DOOLEY, PAT",Democrat,1,,,,Post 3,0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE REP,33,Cobb,GA,"THOMAS, ALISHA",Democrat,1,,,,Post 2,0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE REP,33,Cobb,GA,"WIX, DON",Democrat,1,,,,Post 1,0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE REP,34,Cobb,GA,"GOLICK, RICH",Republican,1,,,,Post 3,0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE REP,34,Cobb,GA,"STONER, DOUG",Democrat,1,,,,Post 1,0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE REP,34,Cobb,GA,"TEILHET, ROB",Democrat,1,,,,Post 2,0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE SENATOR,42,DeKalb,GA,"ADELMAN, DAVID",Democrat,1,,,,[QA 2026-06-01 Pattern M cross-office fix: STATE REP→STATE SENATOR per 2002-11-05 OCR DeKalb State Senate D-42],0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE REP,42 Post 2,Fulton,GA,"ASHE, KATHY",Democrat,1,1,,,Post 2 [QA 2026-06-01 Post number added per OCR],0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE REP,42 Post 3,Fulton,GA,"GARDNER, PAT",Democrat,1,1,,,Post 3 [QA 2026-06-01 Post number added per OCR],0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE REP,42 Post 4,Fulton,GA,"MORAITAKIS, NICK",Democrat,1,,,,Post 4 [QA 2026-06-01 Post number added per OCR],0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE REP,44,Fulton,GA,"STANLEY-TURNER, LANETTE",Democrat,1,,,,Post 5 [QA 2026-06-01 Pattern I dist 42→44 per 2002-11-05 OCR DeKalb State House D-44],0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE REP,42 Post 1,Fulton,GA,"TEPER, DOUG",Democrat,1,1,,,Post 1 [QA 2026-06-01 Post number added per OCR],0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE REP,45,Fulton,GA,"BRUCE, ROGER",Democrat,1,,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE REP,46,Cobb,GA,"HEMBREE, BILL",Republican,1,,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE REP,52,DeKalb,GA,"MILLAR, FRAN",Republican,1,,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE REP,53,DeKalb,GA,"CHAMBERS, JILL",Republican,1,,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE REP,55,DeKalb,GA,"HENSON, MICHELE",Democrat,1,1,,,,0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE REP,56,DeKalb,GA,"OLIVER, MARY MARGARET",Democrat,1,,,,Post 2,0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE REP,59,DeKalb,GA,"MOSBY, HOWARD",Democrat,1,,,,Post 3,0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE REP,61,DeKalb,GA,"DAVIS, W SCOTT",Republican,1,,,,Post 2,0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE REP,61,DeKalb,GA,"MILTON, TERRY",Republican,1,,,,Post 3,0.95
GA,Atlanta Journal-Constitution,109050,2002,STATE REP,68,Gwinnett,GA,"CASAS, DAVID",Republican,1,,,,,0.95
