state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
HI,Honolulu Advertiser,109600,1922,H,AT-LARGE,U.S. HOUSE - HAWAII DISTRICT AT-LARGE,HI,"WISE, JOHN",Republican,1,,,,"Editorial: 'Republicans---Vote for John Wise!' Hawaii Territory Delegate to Congress race. | OCR-REDO Batch 9 PASS D verified: 1922-11-07 OCR direct quote: ""Republicans---Vote for John Wise!"" | Phase 1 endorsement-direction verified: NARRATIVE_ENDORSE",0.95
HI,Honolulu Advertiser,109600,1924,H,AT-LARGE,U.S. HOUSE - HAWAII DISTRICT AT-LARGE,HI,"RICE, PHILIP L",Republican,1,,,,"Editorial 'Vote For Prosperity': 'Vote for Philip L. Rice. Vote for every candidate who stands for the same high principles that he stands for.' General endorsement of Republican ticket. Hawaii Territory Delegate to Congress race. | OCR-REDO Batch 9 PASS D verified: 1924-11-04 OCR direct quote: ""Vote for Philip L. Rice. Vote for every candidate who [is Republican]"" | Phase 1 endorsement-direction verified: NARRATIVE_ENDORSE",0.95
HI,Honolulu Advertiser,109600,1926,STATE SENATOR,,HI STATE SENATE,HI,"BROWN,",Republican,1,,,,"Editorial implicitly endorses Republican Territorial Senate candidate over Democrats. Pre-statehood Territorial Senator race. | OCR-REDO Batch 10 PASS D verified: 1926-10-29 OCR direct quote: ""vote for Huber or Heen or McCandless, for instance, is a vote against each of the three Republican candidates, McInerny, Jarrett and Brown"" — confirms HA endorsement of all 3 R STATE SEN candidates | Phase 1 FLAG: opp-lang near name | V8 ADJUDICATION CONFIRMED by subagent OCR re-read",0.95
HI,Honolulu Advertiser,109600,1926,STATE SENATOR,,HI STATE SENATE,HI,"JARRETT,",Republican,1,,,,"Editorial implicitly endorses Republican Territorial Senate candidate over Democrats. Pre-statehood Territorial Senator race. | OCR-REDO Batch 10 PASS D verified: 1926-10-29 OCR direct quote: ""vote for Huber or Heen or McCandless, for instance, is a vote against each of the three Republican candidates, McInerny, Jarrett and Brown"" — confirms HA endorsement of all 3 R STATE SEN candidates | Phase 1 FLAG: opp-lang near name | V8 ADJUDICATION CONFIRMED by subagent OCR re-read",0.95
HI,Honolulu Advertiser,109600,1926,STATE SENATOR,,HI STATE SENATE,HI,"MCINERNY,",Republican,1,,,,"Editorial 'What the Complimentary Vote May Do' implicitly endorses Republican Territorial Senate candidates McInerny, Jarrett and Brown over Democrats Huber, Heen, and McCandless. Pre-statehood Territorial Senator race. | OCR-REDO Batch 10 PASS D verified: 1926-10-29 OCR direct quote: ""vote for Huber or Heen or McCandless, for instance, is a vote against each of the three Republican candidates, McInerny, Jarrett and Brown"" — confirms HA endorsement of all 3 R STATE SEN candidates | Phase 1 FLAG: name not in OCR | V8 ADJUDICATION CONFIRMED by subagent OCR re-read",0.95
HI,Honolulu Advertiser,109600,1932,CNTY COMM,,Honolulu,HI,"CORREA, SYLVESTER P",Republican,1,,1,,"Endorsed for Honolulu Board of Supervisors; one of five incumbents listed. | OCR-REDO Batch 10 PASS D verified: 1932-11-08 OCR direct quote: ""return Mayor Fred Wright to office and with him the six Republican candidates for the board of supervisors, Charles S. Crane, Sylvester P. Correa, George P. Denison, John B. Guard, Samuel Wilder King and Philip N. Sing"" | Phase 1 FLAG: opp-lang near name | V8 ADJUDICATION CONFIRMED by subagent OCR re-read",0.95
HI,Honolulu Advertiser,109600,1932,CNTY COMM,,Honolulu,HI,"CRANE, CHARLES S",Republican,1,,,,"Endorsed for Honolulu Board of Supervisors. | OCR-REDO Batch 10 PASS D verified: 1932-11-08 OCR direct quote: ""return Mayor Fred Wright to office and with him the six Republican candidates for the board of supervisors, Charles S. Crane, Sylvester P. Correa, George P. Denison, John B. Guard, Samuel Wilder King and Philip N. Sing"" | Phase 1 FLAG: opp-lang near name | V8 ADJUDICATION CONFIRMED by subagent OCR re-read",0.95
HI,Honolulu Advertiser,109600,1932,CNTY COMM,,Honolulu,HI,"DENISON, GEORGE P",Republican,1,,1,,"Endorsed for Honolulu Board of Supervisors; one of five incumbents listed. | OCR-REDO Batch 10 PASS D verified: 1932-11-08 OCR direct quote: ""return Mayor Fred Wright to office and with him the six Republican candidates for the board of supervisors, Charles S. Crane, Sylvester P. Correa, George P. Denison, John B. Guard, Samuel Wilder King and Philip N. Sing"" | Phase 1 FLAG: opp-lang near name | V8 ADJUDICATION CONFIRMED by subagent OCR re-read",0.95
HI,Honolulu Advertiser,109600,1932,CNTY COMM,,Honolulu,HI,"GUARD, JOHN B",Republican,1,,1,,"Endorsed for Honolulu Board of Supervisors; one of five incumbents listed. | OCR-REDO Batch 10 PASS D verified: 1932-11-08 OCR direct quote: ""return Mayor Fred Wright to office and with him the six Republican candidates for the board of supervisors, Charles S. Crane, Sylvester P. Correa, George P. Denison, John B. Guard, Samuel Wilder King and Philip N. Sing"" | Phase 1 FLAG: opp-lang near name | V8 ADJUDICATION CONFIRMED by subagent OCR re-read",0.95
HI,Honolulu Advertiser,109600,1932,CNTY COMM,,Honolulu,HI,"KING, SAMUEL WILDER",Republican,1,,1,,"Endorsed for Honolulu Board of Supervisors; one of five incumbents listed. | OCR-REDO Batch 10 PASS D verified: 1932-11-08 OCR direct quote: ""return Mayor Fred Wright to office and with him the six Republican candidates for the board of supervisors, Charles S. Crane, Sylvester P. Correa, George P. Denison, John B. Guard, Samuel Wilder King and Philip N. Sing"" | Phase 1 FLAG: opp-lang near name | V8 ADJUDICATION CONFIRMED by subagent OCR re-read",0.95
