state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
HI,Honolulu Advertiser,109600,1968,HI,AMENDMENT,,Constitutional Amendments proposed by 1968 Constitutional Convention - Part A: vote YES on all amendments listed (numbered 1-23).,1,The Advertiser recommends YES on each of the questions on the Hawaii constitutional amendments (filled circle next to Yes on Each).,0.93
HI,Honolulu Advertiser,109600,1970,HI,AMENDMENT,,"Two proposed amendments to education article (IX) of the State Constitution regarding the Board of Education (method of selecting Board, and removing constitutional provision requiring Superintendent be appointed by the Board).",0,The Advertiser suggests a 'no' vote on both these proposals (school board issues).,0.93
HI,Honolulu Advertiser,109600,1970,HI,AMENDMENT,,Constitutional amendment to lower voting age from 21 to 18 (18-year-old vote).,1,Editorial urges Hawaii voters to approve the 18-year-old vote: 'They can do it by approving the vote for 18-year-olds on Tuesday.',0.95
HI,Honolulu Advertiser,109600,1970,HI,AMENDMENT,,"Honolulu City Charter amendment to appoint a Charter Review Commission on or before July 1, 1971.",1,"'We agree, and urge a 'yes' vote' on the City Charter amendment for Charter Review Commission.",0.95
HI,Honolulu Advertiser,109600,1970,HI,AMENDMENT,,Honolulu City Charter amendment to appoint a Charter Review Commission.,1,"'We agree, and urge a 'yes' vote' on the City Charter amendment for Charter Review Commission.",0.95
HI,Honolulu Advertiser,109600,1972,HI,CHARTER,,Honolulu City Charter revision (proposed by Charter Commission).,1,Editorial 'the charter: 'yes'' urges a YES vote on the proposed Honolulu City Charter.,0.93
HI,Honolulu Advertiser,109600,1972,HI,CHARTER,,Honolulu City Council restructuring - Option One on charter ballot.,1,Editorial '...the council: Option One' endorses Option One for the City Council restructure question.,0.90
HI,Honolulu Advertiser,109600,1974,HI,REFERENDUM,,Honolulu City Charter referendum proposal to return the sewers function to the City from the semi-autonomous Board of Water Supply.,0,The Advertiser opposes the proposal: 'That means a 'no' vote today.',0.93
HI,Honolulu Advertiser,109600,1974,HI,REFERENDUM,,Honolulu City Charter referendum item two: give elected Council members a four-year term to 1978 and a free ride for some to run for Mayor in 1976.,0,'SO A 'NO' vote on item two of the referendum would be recommended.',0.95
HI,Honolulu Advertiser,109600,1976,HI,AMENDMENT,,Whether there should be a State Constitutional Convention.,1,Editorial 'For two yes votes' advocates a YES vote: 'we feel there should be a convention because there are enough important issues relating to the basic structure of government to merit consideration by a gathering of delegates outside the present system.',0.95
HI,Honolulu Advertiser,109600,1976,HI,AMENDMENT,,Proposed amendment to the State Constitution that would authorize the State to get involved with housing on a broader scale (beyond low-income housing).,1,The Advertiser advocates a YES vote: 'A proposal that holds promise of helping in that situation deserves a positive vote.',0.95
HI,Honolulu Advertiser,109600,1978,HI,AMENDMENT,,"Honolulu City Charter Amendment 1: Allow any city, state or federal officer or employee to serve as a member of a Neighborhood Board.",1,Editorial 'The City Charter vote' recommends YES on all proposed charter amendments except number 8.,0.90
HI,Honolulu Advertiser,109600,1978,HI,AMENDMENT,,Honolulu City Charter Amendment 2: Allow Special Deputies appointed by the Corporation Counsel with approval of City Council to be reasonably compensated for services rendered.,1,Editorial recommends YES; described as a modest housekeeping proposal.,0.90
HI,Honolulu Advertiser,109600,1978,HI,AMENDMENT,,Honolulu City Charter Amendment 3: Require the City charter be amended to require ordinances be adopted not less than thirty days before beginning of new fiscal year.,1,Editorial recommends YES; described as a modest housekeeping proposal.,0.90
HI,Honolulu Advertiser,109600,1978,HI,AMENDMENT,,"Honolulu City Charter Amendment 4: Amend Section 8-305 to require the Mayor, Corporation Counsel or any department from exercising control over the organization, programs, functions, operations or expenditures of the Council through the contract approval process.",1,Editorial recommends YES; gives Council more leverage in disputes with administration.,0.90
HI,Honolulu Advertiser,109600,1978,HI,AMENDMENT,,"Honolulu City Charter Amendment 5: Require the Director of Finance to process requisitions, purchase orders, vouchers, warrants or contracts for legislative expenditures within three working days from date of receipt unless prohibited by court order.",1,Editorial recommends YES.,0.90
HI,Honolulu Advertiser,109600,1978,HI,AMENDMENT,,Honolulu City Charter Amendment 6: Amend Sections 3-108 and 5-203 to allow City Council to authorize staff counsel of the Office of Council Services to be its legal representative in disputes with the Executive Branch.,1,Editorial recommends YES.,0.90
HI,Honolulu Advertiser,109600,1978,HI,AMENDMENT,,Honolulu City Charter Amendment 7: Amend Section 3-115 to allow City Council to conduct performance audits of all agencies and operations of the City.,1,Editorial recommends YES.,0.90
HI,Honolulu Advertiser,109600,1978,HI,AMENDMENT,,Honolulu City Charter Amendment 8: Provide that the Prosecuting Attorney for the City and County of Honolulu be an elective office.,0,The Advertiser recommends a NO vote on amendment #8 (elected prosecutor): 'we suggest voting 'no' for reasons to follow.',0.97
HI,Honolulu Advertiser,109600,1978,HI,AMENDMENT,,Honolulu City Charter Amendment 3: Require ordinances be adopted not less than thirty days before beginning of new fiscal year.,1,Editorial recommends YES.,0.90
HI,Honolulu Advertiser,109600,1978,HI,AMENDMENT,,"Honolulu City Charter Amendment 4: Amend Section 8-305 to prohibit Mayor/Corporation Counsel/department from exercising control over the organization, programs, functions, operations or expenditures of the Council through the contract approval process.",1,Editorial recommends YES.,0.90
