state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
HI,Honolulu Star-Advertiser,109630,2010,BOARD OF EDUCATION,LEEWARD OAHU,,HI,"KURSHALS, MARALYN",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,BOARD OF EDUCATION,MAUI,,HI,"HART, R. RAY",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,BOARD OF EDUCATION,OAHU AT-LARGE,,HI,"BAILEY, MELANIE",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,BOARD OF EDUCATION,OAHU AT-LARGE,,HI,"IWAMOTO, KIM COCO",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,BOARD OF EDUCATION,OAHU AT-LARGE,,HI,"YEE, RANDALL",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,BOARD OF EDUCATION,WINDWARD OAHU,,HI,"FREITAS, VALZEY",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,GOVERNOR,,,HI,"ABERCROMBIE, NEIL",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,H,1,,HI,"HANABUSA, COLLEEN",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,H,2,,HI,"HIRONO, MAZIE",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,LT GOVERNOR,,,HI,"SCHATZ, BRIAN",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,OHA,AT-LARGE,,HI,"AKANA, ROWENA",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,OHA,AT-LARGE,,HI,"STENDER, OSWALD",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,OHA,AT-LARGE,,HI,"WAIHEE, JOHN IV",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,OHA,OAHU,,HI,"HEEN, WALTER",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,SENATOR,,,HI,"INOUYE, DAN",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,18,,HI,"BARON, CHRIS",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,20,,HI,"SAY, CALVIN",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,21,,HI,"NISHIMOTO, SCOTT",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,22,,HI,"SAIKI, SCOTT",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,23,,HI,"BROWER, TOM",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,24,,HI,"CHOY, ISAAC",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,25,,HI,"BELATTI, DELLA AU",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,26,,HI,"LUKE, SYLVIA",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,27,,HI,"CHING, CORINNE",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,28,,HI,"RHOADS, KARL",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,29,,HI,"HARDING, KEN",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,30,,HI,"MIZUNO, JOHN",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,31,,HI,"ICHIYAMA, LINDA",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,32,,HI,"JOHANSON, AARON",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,33,,HI,"OSHIRO, BLAKE",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,34,,HI,"TAKAI, K. MARK",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,35,,HI,"AQUINO, HENRY",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,36,,HI,"TAKUMI, ROY",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,37,,HI,"YAMANE, RYAN",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,38,,HI,"LEE, MARILYN",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,39,,HI,"OSHIRO, MARCUS",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,40,,HI,"HAR, SHARON",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,41,,HI,"WONG, CARL",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,43,,HI,"PINE, KYMBERLY",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,45,,HI,"SHIMABUKURO, MAILE",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,46,,HI,"RIVIERE, GIL",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,47,,HI,"WOOLEY, JESSICA",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,48,,HI,"ITO, KEN",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,49,,HI,"CHONG, PONO",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE REP,51,,HI,"LEE, CHRIS",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE SENATOR,10,,HI,"TANIGUCHI, BRIAN",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE SENATOR,13,,HI,"CHUN-OAKLAND, SUZANNE",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE SENATOR,14,,HI,"MERCADO KIM, DONNA",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE SENATOR,15,,HI,"WAKAI, GLENN",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE SENATOR,19,,HI,"GABBARD, MIKE",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE SENATOR,20,,HI,"ESPERO, WILL",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE SENATOR,22,,HI,"DELA CRUZ, DONOVAN",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE SENATOR,24,,HI,"TOKUDA, JILL",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE SENATOR,25,,HI,"ENOS, VIRGINIA",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE SENATOR,8,,HI,"SLOM, SAM",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2010,STATE SENATOR,9,,HI,"IHARA, LES",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2012,CITY COUNCIL,1,,HI,"PINE, KYMBERLY",,1,,,,,0.85
HI,Honolulu Star-Advertiser,109630,2012,CITY COUNCIL,5,,HI,"KOBAYASHI, ANN",,1,,,,,0.85
