state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
HI,Honolulu Star-Bulletin,109601,1918,H,AT-LARGE,,HI,"KALANIANAOLE, JONAH KUHIO",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1920,H,AT-LARGE,,HI,"KALANIANAOLE, J. K.",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1920,STATE REP,4,,HI,"ANDREWS, LORRIN",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1920,STATE REP,4,,HI,"COOKE, C. H.",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1920,STATE REP,4,,HI,"CRISTY, A. M.",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1920,STATE REP,4,,HI,"JARRETT, J. K.",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1920,STATE REP,4,,HI,"LOWREY, FRED D.",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1920,STATE REP,4,,HI,"WILDER, GERRIT P.",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1920,STATE REP,5,,HI,"ARCHER, FRANK",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1920,STATE REP,5,,HI,"CRAWFORD, E. J.",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1920,STATE REP,5,,HI,"FERNANDEZ, E. K.",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1920,STATE REP,5,,HI,"MANU, SAMUEL",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1920,STATE REP,5,,HI,"MARINO, E. H. S.",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1920,STATE REP,5,,HI,"VIERRA, A. K.",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1920,STATE SENATOR,,,HI,"AHIA, WILLIAM M.",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1920,STATE SENATOR,,,HI,"JUDD, LAWRENCE M.",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1920,STATE SENATOR,,,HI,"LUCAS, JOHN",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1922,H,AT-LARGE,,HI,"WISE, JOHN H.",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1924,H,AT-LARGE,,HI,"RICE, PHILIP L.",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1928,H,AT-LARGE,,HI,"HOUSTON, VICTOR S. K.",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1930,STATE SENATOR,,,HI,"BROWN, FRANCIS I.",,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1930,STATE SENATOR,,,HI,"ROBINSON, MARK A.",,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1930,STATE SENATOR,,,HI,"SYLVA, JOSEPH L.",,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1932,H,AT-LARGE,,HI,"HOUSTON, VICTOR S. K.",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1932,MAYOR,HONOLULU,,HI,"WRIGHT, FRED",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1936,STATE SENATOR,OAHU,,HI,"BEEBE, EUGENE H.",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1936,STATE SENATOR,OAHU,,HI,"BROWN, FRANCIS B.",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1936,STATE SENATOR,OAHU,,HI,"DENISON, GEORGE P.",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1960,PRESIDENT,,,HI,"NIXON, RICHARD M.",Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1968,MAYOR,Honolulu,,HI,D. G. ANDERSON,Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1968,PRESIDENT,,,US,RICHARD M. NIXON,Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1970,H,1,,HI,SPARK M. MATSUNAGA,Democrat,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1970,H,2,,HI,PATSY T. MINK,Democrat,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1970,SENATOR,,,HI,HIRAM L. FONG,Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1972,H,1,,HI,SPARK MATSUNAGA,Democrat,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1972,H,2,,HI,PATSY T. MINK,Democrat,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1972,PRESIDENT,,,US,RICHARD M. NIXON,Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1974,BOARD OF EDUCATION,Oahu,,HI,RICHARD ANDO,,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1974,STATE REP,,,HI,AKIRA SAKIMA,Democrat,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1974,STATE REP,,,HI,ANDREW POEPOE,Republican,1,,,,,0.85
HI,Honolulu Star-Bulletin,109601,1974,STATE REP,,,HI,CHARLES USHIJIMA,Democrat,1,,,,,0.85
