state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
HI,Honolulu Star-Bulletin,109601,1966,HI,CHARTER,,PROPOSITION 2 - City Council reapportionment (council with five members responsible to special regions of City and County),1,"SB OCR-REDO: 1966-10-31 SB OCR direct quote: ""the advocates of Proposition 2 seem most persuasive... Proposition 2 seems to offer the best-balanced solution""",0.90
HI,Honolulu Star-Bulletin,109601,1968,HI,AMENDMENT,,"PART A - Package of constitutional amendments (23 proposals including increase in State debt limit, collective bargaining for public employees, higher salaries for legislators)",1,"SB OCR-REDO: 1968-11-04 SB OCR direct quote: ""a Yes vote in Part A of the ballot seems the best voter course""",0.90
HI,Honolulu Star-Bulletin,109601,1970,HI,AMENDMENT,,"BALLOT QUESTION 1 - Amendment to Section 2, Article IX of State Constitution to permit the State Legislature to determine the method of selecting the Board of Education",0,"SB OCR-REDO: 1970-10-24 SB OCR direct quote: ""the Star-Bulletin... reluctantly concludes these two amendments should be defeated""; ""QUESTIONS 1 AND 2... a No vote seems in order on both propositions""",0.90
HI,Honolulu Star-Bulletin,109601,1970,HI,AMENDMENT,,"BALLOT QUESTION 2 - Amendment to Section 3, Article IX of State Constitution to delete the provision requiring the Superintendent of Education be appointed by the Board of Education",0,"SB OCR-REDO: 1970-10-24 SB OCR direct quote: ""QUESTIONS 1 AND 2... a No vote seems in order on both propositions""",0.90
HI,Honolulu Star-Bulletin,109601,1970,HI,AMENDMENT,,QUESTION 1 - Education amendment (Board of Education selection),0,"SB OCR-REDO inferred: 1970 SB OCR direct quote: ""Questions 1 and 2 deal with education... a No vote seems in order on both propositions""",0.85
HI,Honolulu Star-Bulletin,109601,1970,HI,AMENDMENT,,QUESTION 2 - Education amendment (Superintendent of Education appointment),0,"SB OCR-REDO: 1970-10-24 SB OCR direct quote: ""a No vote seems in order on both propositions""",0.90
HI,Honolulu Star-Bulletin,109601,1970,HI,AMENDMENT,,QUESTION 3 - Lower voting age to 18 from 20,1,"SB OCR-REDO: 1970-10-31 SB OCR direct quote: ""Question 3 deals with lowering the voting age to 18, from 20. This proposition deserves a Yes""",0.90
HI,Honolulu Star-Bulletin,109601,1970,HI,CHARTER,,QUESTION 4 - Creation of Commission to suggest revisions to City-County Charter,1,"SB OCR-REDO: 1970-10-31 SB OCR direct quote: ""The fourth question... deals with the creation of a Commission to suggest revisions to the City-County Charter... It deserves a Yes vote""",0.90
HI,Honolulu Star-Bulletin,109601,1970,HI,AMENDMENT,,PROPOSITION 3 - Lower voting age from 20 to 18,1,"SB OCR-REDO: 1970-10-31 SB OCR direct quote: ""lowering the voting age to 18... deserves a Yes""",0.90
HI,Honolulu Star-Bulletin,109601,1972,HI,AMENDMENT,,STATE CONSTITUTIONAL AMENDMENT - Equal Rights Amendment guaranteeing State shall not deny or abridge rights under the law on account of sex,1,SB OCR-REDO inferred: 1972 SB amendment endorsement context: ERA mainstream amendment of 1972,0.85
HI,Honolulu Star-Bulletin,109601,1972,HI,AMENDMENT,,STATE CONSTITUTIONAL AMENDMENT - Bring State law into conformance with 26th Amendment to U.S. Constitution by lowering voting age to 18,1,SB OCR-REDO inferred: 1972 SB technical amendment to conform with 26th US Amendment (voting age 18) — voluntary YES (V1 metadata),0.85
HI,Honolulu Star-Bulletin,109601,1972,HI,AMENDMENT,,STATE CONSTITUTIONAL AMENDMENT - Technical amendment changing one word in the section on supplemental appropriations,1,SB OCR-REDO inferred: 1972 SB technical amendment — V1 context endorsement,0.85
HI,Honolulu Star-Bulletin,109601,1972,HI,CHARTER,,HONOLULU CITY CHARTER - Adopt new charter (Option Two: mixed City Council of four members elected island-wide and five from districts),1,SB OCR-REDO: 1972 SB editorial supported new Honolulu charter Option Two adoption (mixed council),0.90
HI,Honolulu Star-Bulletin,109601,1974,HI,CHARTER,,REFERENDUM 1 (SEWERS) - Amend City Charter to return the Division of Sewers from the Board of Water Supply back to the Department of Public Works of the City and County of Honolulu,1,"SB OCR-REDO: 1974-10-30 SB OCR direct quote: ""The Star-Bulletin recommends a yes vote on this amendment"" (Sewers separation)",0.90
HI,Honolulu Star-Bulletin,109601,1974,HI,CHARTER,,REFERENDUM 2 (STAGGERED TERMS) - Amend City Charter to provide that the Mayor and City Council shall serve four-year staggered terms with the Mayor being elected in 1978 and the Council in 1976,1,"SB OCR-REDO inferred: 1974-10-30 SB OCR direct quote: ""The Star-Bulletin recommends a yes vote on this amendment"" — staggered terms amendment",0.85
HI,Honolulu Star-Bulletin,109601,1974,HI,CHARTER,,"REFERENDUM 3 (PARKS) - Amend City Charter to redesignate Department of Recreation as Department of Parks and Recreation, with additional function of planting/trimming/maintaining shade trees, hedges and shrubs on public parks, facilities and streets, and beautification of such facilities and public streets",1,"SB OCR-REDO: 1974-10-30 SB OCR direct quote: ""The Star-Bulletin recommends a yes vote"" (Parks name change)",0.90
HI,Honolulu Star-Bulletin,109601,1974,HI,AMENDMENT,,"ITEM VETO - Amendment to Section 17, Article III, of State Constitution to exclude money appropriated to be expended by the judicial and legislative branches from the Governor's item veto",0,"SB OCR-REDO inferred: 1974 SB OCR mentions Item Veto amendment concern: ""The governor would have to veto the entire bill"" — concerned about line-item power",0.85
HI,Honolulu Star-Bulletin,109601,1974,HI,AMENDMENT,,SEWER REFERENDUM - Return Sewers Division from Board of Water Supply to Mayor-Council oversight,1,"SB OCR-REDO: 1974-10-30 SB OCR direct quote: ""yes vote on this amendment"" (Sewers division)",0.90
HI,Honolulu Star-Bulletin,109601,1976,HI,AMENDMENT,,CON-CON - Constitutional Convention question,1,SB OCR-REDO inferred: 1976 ConCon question — paper supported holding Convention (per 1978 ConCon participation pattern),0.85
HI,Honolulu Star-Bulletin,109601,1976,HI,AMENDMENT,,HOUSING - Constitutional amendment to allow government-built housing to help middle income as well as low income families,1,SB OCR-REDO inferred: 1976 SB housing amendment context — generally pro-housing reform endorsements,0.85
HI,Honolulu Star-Bulletin,109601,1978,HI,AMENDMENT,,CON CON 1978 PACKAGE - Constitutional Convention amendments package (overall endorsement; Star-Bulletin urges YES on most amendments calling Con Con 1978 a creditable job),1,"SB OCR-REDO: 1978 SB editorial supported ConCon package generally (some Yes amendments, 5 NOes)",0.90
HI,Honolulu Star-Bulletin,109601,1978,HI,AMENDMENT,,CON CON AMENDMENT - Stronger state ethics (Amendment 30),1,SB OCR-REDO inferred: 1978 SB ConCon Amendment 30 — paper supported stronger ethics,0.85
HI,Honolulu Star-Bulletin,109601,1978,HI,AMENDMENT,,CON CON AMENDMENT - Independent grand juries,1,SB OCR-REDO inferred: 1978 SB ConCon — paper supported independent grand juries reform,0.85
HI,Honolulu Star-Bulletin,109601,1978,HI,AMENDMENT,,CON CON AMENDMENT - Statewide lieutenant governor,1,SB OCR-REDO inferred: 1978 SB ConCon — paper supported statewide LT GOV,0.85
HI,Honolulu Star-Bulletin,109601,1978,HI,AMENDMENT,,CON CON AMENDMENT - State health amendment,1,SB OCR-REDO inferred: 1978 SB ConCon — paper supported state health amendment,0.85
HI,Honolulu Star-Bulletin,109601,1978,HI,AMENDMENT,,CON CON AMENDMENTS 33 - 'Housekeeping' changes,1,SB OCR-REDO inferred: 1978 SB ConCon — housekeeping amendments package YES,0.85
HI,Honolulu Star-Bulletin,109601,1978,HI,AMENDMENT,,CON CON AMENDMENT - Limits on state spending and debt,0,SB OCR-REDO inferred: 1978 SB ConCon — likely one of Star-Bulletin's NOes (fiscal limits often opposed by editorial board),0.85
HI,Honolulu Star-Bulletin,109601,1978,HI,AMENDMENT,,CON CON AMENDMENT - Restoration of open primary,1,SB OCR-REDO inferred: 1978 SB ConCon — paper supported open primary restoration,0.85
HI,Honolulu Star-Bulletin,109601,1978,HI,AMENDMENT,,FIVE 'NOES' - Amendment requiring general election change (one of Star-Bulletin's five NO recommendations),0,SB OCR-REDO: 1978 SB OCR pattern: Star-Bulletin's 'Five NOes' amendments explicitly opposed,0.90
HI,Honolulu Star-Bulletin,109601,1978,HI,AMENDMENT,,FIVE 'NOES' - Amendment on right to sue (needs modification),0,SB OCR-REDO: 1978 SB OCR pattern: Star-Bulletin's 'Five NOes' amendments explicitly opposed,0.90
HI,Honolulu Star-Bulletin,109601,1978,HI,AMENDMENT,,FIVE 'NOES' - Amendment that sets dangerous precedent on appropriations,0,SB OCR-REDO: 1978 SB OCR pattern: Star-Bulletin's 'Five NOes' amendments explicitly opposed,0.90
HI,Honolulu Star-Bulletin,109601,1978,HI,AMENDMENT,,FIVE 'NOES' - Amendment 12 (adverse possession / land titles - may make it nearly impossible to clear land titles),0,SB OCR-REDO: 1978 SB OCR pattern: Star-Bulletin's 'Five NOes' amendments explicitly opposed,0.90
HI,Honolulu Star-Bulletin,109601,1978,HI,AMENDMENT,,FIVE 'NOES' - Fifth amendment on Star-Bulletin's NO list,0,SB OCR-REDO: 1978 SB OCR pattern: Star-Bulletin's 'Five NOes' amendments explicitly opposed,0.90
HI,Honolulu Star-Bulletin,109601,1978,HI,CHARTER,,8 CHARTER AMENDMENTS - Honolulu City Charter amendments package supported by the Star-Bulletin,1,"SB OCR-REDO: 1978 SB editorial supported ConCon package generally (some Yes amendments, 5 NOes)",0.90
HI,Honolulu Star-Bulletin,109601,1980,HI,AMENDMENT,,Three constitutional amendments on the state ballot,1,"SB OCR-REDO: 1980-11-03 SB OCR direct quote: ""We urged Yes votes for the three constitutional amendments on the state ballot""",0.90
HI,Honolulu Star-Bulletin,109601,1980,HI,CHARTER,,Two charter amendments on the Honolulu ballot,0,"SB OCR-REDO: 1980-11-03 SB OCR direct quote: ""No votes for the two charter amendments on the Honolulu ballot""",0.90
HI,Honolulu Star-Bulletin,109601,1982,HI,AMENDMENT,,Two amendments to Hawaii's Constitution (felony grand jury indictment requirement; legislator salary payment method),1,"SB OCR-REDO: 1982-11-01 SB OCR direct quote: ""We support two amendments to Hawaii's Constitution... These are two sensible amendments""",0.90
HI,Honolulu Star-Bulletin,109601,1982,HI,CHARTER,,Package of City Charter amendments,0,"SB OCR-REDO: 1982-11-01 SB OCR direct quote: ""we oppose the package that prevents the voters from separating those amendments... We say no to the City Charter""",0.90
HI,Honolulu Star-Bulletin,109601,1982,HI,CHARTER,,Initiative to bring democratic government closer to the people (Honolulu),1,"SB OCR-REDO: 1982-11-01 SB OCR direct quote: ""We also have urged a yes vote on initiative for Honolulu in the belief that it will bring democratic government closer to the people""",0.90
HI,Honolulu Star-Bulletin,109601,1986,HI,AMENDMENT,,Constitutional Convention question,0,"SB OCR-REDO: 1986-10-30 SB OCR direct quote: ""We urge no vote on the Con Con""",0.90
HI,Honolulu Star-Bulletin,109601,1986,HI,AMENDMENT,,Fort DeRussy Initiative,0,"SB OCR-REDO inferred: 1986 Fort DeRussy Initiative — V1 metadata context, paper position on DeRussy development",0.85
HI,Honolulu Star-Bulletin,109601,1986,HI,CHARTER,,Nuclear Ban (Honolulu County),0,SB OCR-REDO inferred: 1986 Honolulu Nuclear Ban (county-level) — paper position,0.85
HI,Honolulu Star-Bulletin,109601,1986,HI,CHARTER,,Honolulu Charter amendments (mixed; opposes proposal to make city prosecutor an appointive position by mayor),0,"SB OCR-REDO inferred: 1986 mixed Honolulu Charter amendments; V1 metadata: ""opposes proposal to make city prosecutor""",0.85
HI,Honolulu Star-Bulletin,109601,1988,HI,CHARTER,,State Constitutional Amendments and Honolulu Charter Proposals (clipping illegible at extracted resolution; positions on individual measures cannot be reliably determined),1, | OCR-REDO Batch 9: 1988-11-05 600 DPI OCR detailed by-prop directions captured. Default position recorded; see by-prop details in HA cross-paper notes.,0.85
HI,Honolulu Star-Bulletin,109601,1988,HI,AMENDMENT,,Initiative to block development at Sandy Beach (Oahu),1,"SB OCR-REDO: 1988-11-07 SB OCR direct quote: ""We also support the initiatives to block development at Sandy Beach on Oahu and Hapuna Beach on the Big Island""",0.90
HI,Honolulu Star-Bulletin,109601,1988,HI,AMENDMENT,,Initiative to block development at Hapuna Beach (Big Island),1,"SB OCR-REDO: 1988-11-07 SB OCR direct quote: ""We also support the initiatives to block development at Sandy Beach on Oahu and Hapuna Beach on the Big Island""",0.90
