state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
IL,Decatur Daily Review,111302,1964,STATE SENATOR,28,,IL,"COLBURN, RALPH M.",Republican,1,,,,State Senator 28th District; editorial endorses Colburn over incumbent McCarthy who has 'failed to live up to his potential' [V2 office SENATOR→STATE SENATOR - IL state senate dist 28],0.9
IL,Decatur Daily Review,111302,1964,STATE SENATOR,28,,IL,"MCCARTHY, ROBERT W.",Democrat,0,1,,,Incumbent opposed; 'failed to live up to his potential',0.95
IL,Decatur Daily Review,111302,1964,ATTORNEY GENERAL,,,IL,"SANDQUIST, ELROY C. JR.",Republican,1,,,,"'we cannot believe that Attorney General William Clark deserves re-election on his record in office, so we mark for the Republican challenger, Elroy C. Sandquist, Jr.'",0.97
IL,Decatur Daily Review,111302,1964,ATTORNEY GENERAL,,,IL,"CLARK, WILLIAM G.",Democrat,0,1,,,Incumbent opposed for Attorney General,0.9
IL,Decatur Daily Review,111302,1964,COURT OF APPEALS,4,4th Judicial District,IL,"SMITH, SAMUEL O.",Republican,1,,,,"'we recommend the election of two experienced judges, Samuel O. Smith and Stanley Thomas, Republicans'",0.95
IL,Decatur Daily Review,111302,1964,COURT OF APPEALS,4,4th Judicial District,IL,"THOMAS, STANLEY",Republican,1,,,,Same recommendation as Smith,0.95
IL,Decatur Daily Review,111302,1964,COURT OF APPEALS,4,4th Judicial District,IL,"TRAPP, HAROLD F.",Democrat,1,,,,"'a veteran attorney well liked in his profession, Harold F. Trapp, Democrat'",0.95
IL,Decatur Daily Review,111302,1964,H,22,22nd Congressional District,IL,"SPRINGER, WILLIAM L.",Republican,1,,1,,"'The 22nd Congressional District should return Rep. William H. Springer, Republican, to Washington for an eighth term'",0.97
IL,Decatur Daily Review,111302,1964,PRESIDENT,,,IL,"JOHNSON, LYNDON B.",Democrat,1,1,,,Editorial endorses Johnson for President; criticism of Goldwater's attitudes and equipment for office; 'President Johnson merits a term in his own right',0.95
IL,Decatur Daily Review,111302,1964,VICE PRESIDENT,,,IL,"HUMPHREY, HUBERT H.",Democrat,1,,,,Running mate of endorsed Johnson,0.9
IL,Decatur Daily Review,111302,1964,AUDITOR,,,IL,"HOWLETT, MICHAEL J.",Democrat,1,,,,"State Auditor - 'Howlett, a Democrat, is preferred for state auditor on his record.' [V2 dname cleared - state office not county]",0.95
IL,Decatur Daily Review,111302,1964,TRUSTEE,,University of Illinois,IL,"CLEMENT, HOWARD W.",Democrat,1,1,,,U of I Trustee; Democratic incumbent recommended on basis of conscientious and meritorious service,0.9
IL,Decatur Daily Review,111302,1964,TRUSTEE,,University of Illinois,IL,"JONES, THEODORE A.",Democrat,1,1,,,U of I Trustee; appointed by governor to fill a vacancy; recommended,0.9
IL,Decatur Daily Review,111302,1964,TRUSTEE,,University of Illinois,IL,"POGUE, HAROLD",Democrat,1,1,,,U of I Trustee incumbent; 'Harold Pogue is completing a term on the board',0.85
IL,Decatur Daily Review,111302,1964,COURT OF APPEALS,5,5th Judicial District,IL,"KUNCE, PEYTON C.",Republican,1,,,,"'In the Fifth District, which is Southern Illinois, we recommend votes for Peyton C. Kunce and Sanford S. Meyer, Republicans, and Joseph H. Goldenhursh, a Democrat'",0.95
IL,Decatur Daily Review,111302,1964,COURT OF APPEALS,5,5th Judicial District,IL,"MEYER, SANFORD S.",Republican,1,,,,5th Appellate Court District,0.95
IL,Decatur Daily Review,111302,1964,COURT OF APPEALS,5,5th Judicial District,IL,"GOLDENHERSH, JOSEPH H.",Democrat,1,,,,5th Appellate Court District - Democrat recommended,0.95
IL,Decatur Daily Review,111302,1964,JUDGE,6,6th Judicial Circuit,IL,"MORGAN, BIRCH",Nonpartisan,1,1,,,Incumbent Circuit Court judge to be retained under new Judicial Article provisions,0.85
IL,Decatur Daily Review,111302,1964,JUDGE,6,6th Judicial Circuit,IL,"MORTHLAND, MARTIN E.",Nonpartisan,1,,1,,Incumbent Circuit Court judge to be retained,0.85
IL,Decatur Daily Review,111302,1964,JUDGE,6,6th Judicial Circuit,IL,"SCOTT, RODNEY",Nonpartisan,1,,,,Incumbent Circuit Court judge to be retained,0.85
IL,Decatur Daily Review,111302,1964,DA/PROSECUTOR,,Macon County,IL,"GREANIAS, BASIL G.",Democrat,1,,,,State's Attorney - running uncontested; editorial supports incumbent county officials who served well,0.8
IL,Decatur Daily Review,111302,1966,SENATOR,,,IL,"PERCY, CHARLES H.",Republican,1,,,,Editorial describes both Douglas and Percy as outstanding candidates; paper endorsed Percy in prior year for governor; ballot recap shows Percy as recommended,0.9
IL,Decatur Daily Review,111302,1966,TREASURER,,Macon County,IL,"STEVENSON, ADLAI E. III",Democrat,1,,,,State Treasurer; editorial endorses Stevenson - 'a blue ribbon legislator' [V2 dname cleared - state office not county],0.92
IL,Decatur Daily Review,111302,1966,SUPERINTENDENT,,,IL,"PRINCE, DONALD",Democrat,1,,,,Superintendent of Public Instruction; second endorsement of Prince - 'Donald Prince...has the capacity to administer the office of superintendent of public instruction creatively',0.97
IL,Decatur Daily Review,111302,1966,SUPERINTENDENT,,,IL,"PAGE, RAY",Republican,0,,1,,GOP incumbent opposed; broke pledge to work for state school board; lobbied against legislation,0.95
IL,Decatur Daily Review,111302,1966,TRUSTEE,,University of Illinois,IL,"WATKINS, FRANCES BEST",Democrat,1,1,,,"U of I Trustee; 'We endorse the two Democratic incumbents, Kenney Williamson and Mrs. Frances Best Watkins'",0.95
IL,Decatur Daily Review,111302,1966,TRUSTEE,,University of Illinois,IL,"WILLIAMSON, KENNEY E.",Democrat,1,1,,,U of I Trustee Democratic incumbent endorsed,0.95
IL,Decatur Daily Review,111302,1966,TRUSTEE,,University of Illinois,IL,"GRIMES, DONALD R.",Republican,1,,,,"Donald Grimes of Evanston, head of IGA Food Stores - 'whose sound business experience should serve the board well'",0.93
IL,Decatur Daily Review,111302,1966,H,22,22nd Congressional District,IL,"SPRINGER, WILLIAM L.",Republican,1,,1,,"'on the basis of his seniority and position as ranking minority member of the House Commerce Committee, Mr. Springer is recommended' for 9th term",0.95
IL,Decatur Daily Review,111302,1966,STATE SENATOR,50,,IL,"MCCARTHY, ROBERT W.",Democrat,1,1,,,State Senator 50th District; marked ballot shows McCarthy endorsed,0.9
IL,Decatur Daily Review,111302,1966,STATE REP,52,,IL,"TIPSWORD, ROLLAND F.",Democrat,1,,,,State Representative; marked on recap ballot,0.9
IL,Decatur Daily Review,111302,1966,STATE REP,52,,IL,"ALSUP, JOHN W.",Democrat,1,1,,,State Representative; marked on recap ballot,0.9
