state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
IL,Decatur Daily Review,111302,1962,IL,REFERENDUM,,Establishment of Macon County Health Department (levy not to exceed 0.05 per cent),1,Editorial urges 'overwhelming Yes vote on Nov. 6' for county-wide health department,0.98
IL,Decatur Daily Review,111302,1962,IL,REFERENDUM,,Continuation of tax for Macon County Tuberculosis Sanatorium (not to exceed 0.075 per cent) - yellow ballot,1,Editorial urges Yes vote to continue TB San tax and programs,0.98
IL,Decatur Daily Review,111302,1966,IL,AMENDMENT,,Blue Ballot constitutional amendment to permit county sheriffs and treasurers to succeed themselves (County Officers Re-election),1,"Editorial supports the amendment but with reservations - 'voters should say yes to the proposed succession constitutional amendment, but only with the understanding that permitting re-election would be the means, not the end, in the process of improving county government'",0.92
IL,Decatur Daily Review,111302,1966,IL,AMENDMENT,,Pink Ballot amendments to Illinois Banking Act - drive-up facilities and creation of state bank/trust commission,1,Editorial endorses pink ballot to modernize Illinois banking system,0.97
IL,Decatur Daily Review,111302,1966,IL,AMENDMENT,,"Blue Ballot Revenue Article - amendments to Sections 1, 2, 3, 9, 10, 12 and 13 of Article IX",1,Editorial supports tax reform vote on Blue Ballot Revenue Article,0.85
IL,Decatur Daily Review,111302,1968,IL,AMENDMENT,,Constitutional convention call,1,'your vote for yes on the call of a constitutional convention. Enabling the state to call such a convention will open the door to needed state government reform',0.97
IL,Decatur Daily Review,111302,1968,IL,AMENDMENT,,Natural Resources Development Bond Act (air and water pollution bond issue) - $1 billion in bonds,1,"'Another special issue deserving your yes is the Natural Resources Development Bond Act, often better known as the air and water pollution bond issue'",0.97
IL,Decatur Daily Review,111302,1970,IL,AMENDMENT,,Personal property tax abolition amendment,0,Editorial: 'voters should reject the amendment Nov. 3',0.97
IL,Decatur Daily Review,111302,1970,IL,AMENDMENT,,Illinois Banking Act amendments (state bank parity with national; one-bank holding companies),1,Editorial: 'We recommend that the banking changes be approved.',0.97
IL,Decatur Daily Review,111302,1970,IL,BOND,,$750 million anti-pollution bond issue,1,Editorial: 'Voters should approve the bond act November 3',0.97
IL,Decatur Daily Review,111302,1974,IL,REFERENDUM,,Township consolidation/remap referenda (1972 state law),1,Editorial urges voters in affected townships to support consolidation/reform. 'We urge voters who do not want the unnecessary costs of the present township structure to vote for reform Tuesday',0.85
IL,Decatur Daily Review,111302,1978,IL,REFERENDUM,,Thompson Proposition — advisory question on tax/spending ceilings in state constitution and law,0,Editorial 'Tax ceiling invites borrowing' opposes; argues ceilings written into constitution are inflexible and would encourage borrowing,0.85
