state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
IL,Decatur Herald and Review,111300,1960,PRESIDENT,,,IL,"NIXON, RICHARD M.",Republican,1,,,,1960 final ballot recap; editorial expressly recommends election of Richard Nixon as President,0.98
IL,Decatur Herald and Review,111300,1960,VICE PRESIDENT,,,IL,"LODGE, HENRY CABOT",Republican,1,,,,Recommended alongside Nixon,0.98
IL,Decatur Herald and Review,111300,1960,SENATOR,,IL,IL,"WITWER, SAMUEL W.",Republican,1,,,,Recommended over incumbent Sen. Paul Douglas (D),0.97
IL,Decatur Herald and Review,111300,1960,GOVERNOR,,IL,IL,"STRATTON, WILLIAM G.",Republican,1,,1,,Incumbent governor recommended for re-election,0.97
IL,Decatur Herald and Review,111300,1960,LT GOVERNOR,,IL,IL,"CHAPMAN, JOHN WILLIAM",Republican,1,,,,Marked on Republican column of marked-ballot recap,0.9
IL,Decatur Herald and Review,111300,1960,SEC OF STATE,,IL,IL,"CARPENTIER, CHARLES F.",Republican,1,,,,Marked on Republican column,0.9
IL,Decatur Herald and Review,111300,1960,AUDITOR,,IL,IL,"SMITH, ELBERT S.",Republican,1,,,,Auditor of Public Accounts; marked on Republican column,0.9
IL,Decatur Herald and Review,111300,1960,ATTORNEY GENERAL,,IL,IL,"GUILD, WILLIAM L.",Republican,1,,,,Marked on Republican column,0.9
IL,Decatur Herald and Review,111300,1960,TRUSTEE,,Univ of Illinois,IL,"PEAK, AUDREY REAVIS",Republican,1,,,,Trustee of the University of Illinois (vote for three); marked on Republican column,0.85
IL,Decatur Herald and Review,111300,1960,TRUSTEE,,Univ of Illinois,IL,"LOVEJOY, C. E. ""ERNIE""",Republican,1,,,,Trustee of the University of Illinois (vote for three); marked on Republican column,0.85
IL,Decatur Herald and Review,111300,1960,TRUSTEE,,Univ of Illinois,IL,"MATHEWS, THOMAS O.",Republican,1,,,,Trustee of the University of Illinois (vote for three); marked on Republican column,0.85
IL,Decatur Herald and Review,111300,1960,H,22,IL,IL,"SPRINGER, WILLIAM L.",Republican,1,,1,,U.S. House 22nd District incumbent; marked on Republican column,0.92
IL,Decatur Herald and Review,111300,1960,STATE SENATOR,28,IL,IL,"JOHNS, GEORGE P.",Republican,1,,,,State Senator 28th District; marked on Republican column,0.9
IL,Decatur Herald and Review,111300,1960,STATE REP,47,IL,IL,"ROGERS, BARRETT F.",Republican,1,,,,"State Representative 47th District (vote for one, two or three); marked on Republican column",0.88
IL,Decatur Herald and Review,111300,1960,STATE REP,47,IL,IL,"LANDHOLT, HILMER C.",Republican,1,,,,"State Representative 47th District (vote for one, two or three); marked on Republican column",0.88
IL,Decatur Herald and Review,111300,1960,RECORDER,,Macon,IL,"MADDOX, WILLIAM H.",Republican,1,,,,"Recorder of Deeds, Macon County; marked on Republican column",0.88
IL,Decatur Herald and Review,111300,1960,DA/PROSECUTOR,,Macon,IL,"PATTERSON, ROBERT N.",Republican,1,,,,State's Attorney; marked on Republican column,0.88
IL,Decatur Herald and Review,111300,1960,CNTY CLERK,,Macon County Circuit Clerk,IL,"KELLEY, JAMES C.",Republican,1,,,,"Circuit Clerk; marked on Republican column [QA fix: was JUDGE, corrected to CNTY CLERK]",0.85
